start	end	text
0	27640	Intro
27640	34560	Herzlich willkommen zur Folge alternativlos numero 52 52 dieses mal haben wir nachgeguckt
35240	37800	Wir haben heute einen Gast
38360	43480	Joscha bach ist zum zweiten mal bei uns herzlich willkommen und wir wollen über
44560	51960	Tja, wobei wollen wir reden über ai wollen wir reden und ob uns diese das war die nummer eins an frage in den letzten monaten
52480	55240	Wir sollen mal was zu ai machen genau
55840	57840	Und da dachte ich mir so
58880	60880	Wen kannst du da einladen?
61080	64440	Kannst du doch nur so rural patrioten einladen so jubel per hauser
64880	69600	So irgendwie die gestern noch für bitcoin wahnsinn jetzt für ai aber nein es gibt auch andere leute
70280	72040	Und dann haben wir den joscha eingeladen
72040	72840	Ja
72840	77920	Also ich meine dieses phänomen dass jetzt irgendwie die ganzen leute die vorher so schittkornschilling gemacht haben jetzt irgendwie
78640	81760	prompt engineer prompt engineering newsletter verkaufen
82320	84320	Ich schon ziemlich unterhaltsam
85240	87240	so früher gab es ja irgendwie so ein
87280	93240	Diesen so ein begriff dafür so wenn man so literatur aus dem 19 jahrhundert amerika aus der boom zeit liest
93520	99000	Da gab es den begriff booster dafür so nannte man halt leute die halt und eine spezifische
99320	102720	technologie und ein bestimmtes projekt unter einer eisenbahn linie oder sowas irgendwie
103480	108880	Quasi als influencer gepusht haben diesen booster und ich finde es eigentlich einen sehr schönen begriff der es irgendwie
109360	110880	Ich so zeitlos
110880	117520	Übrigens eine fliege hört es keine fliege das eine drohende uns die auferlauts geschickt haben können wir gar nichts gegen tun
118120	123040	Fürchten uns versucht fürchten ein nuklear arschloch weil wir die wegmachen deswegen machen wir es lieber nicht
123640	129920	Ja, wo wir reden wir eigentlich viel für du hast ja irgendwie weil die mühe gemacht zu gucken was ist da eigentlich dieses ganze
130520	135760	der ganze halb gerade also ich verfolge das ja schon länger weil ich das mal in meinem studium
136240	138240	Trotzdem nicht studiert habe machine learning
139000	146440	Und nicht dasselbe wie ei oder nein ist nicht dasselbe also da gibt es eine lustige anekdote für ich habe mal
146440	152160	Ich mache ja beruflich code audits und ich war bei einem großen kunden und der meinte wir haben hier was mit machine learning
152840	156840	Und ich dachte oh geil jetzt kannst du endlich mal deine neuronalen netze fähigkeiten anwenden
156920	161920	Und dann machst du den kode auf und blätter um und das nix mit neuronalen netzen
162520	164240	nix und dann
164240	168400	Oder die täte so ein tach und dann spricht die andere mein sie ja ja das ist einfach simple base
169040	170880	aber der kunde will
170880	172880	machine learning hören also verkaufen wir in machine learning
174400	176800	Und so ist das industrieweit
177600	181120	also es gibt natürlich auch echte machine learning anwendung aber
181520	185520	So die meisten business anwendungen versuchen gerade irgendwie aufzuspringen
186200	190520	Auf den auf den machine learning zu machine learning ist ja nicht nur nur eine netze
190760	194520	Nein natürlich nicht also es gibt noch andere sachen aber das war als simple base und das
196520	198520	Immer nicht richtig funktioniert
198520	201080	behauptet immer die werde wo man die antwort auf alles sein aber
201480	208120	So war ich schon klar dass die weit übertrieben haben und na ja also eigentlich und jetzt übertreiben sogar wirklich na
208480	213400	Na ja eigentlich auch in der lände zu gehen zurück auf die 50er jahre das ist eine ganz alte schoße
214040	217440	Und damals gab es noch eine große hoffnung die sich mit k.i
218040	225400	Verbundenheit dass es nie passieren würde oder ne ne also es gab so positive zukunftsvisionen das war so das nuclear age was
225400	230400	Was man heute nur noch aus ford auch auch also es ist natürlich so dass die presse angepisst ist natürlich
230760	233840	Weil ihnen sowas wie das internet passiert dir nicht noch mal die haben damals
234560	236960	verpasst dass das internet die anzeigen kunden und die
237680	241960	Meinungsmacht und so weiter in aus der hand reißt und sie sind wild entschlossen dass
242160	247320	Dass diese geschichte sich nicht normal wiederholt sondern dass man selbst versucht innovationen im keim zu ersticken
247840	252480	Und möglichst weg zu regulieren na ja also da bin ich mir gar nicht sicher ich habe auch den andruck dass die
253240	258260	Zumindest also die verlagseite da auch gerne aufspringen würde also es gibt schon einige feltversuche
258720	263520	Was das feltversuche springer irgendwie schmeißt bei der bildzeit und drittel der leute rossensatz die durch kleine
263760	268520	Lrm skript aber das hätte man auch ohne wie k.i. Als narrativ machen können und sollen
268600	273120	Es ist ja nicht so dass die das nicht benutzen werden wenn es das gibt das ding ist aber dass es die in
273480	277360	Natürlich bedroht mehr als jede andere berufsgruppe es ist halt da wenn du
278480	284680	Klempner büro hast dann kann dir das chat gpt unheimlich helfen mit deinen kunden zu kommunizieren
284920	290320	große texte zusammenzufassen in paar bullet points oder ein paar bullet points in groß text umzuwandeln
290720	297520	Und wenn du eine neue firma gründen willst den kriegst du praktisch eine armee von interns für 20 dollar im monat die zwar extrem
297520	303800	autistisch sind aber alles machen was du willst in extremer geschwindigkeit das heißt die meisten leute kriegen super kräfte ist nur halt diese
304120	307760	mitwitze in der mitte die das problem haben dass sie bis jetzt immer prompts
307760	313600	Completed haben und mit einmal ist eine maschine da die das noch besser kann das heißt wenn du ein opinion journal bist wird ein k.i.
313600	319840	Kritiker dann bist du echt eine gefahr das ist k.i. Kritik kann das ding viel besser als du inzwischen
320360	322960	ein technikphilosoph ist das fachwort das hier oder
323960	329320	Gut also ich wollte ein bisschen auf die geschichte eingehen es ging halt da ging damit los dass die k.i.
329320	333640	Als was positives gesehen wurde was uns von unseren fesseln befreien wird und was
334160	337920	nachdem die automatisierung versprochen hat die manuelle arbeit als
339320	342360	sozusagen nachteil unseres lebens den wir erdulden müssen wegzumachen
342920	349120	gab es die idee dass die k.i. kommen wird und die die denkende arbeit weg optimieren kann da können wir alle am strand hängen
349800	351800	und die ersten versuche
352040	354040	Da gab es zwei konkurrierende
354360	359240	Ideen wie man da rangehen soll das eine war symbolische k.i. und das andere ist der
360000	366920	Konnektionismus die symbolische k.i. hat die idee gehabt dass man so eine art sammlung aufbaut von weltwissen also man hat gesagt die k.i.
367240	372360	Wenn die nur genug fakten kennt dann kann sie das eigentlich deterministisch zusammensuchen also k.i.
372680	375040	der sagen wir dann in maschinen lesbar
375640	379600	ein haus ist ein gebäude in einem haus kann man wohnen ja so
380280	383920	Fakten des lebens und darauf daraus in kombinationen kann man dann
384440	390840	Experten systeme bauen hieß das damals die auf basis einer vorher eingepflegten wissen basis dann
391680	397560	sachen beantworten können und die die der konnektionismus war die gegentheorie dass man versucht so ein gehirn nachzubauen
398120	403680	mit einer erfindung namens perceptron das war die zentrale erfindung in den 50er jahren
404560	410360	Das ist ein modell was so ein bisschen in der populärpresse verkauft wurde als wir versuchen einen neuronen nachzubauen
410880	417240	Daher ist das ganze auch neuronen alles netze am ende aber eigentlich ist es ein ein relativ einfaches
418120	422840	abbildungssystem in der informatik ein assoziative speicher im wesentlichen dem aner baut
423280	427580	Und den kann man halt trainieren das heißt man programmiert das nicht sondern man trainiert
428060	434420	Und das ist ein fundamentaler unterschied weil man programmierten code debacken kann und trainierten code kann man nur umtrainieren
434780	436780	Ja das heißt der
436900	442620	Konnektionismus fing mit einem paukenschlag an hat gezeigt man kann damit einige logik gatter nachbauen
443260	445260	nämlich and or und not
445700	450060	Und dann hat marvin minzki der damals so ein berühmter k.i. professor war
450380	453700	Hat halt in die suppe gespuckt und gezeigt aber x-ohr kann man nicht
454060	459060	Machen und dann war eigentlich die luft raus aus den konnektionisten für viele jahre
459420	466100	Und das hat sich aber geändert weil die hardware eben exponentiell schneller wird das heißt auch verfahren die früher
466500	470300	Zwar funktioniert hätten aber man hätte einfach so viel hardware gebraucht die gehen heute einfach
470900	477460	Ja darf ich das kurz alles des mentor natürlich dafür bis es gab noch mehr ansätze also zum beispiel selbstorganisation
477860	481840	thüringen hat in den 50er jahren nur mit reaction diffusion pattern gebastelt
482040	486900	Und hat sich überlegt ob das nicht so ähnlich aussieht wie die aktivierungsmuster im gehirn und ob man daraus nicht
487600	490840	repräsentationen bauen kann das ist relativ kleiner thread der bis heute so als
491280	498400	neuronale zelluläre automaten weiter verfolgt wird und wahrscheinlich ein besseres modell dafür wie biologische systeme funktionieren können bei den
498680	504840	praktisch jede einzelne unit ein kleiner reinforcement learning agent ist der sich mit seiner umgebung unterhalten muss die
505320	509320	unterscheidung zwischen symbolisch und nicht symbolisch ist
510160	516400	Problematisch weil die meisten leute sich nicht so richtig einigen können was eigentlich ein symbol ist und das kein symbol ist
516880	521920	Und deshalb könnte man vielleicht eine etwas allgemeinere unterscheidung machen in beiden fällen geht es ja darum
522680	524680	repräsentationen zu bauen die in so einer form
525480	532280	Abgebildet werden dass das das ein system diese presentationen lesen und in verhalten umsetzen kann zum beispiel in dem setzter auf dem bildschirm erscheinen
532600	539500	Oder ein robot das sich bewegt das heißt das auf der einen seite findet ein wahrnimmungsprozess statt wo man umgebung trackt
539720	547200	oder modelliert und auf der anderen seite wird entweder die repräsentationen verändert oder auf dem weltmodell agiert in dem man in der welt
547600	551520	irgendwelche effektoren benutzt und die unterschiedliche repräsentationsarten
552920	558720	unterscheiden sich dabei vor allen darin ob man reasoning auf den machen kann oder nicht und diese
559120	561120	Sprachsysteme
561160	566440	Symbolische systeme grammatik und so weiter sind so strukturiert dass darauf reasoning algorithmen laufen
566920	574800	Unserem geist finden wir was analoges dazu also wir stellen fest dass bei uns zwei arten von repräsentationen mindestens existieren nämlich perzirptuelle
576120	583640	Repräsentationen die praktisch geometrisch sind und es ist uns relativ schwer möglich da aufmerksamkeit reinzubekommen wie das im einzelnen funktioniert das heißt
583640	585640	diese game engine die die welt um uns herum
586400	593920	Erfasst so dass wir sie modellieren können als bunte menschen die gespräche austauschen und sich anschauen und so weiter und so fort
594520	598800	Wir nehmen nicht wahr wie wir das bauen das ist relativ schwer das reverse engineer dafür zu machen
599240	605920	stattdessen beschäftigen wir uns über den teil die wir reflektieren in strukturen über die reasoning möglich ist und das ist allgemein so eine
606520	610800	strukturierte konzeptstruktur die in diese simulationswelt hinein verweist
611440	618800	Und in einer gewissen weise immer diesen blickwinkel jetzt nehmen auf die k.i entwicklung stellen wir halt fest dass diese klassische symbolische
