start	end	text
0	6000	Um dir etwas klarzustellen, ich sage nicht, dass es kein Kollektiv gibt und nur Subjekte.
6000	9640	Es gibt Menschen, die glauben das wirklich, aber das ist eine andere Diskussion.
9640	14720	Mein Argument war, dass das Spannungsverhältnis zwischen Subjekt und Kollektiv ein falsches
14720	17000	ist, weil es sich gegenseitig bedingt.
17000	21840	Ein Individuum konstituiert sich über die Abgrenzung zu anderen als Subjekt und erschafft
21840	24000	damit retroaktiv das Kollektiv.
24000	28080	Das Spannungsverhältnis, in dem sich das Individuum bewegt, um seine Subjektivität
28080	32640	zu erlangen, ist eher die Entfremdung des Ich und die Abgrenzung zu den Anderen innerhalb
32640	33880	einer sozialen Ordnung.
33880	38680	In Lacan-Wörtern werden das Alienation und Separation das Spannungsverhältnis.
38680	42680	Und das bringt mich zu der von dir erwähnten Succession-Episode, die ich mir extra nochmal
42680	43680	angeschaut habe.
43680	47520	Die Episode ist ein gutes Beispiel, um die Theorie von Lacan nachzuvollziehen.
47520	51640	Dafür müssen wir aber ein kleines bisschen Theorie machen und ein neues Konzept einfügen
51640	55240	und zwar der Commodity-Fetish oder der Waren-Fetish von Karl Marx.
55240	59280	In seinem Buch, Das Kapital, macht Karl Marx was ganz Interessantes.
59280	62320	Er stellt das Konzept der Aufklärung auf den Kopf.
62320	67400	Er erklärt, dass das, was wir als objektive Realität annehmen, enthält eine ganze Reihe
67400	74160	unbeachteter Inhalte und zwar, dass der Commodity-Fetish gewöhnlichen Gegenständen einen imaginierten
74160	77160	Wert verleiht, der auf soziale Beziehungen beruht.
77160	81480	Und das ist natürlich der gegenteilige Move der Aufklärung, die eigentlich sagt, hier
81480	86040	ist etwas, wo ganz viel Aberglaube drin steckt und wir müssen da durchschauen.
86040	90240	Marx macht das genaue Gegenteil und sagt, hier ist ein gewöhnliches Objekt und wir müssen
90240	92760	den Aberglauben wieder drin erkennen.
92760	95000	Und das gilt natürlich auch für eine Uhr.
95000	97160	Also, was ist der Wert einer Uhr?
97160	101680	Wahrscheinlich, dass sie mir die Uhrzeit einigermaßen korrekt anzeigt, aber mit Sicherheit auch
101680	105520	die Arbeitszeit und die Meisterschaft, die notwendig ist, um eine Uhr herzustellen.
105520	109160	Mit Sicherheit auch der Materialwert der Komponente, die verbaut wurden.
109160	111360	Aber an den letzten Punkt wird es schon wieder schwierig.
111440	116080	Die Materialien, die verwendet werden, haben ja selber eine Bedeutung über ihren eigentlichen
116080	120800	Nutzwert hinaus, der bestimmt, warum sie einen hohen oder niedrigen Tauschwert haben.
120800	122120	Aber das ist ja nicht alles.
122120	126880	Die Uhr kann auch für Pünktlichkeit stehen, Verlässlichkeit, Genauigkeit, für Produktivität
126880	128440	und damit auch für Erfolg.
128440	133320	Und damit ist der Wert über die sozialen Beziehungen in unserer Gesellschaft definiert.
133320	136720	Um das zu illustrieren, können wir aus der Serie selbst zitieren.
137080	143440	Als der Schwiegersohn die Uhr, die, by the way, 160.000 Dollar kostet, überreicht, sagt
143440	144440	er Folgendes.
144440	147080	Die Uhr ist unglaublich präzise.
147080	150600	Jedes Mal, wenn du draufschaust, sagt es dir, wie reich du bist.
150600	155240	Aber in der Situation haben wir ja nicht nur die Uhr gehabt, sondern die Uhr als Geschenk,
155240	157280	was an sich eine soziale Beziehung ist.
157280	162600	Hier würde ich deine Perspektive aufgreifen, dass der Vater in Geschenken ein Mittel sieht,
162600	164040	um ihn zu beeinflussen.
164040	170320	Das heißt, er sieht noch nicht mal die Uhr, sondern das Geschenk oder das Mittel der Unterdrückung
170320	171320	an sich.
171320	172800	Jetzt wird es aber besonders spannend.
172800	177440	Nach der von dir beschriebenen Situation mit dem Baseballspiel und so weiter, bekommt
177440	182800	die Familie, die dort als lateinamerikanische Arbeiterfamilie dargestellt wird, die Uhr
182800	185600	mit einer Verschwiegenheitserklärung.
185600	186600	Warum ist das spannend?
