start	end	text
0	5640	Hey Patrick, ich kann deine Beschreibung von der aktuellen Situation von Twitter und Elon Musk gut verstehen.
5640	12240	Insbesondere diese Elon Musk Jünger, die ihn bewundern wie den nächsten Jesus, der aus Wasser weint und so weiter macht.
12240	18040	Und wenn man es nur wagt Musk zu kritisieren, man sich anhören muss, dass man doch seinen Genie nicht verstanden hat.
18040	26040	Daher ist es natürlich attraktiv, dass man dann so alle möglichen Verfehlungen von Musk ihn als Beweis ihres fanatischen Warns vorzeigen möchte.
26040	31920	Zumindest liefert die Twitter-Übernahme sehr viel Stoff für dieses, ja wie soll ich sagen, unter die Nase reiben.
31920	34320	Aber du hast mir ja zwei konkrete Fragen gestellt.
34320	42240	Erstens versucht Musk mit seinen Maßnahmen bei Twitter die Organisation ideologisch zu schließen, also im Grunde eine Art Sekte zu etablieren.
42240	50680	Und zweitens das Ansprechen der derzeitigen katastrophalen Arbeitsbedingungen bei Twitter, worunter sogar Familie oder Freunde leiden,
50680	56320	wird mit dem Satz, das sind doch hochbezahlte Menschen abgetan, hat die Würde hier doch einen Preis.
56320	59720	Insbesondere wenn man beispielsweise lange arbeiten muss und so weiter.
59720	63600	Beides komplizierte Fragen und ja wir sollten sie einzeln durchspielen.
63600	70200	Jedoch bzw. und bevor wir das tun, lohnt sich vielleicht nochmal ein Konzept auszupacken.
70200	75360	Und zwar die hermeneutische Versuchung bzw. dieser zu widerstehen.
75360	78080	Aber was war nochmal diese hermeneutische Versuchung?
78160	81160	Julian de Medeiros erklärt das anhand eines Beispiels.
81160	88480	Er vergleicht die Existenzangst, die man haben kann bei dem Besuch eines Planetariums und eines Geisterhauses.
88480	91840	In einem Geisterhaus weiß man, dass alles nur vorgetäuscht ist.
91840	95960	Man weiß, dass alle nur verkleidet sind und einen erschrecken wollen.
95960	99000	Man hat sie sogar dafür bezahlt, dass sie genau das tun.
99000	107200	Geht man allerdings in ein Planetarium, merkt man, dass es für das Universum keine Rolle spielt, ob ich die Größe des Universums bewundere oder nicht.
107200	111720	Meine subjektive Erfahrung der objektiven Größe des Universums zählt nichts.
111720	115600	Dem Universum ist es schlichtweg egal, ob ich existiere oder nicht.
115600	118760	In einem Geisterhaus existiert alles aus einem Grund.
118760	123040	Im Universum mag es eine Ursache geben, aber sie ist für uns nicht erkennbar.
123040	125120	Sie ist hermeneutisch versiegelt.
125120	127600	Das Universum entzieht sich der Bedeutung.
127600	133280	Es scheint uns fast zu verhöhnen, indem es sagt, was euch so klein macht, ist genau das,
133320	138360	dass ihr hier in dieser unvorstellbaren großen Weite nach einem Sinn sucht.
138360	142920	Die hermeneutische Versuchung ist die ultimative Form des Begehrens.
142920	146360	Insgeheim wollen wir alle, dass die Dinge eine Bedeutung haben.
146360	152200	Und doch findet die befriedigendste Erfahrung von Dingen statt, die künstlich oder illusionär sind.
152200	157080	Die wahre Bedeutung von etwas, das so groß ist, dass es sich unserem Verständnis entzieht,
157080	161680	verleitet uns dazu, das Gegenteil zu empfinden, einen Realitätsverlust.
161680	168080	Mit anderen Worten, Bedeutung ist nicht etwas, das hinter dem Vorhang der objektiven Realität existiert.
168080	171400	Bedeutung ist etwas, das wir im Vorhang selbst finden.
171400	176120	In all den Dingen, die die Welt sinnvoll oder sogar einverständlich machen.
176120	180600	Der beste Weg, diese Existenzangst vor der objektiven Realität zu überwinden,
180600	187320	besteht also darin, diese mit fetischistischer Anhafteten oder subjektiver Bedeutung zu verstehen.
187320	191120	Man muss sich eine Geschichte darüber erzählen, was es bedeutet, am Leben zu sein.
191120	193280	Wir sind alle erzählende Wesen.
