start	end	text
0	7220	Ich habe tatsächlich ein bisschen gebraucht, weil einige Dinge in den letzten Tagen waren,
7220	15280	die mich zum Teil sehr berührt, zum Teil sehr aufgeregt haben und das hat mal wieder damit
15280	21920	zu tun, dass ich zufälligerweise, weil ich auf Dienstreise war, im Hotel übernachten
21920	28560	musste und dort den Fernseher eingeschaltet habe und Markus Lanz mir angeguckt habe und
28560	36840	es ist ja fast schon wie so eine Art magnetischer Verkehrsunfall und dort war zu Gast eine
36840	44760	Repräsentantin der Protestbewegung die letzte Generation, es war auch zu Gast Jürgen Trittin
44760	49720	und noch eine Journalistin, deren Namen ich jetzt gar nicht parat habe, spielt aber auch
49720	57520	jetzt an der Stelle gar keine Rolle und dort wurde mir noch mal sehr anschaulich klar und
57520	60920	das habe ich ja schon in einer anderen Sprachnachricht so formuliert, worum es
60920	67960	eigentlich geht. Es geht um diese zwei Fronten, die eine Front, die eine Würde in Gefahr sieht
67960	73600	und die andere Front, die sich immer wieder fragt, welchen Preis hat es und es hat vor
73600	80680	allen Dingen offenbar den Preis all das irgendwie aufzugeben, diese Bequemlichkeit,
81120	89200	diesen Wohlstand, dieses Status quo sein, diese individuelle Freiheit, all das repräsentiert
89200	95400	natürlich auch Markus Lanz, der diese Freiheit aufgrund seiner Privilegiertheit, aufgrund
95400	101880	seines Berufes, aufgrund seines Gehaltes und so weiter und so fort natürlich tausendmal
101880	109080	besser ausleben kann, wie jetzt zum Beispiel Menschen in Deutschland, die prekären Arbeitsbedingungen
109080	115560	ausgesetzt sind oder die studieren oder, oder, oder. Aber darum geht es jetzt in erster Linie mal
115560	121800	gar nicht, sondern ich will noch mal so ein bisschen herausarbeiten zwei Dinge. Nämlich
121800	132400	erstens, wo liegt sozusagen das große tragische Missverständnis, warum redet man so derartig
132400	141320	aneinander vorbei und gleichzeitig aber auch festzustellen, dass dieses Reden extrem wichtig
141320	148280	ist und gleichzeitig auch noch mal festzustellen, es gab ja sehr viele Stimmen da draußen, die sagen,
148280	154200	die Proteste der letzten Generationen seien nicht produktiv, seien nicht zielführend, sie würden
154200	160480	gar nichts erreichen, sie würden das Gegenteil erzeugen, da würde ich tatsächlich widersprechen
160480	167640	wollen. Denn was wirklich passiert ist, dass die Protest-Menschen, so wie ich es jetzt mal nennen,
167640	173840	werden ja eingeladen in die Talkshows und zwar nicht nur bei Markus Lanz, sondern auch an anderer
173840	181120	Stelle. An der Stelle explizit auch der Hinweis auf den Kanal von Tilo Jung. Dort hat nämlich
181120	189800	Hans Jessen auch eine Vertreterin von der letzten Generation zu Gast gehabt und dort wurde wenigstens
190000	197080	diese Sendung auch moderiert, im Gegensatz zu dem, was wir bei Markus Lanz erleben. Sie sitzen jetzt
197080	206200	hier eine eloquente, kluge junge Frau und sagen zum wiederholten Mal, was da alles droht und malen
206200	210880	sozusagen die Apokalypse an die Wand und ich frage mich die ganze Zeit, und das ist auch mal ein
