start	end	text
0	7680	Hey Uman, danke für Deinen Skit und die Überleitung zu einer neuen, spannenden Thematik,
7680	15360	die ja im Moment wirklich im Diskurs hin und her wabert und es ist ja schier unmöglich,
15360	21200	sich dieser Thematik zu entziehen und natürlich ist dieses Thema auch bei mir angekommen.
21200	29120	Ich lebe nicht ganz so hinter dem Mond und vielleicht gleich vorweg, ich bin kein eingefleischter
29120	36640	Fußballfan, aber ich habe in der Vergangenheit durchaus die großen Turniere intensiv verfolgt
36640	43080	und habe da auch eine starke Prägung als Kind und Jugendlicher, die sich bis ins hohe Erwachsenenalter
43080	50320	eigentlich so ein bisschen fortgesetzt hat, aber auch immer mehr abgetragen hat. Es ist in der Tat
50320	59760	die erste WM, die ich 0,0 live anhand der Spiele und so weiter verfolge und das hat jetzt nicht
59760	66360	nur reine moralische Gründe, aber ich möchte an der Stelle jetzt erstmal ein bisschen versuchen zu
66360	73480	beleuchten, warum Fußball so ein großes Thema ist und warum das Ganze vielleicht auch aus
73480	80320	gesellschaftlicher und soziologischer Perspektive hochinteressant ist und warum wir gerade in so
80320	88120	krassen moralischen, ethischen Dilemata stecken. Fußball ist wirklich ein krasses gesellschaftliches
88120	97200	Phänomen. Es ist international mit die meist verbreitete und geschaute und gespielte Mannschaftssportart
97200	103600	seit vielen hundert Jahren. Erfunden haben den Fußball vermutlich sogar die Chinesen, nämlich
103600	110440	im zweiten Jahrtausend vor Christus. Da gibt es zumindest Aufzeichnungen dahingehend, dass die
110440	117720	Menschen dort auf irgendeinem Lederding hin und her getreten haben und dass das auch wirklich dazu
117720	124360	so eine Art Volkssport avanciert ist, aber hat nichts mit dem Fußball zu tun, wie wir ihn heute
124600	133600	kennen. Der heutige Fußball ist so in Mitte des 19. Jahrhunderts in England entstanden und von dort
133600	141200	aus hat es sich auch sehr schnell zum Ende des 19. Jahrhunderts auf alle Kontinente ausgebreitet.
141200	152080	1900 hat sich beispielsweise der Deutsche Fußballbund gegründet und so hat man da so ungefähr eine Marke
152080	158440	ab wann der Fußball so ein bisschen in dieses gigantische Wachstum und in die Popularität
158440	167520	hinein gerutscht ist. 1930 die erste Fußballweltmeisterschaft in Uruguay statt,
167520	175640	die dann auch alle vier Jahre sozusagen fortgeführt wurde bis eben heute und man kann eben sagen,
175640	183840	dass Fußball eigentlich allgegenwärtig ist. Beispielsweise hat der Fußball in den 1920er
183840	190800	Jahren Einzug in das deutsche Militär erhalten, weil man festgestellt hat, dass die Ausübung dieses
190800	198240	Mannschaftssportes eben auch zur Kameradschaft und so weiter beigetragen hat. Heute ist Fußball
198240	204960	nicht mehr wegzudenken. Es wird in den Schulen gespielt, es gibt eine unfassbare Vereinsstruktur
205080	212280	im gesamten Land. Ich würde sagen, jedes kleine Dorf, jeder Stadtteil hat mittlerweile eine eigene
212280	219440	Fußballmannschaft von ganz klein bis zu den alten Herren oder Damen. Und apropos Damen,
219440	226520	auch die Frauen haben sehr frühzeitig Interesse an diesem Mannschaftssport gefunden, durften aber
226520	232800	wie so oft nicht in patriarchischen Strukturen sofort mitmachen. Bis 1970 war es tatsächlich
233480	242520	verboten, dass Frauen Fußball spielen durften laut DFB und so fand 1968 das erste Vereinsfußballspiel
242520	249200	von Frauen statt und zwar mussten sie noch unter Tarnnamen spielen. Also man konnte nicht unter
249200	256560	ihrem Sportvereinsnamen antreten, sondern musste sich so seltsame Namen geben wie FC United,
256560	263960	Strumpfhose oder Eintracht, Kopftuch und das ist for real. Ihr könnt das gerne mal nachschlagen.
263960	270040	Das hat aber dann dazu geführt, dass Frauenfußball aufgrund dieser, sage ich, subversiven
270040	278880	Popularität dann auch endlich ab 1970 offiziell vom DFB erlaubt wurde. Doch die erste Frauenfußball
278880	288560	WM fand dann erst 21 Jahre später statt 1991. So viel also zum Progress und Diversity im
288560	296040	Fußball. Es dauert langsam, aber es tut sich doch irgendwie ein bisschen was. Und die Dimension ist
296040	306640	wirklich unfassbar enorm. So haben 2019 circa 31 Millionen Menschen Deutschlands Stadien besucht,
306640	314640	um ein Fußballspiel sich anzugucken. Das heißt, wir haben hier ein ganz großes Ding vor uns und
314640	320960	mit einer kleinen persönlichen Anekdote möchte ich noch mal verdeutlichen, welchen gesellschaftlichen
320960	327240	Impact das Thema Fußball wirklich bis in die Alltagswelt hinein hat. Und zwar war ich vor
327240	335280	kurzem auf einem Business-Treffen mit, ich würde mal sagen so rund 15 Männern, alle so ein bisschen
335520	342280	in meinem Alter, ein bisschen jünger, ein bisschen älter. Und es war so, dass wir gemeinsam essen
342280	346560	gingen und die Gruppe kannte sich im Grunde genommen nicht richtig. Also ein paar Leute
346560	352560	kannten sich jeweils, aber so die gesamte Gruppe kannte sich nicht. Aber sehr schnell hat sich ein
352560	360760	Thema sehr herauskristallisiert und das war das Thema Fußball natürlich. Das heißt, das ist ein
360760	368920	Kommunikationsanker. Fußball ist unfassbar anschlussfähig offenbar und erfüllt auch so
368920	376680	eine Art gesellschaftlichen Kitt. Also das ist ein Gesprächsthema, wo man zugleich leidenschaftlich
376680	383640	auch ein bisschen spielerisch in eine Rivalenrolle gehen kann, wenn da zwei verschiedene rivalisierende
383640	389360	Vereinsmenschen aufeinandertreten. Weiß man, dass das alles eher sportlich ist, dass man sich
389360	396040	gegenseitig necken kann, weil am Ende und unterm Strich verbindet einen ja die Leidenschaft des
396040	401520	Fußballs. Und so tauscht man sich über dieses Thema aus, in welchen Stadien man schon war,
401520	408960	welche Spiele, welche Highlights, was die Trainer so machen, wie die Vereinsstrukturen immer wieder
408960	415960	versagen und die Präsidien falsche Entscheidungen treffen. Und so wurde auch an dem Tischgespräch
416000	422120	dann irgendwann das Thema auf die WM in Katar gelenkt. Und so landet man dann auch bei politischen
422120	429880	Themen. Also Fußball hat eine einführende und verbindende kommunikative Wirkung. Und woher
429880	436920	kommt das eigentlich? Und da hat mich so ein bisschen jetzt das Interview von Hartmut Rosa
436920	442320	mit Tilo Jung bei Jung und Nafif ein Stück weit inspiriert, um mir die entsprechende Antwort zu
442320	447840	bringen. Es ist offenbar so, dass die Menschen und zwar nicht nur in Deutschland, sondern
447840	455920	international eine Resonanzbeziehung zum Fußball offenbar eingehen. Also sei es, indem sie es
455920	460520	selber praktizieren. Und tatsächlich ist das eine Sportart, die sehr niedrigschwellig ist.
460520	468400	Interessanterweise hat die Arbeiterklasse tatsächlich erst spät den Zugang zum Fußball
468400	473360	erreicht. Und irgendwann in dieser ganzen sozialen Aufstiegsgeschichte waren ja die
473360	480280	Arbeiter und Arbeiterinnen vermehrt mit diesem Sport auch letztendlich verbunden. Man denke an
480280	487400	den Ruhrpott, sozusagen den Schmelztiegel, den wirklichen Brennpunkt des Fußballs, wenn man so
487400	496480	will, wo das Thema wirklich maßgeblich dominierend war, wo man eben von der Maloche in der strukturellen
496560	502640	Form des Fußballs einen Freizeitausgleich gefunden hat. Also es ist ja kein Zufall,
502640	510800	dass die Bundesligaspiele wöchentlich stattfinden. Gut, mittlerweile ist durch die ökonomische Logik
510800	517040	die Taktung sogar noch erhöht worden, was übrigens auch sehr viele Leute von den Fans und so weiter
517040	521600	kritisieren, weil es dann auch irgendwann too much wird. Aber man kann eigentlich sagen,
521720	527920	dass der Fußball auch Leben der Menschen strukturiert. Also es ist klar, am Wochenende
527920	535040	ist Fußball, da ist Bundesliga. Man hat entweder das Ritual, die Sportschau zu schauen oder
535040	542360	eingefleischte Fans gehen dann vor Ort in ihre Stadien oder sind selber aktiv im Vereinsleben
542360	549120	und spielen selbst oder die Kinder spielen und man verbringt sozusagen sehr viel Zeit auf dem
549120	555720	Fußballplatz. Übrigens, ich selber auch, als meine Kinder im Verein Fußball gespielt haben,
555720	561400	war ich auch fast jedes Wochenende auf diesem Platz und habe als Eltern beispielsweise Kuchen
561400	568720	ausgegeben und so weiter. Also auch hier ist ein sozialer Begegnungsort mit dem Fußball entstanden,
568720	575960	der sich in alle Ortschaften dieses Landes sozusagen ausdifferenziert hat. Also man darf
575960	583280	diese Funktion, diese Überfunktion des Fußballs an der Stelle auf Gesellschaft wirklich nicht
583280	589400	außer Acht lassen. Das muss man sich immer wieder bewusst machen. Und apropos Teilhabe
589400	598600	an Gesellschaft, es war nicht immer so, dass Fußball ein so breiter Resonanzboden war für
598600	605520	die Bevölkerung, sondern erst durch die sozialen Reformen in den 1920er Jahren in der Weimar
605640	612480	Republik konnte die Arbeiterklasse beispielsweise erst dem Fußball frönen, weil bis dato hatten
612480	618600	sie entweder gar keine Zeit, weil sie nur auf Maloche waren oder auch zu wenig Geld, um
618600	624960	beispielsweise selber spielen zu können, weil es eben noch keine dieser Vereinstrukturen gab. Und
624960	631680	dann muss man eben an der Stelle auch erwähnen, dass die FIFA neben ihrer mafiösen Struktur
632000	638920	ursprünglich eine ganz andere Funktion hatte. Nicht umsonst ist sie ja als gemeinnütziger
638920	647080	Verein bis heute eingetragen, weil auch ein Großteil der Gelder, die generiert werden,
647080	655400	und zwar bis heute noch, zurückfließen in diese Fußballvereinsstrukturen. Also das heißt alle
655400	663920	angeschlossenen Landesverbände erhalten sozusagen anteilig auch ein Stück vom großen Kuchen,
663920	670880	die sie dann eben weitergeben als Förderung an die jeweiligen kleineren Vereine. Und so
670880	678840	refinanziert sich ein ganzes Strukturnetzwerk. Aber das soll natürlich nicht darüber hinwegtäuschen,
678840	688160	welche Art von Verfehlungen im gesetzlichen, im moralischen, im ethischen Maßstab die FIFA
688160	696680	natürlich hier ebenfalls erzeugt. Und all die Dinge rund um die FIFA sind ja wirklich bekannt.
696680	707440	Das ist in zahlreichen Dokumentationen, Reportagen und so weiter medial, alles aufbereitet,
707440	715520	es ist verfügbar. Jeder weiß um die Machenschaften der FIFA. Wer das Ganze sowohl ausführlich wie
715520	722240	auch komprimiert noch mal dargestellt haben möchte, der sei wiederum verwiesen an Junge
722240	731920	Naiv Folge 610 mit dem Investigativjournalisten Jens Weinreich, der intensiv und ausführlich über
731920	740400	die FIFA und die WM in Katar recherchiert hat und dazu gearbeitet hat. Doch noch mal zurück zum
740400	748520	gesellschaftlichen Phänomen, was ja fast schon existenziell zu sein scheint. Und so ist es auch
748520	754400	kein Wunder, wenn der existenzielle Philosoph Albert Camus, der auch gleichzeitig Nobelpreisträger
754400	761200	ist, nicht nur ein leidenschaftlicher Fußballer war und auch gerne in den Stadion gegangen ist,
761200	767880	sondern er hat auch darüber ganze Aufsätze geschrieben. Und von ihm stammen so Zitate wie
767880	774040	folgendes. Genau dafür habe ich schließlich meine Mannschaft so geliebt. Nicht nur wegen des Sieges
774040	779520	Taumels, der umso herrlicher ist, wenn man die Erschöpfung nach der ganzen Anstrengung spürt,
779520	786600	sondern auch wegen dieser Abende nach einer Niederlage, wenn einem zum Heulen zumute war.
786600	800600	Und er schreibt noch mal als Fazit. Also man kann Fußball hassen, nicht mögen und so weiter. Was
800600	808400	man jedoch nicht kann, ist zu ignorieren, dass das wirklich ein krasses, großes Phänomen des
808400	814960	menschlichen Daseins zu sein scheint. Und jetzt kommen wir eben zu diesem interessanten Punkt,
815440	824720	dem Thema Ethik und Moral im Fußball und das von dir angesprochene Ereignis rund um die One-Love-Binde
824720	831760	der deutschen Fußball-Nationalmannschaft bzw. im Kontext der gesamten Fußball-Weltmeisterschaft
831760	838960	in Katar. Weil diese One-Love-Binde hat ja nicht nur die deutsche Mannschaft betroffen, es waren ja
838960	843520	auch andere Nationalmannschaften, die diese Binde eigentlich tragen wollten und es am Ende nicht
