start	end	text
0	6800	hallo human hallo patrick hallo liebe critical community ich würde gern ein
6800	13080	neues thema aufmachen und das neue thema das heißt sklaverei damit ist die
13080	17000	triggerwarnung auch gesetzt und ich würde hier zur einleitung erst einmal
17000	22080	ein paar fragen stellen wollen und im weiteren verlauf dann erst mal ganz
22080	28280	nüchtern anfangen mit zahlen daten fakten definitionen und so weiter damit
28280	34040	wir überhaupt wissen in welchem themen spektrum wir uns hier bewegen das sind
34040	39560	fragen wie ist es sklaverei system relevant für den kapitalismus worin
39560	43560	unterscheidet sich sklaverei von anderen ausbeutungsformen und ist dem
43560	49000	kapitalismus womöglich egal welche ausbeutungsformen er nutzt ist es für
49000	53880	kapitalismus in seiner reinform sogar schädlich wenn sklaverei in ihm vorkommt
53880	58680	sie eurike herrmanns thesen darüber dass kapitalismus am besten funktioniert
58680	63280	wenn alle genug geld in der tasche haben und ein grad an freiheit haben ist
63280	70560	sklaverei womöglich eine folge aus alten denkmustern aus denkmustern wie
70560	75480	kolonialismus aus denkmustern wie rassismus natürlich auch klassismus
75480	80280	den sklaven sind ja in der regel nicht menschen aus den besser verdienenden
80280	84440	schichten sondern umgekehrt die besser verdienenden schichten die kaufen sich
84440	88160	die sklaven wie wir auch im verlauf dieser folge noch hören werden das sind
88160	92480	die fragen und noch einige mehr ich meine erkennt patrick und humann mit denen wir
92480	96200	uns auseinandersetzen werden aber damit wir das können damit wir auch im thema
96200	99480	sind damit ihr auch einen überblick habt gibt es hier jetzt erstmal ein paar
99480	105000	rahmendaten damit wir verstehen worum es da geht denn hier beginnt schon das
105000	110200	problem beim thema sklaverei laut statista haben wir 50 millionen
110200	116040	sklaven auf der welt davon sind 29 millionen aus dem asien pazifikraum
116040	122160	28 millionen sind arbeitssklaven 22 millionen sind in erzwungener ehe und hier
122160	126040	sehen wir schon den ersten kleinen hinweis darauf dass es alles gar nicht so
126040	129960	einfach ist denn die meisten von uns und da mache ich auch bei mir keine
129960	133200	ausnahme bevor ich mich hier tiefer damit beschäftigt habe kommen
133200	136240	wahrscheinlich nicht so schnell auf den gedanken dass mit sklaverei auch
136240	143440	ehefrauen gemeint sein können die von ihren vätern an männer verkauft werden
143440	149240	natürlich ist diese trennung in arbeitssklaven und ehe sklaven auch eine
149240	154120	fadenscheinige denn ehefrauen verrichten ja arbeit das ist nur unbezahlte
154120	158400	kehrarbeit überall auf der welt und hier kommt noch erschwerend hinzu dass sie
158400	161280	sich nicht mal ihren partner aussuchen können und diesen auch niemals
161280	165440	verlassen können weil sie sein eigentum sind jetzt weichen die zahlen
165440	170160	allerdings ab die rosa luxemburg stiftung zum beispiel sagt dass es 40
170160	174560	millionen sklaven sind aber die rosa luxemburg stiftung definiert das thema
174560	179880	auch schon wieder anders denn sie sagen dass es eben auch dafür 89 millionen
179880	185360	also zeitgleich zu diesen 40 millionen temporäre sklaven gibt was ist damit
185360	191600	gemeint das sind menschen zum beispiel junge frauen die für eine gewisse zeit
191600	196840	an eine fabrik verkauft werden zum beispiel für fünf jahre da müssen sie
196840	201040	für fünf jahre in dieser fabrik arbeiten für keinen lohn oder einen
201040	205360	absurd niedrigen lohn und nach diesen fünf jahren haben sie ihre
205360	209680	vertragszeit sozusagen abgearbeitet und sind wieder in anführungszeichen frei
209680	214520	auch hier müssen wir vorsichtig sein ich bin mir sicher dass der ein oder andere
214520	218040	denkt wieso das klingt doch einfach nur nach einem erzwungenen arbeitsvertrag
