start	end	text
0	6680	Hallo Human, hallo Dave, hallo liebe Critical Community und welcome back.
6680	14560	Also ich bin zurück aus der Winterpause und konnte mich so ein bisschen erholen und kann
14560	17480	jetzt mit frischem Kopf an die Sache rangehen.
17480	24700	Es hat ein bisschen länger gedauert mit dem neuen Critical Infinity, hat einfach den Grund
24700	31660	neben den Weihnachtsferien neuer Job reinkommen ins neue Jahr und wieder in die Gänge kommen.
31660	39260	Aber nun geht es mit voller Kraft voraus und zwar in dieser Woche, um gleich mal ein paar
39260	44220	organisatorische Dinge zu klären, finden gleich zwei Livestreams statt.
44220	53180	Am Dienstag um 20 Uhr, also Dienstag der 24. Januar 2023, ab 20 Uhr gibt es wieder eine
53220	61340	neue Ausgabe von 20.45 bei Design or Disaster, der Livestream-Podcast zur Klimakatastrophe
61340	65660	mit dem lieben Jens Brodersen und mir.
65660	73740	Den zweiten Livestream-Podcast in der nächsten Woche findet am Donnerstag statt, um 20 Uhr.
73740	80300	Dort sprechen wir wieder über junge, naiv Interviewsequenzen und dabei sein wird der
80300	83900	liebe Dave, Human, Jens und ich.
83900	88500	In der Woche drauf kann ich jetzt schon mal ein kleines Highlight ankündigen.
88500	98340	Am 2.2. um 19 Uhr haben wir einen besonderen Gast im Livestream und zwar hat sich Veronika Grimm
98340	108180	angeboten, also die Wirtschaftsweisin, die uns angeboten hat, über so ein paar Themen aus der
108220	110820	Ökonomie mit uns zu diskutieren.
110820	114980	Wir sind sehr gespannt, wir freuen uns auf dieses Gespräch und wir freuen uns natürlich,
114980	118940	wenn ihr dann auch live dabei seid und das mitverfolgt.
118940	124940	Ansonsten gibt es ja, wie gesagt, auch alle Livestreams als Konserve bei uns auf
124940	127900	critical-infinity.de.
127900	130980	So, das war jetzt erst mal das organisatorische.
130980	138780	Jetzt möchte ich reingehen in das Thema, das Dave ganz wunderbar journalistisch aufbereitet hat
138780	144500	und recherchiert hat, nämlich das große Thema Sklaverei.
144500	151260	Und Dave hat uns ja erst mal sowas wie eine Phänomenbeschreibung gegeben, also wie war die
151260	159060	Situation damals, wie ist sie heute, wie kann man so ein bisschen das auseinander differenzieren,
159060	165220	also was ist Lohnsklaverei, was ist echte Sklaverei, was ist Zwangsarbeit, was findet heute
165220	168180	statt und in welchem Umfang.
168180	172260	Und das ist ja eigentlich die Beschreibung der inhaltlichen Situation.
172260	177780	Und critical-infinity.de hat es sich ja zur Aufgabe gemacht, unter die Oberfläche zu schauen,
177780	183740	also unter die Phänomene zu schauen und tiefer zu gehen und immer wieder auch die Frage nach der
183740	185380	Form zu stellen.
185420	191860	An der Stelle bin ich super dankbar, dass mich Hooman immer wieder darauf zurück eicht,
191860	198900	weil es natürlich meinen Blick auch nochmal ganz anders auf Themen lenkt und wirft und das
198900	205780	durchaus sehr viel reichhaltiger letztlich sein kann, als immer wieder zu schauen, ja, okay,
205780	208980	oberflächlich sieht das so und so aus und so und so.
208980	213140	Aber selten fragt man sich wirklich, was steckt dahinter?
213140	214340	Warum ist das?
214340	219700	Was sind die Vorannahmen, die Vorbedingungen, dass es so ein Phänomen gibt?
219700	230020	Deswegen ist ja die spannende Frage, was braucht es, damit ein Konzept wie Sklaverei oder Zwangsarbeit
230020	234740	oder auch Ausbeutung und so weiter funktioniert?
234740	240220	Welche Grundlagen, welche Episteme sind dazu notwendig?
240220	244220	Welche Narrative, welches Menschenbild?
