start	end	text
0	5960	Hey Humann, deinen letzten Skit fand ich sehr, sehr inspirierend und sehr
5960	9720	einleuchtend. Vor allen Dingen diese Unterscheidung zwischen materiellem und
9720	13760	symbolischem Tod. Ich glaube, das ist genau die Richtung, die ich eben
13760	18720	einschlagen wollte mit der Frage nach dem Begriff des Existenziellen. Ich würde
18720	22480	aber tatsächlich auch noch mal auf das Thema Succession ein bisschen eingehen,
22480	29960	weil mir ist ja aufgefallen, die gesamte Serie basiert ja auf der Frage nach, was
29960	35360	passiert nach dem symbolischen und den materiellen Tod. Der Plot sieht ja wie
35360	40680	folgt aus. Der Patriarch, 80 Jahre, hat einen Schlaganfall und ist damit auf der
40680	46680	Schwelle des drohenden materiellen Todes, des echten Todes und aber auch des
46680	51520	symbolischen Todes, nämlich das seiner Existenz als Firmenlenker, als
51520	57200	Medienmogul, das Big Other, wie du es ganz richtig beschrieben hast bei ihm. Und
57200	63360	beides ist die Frage, was kommt nach dem Tod? Also sowohl materiell wie symbolisch,
63360	67440	wobei in erster Linie eher symbolisch, weil es geht ja um die Frage der
67440	74440	Erbfolge. Wer erbt aus der Familie dieses Unternehmen? Wer übernimmt das Leben des
74440	79680	abtretenden Patriarchens? Was ich übrigens auch witzig in dem Zusammenhang
79680	85000	fand, ist, ich dachte ja Succession sei ein Kunstwort. Ich wusste nicht, dass die
85000	88360	Vokabel tatsächlich existiert im Englischen. Ich habe dann nochmal
88360	93000	nachgeschlagen, Succession heißt ja Thronfolge. Also tatsächlich die Frage,
93000	98840	wer erbt meinen Thron, war mir so nicht klar, sondern ich dachte, es handelt sich
98840	106400	um ein Kunstwort, ein Remix aus Success und Obsession. Umso genialer finde ich
106400	112520	das eigentlich, weil ja die Serie auch zeigt, was fetisch ist. Also diese
112640	118160	Obsession, nämlich dieser Fetisch am Erfolg. Es geht nämlich dort gar nicht
118160	122720	mehr um die Erhaltung des materiellen Wohlstandes. Es gibt in der zweiten
122720	128320	Staffel eine beispielhafte Szene dafür, ohne zu viel zu spoilern. Aber dort wird
128320	134920	gefeiert das, ich glaube, 50-jährige Firmenjubiläum des alten Mannes und seine
134920	141520	Tochter übergibt ihm ein Fotoalbum mit ganz schicken tollen Häusern. Und er
141520	146920	blättert sich das halt so durch und sagt, das sind aber tolle Anwesen, das
146920	152720	sind ja aber tolle Immobilien. Und sie sagt, ja, die gehören alle uns. Und er
152720	156720	konnte es sozusagen gar nicht glauben und hat dann irgendwann gesagt, ja, das
156720	161320	sind halt so viele Sachen, viel zu viele Sachen, keine Ahnung. Das heißt, er hat
161320	165320	auch gar keinen Bezug mehr zu diesem materiellen Wohlstand, sondern es geht
165320	170720	rein um die symbolische Ebene, um die des Erfolghabens. Und das zieht sich ja
170720	177020	wie ein roter Faden durch diese Serie hindurch, dass es gar nicht um den
177020	182120	Besitz geht, dass es auch nicht um andere Menschen geht, sondern eigentlich immer
182120	188320	nur den Fetisch des Erfolgsmomentes, der nächste große Schritt, um die
188320	193720	Ausübung der Macht. Aber dieses Materielle spielt im Grunde genommen überhaupt
193720	197720	gar keine Rolle mehr. Vielleicht ist es noch Mittel zum Zweck, aber es ist auf
197720	202320	jeden Fall nicht das Ziel, was er mit seinen Handlungen erreichen will.
202320	206420	Vielleicht erfährt man auch am Ende gar nicht, was überhaupt das Ziel ist und
206420	211420	das macht die Serie ja so interessant, dass man eben sieht, es gibt hier kein
211420	216820	rationales Ziel des Agierens, sondern es steckt noch was anderes hinter. Und da
216820	221720	würde mich natürlich interessieren, was du vermutest, was dieser Antrieb dieses
221720	226620	alten Mannes letztlich ist. Ist es am Ende die verzweifelte Suche nach
226620	232820	Unsterblichkeit, die er aber eigentlich ja nie erreichen kann, weil all sein
232820	239220	Erfolg und all sein Tun auf sein reines egoistisches Handeln zurückzuführen ist?
239220	245220	Niemand kann aus seiner Sicht ja ihm das was erreichen und deshalb kann es auch
245220	252220	nie eine befriedigende Lösung für die Succession, die Thronerbfolge geben.
252220	255420	Wie siehst du das?
