start	end	text
0	6440	Hey Humann, hey liebe Critical Community. Ich tue jetzt einfach mal so, als ob es
6440	12000	nahtlos weitergeht, auch wenn einige Zeit vergangen ist zum letzten Skit.
12000	19200	Willkommen zurück, sage ich mal. Und ich habe ein neues Thema mitgebracht und
19200	25260	dieses Thema soll auch so ein Stück weit zurück an die Wurzel von Critical
25260	37220	Infinity gehen. Ihr erinnert euch, Critical Infinity ist eigentlich ein Format, um das
37220	44700	scheinbar Selbstverständliche zu hinterfragen und auch die Ideologien hinter Alltagsphänomen,
44700	54100	politische Phänomen usw. herauszuarbeiten, das Unbewusste bewusst und sichtbar zu machen.
56260	65420	Und mir ist jetzt ein spannendes Thema begegnet, was sicherlich sehr viele Menschen kennen. Und das
65420	70380	macht es auch so interessant zu besprechen. Und es ist eine scheinbare Selbstverständlichkeit,
70380	77220	die es aus meiner Sicht dringend zu hinterfragen gilt. Und zwar kommt es aus einem Kontext,
77220	84500	was wirklich fast jeder Mensch kennt. Es ist der Kontext Schule. Und zwar habe ich heute von
84540	91580	Philipp Wamfler, er ist Lehrer, Dozent für Fachdidaktik Deutsch und Referent aus Zürich.
91580	99980	Er hat auf Twitter geschrieben, schönes Beispiel zur Unsichtbarkeit von Strukturen. Call mit
99980	104860	Lehrpersonen. Ich werde gefragt, was mich optimistisch stimme. Ich erwähne das Rauchbeispiel.
104860	112140	Im Gegensatz zu meiner Schulzeit sind Schulen heute rauchfrei. Im Chat schreibt jemand und
112140	118300	Schlüssel werfen Lehrkräfte auch keine mehr. Ich denke sofort, da war jemand mit mir in der
118300	124140	Schule, das bezieht sich auf meinen Klassenlehrer aus dem Gymnasium. Aber nein, das passierte damals
124140	132860	an allen Schulen. Damals. Gott sei Dank sind wir heute fortschrittlicher. Oder Herr Anwalt?
132860	138780	Darf der Lehrer die Klasse mit einer Fernbedienung bedrohen, also sagen, dass er uns abwirft. Und die
138780	144380	Antwort lautet eindeutig nein. Wenn es keine Scherzerklärung vom Lehrer war, dass er das mal
144380	150260	so witzeshalber angedeutet hat, dann darf er das natürlich nicht. Er darf euch nicht bedrohen und
150260	156220	andeuten, dass er euch bewirft. Denn ihr als Schüler, als Kinder, als Jugendliche habt ein
156220	162100	Recht auf gewaltfreien Schulunterricht. Und das bedeutet, dass man sich nicht gegenseitig mit
162100	167860	irgendwelchen Gegenständen wie etwa einem Schlüsselbund oder vielleicht sogar einem Affen
167860	175420	bewirft. Ja, natürlich. Es ist selbstverständlich, dass heute Kinder in einem gewaltfreien Raum
175420	183220	unterrichtet werden. Dass man eben nicht mit Fernbedienungen Kreide, Schlüssel oder Affen
184220	193780	nach ihnen werfen darf. Aber das ist ja nur die scheinbare Selbstverständlichkeit. Und nun möchten
193780	197700	wir natürlich so ein bisschen an der Oberfläche kratzen und wirklich mal die Frage stellen.
197700	206500	Erstens, was sind die darunter liegenden Strukturen oder Ideologien? Das ist das, was auch Philippe
206500	213740	diskutiert hat auf Twitter, wo auch Lisa Rosa als Schulhistorikerin, ehemalige Lehrerin, auch tief
213740	218340	mit eingestiegen ist. Grüße gehen raus an Lisa. Wir wissen, dass du gerne hier immer wieder zuhörst.
218340	224500	Da ist sozusagen die erste Frage nach den darunter liegenden Strukturen. Warum tun Lehrkräfte das?
224500	233940	Also warum kommt es zu diesen Art von Ausbruch von, sag ich mal, einer milderen Form von Gewalt in
233940	241180	der Schule? Haben zumindest noch meine Eltern den Rohrstock und so weiter über sich ergehen lassen
241180	248780	müssen? Also welche Strukturen führen dazu, dass das passiert? Aber die zweite Frage finde ich fast
248780	254900	noch einen Ticken interessanter. Denn selbst wenn nicht mehr mit Schlüsseln, Kreide oder Fernbedienung
254900	261700	nach Schülerinnen und Schüler geworfen wird, ist der Schulraum an und für sich, ist Schule an und
261700	270220	für sich ein Raum, wo Gewalt nicht stattfindet? Oder ist Schule nicht sogar ein Raum voller Gewalt
270220	279220	und Macht-Asymmetrien? Das würde ich gerne mit euch ein bisschen vertiefen. Und deshalb bin ich
279220	287220	sehr gespannt, wer mir hier denn auf diesen Skit antworten wird und wann und wo und so.
291700	309940	Bis dahin könnt ihr euch aber die Zeit noch ein bisschen vertreiben. Einer der Gründe, warum wir
309940	315380	solange keine Critical Infinity Skits, also Sprachnachrichten mehr gemacht haben, ist,
315380	321900	dass wir ganz viele andere Podcast-Projekte angestoßen haben und immer noch betreiben.
321900	331140	Ihr könnt unter designordisaster.de, unser Podcast-Format 2045 bei Design or Disaster,
331140	338260	der Livestream-Podcast zur Klimakatastrophe mit Jens Brodersen und mir, euch regelmäßig alle
338260	346820	14 Tage live angucken und auch als Konserve nachschauen oder sogar als Podcast abonnieren.
346820	355380	Dann gibt es den Critical Livestream. Den findet ihr auf unserem YouTube-Channel,
355380	365740	Critical Media. Ihr könnt ihn aber ab sofort auch abonnieren unter criticalmedia.de. Auch
365780	371740	als Podcast. Dort findet ihr auch die Videos und lasst ein Abo auf unserem Twitch-Channel
371740	378140	oder YouTube-Channel da, damit ihr sozusagen diese Livestreams nicht verpasst. Da sind einige
378140	386220	in letzter Zeit auch entstanden. Human Nagafi betreibt ja schon seit längerem,
386220	392700	also auch vor Critical Infinity, den ganz hervorragenden und empfehlenswerten Podcast
392700	399780	Corporate Therapy, gemeinsam mit Mary Jane Bolton und auch immer mal wieder mit mir,
399780	406460	weil ich ja nun auch offiziell mit Mary und Human zusammenarbeite. Da taucht man so ein
406460	412900	bisschen ein in die Business-Welt und schaut da auch ein bisschen so unter der Oberfläche. Wer
412900	420260	nicht genug von Business und Bullshit bekommt, der sollte doch mal in mein neues Podcast-Projekt mit
420740	427180	mir und Marina Schakarian reinhören, nämlich neulich auf LinkedIn. Dort besprechen wir alle
427180	437580	14 Tage zwei LinkedIn-Posts, die uns getriggert, aufgeregt, inspiriert, eher seltener haben. Und
437580	444180	die zerlegen wir dann auch mehr oder minder genüsslich. Auch diesen Podcast findet ihr
444180	449700	unter neulich auf Punkt Substack Punkt komm. Das ist auch gleichzeitig ein Newsletter,
449700	455700	den ihr abonnieren könnt. Und ihr findet neulich auf LinkedIn auch auf diversen Podcast-Plattformen.
455700	463420	So, also es ist viel passiert. Wir sind nicht weg. Wir sind nur immer mal wieder woanders. Und ja,
463420	468780	hier geht es hoffentlich dann weiter mit den Sprachnachrichten. Und ich hoffe,
468780	474620	dass noch viele Leute hier auch mit wieder dazukommen, mitmischen, mitdiskutieren. Und
474620	480780	ihr könnt das natürlich auch tun auf unserer Seite critical-infinity.de. Ansonsten, wenn ihr
480780	486580	uns supporten wollt, wir haben einen Steady-Account. Ihr könnt es gerne weiter sagen,
486580	493980	weiter verbreiten. Und ja, wir freuen uns über jede Art der Wertschätzung.
