start	end	text
0	6180	Hallo Patrick, hier ist Lisa. Ja, warum werfen Lehrer mit Zeug nach Schülern?
6180	12720	Ich glaube, das ist weder ein großartiger Gewaltakt, noch findet das heute statt
12720	15800	in dem Ausmaß wie vielleicht vor 30 Jahren.
15800	21760	Es hat mit der Situation der Lehrer und der Schüler zu tun, die eigentlich nicht
21760	27760	gut zusammenpasst. Die Lehrer müssen den Schülern Stoff nahe bringen, wie auch
27760	34720	immer. Ob sie ihn erzählen oder ob sie ihn vortanzen oder ob sie die neueren
34720	40520	Methoden selbstständig an irgendwelchen Texten oder sonst was erarbeiten, spielt
40520	46040	keine Rolle. Das ist die Aufgabe der Lehrer. Und sie sehen sich 30 Schülern
46040	50900	gegenüber, also manchmal sind es auch mehr, manchmal ein bisschen weniger in
50900	60220	der Alter- oder Schulensituation. Und die, deren Aufruf und auf das, was sie
60220	65380	mit ihnen vorhaben an diesem Vormittag oder in dieser Stunde. Und die Schüler
65380	69180	sind nicht freiwillig da. Das muss man sich immer klar machen. Sie sind nicht
69180	74460	gekommen, um etwas Bestimmtes zu lernen, das ihnen auf den Nägeln brennt, sondern
74460	78980	sie sind gekommen, weil dort ihr Sozialleben stattfindet. Und man kann doch
78980	83380	froh sein, wenn die Schüler gerne dorthin gehen, weil dort ihr Sozialleben
83380	89060	stattfindet und nicht Angst davor haben, weil sie dort gemobbt werden oder was.
89060	93220	Es gibt ja auch immer etliche Schüler, mehr als man glaubt, die leiden unter
93220	96700	dieser Gruppensituation. Und die Gruppensituation ist das Problem. Die
96700	103100	Gruppensituation ist eigentlich in der Größe der Gruppe nicht normal oder nicht
103140	110180	günstig, sage ich mal so fürs Lernen und auch nicht günstig für das Leben der
110180	115300	Kinder oder der Schüler, wenn sie älter sind, der Jugendlichen. Die ist einfach nur
115300	119820	dadurch entstanden, dass man mit möglichst wenig Lehrern möglichst viele
119820	125820	Schüler bescheiden möchte. Das ist eine Ressourcenfrage. Während ich die Menschen,
125820	130220	die viel Geld hatten früher, die haben sich in Auslehrer genommen. Das war noch
130300	135420	bis in die erste Hälfte des 20. Jahrhunderts normal und haben dann ihre
135420	139140	drei Kinder, die sie hatten, oder vier Kinder von dem Auslehrer unterrichten
139140	143340	lassen. Das war eine viel entspannter Situation. Da war individuelles Lernen
143340	151180	angesagt. Da war ja ganz übergreifendes Lernen angesagt. Und da war nichts mit
151180	156340	Greide werfen oder sonst was, um die Aufmerksamkeit auf den Lehrer zu richten.
156340	162260	Da war eine viel bessere Lernsituation. Aber dazu brauchte es das Geld des
162260	167460	Bürgertums, sich einen Hauslehrer bezahlen zu können. Das ist also eine
167460	172220	Frage der Ressourcen. Und das muss man sich immer wieder klarmachen, dass das
172220	179300	nicht die natürliche Situation ist, obwohl das wir uns und zwar seit
179300	184500	Generationen nicht anders kennen. Aber das ist das, was das Problem verursacht.
184500	190380	Und die Aufmerksamkeit muss ständig wieder neu nach vorne gerichtet werden,
190900	197940	selbst wenn es nur ist, um zu sagen, jetzt schaut mal alle her, jetzt müsst
197940	202780	ihr aufhören zu diskutieren untereinander oder dieses Ding auszumalen.
202820	208180	Jetzt tragen wir die Ergebnisse zusammen. Das alleine ist schon manchmal
208180	214260	ein Riesenakt. Und das führt natürlich dazu, dass irgendwann die Lehrer an
214260	217780	endigerer Kräfte sind, weil sie ja zusätzlich zu dem, dass sie den
217780	221860	Unterrichtsstoff im Kopf haben müssen und was jetzt als nächstes passieren
221860	226980	muss, also das Methodische und das Soziale und dann noch dafür sorgen
226980	232980	müssen, dass die Schüler mitspielen in diesem vorher ausgedachten Zenober.
233380	239220	Das ist, weiß man ja inzwischen, genau das Gleiche, wie Sie ein großes
239220	246420	Großrand Flugzeug steuern, wie so erschöpfend diese Tätigkeit und
246420	252820	herausfordernd diese Tätigkeit ist. Also klar ist, es ist nicht böswinnige
252820	258860	Gewalttätigkeit, sondern die Hilflosigkeit angesichts eines Konflikts,
259020	265020	der im Grunde in der Struktur angelegt ist, dadurch, dass die Lehrer andere
265500	271980	Aufgaben und Interessen haben als die Schüler und dass die Schüler eigentlich
271980	277380	in einer Situation mit den Lehrern zusammen sind, die zu Konflikten führen
277380	282820	muss, die die Lehrer auch manchmal überfordern. Die Lösung würde
282820	287860	eigentlich im Grunde genommen natürlich auf der strukturellen Ebene
287860	296100	spielen. Das heißt, dass man die Klassen so rigoros verkleinert, dass
296100	300140	Schülergruppen entstehen. Meiner Erfahrung nach wunderbar zwischen neun
300140	306180	und zwölf Mitgliedern oder maximal 15 in einer Gruppe kann man wunderbar
306780	310020	selbst gesteuerten Projektunterricht machen, in dem die Schüler ihre
310020	315980	eigenen Fragen bearbeiten, indem tatsächlich die Gedanken der Schüler zu
316020	320820	den Gegenständen, die Hauptrolle spielen, an denen gearbeitet wird.
321260	327020	Das ist sozusagen die intrinsische Ausrichtung der Aufmerksamkeit auf den
327020	331900	Lerngegenstand. Es geht ja eigentlich nicht darum, dass die Schüler ihre
331900	336300	Aufmerksamkeit auf den Lehrer richten, weil der Lehrer so interessant ist,
336300	340700	sondern der Lehrer ist ja nur der Dispatcher, der soll ja eigentlich nur
340700	346580	der Vermittler für die Lerngegenstände sein. Aber das Einzige, was dann
346580	351100	strukturell wirklich stattfindet, ist die Aufmerksamkeit, notfalls auch mit
351100	355620	Zwangswassnahmen, auf den Lehrer zu richten, damit die Schüler dem Lehrer
355620	360340	zuhören. In Wirklichkeit geht es aber um was ganz anderes und die Gedanken
