start	end	text
0	5480	Hey Patrick, hey Human, hey liebe Critical Community, hier ist Nick und dieser
5480	9480	Skit sollte eigentlich noch das Thema Sklaverei behandeln, aber da nun die
9480	13320	Zeit etwas fortgeschritten ist und bereits neue Themen aufgeworfen worden
13320	18360	sind, versuche ich mal einen kleinen Bogen zwischen dem Sklaverei-Thema und
18360	22400	dem Thema Schule zu schlagen. In dem Skit von Patrick zu Sklaverei hat er ja
22400	26600	bereits die episimischen Grundlagen für das Modell Sklaverei angesprochen und
26600	30120	ist dabei unter anderem auf Locke und die damit verbundene Rechtfertigung von
30120	34040	Eigentum eingegangen, welche eben Sklaverei deklimiert bzw. erst mal nicht
34040	38560	ausschließt. Ob nun Kapitalismus und Sklaverei historisch notwendigerweise
38560	41360	zusammenhängt, ist erst mal eine Diskussion, die ich gerne Marxisten und
41360	44960	Ökonomen überlassen würde. Interessanter ist schließlich, inwiefern
44960	48880	Partex diese stimmt, dass der Nährboden für Sklaverei, das heißt eine rechtlich
48880	52600	garantierte totale Verfügbarkeit an einer Person, in den Strukturen des
52600	56360	heutigen Kapitalismus einprogrammiert ist. Ich würde nämlich das genaue
56360	60320	Gegenteil annehmen. Die heutigen Nationalstaaten sind auf eine bürgerlich,
60320	65320	liberale, konstituierte Gesellschaft angewiesen, in der eben Sklaverei verboten
65320	68520	ist und die formale Gleichheit der Rechtssubjekte durch die Staatsgewalt
68520	72360	garantiert ist und damit der Kapitalismus in seiner jetzigen Form stabil bleibt.
72360	76040	Das Subjekt in der bürgerlichen Gesellschaft ist schließlich frei von
76040	79960	Produktionsmitteln, aber es ist eben zugleich auch ein freies Rechtssubjekt,
79960	84720	eben der bekannte doppelt freie Lohnarbeiter. Dies sorgt dafür, dass sich die
84720	88600	Subjekte formal durch den Staat garantiert als freie Konkurrenzsubjekte
88600	91280	in der kapitalistischen Ökonomie gegenübertreten können.
91280	95200	Dieser Tatbestand ist genau das Gegenteil zu Sklaverei.
95200	99440	Da kann man eben nicht Menschen als Eigentum klassifizieren, denn die
99440	103840	Konstruktion des doppelt freien Lohnarbeiters ist eben konstitutiv für
103840	108360	das Funktionieren des heutigen Kapitalismus, denn nur durch ihn kann
108360	112040	erst die Mystifizierung der wahren Produktion und der Eigentumsverhältnisse,
112040	116040	also der wirklichen Machtstrukturen bis an die Spitze getrieben werden. Aus dieser
116040	120080	Mystifizierung ergibt sich das notwendig falsche Bewusstsein des bürgerlichen
120080	123600	Subjekts, welches in einer Affirmation der bestehenden Herrschaftsverhältnisse
123600	128540	sowie seine Status als Lohnarbeiter resultiert. Kurz gesagt, hier wirkt
128540	133240	Ideologie. Die Lohnarbeit eben im Gegensatz zu Sklaverei ist die zentrale
133240	138280	Arbeitsform im Kapitalismus, weil sie die höchste Form der Verschleierung der
138280	142160	Ausbildungsverhältnisse darstellt und somit das System am ehesten stabilisiert.
142160	146480	An der Stelle sei gesagt, dass der hier verwendete Ideologiebegriff stark von
146480	150840	dem von Zizek unterscheiden ist. Das heißt, Ideologie ist hier nicht eine
150840	154640	notwendig unterbewusste Fantasie, die zum Erkennen der Welt quasi dazugehört,
154640	160080	sondern Ideologie hier im magischen Sinne ist eine wahre Reproduktion dessen, was
160080	164920	erscheint und ist damit eine falsche Spiegelung dessen, was ist. Dass ich mich
164920	169420	als einen freien Menschen begreife, der sein Leben freigestalten kann, ist eine
169420	174520	wahre Reproduktion der Erscheinung der ökonomischen Verhältnisse und damit
174520	178960	ebenfalls eine falsche Spiegelung, da in Wirklichkeit die Verhältnisse eben
178960	183440	alles andere als frei sind. Das heißt, zusammengefasst ist hier das
183440	187840	ideologische Bewusstsein die Einheit der Widersprüche. Es ist wahr und falsch
187840	192240	zugleich. Mit dieser Ideologiedefinition möchte ich nun langsam zum eigentlichen
192240	196720	Thema überleiten und von dem abstrakten etwas mehr zu dem konkreten kommen und
196720	200840	zwar möchte ich gucken, wo konkret bürgerliche Ideologie produziert und
200840	204360	praktisch angewendet wird. Da passt es doch wunderbar, dass bereits das Thema
204360	208020	Schule angesprochen wurde. Schließlich waren wir alle in der
208020	212400	Schule. Es ist eine Stelle im Leben, die wenn man in unserer heutigen Gesellschaft
212400	219320	lebt jeder durchläuft und wo jeder die strukturelle Gewalt erfährt, die der
219320	225640	Staat setzt durch die Schulpflicht. Aber um die Formen von struktureller
225640	230720	Gewalt oder Gewalt im Allgemeinen besser verstehen zu können, müssen wir erst mal
230720	234560	gucken, welche Funktion eigentlich die Institution Schule in unserer
234560	238240	Gesellschaft erfüllt. Luhmann sah die Schule als Teil des
238240	243000	Erziehungssystems und ihre zentrale Funktion bestand darin, den Schülerinnen
243000	247360	eine Eingliederung in die Gesellschaft mit möglichst guten Chancen für eine
247360	250840	Karriere zu ermöglichen. Nun, das ist erst mal eine sehr triviale
250840	255720	Funktionsdefinition. Das Besondere war dabei, dass die Schule versuchte
255720	259920	Herkunftsdifferenzen möglichst zu eliminieren, sodass als Ergebnis von
259920	264000	Erziehung nach den Leistungen der Schülerinnen neu sedktiert werden konnte
264000	269600	und eben Herkunftsdifferenzen keine Rolle mehr spielen. Eben eine notwendige
269600	273840	Anpassung an die moderne, funktional differenzierte Gesellschaft, da so
273840	277400	nämlich jeder Mensch potenziell Zugang zu gegebenen Funktionssystemen haben
277400	282960	sollte. Somit erkannt Luhmann, dass das Postulat der Chancengleichheit eben eine
282960	287640	notwendige ideologische Setzung ist, um dem Prozess der Ausdifferenzierung
287640	291320	recht zu werden. Die Kritik zieht nun darauf ab, dass dieses
291320	295680	Ideal der Chancengleichheit genau der Moment der bürgerlichen Ideologie ist.
295680	301080	Die Schule ist eine der bedeutendsten Instanzen, in denen die Schülerinnen sich
301080	305640	als formal gleichgestellte Subjekte wiederfinden, wo sie zum einen praktisch
305640	309000	lernen, wie sie am besten den Anforderungen der Wirtschaft gerecht werden,
309000	313720	zum anderen erfahren sie eine soziale Realität, die ihren Erfolg und ihr
313720	317640	Scheitern lediglich ihren eigenen individuellen Leistungen zuschreibt,
317640	321160	womit sie eben dann lernen müssen, zurechtzukommen. Die Schule bereitet
321160	325000	also junge Menschen auf ihren Status als doppelt freier Lohnarbeiter in der
325000	329280	Arbeitswelt gewissermaßen praktisch als auch ideologisch vor. Sie bereitet den
329280	333880	Weg, die bürgerliche Konkurrenzmoral zu internalisieren, sodass am Ende brave
333880	338080	Verfügungsmasse für das Kapital als auch den Staat entsteht, die die
338080	341520	Konkurrenzregeln der Wirtschaftsordnung nicht nur akzeptieren, sondern auch für
341520	345280	gut und richtig ja notwendig befinden. Die Schülerinnen bilden hier
345280	349040	mustergültig jenes falsche Bewusstsein aus, das ich bereits beschrieben habe.
349040	353720	Hier ist also die, wie ich finde, grundlegend ideologische Stabilisierungsfunktion
353720	358400	der Institution Schule angesiedelt. Diese Kritik ist weder besonders neu noch
358400	362520	unumstritten, aber vielleicht ergeben sich ja hier einige Anschlusspunkte, wie
362520	366560	man weiter über das Thema nachdenken kann, etwa welche Formen struktureller
366560	371280	Gewalt auf Basis dieser Stabilisierungsfunktion genau auftreten
371280	375480	können. Schließlich lassen sich ja eben in der echten Arbeitswelt Kämpfe
375480	379880	beobachten, etwa wenn dort die Ideologie brüchig wird und gibt es solche
379880	384200	Aspekte vielleicht auch in der Schule und wenn ja besteht dort auch eine Art
384200	387680	revolutionäres Potential. Ich bin auf jeden Fall gespannt auf mögliche
387680	390160	Antworten.
