start	end	text
0	6980	hallo nick hallo lisa hallo critical community ich würde gerne anschluss
6980	13440	finden an eure beiden skiz zum thema schule ich würde gerne jemand dritten
13440	19520	hier reinbringen als denkende person und zwar ist das die betrachtung von
19520	27400	michel foucault foucault französischer philosoph der sich würde man sagen die
27400	33560	meiste zeit seines lebens mit der frage nach macht beschäftigt hat einer seiner
33560	39960	berühmteren werke ist über wachen und strafen und dort findet man eben auch
39960	46640	passagen über schule als institution jetzt ist es wichtig zu erwähnen dass
46640	53520	wenn ich im namen von foucault so ein bisschen schule beleuchte dass es mir
53560	58440	jetzt nicht darum geht irgendwie grundsätzlich schule als institution
58440	63960	komplett in die tonne treten zu wollen ganz im gegenteil ich möchte eher
63960	70520	sensibilisieren genauer hinzuschauen wie schule vielleicht auch unterschiedlich
70520	78560	praktiziert wird und wurde was der fortschritt in schule sein könnte was
78600	84560	die düsteren seiten an schule sind an denen man arbeiten müsste wenn man es
84560	92040	denn mit individuen freiheit demokratie und so weiter wirklich ernst meint der
92040	96880	blick von foucault auf schule ist ein ziemlich düsterer blick er hat schon
96880	103960	fast etwas sehr dystopisches man fühlt sich erinnert an diesen alten song hier
103960	116200	fangen wir mal mit dem ganzen thema disziplin und überwachung an foucault
116200	123000	hat eben argumentiert dass schulen auch eine institution der disziplinierung und
123000	128160	überwachung sind das heißt für ihn funktionieren schulen relativ ähnlich
128160	134720	wie gefängnisse krankenhäuser oder militäreinrichtungen er sagt nämlich
134720	139080	dass diese institution im grunde genommen darauf ausgerichtet sind
139080	146880	individuen zu formen zu kontrollieren und zu bewachen um eben auch neben
146880	152000	anderen funktionen natürlich weil im krankenhaus bin ich ja nicht nur um
152000	157640	geformt überwacht und kontrolliert zu werden sondern hier findet das statt es
157640	163240	ist aber nicht der erste zweck wenn man so will und dass dort eben durch diese
163240	168440	praktiken durch kontroll praktiken überwachungspraktiken auch bestimmte
168440	175320	normen und werte durchgesetzt werden wie sieht das jetzt konkret aus foucault ist
175320	183320	ja oft auch mit dem körperbegriff insfeld gezogen also körper und raum das
183320	189720	heißt er hat auch immer geguckt wie sind körper im raum arrangiert und daran
189720	196240	könnte man schon strukturell ablesen wie die gegebenen machtverhältnisse vielleicht
196240	202840	sein können im kleinsten aller systeme im familiensystem kennt man das ja vielleicht
202840	210440	noch diesen guten alten spruch der herr des hauses sitzt am kopf der tafel damit arrangiert
210440	217440	man den körper im raum und jeder weiß anhand des arrangements wer hier das sagen hat wie ist
