start	end	text
0	4120	Das Beispiel mit dem Trieb des Vaters ist eine ganz spannende Beobachtung.
4120	7720	Denn jetzt könnten wir die Frage stellen, was ist denn überhaupt das Ziel des Lebens?
7720	10480	Ist das Leben denn überhaupt ein Spiel, das wir gewinnen können?
10480	15480	Oder ist es eher eine Paradoxie, wo wir eigentlich immer das Gefühl haben, nie genug zu sein?
15480	18960	Dass wir das Gefühl haben, immer dem nächsten Ding hinterher zu jagen.
18960	23720	Das Gefühl, dass wenn wir ein Ziel erreicht haben, wir ein nächstes Ziel brauchen, um
23720	25560	uns überhaupt lebendig zu fühlen.
25560	29280	Um diese Frage etwas mehr strukturiert oder philosophisch zu beantworten, können wir
29280	33280	wieder direkt im Lacan und Zizek-Universum bleiben und ein neues Konzept einführen.
33280	36840	Und zwar das Konzept des Death Drive oder des Todes-Triebs.
36840	40560	Dieses Konzept wurde ursprünglich von Sigmund Freud entwickelt, wurde aber dann von Lacan
40560	42040	und Zizek weiterentwickelt.
42040	45640	Um zu verstehen, was der Death Drive ist, ist es vielleicht ganz gut, erstmal zu verstehen,
45640	46920	was es nicht ist.
46920	49960	Der Death Drive ist nicht so etwas wie der Trieb, den Tod zu wollen.
49960	52480	Es ist keine selbstmörderische Tendenz.
52480	57320	Und der Death Drive ist auch keine konservative Perspektive auf die Welt, dass wir von Natur
57360	63280	aus zerstörerisch sind und dass wir Ordnung brauchen, um den Todes-Trieb aus uns herauszutreiben.
63280	66680	Für Lacan ist der Death Drive verortet in der symbolischen Ordnung.
66680	70840	Und die symbolische Ordnung ist im Grunde die Ebene, wo wir Zeichen und Symbole benutzen,
70840	75720	wie beispielsweise Sprache, um Sachen in Konzepte zu erklären, unsere Realität zu konzeptionalisieren
75720	79440	und dann natürlich auch gleichzeitig uns selbst innerhalb der symbolischen Ordnung
79440	81040	als Subjekt zu konstituieren.
81040	85600	Und für Lacan ist unsere Subjektkonstitution in der symbolischen Ordnung ein Prozess der
85600	86600	Negation.
86680	91640	Und zwar im Grunde, indem wir Differenz schaffen zu allem anderen, können wir uns ja erst selbst
91640	92640	konstituieren.
92640	96520	Das heißt, wir wissen, wer wir sind, indem wir wissen, was wir nicht sind.
96520	100040	Damit wir als Subjekt existieren können, müssen wir im Grunde negieren.
100040	104440	Oder anders ausgedrückt, damit wir sein können, müssen wir selbstbestimmend über unsere
104440	106440	eigene werden werden.
106440	109960	Es ist wichtig auf dem Schirm zu haben, dass der Death Drive in der symbolischen Ordnung
109960	112800	verortet ist und nicht in der imaginären Ordnung.
112800	116320	In der imaginären Ordnung sind wir ja in unserer Vorstellung vollständig.
116320	118400	Wir sind im Flow mit dem Leben, mit allem.
118400	122640	Aber wir existieren in der symbolischen Ordnung, weil wir nicht alleine sind, sondern weil
122640	124840	wir in Beziehung zu anderen Menschen sind.
124840	129640	Durch die Negation, also sozusagen die Abgrenzung in der symbolischen Ordnung, bekommen wir
129640	132400	ja erst einen Grund, warum wir leben.
132400	135640	Aber gleichzeitig hinterfragt es auch, warum wir leben.
135640	138240	Und das ist im Grunde das Paradox am Leben zu sein.
138240	143280	Denn mit jedem Tag wächst unser Gefühl, dass man einfach von einer Sache zu anderen geht.
143280	147480	Sei es den Tag zu strukturieren in Frühstück, Mittagessen und Abendessen oder zur Arbeit
147480	151280	zu gehen, das Kind abzuholen und abends mal eine Fernsehserie zu schauen und das Ganze
151280	153160	immer wieder von vorne zu machen.
153160	157240	Denn das ist auch das nächste Element des Death Drive und zwar die Wiederholung.
157240	162000	Die Art und Weise, wie wir unser Leben sehen und ihr Bedeutung geben, ist die Wiederholung
162000	163000	von Handlung.
163000	166040	Das Leben in der symbolischen Ordnung ist im Grunde ein Prozess der Wiederholung des
166040	167040	eigenen Selbst.
167040	171120	Und während man sich immer wiederholt, beginnt einem irgendwann ein bestimmtes Gefühl zu
171720	176480	Nämlich, dass die Erfahrung des Lebens und der zeitlichen Existenz im Strom des eigenen
176480	181800	Werdens weniger mit einer unmittelbaren Einheit oder Vollständigkeit des eigenen Seins zu
181800	185920	tun hat, als vielmehr dem grundlegenden Prozess des Wollens der Sache.
185920	187120	Und dann der nächsten Sache.
187120	189840	Einige kennen das vielleicht als das Konzept des Doom Scrawlings.
189840	193720	Nicht mehr fähig zu sein, in Social Media aufzuhören, diesen Infinite Scroll zu machen.
193720	198440	Aber überleg mal, wie oft im Leben fühlen wir uns am lebendigsten in dem Moment, wo
198440	200240	wir das Leben an sich negieren?
200280	204400	Also wenn zum Beispiel Sportler einen großen Kraftakt vollüben oder wenn man einen Berg
204400	208400	hochklettert oder wenn man sich die Nacht hinsetzt und einen Podcast aufnimmt zum Thema
208400	209400	Death Drive.
209400	212960	Der Prozess, den Podcast zu entwickeln, fühlt sich für mich viel lebendiger an als der
212960	214680	Moment, wo der Podcast fertig ist.
214680	217840	Und schon muss ich mir Gedanken über den nächsten Podcast machen.
217840	223040	Und genauso fühlen wir uns innerlich tot, also symbolisch tot, wenn wir in Wiederholungen
223040	225920	feststecken, die nicht von uns selbst gemacht sind.
225920	229960	Also Wiederholungen, die zum Beispiel durch einen Job kommen oder weil wir in irgendeiner
229960	231400	Gemeinschaft feststecken.
231400	236440	Die gleiche Wiederholung fühlt sich dann durch eigene Entscheidung, durch die eigene Anstrengung,
236440	241120	durch die eigene Machenskraft, durch die eigene Leistung als eine Befreiung von der Langeweile
241120	242600	des einfachen Seins an.
242600	247320	Koppeln wir diese Erkenntnis mit der imaginären Ordnung unseres Ichs, also mit dem Ideal-Humann
247320	251440	meiner Vorstellung, das wiederum vermittelt wird durch die symbolische Ordnung, können
251440	255520	wir in ein Problem reinlaufen und zwar, dass wir anfangen in einen Lifestyle zu investieren,
255520	259120	dass uns die Idee seguriert, dass wir uns aus diesem Paradox, dass unser Leben eine
259120	261800	Folge an Wiederholung ist, aussteigen können.
261800	266440	Und dass, bevor wir sterben, wir vielleicht den Kern an Bedeutung und damit etwas von
266440	270960	der Essenz der Zufriedenheit erreichen können, bevor unser Leben vorbei ist.
270960	275240	Dass wir sozusagen die Wiederholung von Atmen und Denken und so weiter befüllen können
275240	280640	mit einem unendlichen Strom an das, was die symbolische Ordnung als gut ansieht, wie beispielsweise
280640	284440	50 Häuser besitzen oder sich teure Lego-Sets kaufen und so weiter.
284440	288640	Denn das ist die wahre Unsterblichkeit, die wir in dieser Handlung suchen.
288640	291880	Nicht, dass wir uns tatsächlich unsterblich machen, sondern, dass wenn wir das alles
291880	297160	wegnehmen, ist alles, was übrig bleibt ein Sack voller Fleisch, das die ganze Zeit wiederholt.
297160	301480	Wir atmen, wir blinken, wir schlucken, wir konsumieren Nahrung, wir negieren Teile dieser
301480	304640	Nahrung, wir pflanzen uns fort, was an sich ja wieder eine Wiederholung ist.
304640	309600	Und hiermit berühren wir die dritte Ebene von Lacan und zwar die Ordnung des The Reals.
309600	313240	Denn das, was wir am Ende begehren, ist das Begehren selbst.
313240	315280	Im Grunde ist das ziemlich systemtheoretisch.
315280	319520	Das Begehren ist sowas wie die autopoetische Operation des Subjekts im psychischen System
319520	320840	innerhalb des sozialen Systems.
320840	325200	Und wenn wir über unser Begehren nicht mal mehr ein Ideal anstreben, sondern kontinuierlich
325200	329480	den Exzess, also den Überschuss aus der Handlung selbst anstreben, dann spricht Lacan
329480	332000	von einem sogenannten Surplus-Enjoyment.
332000	336000	Also wir haben nur noch Vergnügen aus der Handlung, nicht mehr aus dem Ergebnis.
336000	339360	Das hört sich vielleicht alles sehr kritisch oder dystopisch an, aber ich finde diese Erkenntnis
339360	340720	ziemlich emanzipatorisch.
340760	345200	Sartre hat mal sowas gesagt wie, Freiheit ist das, was wir mit dem tun, was uns angetan
345200	346200	wird.
346200	347800	Und aus meiner Sicht steht der Vater genau da.
347800	351680	Sein Leben war ein kontinuierlicher Strom an Wiederholung, aber da er alles Materielle
351680	354960	erreicht hat, besteht sein Leben nur noch aus dem Surplus-Enjoyment.
354960	360080	Also nur noch das Vergnügen an der Wiederholung und das ist sein einziges symbolisches Leben
360080	361080	gleichzeitig.
361080	363920	Wenn man ihm das wegnimmt, bleibt nur noch der Horror des The Reals.
363920	366240	Ich glaube nicht, dass er sich fragt, was nach dem Tod kommt.
366240	370680	Das Streben nach der Wiederholung stellt nämlich sicher, dass er sich nicht mit seiner Sterblichkeit
370720	372000	auseinandersetzen muss.
372000	373800	Vielleicht will er auch einfach am Schreibtisch sterben.
373800	378320	Er ist jemand, der alles Materielle hat und trotzdem hat er gar nichts.
378320	380400	Das ist jetzt ein sehr pathetisches Ende geworden.
