start	end	text
0	6840	ich höre schon wir sind wieder ziemlich auf dem abstrakten grund der philosophie
6840	13200	angelangt und ich versuche das mal mit meiner eigenen poesie zu übersetzen was
13200	17720	ich meine verstanden zu haben dieser death drive ist ja eine
17720	24120	interpretation von vielen im grunde genommen ist es eine beschreibung wo
24120	31200	man sagen kann was treibt uns an was ist sozusagen unser motor unser innerer
31200	37960	motor letztendlich übertragen auf alles leben alles biologischen leben also
37960	42040	dieser kreislauf den wir richtig beschrieben hast mit lack also diese
42040	49160	wiederholung dieser loop wir leben in einem loop nämlich diesem loop aus
49160	58360	schlafen fressen kacken fortpflanzen etc. und die frage die spannende frage ist
58360	66080	ja für mich wenn menschen dahingehend einen unterschied machen zu tierwelt zur
66080	73720	natur ist es aus meiner sicht ja die fähigkeit sich selbst und auch ein
73720	80120	stück weit die gesamte evolution und schöpfung reflektieren zu können darüber
80120	83640	nachdenken zu können zumindest wissen wir nicht ob das
83640	87920	tiere pflanzen andere entitäten die wir überhaupt noch gar nicht kennen auch so
87920	95440	können aber ich finde da steckt sowohl eine chance wie auch ein risiko drin und
95440	101640	es steckt vor allen dingen verantwortung drin denn wir tragen in dem
101640	105880	moment wo wir uns darüber bewusst werden und deswegen ist diese
105880	112440	dekonstruktion so wichtig egal wie man sie beschreibt diesen loop so wie ich
112440	119080	jetzt beschreiben würde also diesen antrieb diesen motor den wir als
119080	125000	lebewesen als natur und so weiter in uns tragen deswegen war ja dieser moment in
125000	131600	der biblischen geschichte adam und efer baum der erkenntnis gott wurde zornig
131600	137480	hat sie aus dem paradies geworfen die frucht der erkenntnis ist der moment wo
137480	142440	menschen sich selbst erkennen sich hinterfragen können und damit werden sie
142440	147200	im grunde genommen gott gleich weil sie gleiche verantwortung wie gott tragen
147200	154400	und auch in der lage sind selber die dinge zu schöpfen und sie müssen an dem
154400	161160	punkt verantwortung für ihre taten übernehmen und damit ist feierabend mit
161160	168200	diesem ignorance ist bliss paradies das heißt in dem moment wo wir uns erkennen
168200	173040	wo wir erkennen wie wir ticken und das passiert seit vielen hunderten jahren
173040	179560	tagtäglich über wissenschaft über diskurse über leute wie wir die unter die
179560	185080	oberfläche gucken und fragen warum ist das verdammt noch mal so warum muss es so
185080	190320	sein es ist die rede von habeck die er gehalten hat um uns vor augen zu führen
190480	195840	was unter der oberfläche ist und wie du ja auch richtig gesagt hast wir wissen das längst alles
195840	202200	wir versuchen aber immer wieder zurück ins paradies zu kommen über ignorance wir wollen
202200	209720	verdrängen um zurückzukommen in diese absolute harmonie und glückseligkeit es gelingt uns nicht
209720	216680	weil diese büchse der pandora längst geöffnet ist wir können nicht aufhören damit uns selber
216680	221400	zu reflektieren es wird immer jemanden geben der kritik äußert immer jemand der unter die
221400	228640	oberfläche schaut denn das bewusstsein über das eigene handeln erzeugt ganz von alleine
228640	236160	verantwortung zumal wir andere lebewesen durch unser handeln beeinflussen und jetzt schlage ich
236160	242520	noch mal den bogen zu christian lindner und dem versuch eine debatte aus dem weg zu gehen das
242520	248480	ist nichts anderes als die adressierung von ignorance das ist das glücksversprechen
248480	257920	freiheit ist glück harmonie aber es wird nicht gelingen weil immer wieder die reflektion kommt
257920	264640	und jetzt kommen wir wieder ganz zurück ganz zurück zu dem ursprünglichen beispiel aus
264640	272240	succession der alte mann der getrieben ist von macht und herrschaft im übrigen lässt sich das
272240	279680	auch auf jede x beliebige reale figur anwenden die ähnliche züge hat denken wir an vladimir
279680	287600	putin oder andere herrschaft süchtige autokraten oligeichen milliardäre wie auch immer der alte
287600	294280	mann aus succession ist ja nur ein architekt ein beispiel und dieser alte mann trägt eigentlich
294280	301640	eine verantwortung nicht nur für sich dass es ihm gut geht weil er spürt sich selber im gondel auch
301640	307680	nicht er erfreut sich auch nicht an den dingen er ist permanent im stress er ist wie so viele
307680	317720	manager und leitenangestellte in einem zustand des dauerhaften raubbaus um zu bewahren und zu
317720	324360	erweitern was er längst hat und merkt noch nicht mal was er hat und was aber passiert ist dass das
324360	333200	gesamte system um ihn herum was um ihn herum die scheiße erledigt die er befiehlt unter seiner
333200	345280	herrschaft leidet und dieser radius kann zum teil so groß werden dass millionen von menschen durch
345280	355080	die hand eines einzelnen mannes zu tode kommen der einzelne mann und das system was diesen mann
355080	365080	trägt und das finde ich interessant dass einzelne alte weiße männer in der lage sind das leben von
365080	372120	so vielen entitäten so dermaßen negativ zu beeinflussen und sie dabei noch nicht mal glücklich
