start	end	text
0	6080	Du hast natürlich recht damit, dass man unmöglich bei der Hermaneutik sich einer Interpretation
6080	7080	entziehen kann.
7080	10400	Das ist genau wie der Death Drive, wir können uns dem nicht entziehen.
10400	14820	Das macht uns am Ende zu Menschen, wir gucken auf die Welt und haben Begriffe und wollen
14820	15820	die Welt verstehen.
15820	17800	Das ist sozusagen unsere Operation.
17800	20800	Aber ich will es etwas spezifischer ausdrücken.
20800	26440	Bei dem Widerstehen einer Hermaneutischen Versuchung geht es spezifisch darum, eine
26440	33040	Interpretation eines formalen Inhalts, einer Sache, dem zu widerstehen und stattdessen
33040	36600	sich den Inhalt in der Form anzuschauen.
36600	43760	Ideologiekritik ist im Kern, diesen unterdrückten, versteckten Inhalt in der Form zu finden.
43760	47440	Denn natürlich ist jede Theorie, jedes Konzept nicht vollkommen.
47440	52880	Jedes Problem beinhaltet Teile seiner Lösung und jede Lösung führt Teile seiner Probleme
52880	53880	weiter mit sich.
53960	58280	In dieser dialektischen Bewegung erfahren wir ja erst geistigen Fortschritt.
58280	64560	Aber wie du richtig gesagt hast, gibt es Ideologien, die strahlen eine besondere Dominanz
64560	65560	aus.
65560	70280	Sie erlauben es nicht, sie in ihrer Form zu kritisieren, sondern lassen Kritik höchstens
70280	72560	auf einer inhaltlichen Ebene zu.
72560	78240	Diese Kritik wird dann oft transformiert, der Bug wird zum Feature, der Kapitalismus
78240	83320	beutet Kaffeebauern aus, okay, dann zahl doch einfach bei Starbucks ein Euro mehr, damit
83360	85160	es den Kaffeebauern besser geht.
85160	90640	Eine andere Sache, worauf wir bei der Ideologiekritik achten müssen, ist die Trennung vom konkreten
90640	92120	und dem universellen.
92120	97160	Du hast mir gerade einen Spiegel-Online-Beitrag geschickt, der mich sehr verwundert hat.
97160	102080	Es geht um Ostermärsche, wo Menschen für Frieden demonstrieren.
102080	104000	Erstmal nichts verwunderliches.
104000	108720	In solchen Zeiten sind solche Zeichen von der Bevölkerung besonders wichtig, um deutlich
108720	111440	zu machen, für welche Werte die Gesellschaft steht.
111480	116600	Auch wenn gerade ein Krieg stattfindet und auch wenn spezifisch gerade Unterstützung
116600	118320	mit Waffen notwendig ist.
118320	123760	Aber meine Verwunderung kommt von der Aussage des Bundeswirtschaftsminister Habeck, der
123760	130600	die Demonstranten dazu aufruft, klare Botschaften an Russland zu senden und sagt, dass Pazifismus
130600	132400	ein ferner Traum ist.
132400	138240	Ähnlich hat sich auch der FDP-Politiker Alexander Graf Lambsdorff gegenüber der Zeit ausgesprochen,
138240	142600	dass die Parolen für Frieden realitätsfern und gefährlich sind.
142600	147120	Und die Krönung setzt dann Seggis und Lenny, ein ehemaliger Büroleiter der Böll-Stiftung
147120	153360	auf, der auf Twitter öffentlich einen präventiven Atomschlag gegen Russland befürwortet und
153360	158840	dann in einen Nebensatz sagt, some nukes from the Russian side can explode.
158840	164680	Wie schnell haben wir nicht nur ein Ideal von Frieden über Bord geworfen, das natürlich
165680	170760	werden kann, aber doch immer anzustreben sein sollte, zu paternalistischen Aussagen, die
170760	177760	Menschen, die für Frieden demonstrieren, als realitätsfern abzustufen und über präventive
177760	179480	Atomschläge zu reden.
179480	182880	Natürlich muss man der Ukraine helfen, mit Waffen.
182880	188760	Aber das heißt nicht, dass wir aus dem speziellen Fall der Ukraine zu helfen, ein universelles
188760	192680	Ableiten müssen, wieder in einen Kriegsmodus zu gehen.
192680	197680	Denn dieser Kriegsmodus ist das, was uns dieses Schlamassel ursprünglich eingebrockt hat.
197680	201600	Aber auf der anderen Seite ist das ziemlich hegelianisch.
201600	206080	Wenn wir mit unserer Erkenntnis auf der einen Seite angekommen sind und merken, dass die
206080	210200	Lösung, die wir uns gewünscht haben, doch nicht so vollkommen und perfekt ist, drehen
210200	215280	wir uns halt um und können halt nur mit dem Erkenntnishorizont arbeiten, den wir haben.
215280	220760	Der scheint aktuell der zu sein, dass uns wieder Männer in Machtposition erklären wie
220760	223120	Realpolitik und Machtausübung geht.
223120	227920	Ich wollte mit diesem Skit eigentlich in eine ganz andere Richtung rennen, aber was geht
227920	228920	dir dabei durch den Kopf?
