start	end	text
0	4780	Das ist ein sehr heikles Thema, weil ich der Versuchung widerstehen möchte, moralische
4780	9000	Inhaltsdeutung zu machen. Vorab frage ich mich, auf welcher Linie der Dichotomie bewegen
9000	13380	wir uns gerade eigentlich? Pazifismus gegen Belizismus? Für die, die nicht wissen, was
13380	16820	Belizismus ist, es bedeutet im Wesentlichen Kriegsverherrlichung. Ich denke, die Analyse
16820	21980	dieses Diskurses ist nicht wirklich produktiv, weil beide transcendentale Moralwahrheiten
21980	26500	postulieren. Die spannende Frage aus meiner Sicht ist, wo findet das Ganze auf der Handlungsebene
26500	31400	statt, politisch gesehen? Also was ist sozusagen die kulturelle Hegemonie bestimmter Ideologien?
31400	36060	In diesem Fall wäre das Begriff Paar, Realpolitik gegen Idealpolitik, welches sich aktuell
36060	40540	als Institutionstheorie oder Politik definieren kann. Kurz, was die beiden Begriffe bedeuten.
40540	45540	Realpolitik hat die Idee, dass auf der höchsten Ebene, also zwischen Staaten, es keine überlegenen
45540	50860	Instanzen gibt. Da zählt am Ende Macht bzw. potenzielle Gewalt. Das ist im Grunde das
50860	55220	Prinzip deren Diplomatie. Frieden definiert die Gruppe, die die größte Streitkraft hat.
55220	58940	Und dann arbeitet man mit dem, was man hat. Also pragmatisch. Auf der anderen Seite ist
58940	63980	die Institutionstheorie, die daran glaubt, dass supranationale und globale Institutionen
63980	68060	Frieden und Zusammenleben ermöglichen können. Da gibt es das Völkerrecht, internationales
68060	73180	Gerichtshof, die UNO und so weiter. Ich glaube, das, was wir gerade erleben, ist ein paradigmatischer
73180	78260	Wandel von einer Idee der Institutionstheorie zur Realpolitik. Aber um diesen Wandel zu
78260	81940	beschreiben, möchte ich etwas mehr Theorie machen, damit wir unsere Erkenntniswerkzeuge
81940	86100	schärfen. Dazu versuche ich mich etwas an einem der größten Denker der Geschichte und
86100	90100	zwar Hegel. Ich muss ehrlich sagen, dass ich großen Respekt davor habe und ich hoffe,
90100	94420	dass mich nicht die Hegelkenner steinigen werden, denn Hegel ist wirklich sehr anti-intuitiv
