start	end	text
0	7280	Hey Homan, danke für den kleinen theoretischen Exkurs in die hegelianische
7280	12960	Denkweise. Deswegen finde ich es ja umso wichtiger, sich die Thesen anzugucken,
12960	18660	weil der Grundstrang, der ist ja unbestritten da. Also die Mechanik, die
18660	23400	Form, die ist ja unbestritten da. Was mich aber interessiert ist der Inhalt.
23400	27720	Und was mich tatsächlich interessiert, ist die Frage nach moralischen Werten,
27720	34560	nach Prinzipien, nach ethischen Überzeugungen, nach den Dingen, wonach wir
34560	38940	unsere Realität im besten Fall gestalten sollen. Wir versuchen uns ja die
38940	43360	Ideologien anzuschauen, die unsere Realität strukturieren. Und deswegen ist
43360	49360	es doch legitim die Frage zu stellen, welche der Ideologien würden unsere
49360	54440	Realität im besten Fall anders strukturieren, alternativ strukturieren,
54440	58720	vielleicht sogar utopisch strukturieren. Du hast über diese Retroaktivität
58720	63680	gesprochen, also der Tatsache, dass man erst im Nachhinein retroaktiv bewerten
63680	69320	kann, nach dem Motto, nachher ist man immer schlauer als vorher. Dem würde ich
69320	75200	ein bisschen widersprechen wollen, denn es gab sehr viele oder sagen wir einige
75200	82680	Stimmen, auch publizierende Stimmen, die vor Putin, seiner Politik und das, was
82720	87360	da kommen mag, eindringlich gewarnt haben. Und es war auch kein Geheimnis, dass
87360	93040	Putin eine Autokratie von Tag eins an installiert hat, die Opposition in den
93040	99000	Knast gesperrt hat, vergiftet hat, etc., pp. Es war auch keine Überraschung, dass
99000	105960	Putin imperialistische Motive hegt, denn er hat ja vor den Augen der
105960	112880	Weltöffentlichkeit 2014 Teile der Ukraine annektiert. Es gab Stimmen, die
112880	118560	gesagt haben, macht euch nicht abhängig von ihm, aber die Antithese war, die ja
118560	123120	auch in der Politik von Angela Merkel und den Politikern vor ihr, die an der
123120	128360	Macht waren, praktiziert wurde, gab es ja die Idee der Abhängigkeit als
128360	133360	Friedensmittel. Und selbst das lässt sich in Zweifel ziehen bei Gerd Schröder, der
133440	138080	das ja als reine Männerfreundschaft gesehen hat und Putin attestiert hat, er
138080	144000	sei ein lupenreiner Demokrat. Und wir alle wussten es zu diesem Zeitpunkt
144000	150840	besser, nicht erst retroaktiv. Und auch damals hat man gewarnt, eindringlich
150840	156680	gewarnt, aber man hat eher auf andere Lobbyisten gehört. Und alle Bestrebungen
156680	162120	der Energiewende von damals, als wir Weltmarktführer in der Solarenergie
162200	167000	geworden sind, hat man hunderttausende von Arbeitsplätze verbrannt, indem man
167000	174000	all das rückgängig gemacht hat. All das trotz großer und zahlreicher Warnungen
174000	179920	mitten hinein in die fossile Energieabhängigkeit. Ich bin jemand, der
179920	183720	gerne in die Zukunft gestaltet und deswegen schaue ich auch gerne, was
183720	188600	Leute imaginieren. Dafür haben wir ja Imaginationskraft, dafür haben wir
188600	194960	Strategien. Und deswegen tue ich mir schwer, alles nur aus dieser Brille anzuschauen,
194960	200520	dass alles erst im Nachhinein sinnhaft konstruiert wird. Das mag so sein, aber
200520	205200	mir selber hilft sie in der Gegenwart ja nicht weiter. Ich bin sehr geprägt von
205200	210760	Heinz von Förster. Und der hat ja mal gesagt, es gibt keine Wahrheit, es gibt
210760	216120	prinzipiell unentscheidbare Fragen. Und prinzipiell unentscheidbare Fragen sind
216120	220840	dann so Fragen wie, wie ist das Leben entstanden? Und da gäbe es eben
220840	224640	verschiedene Antwortmöglichkeiten. Die einen sagen, der liebe Gott hat das Ganze
224640	231400	erschaffen, geschöpft. Die anderen sagen, es ist Evolution, es gab einen Urknall,
231400	237120	alles hat sich so entwickelt zufällig. Für beides gibt es weder Beweise noch
237120	241800	Wiederlegungen, sondern es gibt Menschen, die sich zu etwas entscheiden, für eine
241800	245640	Geschichte entscheiden. Und deswegen finde ich es immer wichtig, sich zu
245640	249480	überlegen, für welche Geschichte entscheiden wir uns tagtäglich. Und diese
249480	254080	prinzipiell unentscheidbaren Fragen sind ja komplett durchdrungen in unserem
254080	258880	Alltag. Wie wollen wir miteinander leben? Was ist richtiges Wirtschaften? Was ist
258880	262880	Fairness? Was ist Freiheit? Was ist Verantwortung? Das sind alles prinzipiell
262880	267960	unentscheidbare Fragen, die wir gemeinsam aushandeln, aber für die wir uns
267960	272440	entscheiden und dann auch die Verantwortung tragen. Und beim Thema
272440	277480	Verantwortung ist es mir eben wichtig, genau zu wissen, für was ich mich
277480	281920	entscheide. Das heißt, ich muss die Alternativen kennen, ich muss abwägen
281920	286360	können, ich muss das für und wieder auf den Tisch legen und deswegen ist es mir
286360	290620	wichtig, all diese Ideologien sich genauer anzuschauen, die unsere
290620	296520	Wirklichkeit strukturieren. Und besonders hellhörig werde ich, wenn gewisse
296520	303000	Geschichten verdrängt werden im Diskurs. Und du hattest ja angedeutet, das ist so
303000	307440	eine Art Traumata und vielleicht spielt die Verdrängung hier auch tatsächlich
307440	312920	eine große Rolle aufgrund eines Traumata. Ich glaube aber eben nicht, dass es eben
312920	318360	diese retroaktive Erkenntnis ist, dass man sich so dermaßen geirrt hat. Meine
318360	325200	These ist, es ist die große Angst vor dem Zahltag. Denn du hattest ganz am
325200	331120	Anfang gesagt, Zizek sprach davon, sie wissen was sie tun, sie verdrängen es
331120	336240	nur irgendwie und wir haben einfach Angst, dass wir jetzt die Konsequenzen
336240	341920	ernten von dem, was wir über Jahrzehnte gesät haben. Die all die schmutzigen
341920	348080	Deals, all das unmenschliche Verhalten an den Grenzen Europas, all das
348080	353560	raushalten und weggucken in anderen Konflikten, in Menschenrechtsverletzungen
353560	360360	etc. Und wir als oberster Waffenlieferant, aber gleichzeitig immer wieder den
360360	367360	Pazifismus nicht ernsthaft nach außen hin zu vertreten, sondern das ganze eher so
367360	373840	als Lippenbekenntnis, als eine Art anderes Greenwashing zu betreiben. Um so
373840	378680	wunderbar im Doublebind einerseits die Verantwortung nicht in Konflikten zu
378680	384320	übernehmen, auf der anderen Seite aber mächtige Waffen an andere zu liefern, die
384320	388160	das ganze übrigens nicht nur zur Verteidigung einsetzen.
388160	393760	Ich glaube, das ist das eigentliche Erwachen, aber dafür kann der ernstzunehmende
393760	398240	Pazifismus nun wirklich nichts.
