start	end	text
0	5000	Hey Patrick, die Rede von Lindner und diese Snippets, die du ausgesucht hast, sind hervorragend,
5000	9800	um über Ideologie zu reden, denn erstens, was Lindner da macht, und das ist vielleicht
9800	14760	auch oft, wie der Begriff Ideologie verwendet wird, er benutzt Ideologie eher im Sinne einer
14760	19480	politischen Ideologie oder Ideologie als politische Agenda.
19480	23680	Und in der Art, wie er es auch benutzt und wie es auch dann auch verstanden wird, wenn
23680	27160	man sagt, da hat jemand eine ideologische Perspektive oder was auch immer, definiert
27320	32000	mehr oder so, es gibt so eine Art objektiv-neutrale Realität oder eine objektiv-neutrale
32000	37080	Position, welche ist dann durch ein subjektives und wenn wir im politischen Kontext
37080	41960	darüber reden, in der Regel einen politischen Spin, wird das getrübt, diese
41960	47200	Perspektive. So als würden wir die Welt dann durch so eine Art ideologische Brille
47200	51840	sehen, die das im Grunde verzerrt und uns nicht mehr die Realität zeigt, sondern eine
51840	55880	Illusion oder eine Verzerrung der Realität.
55920	59760	Also wir haben sozusagen die ideologische Brille auf und er sozusagen auch in der Rede,
59760	63600	wie er das dort benutzt hat, benutzt das sozusagen als wie so eine Art sublimierendes
63600	68520	Machtinstrument, das im Grunde sagt, hier, ich habe die ideologische Brille nicht
68520	73680	auf, das sind die Ideologen dahinten und ich bin Realpolitiker, also ich sehe die
73680	79600	Realität, ich habe eine objektiv-neutrale Perspektive da drauf und deswegen macht es
79600	83520	keinen Sinn, darüber zu reden, denn die haben nur eine Agenda, ich nicht, ich bin an
84360	90360	Diese Ideologieperspektive ist natürlich naiv und trivial und eigentlich noch viel
90360	94960	wichtiger, wenn man so was hört, wenn jemand so eine Position einnimmt, dann müssen
94960	100680	sofort die Glocken klingeln, denn dann weiß man, oh, da ist gerade Ideologie am
100680	105200	Machtwerk, also sozusagen die Person, die sagt, sie hat die neutrale Position, ist
105200	109920	die Person, die die Ideologie eigentlich am stärksten vertritt und da lohnt es sich
109920	114160	natürlich, Slavoj Žižek zu raten, zu zählen, der wahrscheinlich aktuell der größte
114160	118880	Denker, den wir im Kontext Ideologien haben, für Žižek ist nämlich genau das
118880	124400	ideologischste, was man tun kann, ist die Idee einer objektiven neutralen
124400	128560	Realität zu postulieren, wenn wir das hören, dann wissen wir, wir haben das mit
128560	133040	sehr tiefgehender Ideologie gerade zu tun und ich will auch mal direkt Žižeks
133040	136960	Ideologie-Definition nutzen und zwei unterschiedliche Zitate und versucht sie
136960	142160	mal zusammenzubringen, das eine ist, für Žižek ist Ideologie strukturiert unser
142160	148240	Verlangen, also unser Desire, das von Freud sozusagen und Ideologie ist das, was Ordnung
148240	153200	in dem Chaos unseres Verlangens bringt, Desire ist sozusagen das, was in unserem
153200	159080	Es drinsteckt, tief, wir können keine Sprache, wir können voller Widersprüche und so
159080	163080	weiter und der zweite Definition von Žižeks Ideologiebegriff ist eine
163080	166680	unbewusste Struktur, die uns die umgebende Wirklichkeit als eine
166680	170760	kohärente Tatsachenwelt erscheinen lässt. Ideologie ist keine Illusion, die die
170760	175560	Realität der Dinge maskiert, Ideologie ist eine unbewusste Fantasie, welche die
175560	180480	Realität selbst strukturiert. Was heißt das? Ideologie ist keine Brille, die wir
180480	184880	uns aufsetzen, ne, wir haben sozusagen Ideologie ist die Welt ohne Brille, also
184880	188720	alles was wir sehen um uns herum, die Realität selbst ist durch die Ideologie
188720	194000	strukturiert, wie bei They Live, müssen wir uns eine Brille aufsetzen, um kurz zu
194000	199280	sehen, was die Ideologie hinter den Dingen ist. Jetzt im spezifischen Fall von
199280	202360	Lindner ist es natürlich super spannend, was er eigentlich macht oder was wir
202360	206000	dort sehen ist, er macht eine Ideologieverdrehung. Lindner framed die
206000	210680	Anerkennung von sozialen und ökologischen Notwendigen, also wir
210680	214720	ruinieren mit unserem Lebensmodell den Planeten und zerstören unsere eigene
214720	219000	Lebensgrundlage, framed er als ideologisch, während er die ideologische
219000	224080	Verweigerung dieser Notwendigkeit zu einer Realpolitik erklärt, als ob die
224080	228120	Grünen aus ideologischen Gründen anderen das Leben vermiesen wollen, während die
228120	232320	FDP aus ideologischen Gründen beispielsweise den Diskurs über ein
232320	238000	Fahrverbot systematisch unterdrückt und das ist natürlich besonders zynisch, da
238000	242040	der grüne Wirtschaftsminister Habeck aus der Not heraus gegen seine eigene
242040	246080	Überzeugung gehandelt hat und nach Katar geflogen ist, um fossile Brennstoffe zu
246080	250480	kaufen und Lindner und die FDP wollen aus einem, wie auch immer definierten
250480	255120	Freiheitsbegriff, sich nicht auf den Diskurs einlassen, Sachen zu verändern
255120	259440	oder Sachen zu regulieren, die auch wirklich relevant wären und ein
259440	263520	hervorragendes Beispiel für Ideologie, wo wir direkt sehen, da benutzt jemand als
263520	266220	Waffe Ideologiebegriff gegen jemand anderen und es ist eigentlich eine
266220	269840	Verdrehung in dem Moment, wo er es tut, ist es das ideologischste, was man tun kann.
