start	end	text
0	6000	Also Retroaktivität würde ich nicht nur definieren als sowas wie, im Nachgang sind wir schlauer.
6000	9500	Es ist eher der Moment der Erkenntnis, nach dem wir ganz anders auf die Welt schauen.
9500	14700	Der Moment der Erkenntnis, wo man sich fragt, wie konnte ich das vorher überhaupt mit anderen Augen sehen.
14700	18700	Ich will das mal ein sehr vereinfachtes und grob nicht ganz korrektes Beispiel deutlich machen.
18700	25500	Stell dir vor, vor dem Tag, als Putin die Ukraine angegriffen hat, gab es ganz viele potenzielle Möglichkeiten, wie er sich entscheidet.
25500	31500	Aber in dem Moment, wo er sich entschieden hat, einen Angriff durchzuführen, wurde eine bestimmte Vergangenheitsdeutung aktiviert.
31500	36200	Und dieser Strang ist jetzt die vermutlich oder auch imaginierte wahre Vergangenheit.
36200	39800	Das, wie ich es dir beschrieben habe, kann natürlich für eine Person wahr sein.
39800	42700	Beispielsweise, ich finde meinen Weg in die soziale Systemtheorie.
42700	48500	Danach machen Konflikte und Mechanismen in Organisationen einen ganz anderen Sinn, als sie früher es für mich gemacht haben.
48500	51800	Aber bei Hegel würden wir ja über einen kollektiven Geist reden.
51800	60800	Also nicht nur bei mir ändern sich die Strukturen, also eher die Beziehung mit den Themen und Objekten über andere Menschen in der sozialen Ordnung.
60800	68800	Im Grunde verwebt sich diese retroaktive Sozialstrukturierung in unseren Geschichten, in den Narrationen und damit auch in den Traditionen.
68800	71800	Bezogen auf die aktuelle Situation hast du zu einem natürlich recht.
71800	73800	Vieles davon ist uns ganz klar gewesen.
73800	77300	Hier Robert Habeck 2016 bei einer Debatte um die grüne Spitze.
77300	81800	Ok, du triffst also auf dem Weg zur Toilette Vladimir Putin. Was sagst du ihm denn?
81800	88300	Doch Herr Putin, Sie kennen mich nicht. Ich bin gerade Spitzenkandidat meiner Partei geworden und geben Sie uns noch zwei, drei Monate.
88300	92300	Dann regieren wir diese Republik und dann wird sich Folgendes ändern.
92300	102800	Wir werden erstens Nord Stream nicht bauen und die Handelsbeziehung des Gastransfers zu Russland sukzessive abbauen, weil wir ein Energiewendeland sind.
102800	110300	Zweitens, wir werden diejenigen, die in Syrien bomben und damit noch Geschäfte machen, nicht mehr ins Land lassen.
110300	114800	Das Shoppen in München in den Malls von den Frauen der Schlechter ist vorbei.
114800	123800	Und drittens, wir werden diejenigen, die wie wir an ein freies, ein gerechtes, ein junges, ein freundliches, ein Miteinander in Europa glauben,
123800	126800	die werden wir mit erleichterten Visern nach Deutschland lassen.
126800	137300	Das ist nicht heißt Deutschland Europa versus Russland, sondern eine autoritäre oligarchische Führungsstruktur gegen die Bevölkerung, die eigentlich Frieden und Miteinander will.
137300	140300	Und hier Annalena Baerbock 2020 in einer Talkshow.
140300	143800	Wir haben die europäischen Klimaziele und das dürfen wir an dieser Stelle nicht vergessen.
143800	150300	Der Gasverbrauch in Europa wird auch mit Kohleausstieg, wird auch mit Atomausstieg weiter runtergehen.
150300	154800	Das heißt, diese Leitung ist dann zusätzlich noch eine Wette gegen die europäischen Klimaziele.
155300	157800	Deswegen ist sie auch energiepolitisch komplett falsch.
157800	162800	Und wir haben jetzt, letzter Satz, wir haben jetzt schon eine Abhängigkeit zu 40 Prozent von Russland.
162800	168800	Wenn wir jetzt zusätzlich Kapazitäten schaffen und andere Kapazitäten nicht nutzen, wird sich diese Abhängigkeit verstärken.
168800	171800	Und ich glaube, das ist geostrategisch wirklich der falsche Weg.
171800	176800	Aber beim Verständnis von der Dialektik und der Retroaktivität ist eine Sache auch sehr wichtig.
176800	182800	Es ist nicht nur so, dass in dem Moment, wo die Erkenntnis da ist, dass die neue Erkenntnis direkt auch akzeptiert wird.
182800	187800	Das können wir sehr gut nachvollziehen bei Thomas Kuhn in seinem Buch The Structure of Scientific Revolutions,
187800	192800	in dem er deutlich macht, dass wissenschaftlicher Fortschritt auf keinen Fall ein linearer Prozess ist,
192800	194800	bei dem Wissen einfach akkumuliert wird,
194800	200800	sondern dass Phasen der normalen Wissenschaft durchbrochen werden von bestimmten Erkenntnissen, die radikal sind.
200800	206800	Radikal im Sinne von an die Wurzel gehen, systemändernd, neue Disziplinen gedacht werden
206800	210800	und dies durch einen Prozess der sogenannten Scientific Revolution geht.
210800	213800	Vereinfacht gesagt geht Erkenntnis folgenden Weg.
213800	220800	In einer normalen Wissenschaftsphase kommen Forscher mit einer etablierten Theorie zu gewissen Limitierungen dieser Theorie.
220800	223800	Diese Theorien können nicht mehr alles erklären,
223800	230800	bzw. damit es noch erklärt werden kann, wird diese Theorie sehr gestretched, sehr gedehnt, damit sie noch irgendwie funktioniert.
230800	236800	Wenn diese Theorien aber immer mehr Anomalien produziert, kommt die Wissenschafts-Community irgendwann in eine Krise.
236800	240800	Irgendwann fangen Forscher an, die unterliegenden Annahmen in Frage zu stellen.
240800	243800	Und es findet dann ein sogenannter Paradigmenwechsel statt.
243800	248800	Eine neue Theorie wird gefunden, die schafft die Anomalien deutlich besser zu erklären.
248800	252800	Diese neuen Theorien sind aber dann in der Regel inkonsumerabel mit den alten Theorien.
252800	257800	Dieser Paradigmenwechsel ändert sich aber laut Kuhn nicht nur, dass eine neue Theorie erkannt wurde,
257800	262800	sondern das Weltbild der Wissenschaftler ändert sich mit dieser neuen Theorie gleichzeitig.
263800	267800	Nicht die Interpretation der Menschen ändert sich, sondern die Welt an sich ändert sich.
267800	272800	Aber jetzt ist es nicht so, dass die Wissenschafts-Community einfach die neue Theorie übernimmt, weil sie besser ist.
272800	277800	Stattdessen hält die alte Wissenschaftsklasse an der alten Theorie fest und diskreditiert die neue.
277800	285800	Also sie halten an ihrem System fest Verteidigendes, obwohl es definitiv neue Erkenntnisse gibt, die deutlich machen, dass sie falsch liegen.
285800	290800	Erst wenn genug Wissenschaftler übergegangen sind oder nicht mehr ihre symbolische Wissenschaftsrolle ausüben,
290800	294800	vollzieht sich der Paradigmenwechsel und ein neues Paradigma etabliert sich.
294800	300800	Das, was ich damit deutlich machen will, ist, dass es anscheinend etwas gibt, eine Art Sozialstruktur zwischen uns Menschen,
300800	306800	die unsere Realität so strukturiert, dass wir Sachen machen, obwohl wir hier wissen, dass es nicht richtig ist.
306800	312800	Nehmen beispielsweise Autofahren, Kurzstreckenflüge, Fleisch essen oder aktuell Maske in einem Supermarkt tragen oder nicht.
312800	317800	Zizek sagt, dass wir oft entgegen unseres Bewusstseins und guter Gründe handeln.
317800	322800	Also Ideologie findet auf der Handlungsebene statt, nicht auf der Bewusstseinsebene.
322800	327800	Deswegen fällt es mir auch so schwer, dieses Thema ethisch oder moralisch zu diskutieren.
327800	332800	Das ist für mich eine Bewusstseinsebene. Aber auf dieser Ebene operiert Ideologie nicht.
332800	336800	Ideologie ist die Sozialstruktur zwischen den Beziehungen und Handlungen zwischen den Menschen.
336800	341800	Stell dir vor, ich gehe in den Supermarkt. In dem ersten Fall gehe ich rein und alle tragen eine Maske.
341800	346800	Also trage ich lieber auch eine Maske. Im Fall zwei trägt keiner in dem Supermarkt eine Maske.
346800	351800	Also lasse ich das Ding auch lieber weg. Oder Kurzstreckenflüge. Ich weiß vielleicht, dass es schlecht ist.
351800	357800	Aber die Fluggesellschaft bietet das ja an. Und wenn ich am Flughafen bin, sind auch viele andere da, die Kurzstreckenflüge machen.
357800	360800	Vielleicht fliegen meine Kollegen auch damit mit dem Flieger.
360800	364800	Und es ist ja auch gesetzlich nicht wirklich verboten. Also kann es auch nicht wirklich so schlimm sein.
364800	371800	Deswegen sollten wir bei Ideologie uns mehr auf die Tradition, Narrative, Praktiken fokussieren, die für bestimmte Sachen verantwortlich sind.
371800	376800	Denn vergiss nicht, Ideologie ist ein Coping-Mechanismus. Also eine Art Bewältigungsmechanismus.
376800	380800	Wir können nicht die ganze Zeit rumlaufen uns und nach den Ideologien suchen und sie zerlegen.
380800	385800	Wir brauchen Ideologien, um in der Gesellschaft überhaupt existieren können als Subjekte.
385800	389800	Der österreichische Philosoph Robert Faller hat ein ganz spannendes Konzept.
389800	393800	Und zwar das der Interpassivität. Ich will jetzt nicht noch ein Theorie-Teil aufmachen.
393800	399800	Aber Interpassivität kann man auch bezeichnen als delegiertes Empfinden oder delegiertes Genießen.
399800	404800	Ein Beispiel kennt wohl jeder von uns. Und zwar sowas wie Can't Laughter oder Lachkonserve.
404800	410800	Wenn im Comedy-Sendung im Hintergrund gelacht wird, jetzt muss ich das nicht mehr machen, sondern andere machen das für mich.
410800	413800	Und das bringt mich eigentlich wieder zurück zu Habeck in der Sendung von Land.
413800	418800	Denn wie gesagt, wir alle wissen, dass das, was er da sagt, ist wahr.
418800	422800	Und trotzdem machen wir einfach weiter mit unserer Normalität.
422800	428800	Und die große Frage, warum machen wir weiter, obwohl wir es doch eigentlich besser wissen?
