start	end	text
0	5720	hey humann danke für deinen letzten audiobeitrag er hat lange in mir nachgeklungen und ich habe vor
5720	11960	allen dingen über deine letzte frage lange gegrübelt warum verhalten wir uns trotzdem so
11960	20480	obwohl wir es wissen und gerade zum thema krieg wissen wir so unfassbar viel das faszinierende
20480	26160	für mich ist dass wir so viel auch in der lage sind wieder zu verdrängen von daher ist es vielleicht
26160	31920	hilfreich an der stelle dass ich dazu gar nicht so viel sage sondern ein paar andere stimmen zu
31920	36880	wort kommen lasse stimmen die eigentlich sehr tief in unserem kollektiven bewusstsein verankert
36880	43560	sind die seit vielen jahren oder jahrzehnten über bildungsprozesse über schulische inhalte über
43560	51440	kulturinhalte uns nahe gebracht worden sind die erste stimme ist aus einem nun fast 100 jahre
51440	59800	altem werk einem roman mit dem titel im westen nichts neues 1928 geschrieben von erich maria
59800	68120	remark eine geschichte über den ersten weltkrieg und ein fokus auf die jungen männer die damals
68120	76040	in den krieg gezogen sind und remark hat genau und minutiös beschrieben was der krieg aus
76040	80680	menschen macht er selbst hat es übrigens in einem interview in den 50er jahren wie folgt
80680	87120	beschrieben was ist aus diesen menschen geworden es wurde auch zum ersten mal gefragt was haben
87120	92440	nicht menschen einen schaden davon getragen oder irgendetwas davon getragen dass sie im krieg
92440	99440	gewesen sind und alle ihre sogenannten sittlichen grundsätze umschmeißen muss man hat ihnen gesagt
99440	104880	du darfst nicht töten aber man sagt muss gut zielen damit du triffst der interview fragt die
104880	111920	remark an einer anderen stelle ob er den pazifist mit einem politischen programm sei dass man
111920	120320	pazifistisch oder gegen den krieg ist fand ich war ganz selbstverständlich dazu braucht man gar
120320	126080	kein programm ich dachte immer jeder mensch sei gegen den krieg bis ich herausfand dass es welche
126080	132120	gibt die dafür sind besonders die die nicht hineingehen müssen ja ganz vorne steht er sagt
132120	138600	hier zwei ganz interessante dinge das erste ist dass eigentlich erst für normalität hält gegen
138600	145960	krieg zu sein und ich glaube da würde auch niemand erst mal so offiziell widersprechen und das zweite
145960	152400	ist dass offenbar menschen für kriege plädieren die selbst davon gar nicht im ersten schritt
152400	158920	unmittelbar betroffen sind und das klingt für mich tatsächlich nach einer sehr gefährlichen
158920	166440	strukturierung der realität nach einer sehr gefährlichen ideologie der krieg der selbst zur
166440	172600	ideologie wird der krieg der selbst alles zu verschlingen droht der den menschen zu etwas
172600	180320	anderem macht also nicht der mensch gestaltet den krieg sondern der krieg gestaltet die menschen
180320	186920	und sehr eindrücklich beschreibt erich marie remark dass eben in seinem roman im westen nichts
186920	194080	neues wie folgt in dieser passage aus uns sind gefährliche tiere geworden wir kämpfen nicht
194080	199640	wir verteidigen uns vor der vernichtung wir schleudern die granaten nicht gegen menschen
199640	204920	was wissen wir im augenblick davon dort hetzt mit händen und helmen der tot hinter uns her wir
204920	209040	können ihm seit drei tagen zum ersten mal ins gesicht sehen wir können uns seit drei tagen zum
209040	213880	ersten mal wehren gegen ihn wir haben eine wahnsinnige wut wir liegen nicht mehr ohnmächtig
213880	220600	warten auf dem schafott wir können zerstören und töten um uns zu retten und zu rächen wir
220600	224920	hocken hinter jeder ecke hinter jedem stacheldrahtgestell und werfen den kommenden bündel von
224920	230560	explosionen vor die füße ehe wir fort hutschen das krachen der handgranaten schießt kraftvoll in
230560	236120	unsere arme in unsere beine geduckt wie katzen laufen wir überschwemmt von dieser welle die uns
236120	241680	trägt die uns grausam macht zu wegelagern zu mördern zu teufeln meinetwegen dieser welle die
241680	247040	unsere kraft vervielfältigt in angst und wut und lebensgier die uns rettung sucht und er kämpft
247040	252560	käme dein vater mit denen drüben du würdest nicht zaudern ihm die granate gegen die boss zu werfen
252560	260320	was da eindeutig beschrieben wird ist eben diese struktur die form die den inhalt frisst und schluckt
260320	268600	und alexander kluge der sich sehr sehr viele jahre in seinem leben mit dem thema krieg intensiv und
268600	275680	gründlich befasst hat beschreibt das ganze wie folgt der grundform des element des kriegs ist
275680	282480	der zweitgang zweitgang für eine ehe zweitkampf zwischen zwei rittern zweitkampf zwischen zwei
282480	290080	clients und er hat aber die tendenz sich von sich aus immer weiter aufzublasen das ist sein
290080	297600	charakter ja er muss sich steigern wie eine börse das tut und muss also alle mittel anwenden das ist
297600	302800	das wesentliches krieg ist dass man die mittel nicht begrenzt halten ja sondern dass der gegner
302800	310880	mir aufzwingt dass ich meine mittel steigere um ihn zu vernichten und der mördersten form ist
310880	319360	das der krieg mit waffen und der wechselt wie ein chameleon dauernd sein gesicht und immer hat
319360	326480	man dieses einfache mit messer jemande kenne durchschneiden ja und moderne waffen fernwaffen
326480	333840	anwenden fast gleichzeitig das täuscht wenn man annimmt dass das ist der krieg nicht das ganze
333840	340640	abc seiner möglichkeiten immer wieder hervorholt und sie sind keine sekunde in einem krieg sicher
340640	346120	dass er sich nicht ausweitet wie ein flächenbrand das ist das gefährliche daran weswegen wir es ja
346120	353280	studieren von daher empfinde ich deine frage am ende deines letzten skits als sehr leitgebend
353280	358720	nämlich darauf jetzt gar nicht ad hoc eine antwort zu finden warum verhalten wir uns so wie
358720	364600	wir verhalten und speziell im bereich des krieges sondern wir müssen es wie alexander kluge sagt
364600	372320	studieren gründlich studieren uns von außen anschauen das wird uns aber nicht gelingen wenn
372320	379360	wir uns mitten in der logik des krieges befinden dann sind wir das was remark beschreibt dann
379360	386400	werden wir zutieren wir werden entmenschlicht wir werden uns unsere analyse und reflektionsebene
386400	394040	geraubt von daher müssen wir neben all den berechtigten rufen nach selbstverteidigung
394040	401120	nach unterstützung der ukraine es nicht unterlassen uns weiterhin zu bemühen den krieg und seine
401120	407960	strukturen und seine mechanismen und seine wirkmächtigkeit weiterhin gründlich zu
407960	416040	untersuchen und da ist es dann überhaupt nicht hilfreich wenn man sich im diskurs gegen menschen
416040	422640	stellt die versuchen dem ganzen analytisch zu begegnen die versuchen pazifistische
422640	431120	botschaften auszusenden und die eben appellieren und sagen hört zu dieser krieg den ihr gerade
431120	438400	einfordert aus emotional gerechtfertigten gründen krieg ist nicht so einfach beherrschbar
438400	443800	und entscheidbar wie wir das aus unseren friedlichen bedingungen heraus uns imaginieren
443800	452080	und die systemlogik des krieges wenn man so will besteht eben aus dieser permanenten steigerung von
452080	460240	daher ist meine abschlussfrage zu diesem skit wie kommen wir aus dieser logik aus dieser schleife
460360	466840	aus diesem sich selbst erhaltenen steigern denn system heraus was lernt uns hier die
466840	475760	geschichte was können wir aus 14.400 kriegen in der bekannten menschheitsgeschichte lernen
475760	484360	wie durchbrechen wir die logik wie entziehen wir dem krieg die nahrung die er sich holt um weiter
