start	end	text
0	4840	Hey, Humann, danke für deine sehr, sehr, sehr gute Sprachnachricht zum Thema Krieg.
4840	8600	Ich würde das an der Stelle gerne auch so stehen lassen.
8600	12520	Wir werden sicherlich auf das Thema Krieg immer mal wieder zurückkommen, aber wir wollen
12520	18280	uns ja auch andere Phänomene in Politik, Alltag und Popkultur uns genauer angucken.
18280	22880	Ein Beispiel, was ich gerne jetzt ins Spiel bringen würde, ist eine Geschichte, die sich
22880	25320	auch in der letzten Woche entwickelt hat.
25320	31760	Es geht um das Thema Ankerkraut, Nestle und einer Art, ich würde fast sagen postmodernen
31760	37120	Streik, nämlich von ziemlich vielen und ziemlich großen InfluencerInnen.
37120	39880	Der YouTuber Rezo erklärt es uns ganz kurz.
39880	45680	Ankerkraut ist ein Unternehmen, die machen so Gewürze und die haben auch mit verschiedensten
45680	48360	Influencern und Influencerinnen Kooperation gemacht.
48360	53760	Nachdem die viel Influencer-Marketing gemacht haben, haben die jetzt veröffentlicht, Nestle
53760	59840	ist neuer Mehrheitseigentümer von Ankerkraut und darunter ging dann der Shitstorm los.
59840	65000	Viele InfluencerInnen haben instant geschrieben, in derselben Stunde noch, oder zwei Stunden
65000	69040	später oder so, meine laufende Kooperation mit Ankerkraut ist damit jetzt beendet.
69040	74280	Was ich bemerkenswert finde, zum einen ist tatsächlich die drastische, sehr schnelle
74280	80560	Reaktion, was vielleicht aber auch damit zusammenhängt, dass die Kommunikation von Nestle und Ankerkraut
80560	86280	mehr als miserabel war, denn alle bestehenden Partnerschaften wurden darüber vorab nicht
86280	87280	informiert.
87280	89160	Sie haben das nur aus den Medien erfahren.
89160	93920	Als Unternehmensberater habe ich natürlich so meine Theorie, warum sie das so gemacht
93920	100080	haben, taktisch, weil natürlich ein Shitstorm vorab und eine drohende Kündigung aller Partnerschaften
100080	104000	zu einer massiven Senkung des Kaufpreises geführt hätte.
104000	108720	Aber die Begründung für die Beendigung der Partnerschaft mit den InfluencerInnen waren
108720	111840	natürlich andere, nämlich moralisch-ethischer Art.
111840	117640	Rezo macht das stellvertretend für viele andere beispielhaft am Wikipedia-Artikel von Nestle.
117640	123840	Dort liest er seinem Publikum einfach nur mal die Überschriften des Kritikteils an
123840	124840	dem Konzern vor.
124840	126320	Und das hört sich wie folgt an.
126320	135520	Babynahrung, Gentechnik, Kinderarbeit, Menschenhandel, Zwangsarbeit, unter Kategorien Kakaoanbau
135520	145680	und sonstige Zwangsarbeit, unfaire Handel, Betrug und illegale Preisabsprachen, Tierversuche,
145680	152640	Regenwaldzerstörung, Trinkwasser hatten wir gerade, Lebensmittelsicherheit, Unterstützung
152640	159080	der weißrussischen Diktatur, Vorwurf der Unterstützung der russischen Diktatur und
159080	160080	sonstiges.
160080	164240	Weil es immer noch Sachen gibt, die da nicht reinfallen.
164240	165240	Weiß ich nicht, Digga.
165560	172080	Der Hauptkritikpunkt an Nestle wird aber einhellig von sehr vielen dieser Protagonisten wie folgt
172080	175000	beschrieben, auch hier wieder stellvertretend Rezo.
175000	178400	Das, was den meisten hängen geblieben ist, ist halt der Umgang mit Wasser.
178400	184800	Nestle geht halt in Armländern hin und saugt halt das Wasser daraus, also geht an Orte,
184800	190120	wo es eh schon nicht so easy ist, genug Wasser für die Leute zu finden, pumpt dann das Wasser
190120	195840	daraus, der Grundwasserspiegel sinkt, Brunnen trocknen aus als Folge und Nestle sagt halt
195840	197520	ja, ihr könnt ja das Wasser bei uns kaufen.
197520	203120	Wie immer bei solchen Phänomenen habe ich mehr Fragen als Antworten und diese Fragen
203120	207600	würde ich gerne mit dir, Humann, und allen, die dazuhören, teilen.
207600	214520	Ist es nicht tatsächlich auch ein oberflächliches Symptom einer tiefer legenden Problematik?
214520	217600	Vor allen Dingen, wenn wir uns nochmal das Wasserthema angucken.
217640	222040	Ich als großer Fan von Infrastruktur habe natürlich das sofort im Sinn.
222040	227600	Das heißt, Nestle geht in Länder, in denen Infrastruktur nicht wirklich entwickelt ist,
227600	230000	so wie wir es hier im Westen haben.
230000	235440	Sprich, sowohl technologisch gesehen, also Wasserleitung, Wasseraufbereitung, all das,
235440	240840	was wir auf extrem hoher Qualität hier in Europa und vor allen Dingen in Deutschland haben,
240840	244880	was natürlich auch in staatlichen Händen ist und das ist dann die zweite Infrastruktur,
244880	250200	nämlich ein stabiles, staatliches, demokratisches Konstrukt, was solche eine Infrastruktur
250200	253040	gegebenenfalls aufsetzen und steuern kann.
253040	260000	Und aus meiner Sicht stößt Nestle als profitorientierter Konzern, der sicherlich seine eigene Logik
260000	266640	nochmal weitaus konsequencer und regierter verfolgt als vielleicht andere kleine Familienunternehmen.
266640	270080	Nestle stößt eigentlich nur in eine Lücke hinein.
270080	275000	Eine Lücke, die entstanden ist durch fehlende staatliche, stabile Regulierung
275000	278040	und schlägt daraus entsprechend Profit.
278040	281480	Man könnte jetzt natürlich das ewige Katz-und-Maus-Spiel spielen und sagen,
281480	285960	okay, dieser Konzern, dieses Unternehmen, was diese Lücken letztlich ausnutzt,
285960	288200	die gilt es moralisch zu verdammen.
288200	292360	Wir boykottieren die Werbeverträge, wir boykottieren den Kauf,
292360	296360	was aber interessanterweise ja selten nachhaltig funktioniert.
296360	301240	Es gibt meistens eine Empörungswelle, aber ein echtes Embargo,
301240	306280	was sich wirklich massiv in den Absatzzahlen niederschlägt, das findet ja eigentlich kaum statt,
306280	310800	weil natürlich auch viele Käuferinnen und Käufer im Supermarkt sich nicht immer wieder
310800	315600	die moralische Frage stellen, wenn sie vor einem leckeren Brathähnchengewürz stehen.
315600	320360	Von daher interessiert mich auch hier die Struktur, das System dahinter,
320360	325320	die Schicht darunter, unter der Oberfläche der rein moralischen Empörung.
325360	331320	Zweitens, was mich eben auch interessiert, ist, ist diese Form, die die Influencer
331320	335800	und Influencerinnen gerade an den Tag legen, nämlich ein geschlossener,
335800	342720	fast geschlossen wirkender Protest, ist das fast etwa schon eine postmoderne Variante eines Streiks?
342720	350160	Oder ist das eher so ein, naja, laues Lüftchen, was eher wieder Symbolempörung ist
350160	357360	und am Ende schwingt das Pendel wieder sich ganz normal ein und Nestlé als Konzern und als Marke
357360	363120	trägt überhaupt gar keinen Schaden davon. Jeder hat seinen Cash gemacht und geht glücklich und
363120	368160	zufrieden nach Hause. Wie würdest du das bewerten, Human? Und vielleicht auch an alle Hörerinnen
368160	372760	und Hörer, wie würdet ihr das bewerten? Ihr habt jetzt übrigens auch die Gelegenheit auf
372760	381160	critical-infinity.de, eure Sprachnachricht uns zukommen zu lassen und wir können das
381160	389280	ggf. dann mit aufgreifen. Also die Frage an dich, Human, wie bewertest du den Ankerkraut Nestlé-Fall?
