start	end	text
0	4000	Das Beispiel, das du dir ausgesucht hast, ist eigentlich ein sehr spannender Fall.
4000	9000	Denn schaut man sich nur die Oberfläche an, wirkt die Kritik irgendwie offensichtlich oder trivial.
9000	14000	Aber fängt man an, diese Schichten abzunehmen, kommt man Schritt für Schritt einem sehr komplexen Kern näher.
14000	18000	Aber fangen wir mal mit der äußersten Schicht der Zwiebel an. Und zwar Nestlé selber.
18000	22000	Offen gesagt, die Systemkritik an Nestlé ist relativ offensichtlich.
22000	25000	Das hat auch Rezo beim Überfliegen des Wikipedia-Artikels sehr deutlich gemacht.
25000	28000	Wir sollten vorsichtig sein und das nicht einfach so dismissen.
28000	30000	Also einfach so zu tun, als wäre das so normal.
30000	35000	Denn das ist ja genau das Problem. Das ist für uns normal geworden, dass ein Unternehmen wie Nestlé halt solche Dinge hat.
35000	42000	Denn im Kern bei Unternehmen wie Nestlé ist es ja so eine Art Dichotomie zwischen Profit und Natur oder Menschlichkeit.
42000	47000	Denn was haben wir da bei Nestlé? Wir haben ein 160 Jahre altes Unternehmen im Konsumgüterbereich.
47000	51000	Und der Konsumgüterbereich selbst ist ja eines der ursprünglichsten Industrien.
51000	57000	Und das ist natürlich dann auch die Industrie, die über die letzten 100, 150 Jahre kontinuierlich optimiert wurde.
57000	60000	Sie haben das ökonomische Spiel im Grunde perfektioniert.
60000	66000	Niedrige Rohrschauspreise, niedrige Arbeitnehmerpreise, kontinuierlich neue Marken und ein perfektioniertes Marketing.
66000	71000	Und die Logik, die diese Unternehmen anwenden, das kennen wir auch von Milton Friedman aus den 70er Jahren.
75000	80000	Natürlich meinte Friedman, im gesetzlichen Rahmen zu agieren, aber hier sehen wir doch auch schon die Grenzen der Möglichkeiten.
80000	86000	Während der moderne Kapitalismus global ist, ist die Rechtsstaatlichkeit nicht wirklich globalisiert.
86000	91000	Soweit Unternehmen die Möglichkeit haben, werden sie versuchen, gewisse Loopholes, gewissen Möglichkeiten auszunutzen
91000	96000	und damit im Grunde auch mit Staaten zusammen zu arbeiten, wo man über Rechtsstaatlichkeit eher differenziert debattieren würde.
96000	100000	Aber wie gesagt, die Kritik an Nestlé ist relativ klar aus meiner Sicht.
100000	105000	Denn was haben wir denn hier? Einen alten Megakonzern mit über 270.000 Mitarbeitern.
105000	109000	Auf der anderen Seite haben wir ein Unternehmen wie Ankerkraut mit 100 oder so Mitarbeitenden.
109000	115000	Aber was wir bei Ankerkraut uns ganz spannend anschauen können, ist, wie sie moderne Managementmethoden nutzen, um eine Brand zu etablieren.
115000	118000	Und hier finde ich die Kritik schon ein wenig spannender.
118000	124000	Hier lohnt sich nämlich ein Blick in das Buch The New Spirit of Capitalism von Luke Boltanski und Eve Cipello.
124000	130000	In ihrem 1999 erschienen Buch machen die beiden deutlich, dass sich die Struktur des Kapitalismus geändert hat.
130000	136000	Im Kern geht es darum, dass die Kritik des kapitalistischen Systems und damit auch die Kritik an den Unternehmen
136000	143000	von den Systemteilnehmern, also von den Unternehmen selbst, genommen wird und umgewandelt wird zu ihrem Wettbewerbsvorteil.
143000	151000	Also konkret, ein Unternehmen wie Ankerkraut, das im Konsumgütermarkt unterwegs ist, kann ja nur wettbewerbsfähig sein, wenn es seine Rohstoffpreise niedrig hält.
151000	153000	Das ist halt the name of the game.
153000	158000	In einem fast moving consumer goods Industrie kann man nur in gewissen Preiskategorien arbeiten.
158000	165000	Klar sind Konsumenten bereit für eine Marke ein kleines Premium zu bezahlen, aber die Zahlungsbereitschaft ist dort relativ limitiert.
165000	170000	Also wenn jetzt ein neues Unternehmen kommt in einen komplett gesättigten Markt, können sie ja nicht über Preis in den Wettbewerb einsteigen.
170000	179000	Und sie wissen ganz genau, dass heute sowohl Mitarbeitende als auch Kundinnen das Gefühl haben wollen, bei einem Unternehmen zu arbeiten oder Produkte einzukaufen,
179000	184000	dass das, was es tut, gut ist für die Welt oder zumindest nicht schlimm ist für die Welt.
184000	193000	Also die Kritik, dass Unternehmen böse profitfokussierte Maschinen sind, wird umgewandelt in ein positives Narrativ, auch wenn es nicht wirklich was am System ändert.
193000	198000	Also wenn Anker Kraut sich hinstellt und sagt, sie sind eine tolle Brand oder die haben einen tollen Zweck usw.
198000	204000	Also heißt es trotzdem nicht, dass Bauern in der dritten Welt an der Wertschöpfung, die sie erzeugen, wirklich partizipieren.
204000	208000	Und Mitarbeiter in Deutschland sind auch halt nur Angestellte, die ihren Job machen sollen.
208000	212000	Aber jetzt halt mit mehr Freude und einem Growth Mindset, denn das Unternehmen ist ja cool.
212000	219000	Grob gesagt, mit jedem Widerstand, egal ob der intern oder extern ist, also durch die Mitarbeitenden initiiert wird oder aus dem Markt kommt,
219000	227000	also von den Konsumenten oder in dem Fall auch zum großen Teil über Geschäftspartner, das System wird dadurch jedes Mal resilienter.
227000	232000	Der Soziologieprofessor Vivek Shibber erklärt das in seinem gerade veröffentlichten Buch The Class Matrix.
232000	239000	Sehr spannend. Der Kapitalismus ist sehr stark darin, seine inneren Spannungsverhältnisse aufzulösen und in menschbare Lösungen zu transformieren.
239000	247000	Und zwar schneller als die Mitarbeitenden und teilweise auch die Kunden sich kollektiv organisieren können, um auch nachhaltige Wirkung zu zeigen.
247000	254000	Also es gibt eine Art Macht Asymmetrie. Unternehmen bzw. Kapitaleigentümer können schneller agieren und adaptieren das System,
