start	end	text
0	7800	Hallo Human, hallo Patrick. Ihr habt hochinteressante Beiträge geliefert und ich versuche den großen
7800	14160	Bogenschlag, weil es sich ja schon angedeutet hat im letzten Beitrag von Patrick, dass man
14160	24160	einmal Krieg, Ankerkraut, Weltmarkt miteinander verknüpft. Ihr werdet euch erinnern als Putin
24160	30760	in die Ukraine einmarschierte. Da waren auch die Influencer zunächst einmal entsetzt und
30760	36920	sie beschlossen, viele zumindest, dass sie keine Werbung jetzt gerade posten wollen. Sie
36920	42640	fanden das in irgendeiner Weise unanständig. Ich finde es zunächst einmal unproblematisch,
42640	47680	wenn Influencer weiterhin Werbung machen. Schließlich ändert es nichts an der dramatischen
47680	53840	Situation und es ist ja auch der primäre Job von Influencern. Allerdings wird es vielen
53840	60040	Werbekunden nicht recht gewesen sein. Die sind ja auch auf ihr Image bedacht und dachten nun ja,
60040	65200	in den ersten Tagen des Krieges wollen wir jetzt vielleicht uns mit Werbung ein bisschen
65200	72000	zurückhalten. Influencer posteten zu Kriegsbeginn weniger oder dann auch gar keine Werbung und man
72000	77760	kann davon ausgehen, in diesen Kriegstagen wäre diese Werbung auch nicht besonders effektiv
77760	85720	gewesen. Man hat das von Influencerseite dann sehr stark persönlich begründet mit eigenen Sorgen und
85720	91120	Ängsten. Es fühlt sich einfach falsch an, war dann zu hören. Doch es ergibt selbstverständlich
91120	97640	ökonomisch Sinn. Das wichtigste Kapital der Influencer ist die Glaubwürdigkeit und diese
97640	103720	würden sie aufs Spiel setzen, wenn sie jetzt dann nicht ihre Betroffenheit öffentlich kundtun
103720	109240	würden. Bei vielen Influencern war das sehr kalkuliert. Sie posteten nicht einfach nichts
109240	116040	oder bloß Links zu Hilfsorganisationen. Sie betrieben Virtual Signaling, in dem sie Posts
116040	122480	absetzten, in denen sie sagten, dass sie nun jetzt nicht das übliche posten werden, weil ja
122480	128360	Krieg ist. Man setzt ein Zeichen, was vor allem meint, seht her, wie gut ich bin. Sehr bald werden
128360	133760	die Influencer zur sogenannten Normalität zurückkehren, dachte ich mir, und es ist dann
133760	139200	schneller gekommen als erwartet. Es hat vielleicht fünf, sechs Tage gedauert und natürlich wird
139200	144640	wieder ganz normal geworben. So war es im Übrigen auch schon nach Black Lives Matter und so war es
144640	150880	auch nach dem Truppenabzug in Afghanistan. Man macht also nur ein ganz, ganz kurzes Moratorium
150880	156760	und dann geht es weiter. Der Marktwert der tugendstolzen Influencer dürfte sich dadurch
156760	163200	noch gesteigert haben. Ich frage mich also, ob wir es bei dem Ankerkrautphänomen nicht mit
163200	169200	etwas ganz Ähnlichem zu tun haben. Denn die Influencer werden selbstverständlich es sich
169200	175680	dreimal überlegen, ob sie für Ankerkraut werben und sie sind jetzt auch erst einmal ausgestiegen
175680	181400	aus diesen Verträgen. Aber wir müssen auch bedenken, Influencer sind in der Regel sehr stark
181400	186640	diversifiziert, was ihre Werbekunden anbelangt und da ist es auch gar nicht so schlimm, wenn man mal
186640	192640	irgendeine Kooperation nicht wahrnimmt. Im Gegenteil, ich glaube sogar, dass auch hier sich wieder ein
192640	198080	ganz neuer Markt erschließen lässt, in dem man sagt, so nicht, das möchte ich nicht. Da werden
198080	204400	sich also andere Kunden jetzt gerade bemühen, an Influencer ranzukommen. Da werden also andere
204400	209800	Unternehmen auftauchen, die es besser machen als Ankerkraut, die nicht zu korrumpierbar sind,
209800	214320	in Anführungszeichen und so weiter und so fort. Das heißt, auch hier haben wir wieder eine
214320	220480	Entwicklung, die den Influencer nur zugute kommt und wenn wir dann, Humann du hast es ja auch in
220480	225760	deiner Nachricht schon sehr deutlich gemacht, schaut, wo die Influencer eigentlich ihr Geld
225760	230720	verdienen. Natürlich auf den großen Plattformen, auf Twitch oder sehen wir uns auch Rezo an,
230720	237440	der für Aldi geworben hat, dann ist doch sehr fraglich, was plötzlich diese moralische
237440	242720	Empörung eigentlich soll. Es ist ein bisschen bei den Influencern so, dass sie jetzt mit diesem
242720	250840	Ankerkraut noch mal versuchen zu zeigen, dass sie nicht komplett käuflich sind, aber es ist ein
250840	256840	bisschen wie bei der Praktika-Werbung auf alles 20 Prozent, außer auf Tiernahrung und bei den
256840	262680	Influencern heißt es, wir werben für alles außer für Ankerkraut. Auf die Frage, ob dies
262680	269040	eine postmoderne Variante des Streiks sei, möchte ich doch sehr klar antworten, nein. Streik meint
269040	275600	ja Arbeitskampf, meint mehr Macht für die Beschäftigten und um die geht es ja an keiner
275600	283720	Stelle hier, sondern das ist ja ein externer Akteur der Influencer, der einwirken will auf
283720	289720	die Policy eines Unternehmens, wo es ja auch schon zu spät ist, denn das Ding wurde ja dann
289720	293800	bereits verkauft, aber mit den eigentlichen Arbeitskämpfen, für die sich Influencer
293800	299840	wirklich nie interessieren, also Arbeitskampf kommt nie vor, das ist etwas, was man glaube ich hier
299840	306360	nicht verbinden kann. Wir haben es eher mit einem Spektakel als mit einem Streik zu tun und das
306360	312640	liegt sicherlich daran, wie Humann gesagt hat, dass das System so klug ist, die Kritik an ihm zu
312640	320080	inkludieren und dass das ja auch die Erfolgsstory von Ankerkraut offenbar gewesen ist. Im Konsumgüterbereich
320080	328440	haben wir ganz stark dieses Storytelling, das über etwas Außergewöhnliches läuft, das darüber
328440	334640	läuft, dass man in einer gewissen Tradition steht, dass man eine gewisse Historie hat, dass man
334640	340480	moralische Standards hat. Auch weil es ja etwas ist, was man dem Körper zuführt, also Gewürze,
340480	346000	ist das nochmal ganz entscheidend dann auch für die Konsumenten. Insofern erleben wir hier eine
346000	351160	besondere Form der Bereicherungsökonomie, die so erfolgreich war, dass sich dann sogar ein
351160	358800	Großkonzern dafür interessiert und dann selbstverständlich zugreift. Hätte man nicht
358800	366200	auch schon vorher den Braten riechen können? Ja selbstverständlich, aber ich glaube, dass viele
366200	372720	genau diese Empörungen brauchen, um die eigentlichen systemischen Fragen, die ihr ja alle
372720	378480	angesprochen habt, schon zu überdecken. In gewisser Weise kann man doch sein ganzes Leben sich damit
378480	386000	beschäftigen, welches Unternehmen gerade was getan hat. Kapitalismuskritik ist ja etwas, was wir in
386000	391840	der Schwundstufe tagtäglich in der Zeitung erleben. Slawe Zizek meinte einmal, es gibt eigentlich zu
391840	396960	viel Kapitalismuskritik. Wenn er die Zeitung aufschlage, dann sieht er immer irgendwelche
396960	401640	Skandale von Unternehmen, Manager, die sich bereichert haben und und und. Wir können uns
401640	407280	also laufend damit beschäftigen, um nicht die eigentlichen Mechanismen zu erkennen. Es gibt
407280	415400	einen Wettbewerb zwischen den Unternehmen. Es gibt einen Arbeitskampf zwischen jenen, die Kapital haben
415400	421400	und jenen, die nur die Arbeitskraft verkaufen können. Und es gibt auch einen Wettbewerb zwischen den
421400	428280	Ländern. Ich empfehle hier sehr das Buch Vernichten, den neuen Roman von Michel Houellebecq, wo das
428280	434160	auch sehr schön ausgebreitet wird. Da geht es um den französischen Wirtschaftsminister, der sich
434160	439480	selbstverständlich in einem Krieg permanent befindet, wie es heißt. Aber dieser wird nicht
439480	446000	mehr militärisch ausgetragen, sondern dieser Krieg wird dann über Wirtschaft ausgetragen. Wo setze
446000	452640	ich ein Atomkraftwerk hin? Wohin exportiere ich? Was importiere ich? Das heißt, das ist die Art,
452640	457760	wie wir eigentlich uns in einem permanenten Krieg befinden. Es gibt jetzt auch ein neues Buch. Das
457760	465360	heißt The Weaponizing of Everything. Das ist also eine Entwicklung, die jetzt schon jahrzehntelang
465360	471360	andauert, die aber auch typisch ist für das kapitalistische Weltsystem, um mal einen Begriff
471360	477600	des Soziologen Emanuel Wallerstein ins Spiel zu bringen. In gewisser Weise ist deshalb die
477600	485520	Situation fatal. Eigentlich können wir doch gar nichts tun, wenn die Unternehmen konkurrieren um
485520	492880	möglichst hohe Profite, um Arbeitskräfte, die wenig kosten, Lieferwege, die zwar schmutzig,
492880	498720	aber günstig sind und so weiter und so fort. Und wenn das dann auch auf der internationalen Ebene
498720	503920	nicht nur für die Konzerne gilt, sondern zugleich auch für die Staaten, also Staaten konkurrieren
503920	508240	untereinander. Wir sehen, wie stark diese Konkurrenz ist. Wenn zum Beispiel diese
508240	515000	Klimakonferenzen stattfinden und die Staaten sich nicht einig werden oder nur ganz kleine Schritte
515000	524640	wagen bei dem, was eigentlich für die Reduzierung der CO2-Emissionen getan werden muss, dann erleben
524720	530080	wir natürlich Konkurrenten untereinander, die möglichst viel Profit behalten wollen,
530080	535800	da keine Volkswirtschaft bereit ist zu schrumpfen. Anders gesagt, Länder können nicht einfach
535800	542800	schrumpfen, weil sie dann auch geopolitisch unsicher werden. Das heißt, die Konkurrenten
542800	549880	können schnell zugreifen, genauso wie wir das mit Aktienkonzernen erleben, mit Aktienunternehmen,
549880	555400	wenn diese schwach sind, wenn die sehr schlecht bewertet sind und vielleicht gerade in einer
555400	561120	Krise sind, dann ist es sehr leicht, diese zu übernehmen. Und diese feindlichen Übernahmen,
561120	567440	die scheut man nicht nur an der Börse, sondern die scheut man gleichermaßen dann auch auf dem
