start	end	text
0	5200	hallo wolfgang herzlichen dank für deine gehaltvolle sprachnachricht ich habe
5200	10400	mich sehr gefreut weil tatsächlich zu diesem zeitpunkt als ich mir das
10400	15800	angehört habe ich mich wirklich auf einem absoluten tiefpunkt befunden habe
15800	20480	tatsächlich basierend auch auf deiner feststellung dass wir dann schnell im
20480	25880	fatalismus landen und so hat sich das für mich auch letztendlich angefühlt
25880	31920	ein zustand wo wir merken ok wir können uns alle arme und beine ausreißen es
31920	35880	wird sich am ende sowieso nichts ändern der lauf der geschichte ist
35880	41480	vorbestimmt und so habe ich mich so ein bisschen wie mich aus parte 3 gefühlt
41480	46760	kurz bevor er seinen herzinfarkt hatte
47760	52120	und deswegen bin ich sehr dankbar für deinen letzten satz in der sprachnachricht
52120	57920	nämlich möglicherweise ist die zukunft offener als bedenken weil wenn nicht
57920	63280	würden wir uns in einem zustand befinden die du ganz wunderbar in deiner
63280	69880	filmanalyse zur dystopie brasil von terry gilliam beschrieben hast es gibt
69880	74440	kein entkommen in diesem film einmal noch tut sich da ein locus amonus auf
74440	79160	außerhalb der stadt jenseits der zivilisation in der natur aber terry
79160	84600	gilliam ist sehr klug den zuschauen eben nicht ein solches eskapistisches
84600	89760	ende zu liefern das ganze endet mit einer großen filmreferenz direkt zu
89760	94680	o'clock work orange in der verwalteten welt nämlich da schauen wir nur aber
94680	99160	sehen nicht und du sprachst ja außerdem davon dass terry gilliam ganz bewusst
99160	104240	kein happy end gewählt hätte und sich dagegen hollywood größen letztendlich
104240	108560	durchgesetzt und durchgeschlingelt hat wenn man so will und ich habe dazu
108560	112080	tatsächlich noch eine interessante passage aus einem interview mit terry
112080	114960	gilliam gefunden was ich gerne hier vorlesen würde
114960	119920	worum es im brasil wirklich geht ist dass das system nicht aus großartigen
119920	124280	führen besteht oder aus großartigen maschinisten die es kontrollieren es
124280	128320	besteht aus einzelnen menschen die einfach ihren job tun als kleines
128320	132920	zahnrad und sam beschließt ein kleines zahnrad zu bleiben und letztendlich
132920	137280	zahlt er den preis dafür auf der anderen seite merkte ich dass es einen
