start	end	text
0	4360	Hey Wolfgang, hey Patrick, ich bin ziemlich hängen geblieben bei dem Fatalismusbegriff.
4360	7920	Ich versuche in diesem Skit ein paar der Gedankenmodelle, die wir in der Vergangenheit genutzt haben,
7920	8920	zusammenzubringen.
8920	12280	Vorab, ich kann dein Gefühl des Fatalismus sehr gut nachvollziehen, Patrick.
12280	15800	Viele dieser Konzepte können einem das Gefühl geben, dass man machtlos ist.
15800	20680	Auch oft werden kritische Denker wie Lacan, Zizek, Adorno und so weiter genau das vorgeworfen,
20680	24240	dass sie uns alleine lassen mit den Problemen, die sie uns aufgezeigt haben und gleichzeitig
24240	27160	auch sagen, dass man sie alle eigentlich gar nicht lösen kann mit den Denkenmodellen,
27160	28160	die wir heute haben.
28160	30200	Aus meiner Sicht tun wir diesen Menschen unrecht an.
30200	34520	Ich selber bin ja Berater und genau diese Denkmodelle helfen mir grundsätzlich und
34520	36520	wirklich neue Lösungen zu finden.
36520	39440	Vieles, was ich im Folgenden erkläre, ist meine Perspektive.
39440	42240	Es kann sein, dass ich bestimmte Konzepte vereinfacht darstelle.
42240	46480	Denn ich versuche viele dieser Konzepte, die wir bisher besprochen haben, aus einer funktionalen
46480	47640	Sicht zu betrachten.
47640	51880	Sie geben mir ein Vokabular, um bestimmte Phänomene basierend auf einem Ideenkonstrukt
51880	52880	zu beschreiben.
52880	57160	Ideologie beispielsweise ist ein sozial vermittelter Mechanismus, der unsere Realitätskonstruktion
57160	58160	bedingt.
58160	59840	Es formt im Grunde den Inhalt, den wir wahrnehmen.
59840	63520	Und hier sind wir auch schon beim nächsten, die Unterscheidung von Inhalt und Form bzw.
63520	67000	den formalisierten Inhalten und den Inhalt in der Form selbst.
67000	70440	Ein weiteres Denkwerkzeug ist die Negation einer Sache, die es erlaubt, eine Dichotomie
70440	73520	aufzubauen, um zu verstehen, auf welcher Linie wir uns bewegen.
73520	78240	Es baut im Grunde das Spannungsverhältnis auf, um einen Lösungsraum überhaupt zu eröffnen,
78240	82160	um überhaupt zu verstehen, welche begrifflichen Lösungsmöglichkeiten wir haben können.
82160	85160	Und dann natürlich auch die Negation der Negation.
85160	88800	Die Versuch, die Differenz oder das Spannungsverhältnis aufzulösen.
88800	92520	Ein weiteres Denkmodell, das wir bisher noch nicht benutzt haben, ist der Unterschied zwischen
92520	95640	einer immanenten Kritik und einer transcendentaler Kritik.
95640	100480	Die transcendentale Kritik ist, wenn wir versuchen, außerhalb des Systemes das System zu kritisieren.
100480	103400	Aber hier arbeiten wir am Horizont unserer Erkenntnis.
103400	107320	Und hier ist es auch so, dass wir vielleicht ein Gefühl bekommen, dass es keinen Ausweg
107320	110320	mehr gibt, da wir uns keinen Ausweg mehr vorstellen können.
110320	114640	Wie beim Gesellschaft des Spektakels denken wir, dass wir gefangen sind im System.
114680	119080	Also die transcendentale Kritik ist also die Kritik, wo wir uns das Ganze anschauen.
119080	123160	Und meistens fühlt sich hier die Veränderung verloren an und die Matrix hat übernommen.
123160	126360	Aber das ist ein Trugschluss, denn es gibt kein perfektes geschlossenes System.
126360	128880	Sonst wären wir ja in einer Utopie oder einer Dystopie.
128880	130800	Jedes System hat seine Limitierung.
130800	134600	Aber im Sinne einer dialektischen Erkenntnistheorie haben wir diese Erkenntnis noch nicht gemacht
134600	136560	und fühlen uns deshalb eingesperrt.
136560	137880	Und hier kommt die immanente Kritik.
137880	143080	Hier sind wir im System und kritisieren die Objekte, Narrative, Praktiken und insbesondere
143080	147200	die Widersprüche, die im System stattfinden, um die Ideologien aufzudecken.
147200	151720	Wichtig bei der transcendentalen Kritik legen wir die fundamentalen Formen unseres Denkens
151720	155440	frei, die wir aber selbst nicht weiter denken können, als diese Logiken, die wir haben.
155440	157840	Und daher fühlen wir uns auch oft machtlos.
157840	162200	In der immanenten Kritik sind wir uns aber den fundamentalen Formen unseres Denkens bewusst.
162200	166880	Nutzen diese aber, um die unterliegenden Widersprüche und Ideologien des Systems zu durchschauen.
166880	169160	Und daher müssen wir uns auf beiden Ebenen bewegen.
169160	172680	Nur auf einer transcendentalen Ebene unterwegs zu sein, kann es sein, dass man irgendwann
172720	173880	zu einem Nihilisten wird.
173880	178000	Und nur auf einer immanenten unterwegs zu sein, schaffen wir es nicht, die Widersprüche
178000	179840	und Ideologien zu identifizieren.
179840	184560	Wichtig, auf der immanenten Ebene, also auf der fragmentierten Ebene, können wir auch
184560	185640	wirklich handeln.
185640	189400	Und bis hierhin würdest du, Patrick, mir wahrscheinlich zustimmen, beziehungsweise hättest
189400	191880	jetzt keine großen Bauchschmerzen mit meinen Erklärungen.
191880	194600	Aber hier kommt das, was mich am meisten in deinem Skit getriggert hat.
194600	199800	Das, was Zizek als Hysterie bezeichnet bzw. du als möglichen Weg bezeichnet hast.
199800	203840	Hysterie ist im Grunde ja das Gefühl, was du vielleicht hattest, als du gesagt hast,
203840	205520	dass es dir zu fatalistisch ist.
205520	210360	Und hier wäre ich jetzt vorsichtig mit einer Ableitung in sowas wie Hysterie ist ein Weg,
210360	212960	aber du hättest gerne Weg 2, 3 oder 4.
212960	215800	Denn aus diesem Gefühl gibt es aus meiner Sicht nur zwei Wege.
215800	220840	Wir fangen sofort an, mit den Logiken des Systems am System zu arbeiten und stabilisieren
220840	224680	am Ende damit das System, so wie die Influencer das getan haben im Fall von Ankerkraut.
224680	228640	Und daher schlagen die meisten Influencer aus meiner Sicht gar keine Delle in die Matrix.
228680	231120	Sie machen sie im Grunde nur stärker, resilienter.
231120	234240	Das ist im Grunde der Bewältigungsmechanismus aus Hysterie raus.
234240	238200	Wir halten es nicht mehr aus und suchen Befriedigung in der Lösungsumsetzung.
238200	240200	Was ist jetzt nur die zweite Möglichkeit?
240200	241480	Mit den Worten von Zizek.
241480	243280	Don't act, just think.
243280	247840	Da wir auch schon so viel über Zizek geredet haben, lasse ich ihn mal hier selbst zu Wort kommen.
247840	251200	Mein Tipp wäre, weil ich keine einfachen Antworten habe, zwei Dinge.
