start	end	text
0	5400	Herzlichen Dank, lieber Maurice, für deine ausführlichen Erklärungen zum Thema MMT.
5400	12300	Also die Abkürzung für Modern Monetary Theory, die mir bis dahin tatsächlich noch gar nicht so präsent war.
12300	19200	Was vielleicht an der Stelle noch wichtig zu erwähnen ist, ist, dass auch diese Theorie natürlich kritisierbar ist.
19200	26400	Also wenn da draußen jemand ist, der sich dazu berufen fühlt, dort eine kritische Bemerkung,
26400	35000	eine Replik zur MMT zu machen, der kann sich gerne bei uns melden oder direkt per Sprachnachricht beteiligen.
35000	42300	Ich persönlich kenne mich viel zu wenig aus, hat aber definitiv mein Interesse geweckt, sich viel stärker damit zu befassen.
42300	50000	Deshalb möchte ich an der Stelle das Feld öffnen für weitere Themen, die mich in der Woche wirklich beschäftigt und umgetrieben haben.
50000	54900	Aber eigentlich handelt es sich um einen sehr großen Themenkomplex.
54900	58600	Und ich würde ihn jetzt mal überschreiben mit Twitter.
58600	63600	Ich mache jetzt mal für euch da draußen, die zuhören und sich vielleicht beteiligen wollen,
63600	68500	ein paar Themen auf, die mich interessieren würden in diesem Themenkomplex, was ihr dazu denkt,
68500	72900	die ich jetzt hier in diesem Audio-Skit aber gar nicht groß thematisieren möchte.
72900	78500	Das erste ist die Meldung, Elon Musk möchte Twitter kaufen und Twitter,
78500	87400	wenn wir es sehen, als neue Form eines Massenmediums, die tatsächlich maßgebliche Auswirkungen auf unseren gesamten Diskurs haben,
87400	89300	auf die gesamte Medienlandschaft.
89300	97600	Für mich ist Twitter eine Art Keimzelle aller folgenden journalistischen und nicht journalistischen Auseinandersetzungen,
97600	106200	weil es eben im Moment das einzige Medium in Echtzeit ist, wo sehr, sehr, sehr viele Menschen miteinander verknüpft und verbunden sind,
106200	115900	wo viele Menschen eine Stimme erheben können, die gehört wird und die wiederum Einfluss hat auf andere Artikel in anderen Medien
115900	123700	und auch zum Teil, so würde ich es beobachten, auch deren Stilistik und Tonalität zum Teil übernehmen.
123700	130700	Also für mich ist Twitter der komprimierteste Kommunikationsraum, den wir im Moment haben.
130800	138500	Und wenn wir nach Marshall McLuhan gehen, hat er natürlich auch seine ganz eigene Logik, die es zu betrachten und zu kritisieren gilt.
138500	147500	Das werde ich jetzt gleich in meinem Skit ein bisschen ausführen mit der Komponente der Zivilisierung und dem Soziologen Norbert Elias.
147500	158800	Daher die Frage und das Angebot an euch, wer möchte diese Thematik aufnehmen, warum Elon Musk jetzt Twitter kaufen möchte,
158800	165200	was hat das für Auswirkungen, was hat das für Auswirkungen auf die Gesellschaft, was hat das für Auswirkungen auf die Wirtschaft,
165200	172300	was hat das für Auswirkungen auf Elon Musk und warum tut er das und was hat er vor und was werden wir bekommen.
172300	181400	Ein zweites Themenfeld, was ich gerne zumindest anreißen möchte, ist die derzeitige Debattenkultur rund um den Krieg in der Ukraine.
181400	190000	Festmachen möchte ich das Ganze anhand der beiden offenen Briefe, die erschienen sind und deren Kommunikation rundherum
190000	201400	ich zunächst ausgiebig startend auf Twitter und dann kaskadierend in die, sage ich mal, traditionellen Medien in den letzten Tagen wir alle beobachten konnten.
201400	204700	Deswegen an der Stelle eine eindeutige Warnung.
204700	213200	Ich versuche die Thematik nicht auf der Inhaltsebene mir anzugucken, also irgendwie die Argumente der Briefe gegeneinander abzuwägen,
213200	222500	sondern ich möchte auf die Form schauen, also die Form des offenen Briefes, wie dieses Kommunikationsmedium funktioniert,
222500	231900	was es vielleicht für einen Zweck hat und warum es vielleicht gerade so schwer ist, rational miteinander zu diskutieren.
231900	240800	Es gibt nichts Emotionaleres als die Frage um Leben und Tod und deswegen gibt es natürlich gerade ein mediales Ereignis.
240800	249900	Ich spreche also von den beiden offenen Briefen, die uns bis heute eben bekannt sind, die gegeneinander argumentieren.
249900	259200	Die Briefe wurden verfasst und unterschrieben von, naja, ich will mal sagen intellektuellen Prominenten aus verschiedenen Bereichen der Gesellschaft,
