start	end	text
0	6360	Hey Juman, danke für deinen letzten reichhaltigen, wertvollen Skit. Du hast
6360	11400	den Schweinsgalopp-Lumans-Theorie der Massenmedien wunderbar anschaulich
11400	16320	erklärt. Du hast am Ende ja auch eine Frage dargelassen, nämlich die Frage, wie
16320	21680	können wir aus diesem Horse-Race-Journalism ausbrechen? Und da würde
21680	26760	ich tatsächlich so ein bisschen auch an dein Credo appellieren zu sagen, vielleicht
26760	31080	müssen wir an der Stelle einfach noch ein bisschen mehr verstehen, also noch
31080	35920	mehr dahinter zu schauen. Die Nachrichten funktionieren, wie sie
35920	41640	konsumiert werden und was da noch so alles Teil der ganzen Angelegenheit ist.
41640	46520	Ich sag mal so, Horse-Race-Journalism im politischen Bereich wird ja rund um
46520	53360	Wahlen und Wahlkampf eingesetzt und ich würde sogar noch so weit gehen, dass es
53360	58800	so eine Art weitere Abstraktionsebene gibt, die Nachrichten an und für sich
58800	64360	betreffen. Das erste, was ich für sehr wichtig halte und für die grundlegendste
64360	70280	aller Fragen, ist noch mal die Frage nach der Ökonomie in der Nachrichtenwelt. Und
70280	75120	ich hatte ja schon mal angerissen das ganze Thema in Zusammenhang mit Twitter,
75120	80800	dass Twitter im Grunde genommen seine eigene Währung hat, nämlich die der
80800	86720	Aufmerksamkeit und dass diese Aufmerksamkeit wiederum umgewandelt
86720	91640	werden kann in ökonomische Währung, in dem ich zum Beispiel Bücher verkaufen
91640	97400	kann, meine Dienstleistungen feil bieten kann und so weiter. Aber die klassischen
97400	102720	Nachrichtenproduzenten, die sind ja direkt gekoppelt mit unserem ökonomischen
102720	107680	System und damit auch unserem Kapitalismus. Also wir haben hier
107680	113240	mehrere Problemfelder. Zum einen der Kapitalismus an und für sich, der es
113240	119560	eben erfordert, dass Medien sich nicht nur selbst tragen und ihre Kosten decken
119560	124800	und dass vor allen Dingen die wichtigsten Akteure und Akteurinnen in
124800	128680	dem Medienbetrieb, nämlich die Journalisten und Journalistinnen,
128680	133560	entsprechend hoch vergütet werden. Stattdessen werden vor allen Dingen die
133560	139080	Medienmanager gut vergütet, die sich eben hauptsächlich darum kümmern müssen,
139080	144840	dass der Medienbetrieb wiederum genug Profite einfährt, damit eben nicht der
144840	150040	Betrieb gewährleistet wird. Oder was ja auch noch völlig in Ordnung wäre, er
150040	156800	weiterentwickelt, ausgebaut, innoviert wird, im Sinne vielleicht auch einer
156800	161440	gesellschaftlichen Aufklärung. Man denke an die berühmte vierte Gewalt. Nein, der
161440	166480	Profit geht direkt in die Hände der Shareholder, also diejenigen, die ursprünglich
166480	170960	mal Kapital bereitgestellt haben und zwar als reinen Selbstzweck. Also nicht um ein
170960	175840	besonders tolles journalistisches Angebot zu formulieren, sondern um die
175840	180520	eigene Rendite zu erwirtschaften, die man ja schließlich investiert hat. Und
180520	186040	meistens sind Manager nicht besonders kreativ. Es gibt da auch nicht besonders
186040	190840	viele Faktoren, an denen man drehen kann. Das ist ja entweder, indem man mehr
191240	195560	verkauft, indem man die Auflage erhöht oder eben die Kosten senkt. Und
195560	201200	interessanterweise sind Managemententscheidungen selten dabei, sich
201200	205160	selbst abzuschaffen. Und das ist ja meistens, sage ich mal, der höhere
205160	210240	Kostenfaktor. Sondern man schaut dann eben, wo kann man denn eigentlich in der
210240	215720	Nachrichtenproduktion sparen, also dort Personal einsparen. Es gab ja mal die
215720	223040	sensationelle Idee der Bildzeitung, die Leserreporter einzuführen. Also auch hier
223040	228280	handelt es sich um eine interessante Form des Outsourcings. Das sind alles so
228280	232800	kleine Themen, die in Summe natürlich ein Gesamtbild ergeben.
232800	238400	Ergänzen möchte ich das mit einem Zitat aus dem Buch von Alain de Botton,
238400	244400	Die Nachrichten, eine Gebrauchsanweisung. Der Absatz lautet wie folgt.
244400	250240	Geld spielt da eine Rolle. Aufgrund ihrer finanziellen Bedürfnisse können die
250240	256320	Nachrichtenunternehmen es sich nicht leisten, Gedanken zu verbreiten, die nicht
256320	262520	bei enorm vielen Menschen unmittelbar Anklang finden. Ein Künstler kann ein
262520	267560	vernünftiges Einkommen erwirtschaften, indem er seine Werke an 50 Kunden
267560	273400	verkauft. Ein Schriftsteller kommt mit 50.000 Lesern über die Runden, aber ein
273400	278840	Nachrichtenunternehmen kann seine Rechnung nur bezahlen, wenn seine
278840	283480	Anhängerschaft größer ist als die Bevölkerung einer beachtlichen
283480	289320	Metropole. Welcher Grad an Übereinstimmung, welche Unterdrückung von
289320	294680	Eigentümlichkeit und nützlicher Verrücktheit ist erforderlich, Stoff
294680	301840	vorzulegen, der für so viele hinreichend genießbar ist. Weisheit,
301840	307320	Intelligenz und Differenziertheit der Meinung wird man schlecht in handlichen
307320	313200	Portionen über eine Bevölkerung von 20 Millionen Menschen rieseln lassen. So,
313200	317480	jetzt haben wir ganz viele Ebenen der Ökonomie und wir haben eine mögliche
317480	323240	Erklärung, warum es so Horse-Race-Journalism geben könnte, nämlich
323280	328600	allein aus der Tatsache heraus, dass es ökonomische Zwänge gibt, die Nachrichten
328600	333360	in Portionen und Häppchen leicht verdaulich packen müssen, damit sie in
333360	338000	Masse eben genug Leute erreichen, damit am Ende des Tages die Shareholder auch
338000	342920	zufrieden sind. Da könnte man sagen, okay, das ist halt so, das sind halt die Dinge,
342920	349040	der Markt regelt etc., pp., aber es hat natürlich immense Auswirkungen auf
349080	354400	unsere Gesellschaft, wenn wir Medien als vierte Gewalt tatsächlich auch begreifen
354400	359280	und als Instrument, um gesellschaftliche Probleme aufzuzeigen und mögliche
359280	364880	Lösungen anzuregen. Und auch hier habe ich ein passendes Zitat von Alade
364880	368480	Botton aus seinem Buch Die Nachrichten gefunden, das lese ich hier gerade noch
368480	370840	mal vor.
372000	377280	Man könnte leicht meinen, der eigentliche Feind demokratischer Politik sei die
377360	382560	aktive Zensur von Nachrichten und umgekehrt die Freiheit, alles zu sagen oder
382560	388440	zu publizieren, natürliche Voraussetzung aller demokratischen Kulturen. Doch die
388440	393480	moderne Welt lehrt uns, dass eine viel listigere und zynischere Methode als die
393480	398160	Zensur den Menschen ihren politischen Willen entzieht. Das Publikum wird
398160	403560	verwirrt, gelangweilt und von der Politik abgelenkt, in dem die wichtigsten
403560	409040	Ereignisse und Probleme so ungeordnet, bruchstückartig und lückenhaft
409040	414160	präsentiert werden, dass man meist nach kurzer Zeit den Faden verliert. Ein
414160	419160	zeitgenössischer Diktator, der seine Macht etablieren will, müsste nicht etwas so
419160	424240	offensichtlich Übles tun, wie die Nachrichten zu verbieten. Er oder sie
424240	428840	müsste lediglich dafür sorgen, dass die Medien eine Flut von zufällig wirkenden
428840	433800	Berichten veröffentlichen, in riesigen Mengen, aber mit wenig Erklärung zum
433800	438960	Kontext und unter ständig wechselnden Titeln, so dass sie kein Gefühl für die
438960	444480	bleibende Relevanz eines vor kurzem noch ganz dringenden Problems vermitteln und
444480	450160	dazwischen regelmäßig Updates zu dem bunten Treiben von Mördern und Filmstars
450160	455360	einblenden. So würde die Fähigkeit der meisten Menschen hinreichend untergraben,
455360	461320	die politische Realität zu verstehen, ebenso wie jeglicher gute Vorsatz, diese
461320	466960	zu verändern. Der Status quo könnte demnach getrost für immer erhalten
466960	473120	bleiben, durch eine Flut und nicht etwa durch ein Verbot von Nachrichten. Und an
473120	477000	der Stelle möchte ich zurückkommen auf deine benannte Metapher im letzten
477000	482680	Audioskit, nämlich den Treibstoff. Du hast ja gesagt, dass journalistische
482680	488080	Nachrichten der Treibstoff für Twitter seien und dass diese Nachrichten dann
488080	493000	Twitter antreiben würden und die Leute darüber in die Diskussion geraten.
493000	496920	Ich musste lange über dieses Bild nachdenken und an vielen Stellen würde
496920	501400	ich es in Frage stellen oder ergänzen wollen, weil ein Treibstoff suggeriert,
501400	505520	dass etwas zwar angetrieben wird, dass diese aber auch irgendwann zu Ende geht.
505520	510640	Das, was aber mit dem Treibstoff an News in Twitter passiert, ist ja folgendes. Es
510720	516840	wird sozusagen noch mal potenziert, vervielfältigt. Und dann gilt das als
516840	521480	neuer Treibstoff für neue Tweets. Das heißt, wir gelangen irgendwann in eine
521480	527200	Situation des reinen Hörensagens. Das heißt, die Leute sehen, irgendjemand in
527200	531760	meiner Bubble, dem ich folge, eschauffiert sich über irgendeine
531760	536400	Thematik und ich gucke mir eigentlich gar nicht mal den Urstoff an und schon
536520	541400	gar nicht schaue ich mir an, was noch mal dahintersteckt, weil die News sind ja
541400	547680	schon laut de Bouton meistens zerhexelt. Und dann geraten wir mitten rein in eine
547680	554040	zerhackstückelte Melange aus Hörensagen. Es geht dann am Ende auch gar nicht mehr
554040	558400	um die eigentliche Nachricht oder das, was vielleicht noch viel tiefer unter
558400	563160	der Oberfläche liegt, sondern es geht dann nur noch um das Eschaufieren, das
563160	568520	Empören, das Schreien, das Brüllen. Somit wird der gesamte Diskurs aus meiner
568520	574600	Sicht komplett in dieser Logik und Mechanik zerschreddert. Und an der Stelle
574600	578560	möchte ich eine erste Sprachnachricht von unserem Publikum einspielen.
578560	584480	Herr Walter hatte nämlich eine Ergänzung und eine Fortsetzung zu dieser Ökonomie
584480	589080	der Aufmerksamkeit und er bringt jetzt eine neue Komponente rein. Denn dieses
589080	595280	Zerschreddern ist ja dann auch noch erfolgreich, je lauter es wird. Und Herr
595280	599480	Walter teilt mit uns eine Beobachtung, die weit über Twitter hinausgeht.
599480	604920	Gerade diese Aufmerksamkeitsökonomie, ja, das beobachte ich schon länger auch auf
604920	609240	Twitter, aber nicht nur. Daher würde ich ganz gern diesen Raum ein bisschen
609240	615320	erweitern, denn diese Aufmerksamkeitsökonomie haben wir auch bei Influencern
615320	620680	und auch in ganz anderen Bereichen. Was sie, wer am lautesten schreit wird, gehört
620680	624800	und um das so ökonomisch auch zu überführen, das ist ja auch im
624800	631080	Arbeitsalltag mittlerweile so. Der oder die Kollegin des Mail am lautesten ist,
631080	636120	wird meistens auch als erstes bearbeitet. Also es ist ein Zug durch die
636120	640840	Gesellschaft über die Machbarkeitsbereiche von Twitter hinaus. Es ist
640840	645840	ja auch so, dass der Mensch da drauf eher gepolt wird mittlerweile. Wie es ist,
645840	650560	wer am lautesten schreit, der kriegt halt auch die Aufmerksamkeit. Es ist sozusagen
650560	657720	der Speakers Corner, der immer lauter wird, wo man ja auch umeinander buhlt.
657720	661800	So, jetzt um auf deine Frage nach einer möglichen Lösung dann doch noch mal
661800	666040	zurückzukommen. Mir fällt tatsächlich einer ein, und zwar hast du es selber
666040	671560	schon benannt. Es ist zum Beispiel eine neue Art des Publizierens, und zwar in
671560	676920	Form und Inhalt. Und mir fällt da tatsächlich im Moment in Deutschland
676920	683080	auch nur Tilo Jung ein und sein Format Jung und Naiv. Warum? Tilo vollzieht
683080	687760	gleich aus meiner Sicht einen doppelten Musterbruch, sowohl auf der Form wie auch
687760	692440	auf der Inhaltsebene. In Form kann man sagen, er durchbricht das gängige
692560	698080	ökonomische Modell, in dem er eben seine Einnahmen rein aus Spenden
698080	703840	akquiriert. Und das bedeutet, dass er finanziell ganz anders aufgestellt ist.
703840	708240	Er hat keine Shareholder, die er bedienen muss. Und somit kann er sich voll und
708240	712120	ganz auf die journalistische Arbeit konzentrieren. Natürlich fallen auch
712120	717560	Managementaufgaben an, aber dafür kann er ja ein Team entsprechend aufbauen,
717560	722600	ausbauen. Und auch im Personalunion wird er sicherlich die eine oder andere
722600	727000	Aufgabe selber übernehmen. Es hat natürlich auch sicherlich Nachteile
727000	731360	dieses Modell, weil es natürlich entsprechend fragiler ist. Aber es ist
731360	736440	zumindest mal ein Versuch, aus der gängigen Logik von Medienproduktionen
736440	741360	auszubrechen. In einer Logik bleibt Tilo natürlich immer noch gefangen, nämlich
741360	745840	die Ökonomie der Aufmerksamkeit. Das heißt, wenn er keine Aufmerksamkeit erfährt,
745880	750000	wird er auch keine Spendengelder bekommen. Und hier beißt sich dann ein
750000	754360	Stück weit die Katze wieder in den Schwanz. Das heißt, auch hier wird Twitter
754360	759200	wieder relevant und andere soziale Netzwerke, von denen er dann auch ein
759200	765440	Stück weit abhängig ist. Also irgendwo muss es ja eine Art Vorinvest geben.
765440	770520	Und von daher ist dieses Modell natürlich nicht nur fragil, sondern
770520	776360	er fordert auch ein notwendiges Initialrisiko. Das Zweite, was er tut, ist
776360	781960	der Musterbruch auf der Inhaltsebene. Man könnte aber auch sagen, es ist auf der
781960	788440	medialen Formatebene. Das heißt, er nimmt sich Zeit, sehr viel Zeit für seine
788440	794480	Gäste und für die Themen. Und der Unterschied dort ist eben, dass er in
794720	801800	dieser Zeit es ausgiebig nutzt, eine Thematik nicht einfach zu berichten, die
801800	806640	schon einen gewissen Newscharakter hat. Also oft geht es ja schon auch um
806640	812080	aktuelle Themen wie den Klimawandel, den Krieg in der Ukraine und so weiter.
812080	818400	Aber er nimmt sich die Zeit und die Gäste, um dieses Thema zu kontextualisieren,
818400	824080	zu vertiefen, es sogar meistens auf wissenschaftlichem Niveau das Ganze zu
824080	829600	machen. Und dadurch, dass er sich, also er und sein Team, sich gründlich
829600	835720	vorbereiten und kritisch das Ganze auch noch hinterfragen, hat man am Ende ein
835720	841560	umfassendes Format, das man wirklich auch mal als journalistisch bezeichnen kann
841560	847640	im besten ideellen Sinne. Also du siehst solche Formate und den Mut zu solchen
847640	851840	Formaten und anderen Ansätzen, das gilt es eigentlich ein Stück weit zu
851840	856440	entwickeln. Und als kleinen Cliffhanger nehme ich noch mit rein, weil ich habe ja
856440	859520	viele Jahre Erfahrung im öffentlich-rechtlichen Kontext, weil man
859520	864040	könnte jetzt zu Recht sagen, hier Patrick, ökonomische Zwänge, wie sieht es
864040	869000	denn aus mit dem öffentlich-rechtlichen System über Gebühren und so weiter. Da
869000	875360	als kleiner Hinweis und Cliffhanger und Spoiler-Alarm, das Interessante hier ist
875360	882600	tatsächlich, dass die ökonomischen Zwänge irgendwie Einzug erhalten und zwar
882600	890040	auf eine andere Art und Weise, eine Metrik, die wir unter Quote kennen. Und wenn
890040	893680	dich das interessiert, kann ich das sicherlich in einem der folgenden
893680	899160	Skits noch weiter ausführen. Dabei jetzt interessiert mich, bist du denn so weit
899160	903640	mit dieser Betrachtungsweise zufrieden oder möchtest du noch tiefer unter die
903640	906640	Oberfläche tauchen?
