start	end	text
0	7000	Hey Stefan, erstmal danke für deinen Skit und du warst ziemlich erfolgreich mit deinem Ziel, Irritation zu erzeugen, zumindest bei mir.
7000	13000	Insbesondere deine Ausführungen und Fragen zum Schluss zur Differenzierung von Erleben und Handeln haben mich zum Nachdenken gebracht.
13000	19000	So sehr, dass ich in den dritten Band der soziologischen Aufklärung von Luhmann die Differenz zwischen Erleben und Handeln nochmal nachgeschaut habe.
19000	22000	Denn ich habe mich gefragt, was konstituiert diese Differenz?
22000	28000	Denn irgendwie sind sie doch beide ähnlich, beide haben Elemente von Intention drin.
28000	34000	Luhmanns Antwort ist, dass die Differenz durch den Prozess der Zurechnung von Selektionsleistungen erzeugt wird.
34000	40000	Das heißt, um Erleben und Handeln unterscheiden zu können, muss man verstehen, wem eine Selektion zugerechnet werden kann.
40000	50000	Laut Luhmann wird intentionales Verhalten als Erleben registriert, wenn und soweit seine Selektivität nicht dem sich verhaltenen System, sondern dessen Umwelt zugerechnet wird.
50000	57000	Es wird als Handeln angesehen, wenn und soweit man die Selektivität des Aktes dem sich verhaltenen System selbst zurechnet.
57000	64000	Und Stefan, das ist ja sehr anschaulich am Beispiel von Twitter dargestellt, dass es ein Gefühl von eigener Zurechenbarkeit von Selektionsleistungen gibt.
64000	72000	Aber, und das hast du auch sehr deutlich gemacht, gibt es wohl einen Zwischenraum zwischen Erleben und Handeln, und zwar das Erlebnis von Handlungen,
72000	75000	beispielsweise an dem von dir beschriebenen Klikktivismus.
75000	82000	Diese Art von Pseudohandlung oder Pseudoaktivismus ist ja im Kontext von Social Media kein radikaler Aktivismus.
83000	87000	Es ist notwendig, damit das System, beispielsweise Twitter, überhaupt weiter funktioniert.
87000	95000	Dieses, ich nenne es mal Problem, also Problem in dem Sinne, dass die Abweichung uns die Differenz deutlich macht, ist natürlich daringehend spannend,
95000	97000	weil wir an diesem Punkt schon ein paar Mal waren.
