start	end	text
0	5040	Habeck's Clip ist natürlich eine sehr interessante Antithese zu Lindner. Ich würde hier den
5040	10840	Fokus auf den Begriff der Normalität bringen. In einem Moment genuine Authentizität setzt
10840	16120	uns Habeck die Brille auf und dekonstruiert die Normalität unserer Realität. Wenn wir
16120	19880	in die Dekonstruktion gehen, ist es immer spannend, die Dinge anzuschauen, worüber
19880	25520	wir meistens nicht reden. Das, was wir vielleicht als normal, alltäglich oder belanglos einsehen.
25520	28800	Unser Alltag beruht dann am Ende viel mehr auf ideologischen Dingen, als es vielleicht
28800	33960	auf den ersten Blick aussieht. Das Verrückte ist, wir wissen das alles. Alle Themen, die auch
33960	39120	Habeck anspricht in seinem Skit, sind uns ja bekannt. Keiner ist überrascht, dass er das sagt.
39120	45280	Und Slavoj Zizek dreht dafür gerne ein Zitat aus dem Lukas-Evangelium um. Und zwar in dem
45280	50760	Evangelium ist es, Herr, verzei ihn, denn sie wissen nicht, was sie tun, und sie tun es trotzdem.
50760	56560	Und Zizek dreht das und er sagt, Herr, verzei ihn, denn sie wissen, was sie tun, und sie tun es
56560	63520	trotzdem. Für Zizek ist das genau, wie Ideologie als realitätsstrukturierende Fantasie ins Spiel
63520	69200	kommt. Eigentlich wissen wir das, aber irgendwie wird das unterdrückt. Und zu einem Teil ist es
69200	73440	auch vollkommen normal, dass es unterdrückt wird. Wir wären ja sonst schizophren, wenn wir permanent
73440	77400	alles hinterfragen. Das klassische Beispiel ist Geld. Ich gehe ja nicht zu einem Bäcker und denke
77400	80880	mir, das ist ja nur ein Stück Papier, was ich hier in der Hand halte. Das ist ja eigentlich
80880	85680	nichts wert. Genauso wie der Bäcker, der denkt ja sich auch nicht, soll ich das Stück Papier
85840	90000	wirklich annehmen und ihm dafür Brötchen geben. Das Papier ist ja eigentlich nichts wert. Aber wenn
90000	93880	wir beide dran glauben, dann kann ich ihm die Brötchen verkaufen, denn dann vielleicht hat
93880	98800	das Papier dann einen Wert. Natürlich nicht. Also das soziale Leben würde ja zusammenbrechen,
98800	103640	wenn wir so denken würden, wenn wir schizophren werden. Also systemtheoretisch ist im Grunde
103640	108480	Ideologie in diesem Sinne eigentlich eine nützliche Komplexitätsreduktion, damit wir überhaupt als
108480	112320	soziale Systeme überhaupt miteinander interagieren können. Problematisch wird es aber, wenn es den
112320	116520	Diskurs systematisch unterdrückt. In dem Clip vom Habeck bei Lanz sehen wir das ja ganz schön.
116520	121560	Habeck erklärt Lanz, was er, also Lanz eigentlich machen sollte, was eigentlich seine Aufgabe ist.
121560	127360	Also die Dekonstruktion der Normalität. Denn was ja Habeck sehr deutlich macht, wir empören uns
127360	132440	oder wir moralisieren immer nur dann, wenn gerade eine Abweichung stattfindet von der Normalität.
132440	136720	Die Normalität an sich wollen wir nicht wirklich diskutieren. Ein aktuelles Beispiel ist zum
136720	141720	Beispiel Rittersportschokolade. Klar rufen einige Leute, dass wir doch Rittersportschokolade
141720	146040	boykottieren sollen, weil sie immer noch Russland beliefern. Aber wenn wir im Supermarkt am Regal
146040	151160	stehen, machen wir uns kaum Gedanken, dass fast jede Schokoladenprotein Kakao verwendet, die aus
151160	155320	Kinderarbeit verwendet werden. Das unterdrücken wir, obwohl wir das eigentlich zum großen Teil
155320	160800	auch wissen. Und das führt mich zurück zu Lindner. Er und die FDP wollen ja eben nicht über die
160800	165720	Normalität sprechen. Sie wollen die Normalität erhalten. Sie sind vielleicht bereit Zugeständnisse
165720	171000	zu machen, aber nur um die Normalität zu erhalten. Das Problem bei solchen Momenten wie das von
171000	176720	Habeck bei Lanz ist, dass sie aber selber zur Normalität führen oder sich normalisieren. Ich
176720	180800	möchte ein Beispiel aus der Serie Black Mirror bringen und dann würde mich auch deine Perspektive
180800	184960	darauf interessieren, ob die Rede von Habeck vergleichbar sein kann. Und zwar die Black
184960	190800	Mirror Episode in der ersten Staffel. Die Episode heißt Fifty Million Merits. Es geht im Wesentlichen
190800	196320	um eine Gesellschaft, wo die Mehrheit der Menschen auf eine Art Fahrrad-Ärgometer fährt und dabei
196320	200800	Punkte sammelt. Diese Punkte werden im Wesentlichen dafür genutzt, um Nahrung zu kaufen,
200800	206120	aber auch um Entertainment zu konsumieren oder Werbung zu konsumieren oder wegzuschalten. Es
206120	211520	gibt dort auch eine Art Talent-Show, vergleichbar mit sowas wie das Supertalent bei uns, wo man,
211520	216160	wenn man ganz viele Punkte gesammelt hat, diese dafür ausgeben kann, um so ein Ticket zu bekommen,
216160	223320	um sich dort mit seinem Talent vor drei Juroren zu stellen. Und wenn sie einen gut finden, dann ist
223320	228600	man halt ein Superstar und führt dann irgendwie ein tolles Leben. Den Protagonisten, den wir dort
228600	233880	beobachten, erlebt innerhalb der Serie einen Schicksalsschlag und ist frustriert von seinem
233880	239520	Leben. Voller Wut kauft er sich ein Ticket, stellt sich vor die Jury und holt dann eine Scherbe aus
239520	245320	der Tasche und droht sich vor laufender Kamera umzubringen. Er hält dabei eine Rede, die im
245320	251560	Grunde das gesamte System demaskiert. Er setzt im Grunde allen Menschen und den Juroren die
251560	257920	Brille auf und sagt, guckt euch an, was wir hier eigentlich machen. Er wird am Ende von der Jury
257920	263480	und von allen Zuschauern dafür gefeiert. Sie stimmen ihm alle zu. Sie sagen alle, sie spüren
263480	270040	auch diesen Schmerz und wird dann am Ende zum Superstar erklärt und bekommt daraufhin eine
270040	275880	eigene Show, wo er ständig erzählt, wie schlimm dieses System ist. Aber was am Ende passiert,
275880	281760	er stabilisiert damit das System. Er normalisiert die negativen Effekte des Systems und macht es
281760	286280	dann am Ende auch konsumierbar von anderen, die dann auf ihren Fahrrädern sitzen und dann seine
286280	290600	Show angucken. So jetzt mal eine Frage an dich. Wie siehst du das Beispiel im Kontext von Habeck?
290600	295360	Stabilisiert sich unsere Normalität oder was bedeutet das, was er gesagt hat überhaupt für
295360	296480	unsere Realität?
