start	end	text
0	4320	Hey Patrick, ich bin mir noch nicht so ganz sicher, welche Aussage wir ziehen können
4320	6800	aus der Erkenntnis der Bullshit-Jobs.
6800	9600	Natürlich das, was du beschrieben hast und auch in diesem Beispiel, was du hattest mit
9600	14720	der Person, die eine Kiste hin und her getragen hat, wirkt das für uns, dass diese Jobs relativ
14720	15880	nutzlos sind.
15880	20600	Allerdings bin ich da eher bei Niklas Luhmann und würde sagen, jede dieser Rollen, jede
20600	24960	dieser Jobs erfüllt eine Funktion, die ja von dem Unternehmen gewünscht ist.
24960	28320	Vielleicht macht sie in der Außenbetrachtung wenig Sinn, weil die betriebswirtschaftliche
28320	32960	Perspektive in der Regel ist, dass Unternehmen Ressourcenallokation sehr effektiv und effizient
32960	33960	machen.
33960	36280	Und da würden wir wahrscheinlich draufgucken und sagen, anscheinend sind dort Ressourcen
36280	40240	nicht effizient oder effektiv allokiert, aber aus dem System heraus können sie natürlich
40240	41240	sehr viel Sinn machen.
41240	44080	Das von dir beschriebene Beispiel mit der Person, die einen Computer von einem Raum
44080	48840	in den anderen getragen hat, kann zum Beispiel dadurch erklärt werden, dass gewisse Verantwortlichkeiten
48840	53320	und Versicherungen gerne immer weiter rausdelegiert werden oder beziehungsweise übertragen werden.
53320	56640	Dementsprechend soll der Soldat nicht die Versicherung tragen, dann soll die Behörde
56840	60240	sie nicht tragen, dann soll die eine Organisation das nicht tragen und dann der andere Dienstleister
60240	63760	ist das nicht dran und irgendwann findet man irgendjemand, der es dann am Ende doch trägt.
63760	68720	Aber für die jeweiligen Entitäten, für die jeweiligen Teilnehmer hat sie ja eine Funktion.
68720	73160	Auch die Person, die diesen Job ausfüllt, zieht ja mindestens eine Funktion aus diesem
73160	74320	Job und das ist Geld.
74320	78480	Natürlich mit dem Verweis auf meinem Arbeitsgit, wenn Arbeit nur Geld ist, liegt irgendwas
78480	79480	schief.
79480	83280	Aber wenn wir es jetzt rein funktional-deskriptiv betrachten, ist die Frage, welche Aussage
83280	84960	ziehen wir jetzt aus diesen Bullshit-Jobs?
84960	88640	Denn am Ende sind wir ja auch irgendwie verhangen in unseren Denklogiken, auch wir beide.
88640	92720	Beispielsweise ist das von dir beschriebene in Einzelteile denken oder systemisch.
92720	96160	Ich würde überhaupten, wenn man an einer konkreten Lösung arbeitet, arbeitet man im
96160	100440	Einzelnen und versucht dann immer wieder rauszutreten, um das Systemische zu betrachten.
100440	103800	Ich kann mir das nur schwer vorstellen, dass man beides gleichzeitig tut.
103800	105800	Insbesondere, wenn die Komplexität steigt.
105800	109240	Da fangen wir eher an, mit Heuristiken zu arbeiten und versuchen, irgendwelche Muster
109240	110240	zu deuten.
110240	113560	Und da liegt ja auch schon eine sehr hohe Gefahr, wenn Menschen denken, sie können Systeme
113560	114560	durchdringen.
114560	117000	Und in Wirklichkeit ist es nur ein Trugschluss ihrer Wahrnehmungselektion.
117000	120960	Auch mit deiner Fragestellung, mit dieser Priorisierung, wo fängt man an oder nicht?
120960	125360	Oder kümmert man sich erst um Krieg oder erst um Hunger oder erst um Klima oder nicht?
125360	129280	Für mich wäre die Priorisierungsfrage auf dieser Ebene eigentlich schon irgendwie komisch,
129280	131880	denn natürlich muss das ja alles gleichzeitig passieren.
131880	136000	Die Priorisierungsfrage wäre aus meiner Sicht erst relevant, wenn wir in den einzelnen Lösungen
136000	137000	selbst drin stecken.
137000	141000	Aber ich verstehe deinen Punkt, dass wir im aktuellen Diskurs gewisse Themen vorgebracht
141000	143160	werden, damit wir darüber diskutieren.
143160	147120	Und nicht eigentlich über andere Sachen, denn aus meiner Sicht ist ja das Problem nicht,
147120	151560	ob wir erst den Hunger lösen oder erst den Krieg lösen oder erst die Klimakatastrophe
151560	155560	lösen, sondern dass wir eigentlich die Denkmuster hinterfragen müssen, die uns dazu gebracht
155560	159400	haben, dass wir überhaupt darüber diskutieren, dass diese Probleme heute da sind.
159400	163840	Denn aus meiner Sicht kaschiert diese Diskussion das unterliegende Problem.
163840	167720	Ich versuche mal mit einem Beispiel meinen Gedankengang nachvollziehbar zu machen.
167720	172040	Und zwar geht es um das Computerspieleunternehmen Activision Blizzard.
172040	177000	Activision Blizzard war in der Vergangenheit ziemlich unter Feuer, weil sehr viele Skandale
177000	178000	hochgekommen sind.
178000	183840	Von einer sehr toxischen Bro-Culture zu sexueller Belästigung, Diskriminierung von Minderheiten
183840	186560	und einer unglaublich krassen Crunch-Kultur.
186560	191240	Crunch, für die Non-Gamer, die sich das hier anhören, ist im Grunde über einen sehr langen
191240	194640	Zeitraum sehr hohe Arbeitsbelastungen auszuhalten.
194640	199280	Also wir reden über mehrere Monate, vielleicht sogar Jahre, wo man 100 Stunden die Woche
199280	200640	oder mehr arbeiten muss.
200640	204000	Also das ist im Grunde ein Kontext, in dem Activision Blizzard unterwegs war.
204000	208280	Man muss aber auch dazu sagen, Activision Blizzard ist nicht der einzige in der Computerspieleindustrie.
208280	212800	Es scheint tatsächlich dort ein sehr strukturelles Problem zu geben in der Computerspieleindustrie,
212800	214800	das immer wieder symptomatisch hochkommt.
214800	218440	Ich möchte jetzt nicht auf die spezifischen Probleme eingehen, sondern Activision Blizzard
218440	223280	wird aktuell sehr stark diskutiert, weil vor kurzem ein Gerichtsverfahren gegen Activision
223280	226800	Blizzard entschieden hat, dass dort sexuelle Belästigung stattgefunden hat.
226800	230480	Ich will vielleicht noch mal ganz kurz den Ausmaß der sexuellen Belästigung deutlich
230480	231480	zu machen.
231480	235560	Es gab in Activision Blizzard Männergruppen, die so Gruppenbilder gemacht haben, wo sie
235560	241140	ein Portrait von Bill Cosby in der Mitte halten und ihn zelebrieren, nachdem Bill Cosby verurteilt
241140	242840	wurde für sexuelle Belästigung.
242840	246080	Mir geht es jetzt gar nicht spezifisch darum, was in diesem Gerichtsverfahren passiert ist,
246080	249960	sondern eine der Handlungen, die aktuell Activision Blizzard annoucet hat, wie sie
249960	254440	zum Beispiel in Zukunft mehr Diversity in ihren Spielen produzieren wollen.
254440	259360	Dazu haben sie im Grunde so ein Konzept erstellt, wo basierend auf unterschiedlichen Metriken
259360	264080	in einem Spiel, wie man Character Design macht, eine Art Diversity Score entsteht.
264080	269360	Im Grunde kann man sagen, eine Art Excel-Liste mit gewissen Eigenschaften und gewissen Werten.
269360	274720	Journalistinnen haben herausgefunden, dass wenn man eher abweicht von so heteronormativ
274720	279720	männlich-weißem Bild, dass dann der Score in der Regel niedriger ist.
279720	280720	Was ist jetzt passiert?
280720	285080	Es funktioniert jetzt eine krasse Debatte über dieses Konzept, über dieses Tool und
285080	288520	über Game Design statt und so weiter und über Spiele an sich.
288520	292800	Das Problem allerdings ist ja, die Spiele an sich waren ja nie das Problem.
292800	296920	Es war ja niemals so, dass man gesagt hat, die Spiele leiden unter Diversity, sondern
296920	302000	die Firma an sich hat eine toxische Kultur, die vielleicht auch dazu führt, dass Spiele
302000	304080	eine gewisse Art und Weise von Ästhetik haben.
304080	308120	Aber was jetzt gemacht wurde, ist eine Maßnahme zu etablieren, die im Grunde auf Diversity
308120	312480	abzielt, um zu sagen, wir sind mehr diverse geworden und vielleicht sogar eine Argumentation
312480	315320	aufzubauen, zu sagen, wir reden nicht nur darüber, wir machen es auch.
315320	320280	Das Ding ist aber, dieser Score ändert ja nichts, sondern das Problem sind unterliegende
320280	321280	Strukturen.
321280	326920	Das Problem ist, dass beispielsweise Männer in dieser Branche statistisch bevorzugt werden
326920	332280	als Frauen, dass Männer statistisch gesehen mehr Geld bekommen als Frauen und so weiter.
332280	333720	Also worauf will ich hinaus?
333720	339600	Nur, auf diese 40% Bullshit-Jobs, die in Studien festgestellt wurden, zu gucken und zu sagen,
339600	343440	wie kriegen wir die verschoben, ist aus meiner Sicht natürlich zu kurz gedacht.
343440	347960	Sondern diese 40% sind aus meiner Sicht an der Stelle irrelevant, weil ja das System
347960	351480	diese 40% produziert und für das System haben sie eine Funktion.
351480	355480	Außerdem gibt es ja noch das Problem, wer entscheidet über das richtig oder über die
355480	356840	echten Probleme?
356840	361640	Beispielsweise sollte jetzt zentral entschieden werden, wer wo arbeiten soll oder nach welchem
361640	363600	Allokationsmechanismus machen wir das fest?
363600	368320	Und wie stellen wir wiederum sicher, dass eine Selektion stattfindet, dass die Berufe
368320	372240	gewählt werden, die Professionen gewählt werden, wo die Menschen vielleicht sowohl
372240	376160	gutes Geld verdienen, vielleicht auch noch für sich einen Sinn in ihrer Arbeit finden?
376160	379600	Aber auch wenn wir gesellschaftlich drauf schauen und sagen, anscheinend lösen wir
379600	383920	relevante Probleme und gleichzeitig muss das ja auch immer im Diskurs stattfinden.
383920	388160	Denn da denke ich mir immer, alle Probleme beinhalten Teile ihrer Lösung schon in sich
388160	391440	und alle Lösungen erhalten Teile ihrer Probleme.
391440	395640	Das bedeutet immer, wenn wir ein Problem lösen wollen, uns rund ums fokussieren, verhärten
395640	400040	müssen für die spezifische Problemlösung, werden wir auch immer Probleme mitnehmen.
400040	403880	Das heißt der Diskurs muss dementsprechend immer offen sein, nicht an einem Punkt in
403880	408040	der Dichotomie zu verharren, dass die Bewegung innerhalb der Dichotomie auch wirklich stattfinden
408040	409040	kann.
409040	412440	Und das ist aus meiner Sicht die viel schwerere Frage, ist nicht wie schieben wir die eine
412440	417520	Personengruppe irgendwo anders hin, sondern wie kommt es überhaupt, dass sowas entsteht?
