start	end	text
0	5880	Hallo Patrick, hallo Human. Erstmal möchte ich mich dafür bedanken, dass Patrick meine
5880	12000	Aussagen so perfekt eingebunden hat. Ich würde gerne an ein paar Punkte von Patrick, aber
12000	18160	auch von Human aus der vorherigen Nachricht anknüpfen. Wenn es darum geht, den Kapitalismus
18160	23520	durch die Degrowth-Counterhegemonie zu überwinden, können wir auch Lumans Systemtheorie hier
23520	28960	wieder verwenden. Hierzu muss man aber erstmal eine Brücke bauen. Denn Luman ist ja nicht
28960	36360	unbedingt Kapitalismuskritiker. Laut dem Politikwissenschaftler Darrow Schechter kann
36360	43760	man Luman über Gramsci mit Marx verknüpfen. In meinen Augen bedeutet das, dass wir die
43760	49240	Systemtheorie dazu verwenden können, die Reproduktion des kapitalistischen
49240	54880	Gesellschaftssystems besser zu verstehen. Aber wie genau kommen wir dahin? Erstmal lässt sich sagen,
55280	61040	dass beide, also Marx und Luman, die Gesellschaft betrachten und beschreiben,
61040	67560	wie sich diese reproduziert. Marx beschreibt anhand des Manchester Kapitalismus, wie eine
67560	74400	kapitalistische Gesellschaft emergiert, sich auszudifferenzieren und so zu reproduzieren
74400	80760	beginnt. Luman hingegen beschreibt eine voll ausdifferenzierte kapitalistische Gesellschaft
80760	86920	und wie sich diese über differenzierte Funktionssysteme reproduziert. Luman beschreibt
86920	93840	also eine ausdifferenzierte Gesellschaft, die Marx vorausgesagt hat, jedenfalls auf der Ebene
93840	98760	der Ausdifferenzierung im Kapitalismus. Wenn wir nun Gramsci dazu bringen, können wir also sagen,
98760	106320	dass Luman beschreibt, wie sich die kapitalistische Gesellschaft über hegemonische Kommunikation
106320	113240	autopoietisch reproduziert. Die ausdifferenzierten Funktionssysteme und andere gesellschaftliche
113240	119320	Strukturen machen über strukturelle Kopplungen die Reproduktion der kapitalistischen Hegemonie
119320	125680	leichter. Es ist ja angeblich einfacher, sich das Ende der Welt als das Ende des Kapitalismus
125680	131880	vorzustellen. Luman sagt und bewertet das natürlich nicht ganz so. Ich bezweifle, dass er bemerkte,
131880	139360	dass er eine Hegemonie beschrieb. Das zeigt sich auch in seiner Anwendung seiner eigenen Theorie,
139360	148760	zum Beispiel in seiner Betrachtung von Politik, Wirtschaft und Macht. Er fällt dort voll auf die
148760	154960	Seite der kapitalistischen Hegemonie. Nun ist Lumans Theorie ja wie eine Brille und wenn Luman
154960	161720	sie selbst auffahnt, schaut er mit seiner eigenen persönlichen hegemonienahen Weltanschauung hindurch.
161720	170080	Was passiert aber, wenn wir mit einer anderen Weltanschauung durch diese Brille schauen? Ich
170080	177120	als ökomarxistischer D-Growther gucke ganz anders durch die Brille der Lumanischen Systemtheorie und
177120	183760	unterfüttere die Theorie dadurch mit einer sehr normativen Perspektive. Mit dieser Perspektive sieht
183760	191040	man dann klar, warum sich Organisationen auch so eindeutig kapitalistisch verhalten. Hier also
191040	195920	die Anlehnung an Lumans letzte Nachricht bezüglich Verhalten von Organisationen und
195920	202840	warum sie sich verhalten, wie sie sich verhalten. Es macht autopoietisch Sinn, sich in einer
202840	208960	kapitalistischen Hegemonie kapitalistisch zu verhalten, um sich als Organisation besser
208960	216640	reproduzieren zu können. Aber was heißt das für D-Growth als Counterhegemonie? Wir können
216640	221680	argumentieren, dass Organisationen counterhegemonische Kommunikation betreiben
221680	228600	müssen. Denn laut Luman sind Organisationen ja die einzigen Systeme, die grenzüberschreitend
228600	233800	zwischen den Subsystemen kommunizieren können. Weiter können wir hier Marx ins Spiel bringen und
233800	239600	sagen, dass wir eine neue Produktionsweise benötigen. Also eine Produktionsweise, die
239600	245640	nicht die kapitalistische ist, eine Produktionsweise, die nicht auf der Akkumulation des Kapitals
245640	252480	basiert. Ökonomische Organisationen müssen also counterhegemonisch produzieren und kommunizieren,
252480	258720	um sich counterhegemonisch auf die Gesellschaft und ihre Strukturen auswirken zu können. Und
258720	264920	all das, während unsere gesellschaftlichen Strukturen auf genau das Gegenteil, also die
264920	271960	Akzeptanz und Resonanz von hegemonischer Kommunikation, ausgerichtet sind. Das zeigt
272200	280360	wie schwer das Richtige im Falschen wirklich ist. Aber wir sehen derzeit auch die Emergenz von
280360	286720	Netzwerken aus alternativen Organisationen, die wenigstens die Akzeptanz von counterhegemonischer
286720	294760	Kommunikation im kleineren Rahmen erleichtern und ermöglichen. Hoffnung besteht also, das Richtige
294760	301560	im Falschen voranzutreiben, um das Falsche am Ende mit dem Richtigen auszutauschen und dadurch den
301560	303320	Kapitalismus zu überwinden.
