start	end	text
0	4260	Hey Ben, danke nochmal für deine Perspektive aus der lumanischen Systemtheorie auf das Thema
4260	5260	zu schauen.
5260	8420	Und auch danke an André und natürlich Patrick, denn diese letzten Skits haben für mich ein
8420	9820	paar neue Fragen aufgemacht.
9820	13380	Denn was für mich interessant ist in dieser Debatte zu verstehen bzw. auch was Ben gesagt
13380	18780	hat mit dieser Gegen- oder Counterhegemonie ist zu verstehen, wie die dominante oder herrschende
18780	20340	Hegemonie sich reproduziert.
20340	23740	Ich möchte in diesem Skit die Chance benutzen und basierend auf ein paar Beobachtungen der
23740	25980	letzten Tage ein Feld öffnen.
25980	28340	Vorab, das sind die initialen Gedanken, die ich habe.
28440	31480	Und ich möchte das auch gar nicht als eine Art Essay hier aufbauen, sondern ich möchte
31480	34460	jetzt mal ein paar Gedanken, ein paar Aussagen in den Raum stellen und hoffe, dass sozusagen
34460	39080	im Wechselspiel des Austausches, des Diskurses mit dir Patrick oder auch anderen Zuhörerinnen
39080	42340	und Zuhörern, die Lust haben, hier teilzuhaben, wir daraus gegebenenfalls nochmal zu einer
42340	43340	Synthese kommen.
43340	46000	Eine Beobachtung, die ich letzte Woche gemacht habe, die dann ziemlich in meinem Kopf hängen
46000	47680	geblieben ist, war ein Twitter-Post.
47680	49300	Es war eigentlich nichts Verrücktes.
49300	54420	Ein Vorurtonist hat eine Aussage gemacht über Ökonomen und Politiker und daraufhin hat ein
54420	59340	Ökonom gesagt, dass diese Aussage doch sich anhört, wie die man nicht der Ökonomie zurechnen
59340	60340	sollte.
60340	64000	Daraufhin hat ein anderer Twitter-User deutlich gemacht, dass das einer der größeren Denker
64000	68880	ist der Volkswirtschaftslehre und daraus ist ein sehr komplexer Streit entstanden.
68880	74580	Dieser Streit ging im Kern darum, ob Ökonom die Ideengeschichte ihres Forschungsgebiet
74580	77820	verstehen müssen, um in diesem Gebiet zu forschen.
77820	81660	Daraus haben sich ganz viele unterschiedliche Diskussionsstränge herausdifferenziert.
81660	83620	Ein paar Kernargumente der Mainstream-Ökonomen.
83620	88820	Es gibt in der Wissenschaft entweder eine historisch-hermeneutische oder eine systemisch-analytische
88820	89820	Vorgehensweise.
89820	93860	Die Ökonomik hat sich im großen wissenschaftlichen Konsens zur systemischen, analytischen Vorgehensweise
93860	94860	entschieden.
94860	97100	Die Ausbildung hat sich dementsprechend entwickelt.
97100	100580	Daher muss eine Ideengeschichte nicht aufgearbeitet werden.
100580	106140	Denn die Probleme, die die Ökonomen lösen, sind technischer Natur und bezogen auf aktuelle
106140	107740	Probleme und Fragestellungen.
107740	112340	Lesen der Ideengeschichte bringt dementsprechend hier aktuell keinen Mehrwert.
112340	116580	Wenn es relevant wäre, wäre es bereits in der akademischen Disziplin berücksichtigt.
116580	120100	Beziehungsweise die White Sports wären schon im akademischen Konsens verarbeitet.
120100	124180	Daher ist das Lesen dieser Ideengeschichte ineffizient.
124180	128780	Die Kritiker dieser Positionen gingen aber insbesondere darauf ein, dass in der akademischen
128780	133540	Ausbildung alternative Denkrichtungen einfach ausgeblendet werden.
133540	139940	Und eine Begründung, warum denn diese Theorie-Richtung bzw. diese Methodisierung dieser Disziplin sich
139940	143740	so entwickelt hat, wird dementsprechend auch nicht diskutiert.
143740	148420	Außerdem war ein Argument der Kritiker, da jede Wissenschaft praktischer Vernunft historisch
148420	152940	heimaneutische Voraussetzungen machen muss, wäre es zumindest hilfreich, diese nicht
152940	153940	blind zu machen.
153940	158740	Und dass das Lesen von Klassikern nicht dazu dient, irgendwelche White Spots, die in der
158740	161900	aktuellen wissenschaftlichen Praxis fehlen, hinzuzufügen.
161900	167740	Dass sie dabei helfen, die konstitutive Ebene dieser Wissenschaft selbst zu verstehen bzw.
167740	170780	die Konstitution des eigenen Paradigmas nachzuvollziehen.
170780	175220	Die Reaktion der Ökonomen auf diesen Aussagen war, dass es doch genug Fragestellungen in
175220	179260	der eigenen Wissenschaft gibt, bevor man sich überhaupt anfangen muss, mit dem Paradigma
179260	180260	zu beschäftigen.
180260	184060	Beziehungsweise ein vielleicht nicht ganz korrektes Verständnis von Thomas Kuhn, dass
184060	188140	wenn man sich mit den Bedingungen des eigenen Paradigmas beschäftigt, man doch eigentlich
188140	192900	eine wissenschaftliche Revolution einleiten würde, die man vielleicht nicht machen möchte.
192900	197100	Und dass doch diese gesamte Auseinandersetzung mit irgendwelchen Paradigmen oder nicht den
197100	199300	wesentlichen semantischen Spielereien sei.
199300	203340	Und wenn man wirklich die Volkswirtschaftslehre radikal weiterentwickeln möchte, würde man
203340	208060	doch eher auf die Physik, Psychologie oder Informatik zurückgreifen, als sich mit der
208060	209700	Ideengeschichte zu beschäftigen.
209700	214460	Also sozusagen Weiterentwicklung der Forschung im Sinne von Innovation in der Synthese mit
214460	216580	anderen Forschungsgebieten und so weiter.
216580	220460	Diese Diskussion differenziert sich jetzt in ganz vielen unterschiedlichen Ebenen aus.
