start	end	text
0	5920	hey hooman hey mary ihr bringt mich jedes mal aus dem konzept also ich wollte ja
5920	10800	ursprünglich den seneka effekt machen wie systeme kollabieren das habe ich ja
10800	16320	schon vor hoomans letzten skit beiseite geschoben habe was anderes gemacht
16320	20320	nämlich ideengeschichte heute wollte ich eigentlich über die tafeln in
20320	25320	deutschland sprechen und das ganze strukturell systemisch beleuchten jetzt
25320	28680	habe ich aber festgestellt ich muss um das zu tun
28680	34560	vorher noch mal eine ebene tiefer gehen und deswegen möchte ich mich hier in
34560	41080	diesem skit in diesem audiobeitrag auf etwas fokussieren was uns vielleicht eine
41080	46920	interessante grundlage schaffen könnte wie wir in zukunft auf ganz viele andere
46920	53040	inhaltliche themen blicken können ich versuche nämlich mal vier große
53040	60160	ideen flöcke einzuschlagen die im grunde genommen unser spielfeld abstecken
60160	65760	das ideologische spielfeld so nenne ich das mal weil wir ja davon ausgehen dass
65760	72400	wir unsere welt nur über ideologien strukturieren können das heißt wir
72400	78920	lernen ideologien im zuge unserer erziehung also was hat unser elternhaus
79280	84560	für ideologien was lernen wir in der schule was lernen wir über start was
84560	88440	lernen wir über unsere sozialisierung also wir strukturieren unsere
88440	94800	wirklichkeit unser handeln unsere denkweise nach diesen ideologien und ich
94800	99720	möchte jetzt eben diese matrix mal aufmachen also vier flöcke einschlagen
99720	105120	die jeweils auch gegensätzlich gegenüber stehen damit wir mal eine
105120	109280	orientierung haben wo menschen sich jeweils vielleicht an unterschiedlichen
109280	114680	stellen verorten und warum es eben passiert dass menschen unterschiedlich
114680	119640	auf themen schauen und sie unterschiedlich bewerten und darüber auch
119640	124720	in streit geraten für mich sind diese vier elemente im
124720	130960	grunde genommen sowas wie die grundzutaten aller folge ideologie also
130960	137840	jede ideologie ist aus meiner sicht mal minimum eine rekombination dieser vier
137840	142280	flöcke also das ist meine hypothese man kann sie natürlich super gerne
142280	147920	falsifizieren aber mir hilft das sozusagen als ein denkmodell an der
147920	155440	stelle weiter das erste gegensatz paar der ideologien und der denkweisen ist die
155440	163000	dichotomie zwischen egalitär und elitär egalitäres weltbild das ist das was wir
163000	167760	spätestens seit der französischen revolution 1789 so ein bisschen in
167760	172640	unseren europäischen köpfen mittragen nämlich der grundgedanke dass alle
172640	177680	menschen grundsätzlich per geburt gleichwertig sind das wohl bekannteste
177680	181960	schriftstück dazu ist die deklaration der menschenrechte deren inhalte wir
181960	187080	heute noch in unserem deutschen grundgesetz wiederfinden mindestens
187080	192120	mal mit artikel 3 alle menschen sind vor dem gesetz gleich niemand darf wegen
192120	195240	seines geschlechtes seiner abstammung seiner rasse seiner sprache seiner
195240	199160	heimat und herkunft seines glaubens seiner religiösen oder politischen
199160	204480	anschauen benachteiligt oder bevorzugt werden man kann also sagen das
204480	210120	grundgesetz wurde in weiten teilen auf basis einer egalitären ideologie verfasst
210120	215320	und die demokratie ist im grunde genommen von ihrem kern von ihrem wesen
215320	221880	her eine egalitäre herrschaftsform also es geht darum herrschaft macht möglichst
221880	226560	gleichsam zu verteilen und vor allen dingen aber auch allen menschen gleichsam
226560	231800	die chance zu ermöglichen mit zu regieren und mit verantwortung zu
231800	236080	übernehmen unabhängig davon ob sie reich sind gebildet sind und so weiter
236080	240080	und sofort wie das dann in der realität aussieht kann ja jeder mal für sich
240080	247600	bewerten die gegensätzliche weltanschauung ist eine elitäre weltanschauung die kann
247600	253240	man so ein bisschen kontrastreich runterbrechen auf das prinzip jeder ist
253240	258160	unterschiedlich stark hat unterschiedliche talente und diejenigen
258160	263800	die besonders begabt sind die besonders fleißig und stark sind oder es gibt gar
263800	269280	die idee dass besonders gutes genetisches material irgendwie vorlege
269280	276800	oder man per geburtsrecht eben ein anspruch hat auf führung und herrschaft
276800	283240	also alle diktaturen autokratien monarchien und so weiter basieren auf
283240	287760	diesem prinzip und an der stelle ist es natürlich interessant zu schauen dass
287760	294440	sich verschiedene denkrichtungen auch in einer gesellschaft konträr
294440	298640	wiederfinden also in deutschland mit einem egalitären grundgesetz gibt es
298640	304600	immer noch elitäre verhaltensweise verhaltensmuster und auch teilsysteme
304600	311480	arbeit und unternehmertum in deutschland ist eher elitär strukturiert nämlich die
311480	316600	talentiertesten oder scheinbar talentiertesten machen karriere weil sie
316600	321600	sich anstrengen weil sie viel gelernt haben weil sie gute beziehungen hatten
321600	325840	soziales kapital hatten vielleicht hat der eine oder andere auch einfach nur ein
325840	330480	bisschen glück gehabt auf jeden fall sind unternehmen ist wirtschaft eher
330480	336760	elitär strukturiert und organisiert und weniger demokratisch und egalitär es
336760	340960	gibt natürlich in großen unternehmen wieder egalitär ausgleichende
340960	345320	strukturen wie betriebsräte und so weiter und sofort und es gibt natürlich
345800	353280	egalitäre moderne strömung wie zb new work oder die demokratisierung in
