start	end	text
0	4120	Hey Patrick, du hast in deinem letzten Skit ziemlich viel aufgemacht und ich bin nicht
4120	8720	ganz bei dir, denn ich glaube, du benutzt einen anderen Ideologiebegriff als wir den
8720	12240	beispielsweise ganz am Anfang unseres Projektes definiert hatten mit dem zweiten Skit.
12240	16040	Denn was du da beschreibst, ist nicht Ideologie, wie wir es ursprünglich hatten, sondern du
16040	20920	beschreibst eigentlich politische Ideologie mit der Egalität und den Elitenlogiken.
20920	24440	Und das ist eigentlich das, was ich dem vorherigen Skit deutlich machen wollte.
24440	28400	Dass es keinen Sinn macht, diese Dinger in eine Dichotomie aufzubauen, weil sie Gegensätze
28400	29400	sind.
29480	30480	Tag und Nacht.
30560	35320	Deswegen gibt es zwischen diesen beiden Polen kaum Spielräume bzw.
35320	38440	aus meiner Sicht macht es gar keinen Sinn, in diesen Spielräumen sich zu bewegen, um
38440	41400	das hier nochmal deutlich zu machen, weil die anderen beiden Pole du hast, wenn wir
41400	46920	sie jetzt nicht als Ismen definieren, so da auch wieder als politische Ideologie, Kollektivismus
46920	51960	und Individualismus, sondern sagen, ein Individuum bewegt sich auf der Linie zwischen Individuum
51960	57920	und Kollektiv, dann sind es ja keine Gegensätze, sondern sie sind im Grunde ein Vermittlungsspielraum.
57920	63360	Damit es ein Kollektiv gibt, müssen wir Individuen sein und wir als Individuen brauchen
63360	66840	das Kollektiv, um überhaupt zu sein, als soziale Wesen.
66840	72000	Deswegen vermitteln sich diese beiden Ebenen, daher auch mein Vorschlag mit der Drehung
72000	76320	und nicht zu sagen egalitär und elitär, weil die beiden sich nicht vermitteln, sie
76320	81640	grenzen sich gegenseitig aus und hin zu dem universellen und dem Singulieren, denn da
81640	84360	wieder auch, die vermitteln sich beide.
84360	89880	Es gibt im Grunde nur Differenz und Aproximation, also immer wenn ich mich zu nah am einem
89880	95600	Pole befinde, berühre ich den Horror, weil wir erkennen, das existiert ja gar nicht.
95600	100000	Allein die Tatsache, dass wir über Ideologie in der Art reden, wie wir reden, haben wir
100000	105840	schon Vorannahmen, die andere eventuell nicht haben und zwar ist ja unsere beide Vorannahme,
105840	110280	dass es keine absolute oder ontologische Realität da draußen existiert, die unabhängig
110280	116800	wahr ist von uns, sondern dass Realität ein Vermittlungsprozess ist von ganz vielen Sachen,
116800	121720	aber auch sehr viel sozial konstruiert und sozial vermittelt und damit auch ideologisch
121720	122720	vermittelt.
122720	127160	Und diese Vorannahme steckt bei uns mit drin, alles was wir beide diskutieren wird das haben
127160	131440	und dazu gibt es natürlich einen Gegenpuls unserer Perspektive, dass es wirklich eine
131440	137800	echte absolute Realität gibt, die 100% wahr und richtig ist und daher ist es mir immer
137800	144080	so wichtig in diesen Diskussionen zum einen über Subjektkonstitution zu sprechen, weil
144080	150320	das sehr wichtig ist, wenn wir über Ideologie sprechen, weil Ideologie ist ein Vermittlungsmechanismus,
150320	153960	was uns und die uns umgebende Realität beeinflusst.
153960	160680	Das bedeutet Ideologien sind immer Beziehungsverhältnisse, denn wir konstituieren uns ja am Ende immer
160680	167560	über Negation zu den anderen, zu den Big Other, zu unserem imaginären Ich und so weiter
167560	172760	und in diesem Wechselspiel sind wir und da wirken Ideologien auf uns.
172760	178000	Natürlich gibt es politische Ideologien, wie zum Beispiel das von dir beschriebene
178000	184840	egalitäre oder elitäre oder konservative oder linke und so weiter und so weiter, die
184840	189200	wir uns aussuchen können oder nicht und so weiter, aber ich muss da ganz ehrlich sagen,
189200	193880	das gibt mir in der Regel nicht sehr viel, weil das alles sehr abstrakt abläuft.
193880	197480	Ich meine, wenn ich mir dein Skit angehört habe, wo du versucht hast, den Unterschied
197480	202920	zwischen egalitär und elitär zu erklären, du kannst dich da ja nur auf einer abstrakten
202920	203920	Ebene bewegen.
203920	208280	Du hast bei der Beschreibung von egalitär abstrakte Wörter benutzt wie Besitz, Wert,
208280	209280	Rechte.
209280	211720	All diese Begriffe sind ja ideologisch vermittelt.
211720	215760	Das bedeutet, was bedeutet Besitz, was bedeutet Wert, was sind Rechte?
215760	223200	Da findet ja Ideologie statt, nicht nur im egalitären, aber in der Ideen, die wir sozusagen
223520	224520	da reinstecken.
224520	230640	Wie sich diese Dinge erfüllen, sind ja deutlich wichtiger als zu sagen, ich bin libertär
230640	231840	oder was auch immer.
231840	234760	Um das jetzt vielleicht etwas deutlicher zu machen, würde ich jetzt gerne Zizek ins
234760	235760	Spiel bringen.
235760	237400	Denn ich glaube, du hast Zizek nicht richtig verortet.
237400	242560	Zizek ist nämlich der Philosoph, der sagt, in die Chotumin zu verharren, ist kompletter
242560	243560	Schwachsinn.
243560	248640	Es gibt da ein ganz berühmtes Zitat von ihm, wo er im Grunde die Szene von Matrix nachspielt
248640	250920	mit der roten und blauen Pille.
251120	253560	Das ist deine letzte Chance.
253560	255320	Nach dieser ist es kein Zurück.
255320	260680	Du nimmst die blaue Pille, die Geschichte endet, du wachst in deinem Bett und glaubst, was du
260680	261680	wollen.
261680	266360	Du nimmst die rote Pille, du bleibst im Wunderland und ich zeige dir, wie tief der
266360	268120	Radehahn geht.
268120	273720	Aber die Wahl zwischen der blauen und der rote Pille ist nicht wirklich eine Wahl zwischen
273720	275960	Illusion und Realität.
275960	300760	Die dritte Pille ist die Erkenntnis, dass die Chotumin Illusionen sind.
300760	306880	Und ich will hier nochmal die Idee von Zizeks Ideologiebegriff reinbringen, weil es nochmal
306880	311640	deutlich wird, warum ich daran glaube, dass man auf dieser Ebene, wo du meintest, da
311640	316440	findet der Konflikt statt, sowas wie egalitär oder elitär, dass das eigentlich komplett
316440	320480	irrelevant ist, denn es ist ja ein offener Konflikt, so wie du es auch beschrieben hast.
320480	322360	Man entscheidet sich für eine Seite.
322360	326360	Das ist nicht das, was Zizek mit Ideologie meint, wo Ideologie stattfindet.
326600	332720	Für Zizek findet Ideologie dort statt, wo wir denken, es ist nicht ideologisch, non-ideological.
332720	338240	Denn was für Zizek spannend ist, ist zu schauen, was ist das Unacknowledgete, also sozusagen
338240	343440	das Nicht-Betrachtete, was außerhalb des Diskurses stattfindet, was sozusagen über
343440	346200	diese abstrakten Diskussionen stattfindet.
346200	351120	Denn zum Beispiel ein Kritikpunkt wäre, wir bewegen uns eigentlich in pur Ideologie-Diskussionen,
351120	356160	wenn wir auf einer unglaublich abstrakten Ebene abstrakte Begriffe mit anderen abstrakten
356160	361040	Begriffen erklären, also wieder zurück zu dem Beispiel mit egalitär ist, besitzt ist
361040	365400	auf eine gewisse Art und Weise geregelt, wert ist irgendwie definiert und so weiter.
365400	372400	Für Zizek ist Ideologie dort wirkmächtig, wo wir denken, wir sind in einem nicht-ideologischen
372400	376560	Kontext und versuchen, diesen Kontext sozusagen hermeneutisch zu schließen.
376560	383720	Aber dann kann diese Realität nicht erhalten werden, sozusagen sie bröckelt.
383720	390120	Es gibt immer so symptomatische Events oder Sachen ploppen immer wieder auf symptomatisch,
390120	393800	die aus dem System, aus der Logik nicht erklärt werden können.
393800	401120	Und ideologisch ist es dann, wenn diese Realität nicht erhalten werden kann und damit wir sie
401120	409120	erhalten können, müssen wir diese Realität ergänzen, erweitern, bereichern mit Fantasie.
409120	417200	Und diese Fantasie ist dann ideologisch bzw. Zizek macht das ja immer an diesen Objekten
417200	421040	der Ideologie oder die erhabenen Objekte der Ideologie.
421040	424920	Ich versuche das mal einem Beispiel deutlich zu machen, was ich genau damit meine.
424920	427920	Und zwar am Beispiel von der Ware.
427920	433200	Ware ist etwas, was gehandelt wird und damit ist ja Ware an sich eine Abstraktion.
433200	435080	Also Ware ist austauschbar.
435120	442280	Wenn aber Arbeit den Wert der Ware definiert, verwandelt sich ja Arbeit selbst in eine Abstraktion.
442280	445720	Damit werden die Arbeiter dann als Abstraktion gesehen.
445720	451360	Und das kann zu symptomatischen Problemen führen, wenn beispielsweise Produktivität
451360	456400	und Mehrwarenproduktion und Profit wichtig sind und gleichzeitig, um erfolgreich zu
456400	459880	sein im ökonomischen System, Lohnerhöhung und so weiter nicht mitgeht.
459880	463840	Was wiederum den Fetischcharakter von der Ware charakterisiert.
463840	467160	Und die Abstraktion der Ware ist ja dann Wert.
467160	471720	Also Ware ist selbst eine Abstraktion, aber dessen Abstraktion ist wiederum Wert.
471720	477320	Und dieser Wert wird ja dann wiederum als Geld in konkrete Einheit gerendert.
477320	481160	Und bei Geld wissen wir ja eigentlich alle, es ist ja nur Papier.
481160	486680	Aber trotzdem behandeln wir das Geld, als wäre es mehr als Papier.
486680	491600	Und weil wir glauben, dass das Geld mehr ist als nur Papier, machen wir dann so Sachen
491640	496280	wie, wir lassen uns auf ein Karriere-Game ein und arbeiten hart, weil wir sozusagen
496280	500720	an einen Lebensentwurf glauben, wo wir sozusagen die Karriereleiter hochgehen, erfolgreich
500720	504080	sind und so weiter, was ja wiederum alles vermittelt ist über Geld.
504080	510320	Und für Zizek in seinem Buch The Sublime Object of Ideology ist Geld die größte Ideologie.
510320	515120	Und wie könnten wir sozusagen die erhabenen Ideologien in unserer Gesellschaft betrachten?
515120	520800	Na ja, wir stecken ja alle in symbolischen Ordnung und das hat ja alles auch eine Hierarchie.
520880	525800	Und die Frage ist ja, welche Objekte beeinflussen diese Strukturen?
525800	529080	Welche Objekte sind an der Spitze dieser Strukturen?
529080	535080	Und das sind im Grunde die ideologischen Objekte, die unsere Realität am Ende strukturieren.
535080	542560	Und diese sind deutlich subversiver und deutlich krasser als politische Ideologien.
542560	546560	Denn das ist aus meiner Sicht wirklich wichtig nachzuvollziehen, wenn man sozusagen diese
546560	549480	Ideologielogik von Zizek übernimmt.
549480	556840	Ideologie ist das, was sozusagen das Symptom versucht, wieder aufzufangen und wieder in
556840	559280	die gesellschaftliche Struktur zu verarbeiten.
559280	565080	Wir haben es gesehen bei Tilo Jung und Isabella Schnabel, die EZB-Direktorin, die, als sie
565080	571360	gefragt wurde, ob es ewiges Wachstum gibt, wirklich ihr komplizierter ökonomischer Jargon
571360	577000	zusammengebrochen ist und diese Ideologie rausgeblitzt ist für einen Moment, wo ihre
577040	580720	einzige Antwort war, ja, Innovation wird es doch wohl geben.
580720	582840	Das gab es doch immer, Innovation.
582840	585280	Und es ist egal, ob sie daran glaubt oder nicht.
585280	587080	Es ist im Unbewussten.
587080	587960	Das ist sehr wichtig.
587960	593720	Es gibt kein Unterbewusstes bei Laurent Zizek, sondern es gibt das Unbewusste.
593720	595760	Und da wirken Ideologien.
595760	598600	Sie strukturieren unser Unbewusstes.
