start	end	text
0	4800	hey hohmann danke für deinen widersprechenden skit auf den ich auf
4800	9560	ganz vielen verschiedenen punkten ebenfalls widersprechend eingehen
9560	15880	möchte eines vorweg eine kleine enttäuschung vorweg ich bin nicht der
15880	22320	imaginierte zweite slavoy zizek das heißt alles was ich sage an die
22320	29200	schablone zizek zu halten kann nur zur enttäuschung führen obwohl natürlich
29200	34560	viele dinge ähnlich und parallel klingen und sind aber es wird natürlich
34560	40560	immer wieder passieren dass ich dinge sage und denke die zizek vielleicht
40560	45040	komplett anders sieht da wird also grundsätzlich immer eine enttäuschung
45040	50160	stattfinden ich bin also kein anhänger des zizek kismos wenn man so möchte
50160	56600	weil die haupterkenntnis die ich durch deinen skit hatte war dass letztendlich
56600	65280	alles poetik ist alles poesis ist das heißt ich habe meine poesis meine
65280	72520	poetik du hast deine poetik du greifst auf die zizek poetik zurück zizek
72520	79240	greift auf die lakon und die hegel poetik zurück hegel griff auf die und
79240	84200	die poetik zurück und so weiter und so fort und damit werden wir auch schon
84200	91160	mitten drin in der memetik die im grunde genommen für mich eine andere poetik der
91160	98760	systemtheorie darstellt also die memetik hat sehr viele parallelen zu lumans
98760	106440	systemtheorie im grunde genommen sind meme informations bits wenn man so will
106440	113960	die reproduziert werden über kommunikative kopier vor gänge durch
113960	120320	imitation durch weitergabe aber auch durch einsatz von medien so dass meme
120320	126960	letztendlich auch irgendwo unabhängig von ihren wirten also den menschen als
126960	131640	trägern abspeichbar sind und anders übertragbar sind also dieser podcast
131640	137560	zum beispiel ist eine reine meme schleuder wenn man so will denn selbst wenn es uns
137560	142480	nicht mehr geben würde oder wir vielleicht auch gar nicht wirklich existieren würden
142480	149560	die von uns poetisch dargelegten meme auf empfänger treffen oder vielleicht auch
149560	155000	nicht weil sich das niemand anhört oder niemand weiter empfiehlt und somit auch
155000	161720	unabhängig von uns als menschen eine fortsetzung findet eine resonanz findet
161720	170880	einen anschluss findet das heißt die meme die poetik von hegel wird reproduziert unter anderem
170880	179600	von zizek in dem er eben diese meme kopiert aber auch bei diesem kopiervergang entsprechende
179600	187400	mutationen stattfinden und manche dinge werden weggelassen also ausselektiert und somit setzt
187400	194680	sich das fort als eine reproduction von ideen und ideenlehre und so weiter und so fort über
194680	201160	meme also ideen letztendlich ist der begriff von dorkins das erste mal ins spiel gebracht worden
201160	208400	er hat über gene geschrieben wie sie sich reproduzieren und das interessante bei dorkins
208400	214960	war ja dass er die anthropozentrische sichtweise also der mensch steht im mittelpunkt komplett
214960	221720	umgekehrt hat also gesagt menschen sind nichts anderes als die fleischsäcke die transportmittel
221720	229120	die vehikel die genen dabei helfen sich zu reproduzieren und der mensch an sich ist sozusagen
229120	236720	gesteuert von genen und bei seiner arbeit über die gene ist dorkins auf etwas gestoßen was er
236720	244400	damit nicht erklären konnte nämlich kulturelle praktiken und deswegen war er auf der verzweifelten
244400	250920	suche nach etwas neuem und er hat es selbst wie folgt beschrieben wir brauchen einen namen für
250920	257200	den neuen replikator ein substantiv dass die einheit der kulturellen vererbung vermittelt
257200	263200	oder eine einheit der imitation von einer entsprechenden griechischen wurzel ließe
263200	269680	sich das wort miemem ableiten aber ich suche nach ein einsilbiges wort das ein wenig wie
269680	276840	gehen klingt ich hoffe meine klassisch gebildeten freunde werden mir verzeihen wenn ich miem zu
276840	285760	mähen verkürze beispiele für mäme sind melodien gedanken schlagworte kleidermoden die art töpfe
285760	293560	zu machen oder bögen zu bauen sowie gene sich im genpool vermehren indem sie sich mithilfe von
293560	301720	spermien und eizellen von körper zu körper fortbewegen verbreiten sich mäme im mehm pool in dem
301720	308800	sie von gehirn zu gehirn überspringen vermittelt durch ein prozess der man im weitesten sinne als
308800	316080	imitation bezeichnen kann das heißt das sind informationseinheiten die der mensch überträgt
316080	323920	über verschiedene metoden meistens über imitation und daraus entwickelt sich dann ein mehm plex also
323920	332320	komplexe mehm strukturen das kann eine theorie sein eine ideologie das kann eine komplexe praktik
332320	339160	sein und auch hier ist jetzt die annahme dass ähnlich wie bei den genen und das ist das was
339160	345880	letztendlich in spiel gebracht hatte nämlich zu sagen werden wir nicht eigentlich von diesen
345880	351840	mämen gesteuert das kann man ja immer ganz gut feststellen dass wir zum beispiel obwohl wir
351840	358680	eigentlich ja vernünftige wesen sind fühlen wir uns irgendwie attraktiv angezogen von gewissen
358680	365200	informationen das erleben wir in der gesamten gossipkultur also wir lieben es gerüchte zu
365200	370960	verbreiten obwohl wir sie überhaupt nicht nachgeprüft haben weil sie aber so attraktiv sind das macht
370960	377880	verschwörungs erzählung so attraktiv all diese dinge je abstruser desto attraktiver scheint es so
377880	383160	manchmal und da könnte man eben auf die idee kommen dass eigentlich diese mäme mit uns spielen
383160	390400	als umgekehrt was mich an der aussage da gestört hat ist sozusagen offenbar scheint es so zu sein
390400	399720	dass die mäme uns steuern aber aus meiner sicht ist immer beides der fall und zwar gleichzeitig
399720	406960	also die dichotomie agiert beidhändig und da haben wir beide tatsächlich einen die sense vorlegen
406960	413200	du hast nämlich in dem vorletzten skit gesagt ja moment mal der mensch strukturiert doch nicht
413200	421280	ideologien sagen die ideologien strukturieren ja den menschen und da sage ich nein weil auch hier
421280	429200	aus meiner sicht beides gleichsam der fall ist auch wenn sicherlich die eine seite wesentlich
429200	436280	wirksamer ist als die andere ich würde da mal versuchen eine neue poetik ins spiel zu bringen
436600	445360	und eine unterscheidung zu treffen zwischen einer art autopilot und einer art bewussten
445360	453440	reflektierten handlung der autopilot operiert er im unreflektierten man könnte auch sagen im
453440	462560	unbewussten und dieser wird glaube ich maßgeblich über die ideologischen muster gesteuert und
462560	469920	strukturiert neben dem autopiloten und das kennen wir ja wenn wir zum beispiel auto fahren wir merken
469920	475200	ja gar nicht dass wir fahren wir werden uns gar nicht darüber bewusst und so stelle ich mir eben
475200	482120	auch die strukturierung unserer realität durch ideologien vor also es läuft nach mustern ab es
482120	490040	läuft nach vorbildern wir imitieren dinge wie zum beispiel aus filmen wir gewisse vorstellungen
490040	495960	imitieren also wir haben eine gewisse vorstellung über liebesbeziehungen die meistens vollkommen
495960	501040	über romantisiert sind und so weiter und so fort und das sind dinge die wir sozusagen in
501040	508880	unserer automatismen mit übertragen einfach weil wir sonst vor lauter komplexität überhaupt nicht
508880	515280	mehr aus dem bett kämen es gibt aber eben die andere variante die reflektionsebene wo wir uns
515280	522320	zeit nehmen können über die dinge nachzudenken zu reflektieren die sachen zu kritisieren sie zu
522320	529360	hinterfragen und das ist für mich das kernelement dieses podcasts nehme ich mit der überschrift die
529360	536080	hinterfragung des scheinbar selbstverständlichen also den autopiloten immer wieder kurzzeitig
536080	542440	anzuhalten und zu gucken hey ist das was wir eigentlich jeden tag automatisch wie selbstverständlich
542440	549360	machen wirklich so sinnvoll und welchen effekt hat es eigentlich auf uns alle positiv wie negativ
549360	558280	und so ordne ich übrigens auch geschecks spruch don't act think entsprechend ein auch als einen
558280	565320	wertvollen hinweis darauf dass wir unsere automatismen unseren autopilot mal kurz abschalten
565320	572040	um zu reflektieren was wir denn jetzt hier gerade vorliegen haben bevor wir in ein aktionistisches
572040	579760	unreflektiertes verhaltensmuster wieder hinein geschubst werden aber dieser autopilot hat eben
579760	586800	auch seine funktion das heißt er operiert ja aus gutem grund weil sonst würde ja alles super
586800	594440	komplex werden es ist so dass es mehme und mehme plexe gibt die unser verhalten steuern und zwar
594440	600840	ziemlich krass steuern so weit steuern dass sie sogar in unsere genetischen lebensprogramme
600840	606120	eingreifen ich habe in meinen vorträgen damals immer das beispiel der is also der terrorgruppe
