start	end	text
0	6360	hey humann danke für deinen saftigen beef und an der stelle weil ich glaube
6360	13160	dass sich die gespräche an dem punkt etwas im kreise drehen und ich eigentlich
13160	20000	auf neue themen kommen möchte biete ich eine art burgfrieden an ich glaube der
20000	25800	kern unseres konfliktes ist die grenzen unserer ausdrucksform unserer sprache
25800	33520	ich versuche verzweifelt bilder gedanken und gefühle die ich habe in sprachliche
33520	38480	bilder zu bringen und das sind natürlich bilder die mir am nächsten
38480	43520	liegen vielleicht noch mal zu erklären warum ich den begriff poetik so gerne
43520	48840	verwende ich bin ja kein philosoph in dem sinne ich bin wenn ein sophist und
48840	53160	wenn wahrscheinlich auch eher in einem künstlerisch kreativen bereich vorartet
53160	57480	und ich spiele halt sehr gerne mit dingen und ich spiele halt auch sehr gerne mit
57480	66120	sprache und poetik mag ich deshalb weil es eben diesen wort stamm hat aus dem
66120	70880	griechischen was eben für erschaffen für machen letztlich steht und dieser
70880	76440	begriff in sehr vielen verschiedenen szenarien anwendung findet auch leicht
76440	82520	abgewandelt also in der systemtheorie die autopoesis steckt immer noch die
82520	86960	poetik drin auch wenn es ein bisschen anders geschrieben wird aber im kern
86960	92320	bezieht sich das immer auf dieses altgriechische wort letztlich also
92320	97080	dieses erschaffene sich selbst erschaffene und natürlich auch im
97080	102200	künstlerischen bereich der poesie also mit kunst dinge auszudrücken die
102200	107160	vielleicht eine formelle fachliche sprache nicht so anschlussfähig auf den
108160	115680	poesie kann das herz öffnen und deswegen war ich schon immer ein großer fan davon
115680	123120	dinge die einem wichtig sind auf seine eigene art und weise zu beschreiben so
123120	128120	dass es vielleicht auch andere menschen verstehen die jetzt nicht unbedingt sich
128120	134880	tage wochen monatelang in irgendwelchen fachbüchern vergraben um überhaupt
134880	139120	diese begriffe einigermaßen anschlussfähig für sich selber zu
139120	145680	machen spiele also mit wissenschaft kunst handwerk all diesen dingen und
145680	151680	diese spielen und durcheinanderwürfeln ist natürlich für viele leute unheimlich
151680	156360	gefährlich und natürlich kann es eben passieren dass man auch damit in einer
156360	162760	art relativismus rutscht dabei möchte ich aber folgende metapher anführen und
162760	171920	zwar gibt es in der nördwelt der programmierer den ausdruck code ist
171920	178600	poetry also programmier code ist poesie das ist für mich eigentlich so die
178600	183320	passendste metapher für all das wie ich diese dinge betrachte weil ich sehe
183320	191720	sozusagen kommunikation diskurse narrative mehme episteme als quellcode
191880	197360	unserer gesellschaft und darin steckt zum beispiel auch kunstarchitektur etc
197360	203360	pp damit wird gesellschaft strukturiert und geformt und beschrieben und
203360	209000	erschaffen aber was programmierer natürlich zu unterscheiden vermögen ist
209000	215920	ist es ein guter code ist es ein schlechter code und welche funktion löst
215920	221520	der jeweilige code am ende aus was ist der output den dieser code generiert
221520	228400	ist dieser code effizient ist er aufgeräumt tut er etwas gutes oder
228400	233520	schlechtes und diese unterscheidung ist mir natürlich immer wieder bewusst das
233520	239960	heißt ich sage nicht jede poesie ist gleich sondern es gibt gute poesie und
239960	244720	schlechte poesie es gibt eine poesie die menschen dazu veranlasst sich einen
244720	248920	sprengstoffgürtel umzubinden und andere menschen in die luft zu sprengen und es
248920	254160	gibt eine poesie die unser herz öffnet und die menschen solidarisch gemeinsam
254160	259480	dinge und probleme lösen lässt in meinem leben hatte ich mehrere grenzerfahrung
259480	264520	eine davon ist so eine art mini traumata jetzt geht natürlich so ein bisschen
264520	269560	das kopfkino an das war aber eigentlich relativ harmlos aber das hat sich
269560	274920	folgt abgespielt ich war studierende ich glaube erstes zweites semester und bei
274920	278600	einer gelegenheit kam ich mit einer studierenden ins gespräch die war schon
278640	282800	etwas älter und wir haben uns eben darüber unterhalten dass ich gerade
282800	286880	politik studiere und so weiter und wir haben glaube ich über den begriff
286880	293400	pragmatismus gesprochen und mir war der begriff einfach nicht bekannt und das
293400	297080	hat dazu geführt dass sie sich natürlich darüber lustig gemacht hat
297080	302360	dass ich als politik studierender dieses wort nicht kenne was wiederum dazu
302360	306600	geführt hat dass ich eine enorme kränkung erfahren habe und mich ganz
306840	314960	schlecht gefühlt habe und diesen zustand dieses elitäre das ist etwas was ich
314960	319440	noch nichtmals ihr zum vorwurf machen dass sie sich da erhaben gefühlt hat
319440	324280	aber ich habe mich als unterlegen gefühlt und das hat dazu geführt dass
324280	329560	ich lange über sprache fachsprache und so weiter nachgedacht habe daraus haben
329560	332920	sich im laufe meines lebens einige erkenntnisse entwickelt die ich zum
332920	339280	mindestens mal anbieten möchte begriffe sind etwas sehr sehr wichtiges und es
339280	344680	gibt begriffe die bei leuten etwas auslösen und bei anderen nicht das ist
344680	348920	diese anschlussfähigkeit leute können mit begriffen was anfangen begriffe
348920	354880	können leute aber auch abschrecken also das heißt wenn ich ein buch habe voller
354880	359360	fachbegriffe die ich nicht kenne dann wird die darin beschriebene theorie
359360	363520	nicht anschlussfähig sein und ich werde frustriert dieses buch beiseite
363520	368160	legen und das finde ich ehrlich gesagt super schade weil vielleicht im kern die
368160	372160	ideen die mit dieser poesie beschrieben werden vielleicht super spannend und
372160	376560	relevant sind für die jeweilige person das ist übrigens einer der größten
376560	380400	motivationen warum ich den soziopod damals gestartet habe da ging es mir
380400	387360	nicht darum irgendwie fachsprachlich eine theorie zu transportieren sondern
387360	393720	leute auf den geschmack zu bringen sich vielleicht dazu zu überwinden in einem
393720	400440	buch voller fachwörter einzusteigen weil sie vorab erfahren haben dass das was
400440	405080	da drin steht vielleicht für sie relevant sein könnte und vor allen ding
405080	408680	hochspannend ist deswegen finde ich übersetzungen so wichtig
408680	413160	übersetzungsarbeit so wichtig die gefahr die daran liegt sind die
413160	417840	übersetzungsfehler hier ist folgendes passiert zwischen uns ich habe die
417840	422640	begriffe elitär und egalitär eingesetzt die an sich auch schon wieder fach
422640	430000	begriffe sind keine frage aber für mich persönlich haben sie etwas berührt und
430000	434720	das liegt nicht an einer politischen konzeption wie du sie beschrieben hast
434720	441560	also ich sehe egalitär und elitär nicht rein im politischen kontext und in der
441560	447040	bewertung von verschiedenen parteien und strömung ich beziehe mich mit der
447040	452760	begrifflichkeit tatsächlich auf soziale kontexte kontexte im zusammenleben von
452760	457800	menschen in ihren jeweiligen beziehungen und deswegen ist vielleicht die auswahl
457800	462320	der begriffe etwas unglücklich oder in unserer beziehung unglücklich gewählt
462320	466520	sagen wir so ich weiß ja zum beispiel nicht wie hören und hören wenn sie
466520	473120	denn noch überhaupt dabei sind bei diesem disput wie sie diese ganze sache
473120	479080	interpretiert und betrachtet haben egalitär elitär ist offenbar in unserer
479080	482240	beziehung ein problem ich habe mir noch mal die mühe gemacht und habe
482240	487880	recherchiert und versucht zu finden gibt es begriffspare die das zum ausdruck
487880	491640	bringen was ich eigentlich ausdrucken möchte folgende alternativen habe ich
491640	495320	gefunden bei paul watzlerig gibt es zum beispiel in dem vierten
495320	501600	kommunikations axiom die gegensatzpaare symmetrie und komplementär damit
501600	506320	beschreibt watzler weg im zuge von kommunikation zwei unterschiedliche
506320	511160	zustände das eine ist die symmetrische kommunikation die davon ausgeht dass man
511160	516160	unter seinesgleichen auf augenhöhe spricht da gibt es kein herrschendes
516160	520040	machtverhältnis wenn man so will da kann man natürlich die frage stellen ist
520040	523840	dieser zustand überhaupt erreichbar und es gibt eben dann den
523840	528160	komplementären zustand also eine ungleichheit in der kommunikation also
528160	533880	jemand der untergeben ist jemand der vorgesetzt ist jemand der macht auf
533880	537160	andere ausübt und die kommunikation gestaltet sich entsprechend
537160	543160	asymmetrisch das ist sozusagen das trauma was ich erfahren habe war eine
543160	548160	komplementäre kommunikationssituation laut watzler weg des weiteren könnte ich
