start	end	text
0	6360	hallo man ich möchte ein thema aufgreifen was mir um die oren geflogen
6360	13560	ist ich habe den fehler gemacht etwas ziemlich überspitztes wiederum polemisch
13560	19080	überspitzt darauf zu reagieren ich spreche von niemand geringeren als frank
19080	25760	telen frank telen ist für mich ja quasi die überspitzung auf zwei beinen
25760	30560	eigentlich eine wandelnde polemik bei dem man die widerstandskräfte eines
30560	36840	schaulin meisters benötigt um darauf nicht umgehend polemisch zu reagieren
36840	41240	und da sind meine eigenen skills der mäßigung zügelung und selbstbeherrschung
41240	45640	mehr als mangelhaft aber was zur hölle ist jetzt eigentlich passiert mir ist auf
45640	50840	twitter ein screenshot begegnet eines artikels von frank telen beziehungsweise
50840	56360	eine überschrift von einem artikel von frank telen und die überschrift lautete
56360	62080	kinder müssen lernen wie elon musk und jeff bezos zu denken
62080	68960	daraufhin habe ich posts abgesetzt und zwar auf twitter und auf linkedin mit
68960	77600	dem kommentar nein nein nein 1000 und quadröf billionen mal nein dieses
77600	84640	literarisch herausragende und feindurchdachte kritische manifest meiner
84640	93600	seits wurde mehrfach geteilt mittlerweile 100.000 ansichten 670
93600	99600	reaktionen 320 kommentare also es ist schon für linkedin ganz ordentlich was
99600	105160	mich gleichzeitig gestern abend leise in den schlaf hat weinen lassen weil ich
105160	109760	es erschütternd fand wie man mit sehr wenig auffand so viel reichweite
109760	114840	erzählen kann aber diese mechanik ist mehr nicht gänzlich unbekannt auch wenn
114840	118160	ich nicht damit gerechnet hätte dass genau dieser post so durch die decke
118160	122440	geht also es war irgendwie nicht von mir geplant sondern es war einfach aus einer
122440	127080	laune heraus eben einfach diese polemische antwort weil ja frank
127080	132000	telen und seine aussage mir förmlich ins gesicht gesprungen ist interessant ist
132000	136720	und ich gucke mir ja mediale phänomene im netz schon ein bisschen länger an
136720	141160	schon ein paar jahre lang deswegen sind mir so empörungskaskaden auch nicht
141160	145520	gänzlich unbekannt also das erste was eben passiert ist dass natürlich ganz
145520	150760	viele darauf einstimmen und sagen ja ich setze noch mal einmal mehr nein drauf
150760	155000	als du und so weiter und jeder kann mal so richtig schön ablassen was er schon
155000	160240	immer mal über diese person irgendwie gedacht hat und da immer bitte im
160240	164160	hinterkopf behalten das was stefan schulz in einem der letzten skits
164160	168360	gesagt hatte oder auch ich davor es handelt sich hier ja immer wieder um
168360	173000	eine parasoziale beziehung zu frank telen also die allerwenigsten kennen
173000	178480	frank telen persönlich das heißt hier wird immer irgendetwas in seine person
178480	184200	hinein interpretiert und wir haben auch eigentlich nur so eine art avatar von
184200	191600	der realen person frank telen vor uns einen imaginierten frank telen dann ist
191600	195600	es aber meistens so bei solchen kaskaden der empörung dass es irgendwann
195600	202120	auch eine gegen strömung gibt also leute die versuchen das entsprechend zu
202120	207240	relativieren zu verneinen dagegen zu gehen die kritik sozusagen zu
207240	210400	kritisieren ich habe da immer meinen alten chef im
210400	216640	ohr professor dokter michael zerr der damals auch sehr viel über gerüchte
216640	222200	mundpropaganda meme und so weiter geforscht hat der in seinen vorträgen
222200	228440	immer gesagt hat wo keine gegner da keine fans also wir haben hier es mit
228440	235360	einer dialektik von fans und gegnern zu tun die als synthese aufmerksamkeit und
235360	241600	awareness erzeugen in ihrer permanenten auseinandersetzung mit sich selbst also
241600	248040	gegner und fans befeuern den hype und erzeugen rund um das objekt eine aura
248040	253840	der awareness wenn man so will und der erste kritik punkt zu meiner kritik war
253840	259280	dass doch überhaupt hier gar keine quelle vorgelegen hat man könnte das ja
259280	263520	einfach mal so erfinden im zeitall des internets daraufhin habe ich eben den
263520	267960	link mit der quelle sozusagen nachgereicht damit auch jeder sehen kann
267960	273240	ok diesen artikel gibt es wirklich dann war die zweite kritik an der sache dass
273240	278080	doch die überschrift gar nicht stimmen würde und da hatten die leute
278080	283640	tatsächlich recht also die überschrift war ja ursprünglich von meinem post und
283640	287120	ursprünglich von dem artikel kinder müssen lernen wie elon musk und jeff
287120	292280	besos zu denken mittlerweile wurde der artikel abgeändert aber mit einem
292280	300080	vermerk unter dem artikel dass dies ursprünglich müssen lernen hieß aber
300080	306920	auf wunsch des autors die überschrift nun geändert wurde und jetzt ganz aktuell
306920	313840	lautet die überschrift kinder sollten lernen wie elon musk und jeff besos zu
313840	318280	denken daraufhin habe ich noch mal versucht zu erklären dass es zwar ein
318280	323840	unterschied zwischen sollen und müssen gibt aber im kern drücken beide begriffe
323840	331920	eine notwendigkeit aus und auch sollen ist eine art aufgabepflicht befehl von
331920	336800	einer person zu einer anderen so oder so bleibt also im kern der
336800	342280	ausdruck dass frank thielen sagt er sieht es als notwendig dass kinder so
342280	349760	denken wie jeff besos und elon musk das heißt die kritiker der kritik müssen
349760	355800	sich was neues suchen und das neue war dann dass man ja diese aussage aus dem
355800	361280	kontext gerissen hätte also diese überschrift wäre quasi aus dem
361280	367840	kontext gerissen weil im text selbst würde ja ganz andere dinge stehen bevor
367840	373720	ich jetzt den gesamten text mal gemeinsam mit euch durchgehe ja ihr müsst da auch stark
373720	379360	sein aber nichtsdestotrotz ist es mir wichtig das zu tun übrigens gab es auch eine kritik
379360	384680	oder kritik stimmen die gesagt haben ja man sollte doch diesen typen nicht noch mehr
384680	389680	aufmerksamkeit geben und es wäre doch eigentlich gar nicht notwendig sich darüber zu empören
389680	397040	weil damit würde man ihn ja nur bekannter machen an der stelle würde ich sagen nein frank thielen
397160	404320	ist sehr bekannt und er hat eine sehr einflussreiche position zumindest ist das was er immer von sich
404320	411160	behauptet aus seiner position heraus ist es ihm ja auch gelungen sehr viel geld in der
411160	418000	bevölkerung einzusammeln für seine hoch riskanten investment geschäfte den das näher interessiert
418000	425720	dem kann ich eine steuerung f doku ans herz legen wo das ganze mal beleuchtet wird wie frank thielen
425720	432000	eben seinen einfluss seine bekanntheit aus filmfunk und fernsehen dazu genutzt hat um
432000	438000	entsprechend geld für seine eigenen geschäfts aktivitäten einzusammeln und was mit diesem
438000	444360	geld zum teil eben passiert ist das heißt ich mache hier nicht künstlich eine leise stimme
444360	451800	lauter sondern ich versuche eine laute stimme so zu kritisieren dass sich ihr einfluss schmälert
451800	459160	beziehungsweise ich warne vor einem einfluss und zwar bezogen auf die aussagen die diese stimme
459160	467200	eben äußert in diesem konkreten kontext zurück zur überschrift und dem vorwurf der dekontextualisierung
467200	472800	also dass man das alles irgendwie aus dem zusammenhang gerissen hätte da muss man eben
472800	480360	beginnen noch mal über die funktion von überschriften zu sprechen eine überschrift ist im ursprünglichen
480440	488120	sinne die betitelung eines werkes oder eines textabschnittes und sollte letztendlich dieses
488120	494600	werk oder diesen abschnitt noch mal prägnant zusammenfassen der in seiner zunft des journalist
494600	503320	muss extrem bekannte wolf schneider der gleichzeitig auch ein anerkannter sprachkritiker ist hat mal
503320	512160	gesagt die überschrift sei die nachricht über der nachricht da manche kritiker meiner polemik
512160	517240	auch immer wieder auf mangelnde medienkompetenz hingewiesen haben möchte ich natürlich die
517240	524520	chance und gelegenheit nutzen einen kleinen crashkurs zu machen ein medienkompetenz crashkurs und zwar
524520	530520	in sachen clickbaiting es gibt ja jetzt zwei möglichkeiten man betrachtet die überschrift
530520	537760	von frank telens artikel kinder sollten lernen zu denken wie jeff bezos und elen musk entweder
537760	543800	ist das eine komprimierte zusammenfassung dieses textes und dann kann er nicht im weiteren textverlauf
543800	550800	relativiert werden oder irgendwie widersprochen werden dann ist das einfach die geisteshaltung
550800	558480	des autors und die zusammenfassung seiner botschaft oder zweitens es handelt sich hier um
558480	566080	clickbaiting und wer den begriff noch nicht kennen sollte und trotzdem im internet unterwegs ist den
566080	573640	kläre ich gerne an der stelle auf beim clickbaiting geht es darum den teaser oder die überschrift
573640	582200	eines artikels oder das was man auf social media findet eben diese text snippets die man auf twitter
582200	590240	und so weiter verteilt möglichst so zu formulieren dass die leute getriggert werden also angeregt
590240	596720	werden das auch wirklich anzuklicken oder sogar dieses klicken zu überspringen und direkt auf
596720	602400	teilen zu gehen weil dieser artikel ein vielleicht schon direkt mit der überschrift in rage bringt
602400	609640	der autor fabian mayer von dem buch wie viel wissen sie wirklich über clickbait bietet uns
609640	618840	acht merkmale von clickbaiting an und zwar ist das erste die übertreibung falsche versprechen
618840	627200	durch überschrift zweitens der teaser die auslassung von inhalten drittens die provokation
627200	634320	nutzung von unangemessenen oder vulgären begriffen viertens die formatierung der übertriebene einsatz
634320	640560	von großschreibung oder satzzeichen fünftens metaphor die bittliche beschreibung von anzüglichen
640560	647240	verstörenden und unglaublichen dingen sechstens die weiterleitung angekündigter inhalt nicht
647240	653960	auf der zielseite sondern muss weitere clicks tätigen siebtens ambiguität das heißt unklarheiten
653960	662760	und mehrdeutigkeiten und achtens irreführung faktisch falsche überschrift was ist jetzt also
662760	668200	hier der fall wenn also nicht der fall sein sollte dass die überschrift eine korrekte
668200	674280	zusammenfassung des artikels von frank thelen darstellt dann muss es sich offenbar um ein
674280	680640	clickbaiting handeln also eine irreführung entweder weil es schon eine faktisch falsche
680640	688360	überschrift ist oder weil es eine provokation ist oder eine übertreibung und wenn das ebenso
688360	695640	wäre dann muss man sagen hat der autor uns an der nase herum führen wollen kritische stimmen
695640	701200	würden behaupten naja das ist man ja eigentlich so ein bisschen von frank thelen irgendwie gewohnt
701200	706720	aber wir können uns einfach nicht sicher sein welche der beiden fälle nun wirklich gilt und
706720	713520	greift doch kommen wir nun zum eigentlichen text denn das ist aus meiner sicht das am meisten zu
713520	721520	kritisierende stück und was eben jetzt passiert mit dieser oberflächlichen hin und her kritisiererei
721520	728160	an einzelnen begriffen und ob diese überschrift jetzt aus dem zusammenhang gerissen wird wird das
728160	735320	eigentliche völlig verschleiert nämlich die gedankenwelt von frank thelen und was er eigentlich
735320	742880	für uns für unsere gesamte gesellschaft nicht nur sich wünscht sondern regelrecht
742880	751600	einfordert ich weiß nach meiner längeren habe maß exegese wirkt jetzt die exegese von frank thelen
751600	759280	naja wir rutschen von champions league in die jugend bolts platz liga wobei dort wenigstens
759280	766600	noch einige junge talente vorzufinden sind wir gehen also mal gemeinsam auf den boltz platz und
766600	774280	schauen uns den artikel an kinder sollten lernen wie elon musk und jeff bezos zu denken von frank
774280	784160	thelen seriengründer und tech investor freigeist capital ich sage es immer wieder deutschland muss
784160	790800	in sachen digitalisierung dringend aufholen es geht schon lange nicht mehr nur darum papier zu
790800	797480	sparen oder ein system zu etablieren in dem man sich den gang zum bürgeramt sparen kann die
797480	805960	digitalisierung ist die basis für die technologien der zukunft ki 3d druck autonomes fahren internet
806560	814680	automatisierung wenn wir unser land und unsere schulen nicht bald vollumfänglich digitalisieren
814680	822120	haben wir keine realistische chance in einem dieser bereiche eine rolle zu spielen wenn man
822120	828960	bedenkt welche marktwerte das internet smartphone und die cloud mit sich gebracht haben lässt sich
828960	835160	erahnen welche gravierenden folgen das für den wirtschaftsstandort deutschland hätte apple
835160	843360	microsoft und amazon sind sogar einzeln mehr wert als unser gesamter dax 30 weitere tech
843360	850200	unternehmen wie tesla werden bald folgen und den dax 30 hinter sich lassen wir dürfen nicht auch
850200	857080	noch die nächste technologiewelle verschlafen frank thelen zeichnet hier also ein bild des
857080	866280	völligen untergangsszenarios aber nicht etwa weil unsere brücken strassen spielplätze schulen
866280	874600	und so weiter verrotten und niemand mehr in ehemalige innovationen investiert und wir vielleicht einen
874600	881640	fachkräftemangel in deutschland haben und uns im handwerk in der pflege in der pädagogik all
881640	890280	überall wichtige menschen fehlen und dass immer mehr leute in armut leben und bei den tafeln um
890280	898480	essen betteln dass unser weltweites ökosystem kurz vor dem kollaps steht und wir unsere natur
898480	905960	maximal ausgebeutet haben und das 1,5 grad ziel gar nicht mehr erreichen können und es jetzt
905960	913280	wirklich nur noch darum geht schaden zu begrenzen nein für frank thelen reduziert sich die welt
913280	920840	einzig und allein auf das börsenpaket ich finde es auch interessant dass er seinen digitalisierungsbegriff
