start	end	text
0	3120	Danke Patrick und Jürgen für eure Nachrichten.
3120	6000	Offen gesagt, musste ich viel über Frank Thelen nachdenken.
6000	10500	Nichts Schlimmes, aber ich habe mich gefragt, ob es einen Kern Wahrheit gibt, worauf Frank
10500	15440	Thelen in sein Buch gestoßen ist und vielleicht selber gar nicht gemerkt hat bzw. es über
15440	18920	irgendwelche Geschichten und Narrative dann wieder selbst vergraben hat.
18920	24400	In seinem Eröffnungskapitel in 10xDNA macht Frank Thelen eine Argumentation, die man vielleicht
24400	27480	schnell überlesen kann im Sinne eines wahren Kerns.
27680	29960	Die besagte Stelle ist wie folgt.
29960	37120	Am 20. Juli 1969 betrat der US-Astronaut Neil A. Armstrong als erster Mensch den Mond.
37120	42440	Diesem kleinen Schritt waren viele Jahre intensiver Forschung und Entwicklung vorausgegangen.
42440	48240	Es war die Geburt eines völlig neuen Denkansatzes, der 10xDNA.
48240	53880	In den 50er und 60er Jahren befand sich die USA in einem erbitteten Kampf mit der UDSSR
53880	56040	um die Vorherrschaft im Weltraum.
56040	59080	Die USA befürchteten, das Space Race zu verlieren.
59080	65720	Darum beauftragte US-Präsident John F. Kennedy 1961, die NASA innerhalb der nächsten 10
65720	70400	Jahre einen Menschen auf den Mond zu landen und sicher wieder zurück zur Erde zu bringen.
70400	75040	Er wollte die USA als führende Weltraummacht etablieren.
75040	79160	Dieser sogenannte Moonshot schien damals unmöglich.
79160	84600	Es ist kaum vorstellbar, wie sich das Team der NASA gefühlt haben muss, als der Präsident
84600	87160	diese anscheinend unlösbare Aufgabe stellte.
87160	90320	Wie würdest du in einer solchen Situation reagieren?
90320	94760	Würdest du eine Abwehrhaltung gehen und Argumente aufzählen, wieso diese Aufgabe nicht zu
94760	95760	schaffen ist?
95760	100880	Oder würdest du diese Herausforderungen annehmen und alles dran setzen, eine Lösung zu finden?
100880	103400	Die NASA hat sich für das Letztere entschieden.
103400	106560	Obwohl die Voraussetzungen sehr ungünstig waren.
106560	112040	Die Raketen waren noch zu schwach um eine Mondlandekapsel mit drei Astronauten, genug Vorräte und Treibstoffe
112040	115800	für den Flug von der Erde bis zum Mond und wieder zurück zu starten.
115800	122280	Der deutschstämmige Raketeningenieur Werner von Braun schrieb damals, um dies zu erreichen,
122280	127640	müsste die Rakete um das Zehnfache, also 10x, leistungsfähiger werden.
127640	129320	Das erschien aussichtslos.
129320	132160	Kennedy hielt dennoch an seinem Vorhaben fest.
132160	138640	In seiner berühmten Mondrede von 1962 schwor er die Amerikaner auf die gemeinsamen Ziele ein.
138640	142000	Wir haben den Mond als Ziel gewählt.
142000	146160	Nicht weil es leicht ist zu erreichen, sondern gerade weil es schwierig ist.
146160	150400	Die NASA konzentrierte all ihre Kraft auf dieses Ziel.
150400	157840	Zur Hochphase des Projektes arbeiteten über 400.000 Forscher, Ingenieure, Mathematiker
157840	159600	an radikal neuen Lösungen.
159600	165800	Die USA steckte rund 2,5% ihrer jährlichen Wirtschaftskraft, BIP, in die Forschung und
165800	167960	Entwicklung dieser neuen Technologien.
167960	174640	Das waren pro Jahr 25 Milliarden Dollar, was einem heutigen Wert von 100 Milliarden Dollar entspricht.
174640	180080	Diese Investition ermöglichte letztendlich nicht nur die Mondlandung, sie erschuf komplett
180080	181080	neue Industrien.
181080	186920	Die Ideen der hellsten Kaffe des Moonshot-Projektes prägen uns heute.
186920	191320	Im Laufe des Kapitels geht Dan Telen weiter und erklärt, wie viel Unternehmenskraft aus
191320	195160	diesem NASA-Projekt indiziert wurde, wie das Silicon Valley entstanden ist, die Venture
195160	200560	der Capital-Szene und warum dadurch die USA heute eine unglaubliche Dominanzstellung
200560	202600	im Bereich Technologie hat.
202600	207920	Nun könnte es den einen oder anderen nachdenklich machen, warum Telen aus diesem Beispiel der
207920	210920	Mondlandung Unternehmertum ableitet.
210920	217040	Denn die Mondlandung war ja komplett staatlich finanziert und es hat so viel Innovationskraft
217040	218920	und Erkenntnis gebracht.
218920	224360	Beispielsweise die Art, wie die NASA diese 400.000 Menschen organisiert hat, wurde im
224360	229520	Nachgang von Unternehmen wie Boeing übernommen, um effektiver in der Produktion zu organisieren.
229520	232720	Aber wie kommt er jetzt auf diese Ableitung mit dem Unternehmertum?
232720	235720	Müssen wir uns nicht eigentlich zwei ganz andere Sachen fragen?
235720	242020	Erstens, wenn der Staat so viel investiert hat und so viel neue Innovationskraft entfacht
242020	244880	hat, wo ist denn dann bitte Ihr Return on Invest?
244880	250480	Also im Nachgang haben ganz viele Unternehmen von der Leistung der NASA profitiert und wurden
250480	252920	zu den wohlhabendsten Unternehmen der Welt.
252920	257040	Einige von denen sind auch sehr innovativ in der Art, wie sie Steuern optimieren.
257040	260200	Aber wieso hat der Staat nicht selbst als Investor agiert?
260200	264520	Also das könnte man sich schon fragen und sich ärgern, dass der Staat da nicht bessere
264520	268560	Verträge gemacht hat und sich Lizenz oder was auch immer Rechte gesichert hat.
268560	272400	Aber es ist nicht sogar die eigentlich größere Erkenntnis viel spannender.
272400	278240	Der Staat hat anscheinend das gemacht, was wir ihm im Alltag nicht wirklich zuschreiben.
278240	284680	Sie waren innovativ und fähig, Menschen zu organisieren, rund um ein großes Ziel, ohne
284680	287000	dass jemand ein Profitmotiv hatte.
287000	292520	Oder anders ausgedrückt, wieso denkt Elon, dass nach seinem NASA-Beispiel Unternehmertum
292520	295800	die beste Lösung für die relevanten Probleme unserer Zeit ist?
295800	299600	Aber treten wir erst mal einen Schritt zurück und fragen uns, was ist sie überhaupt ein
299600	300600	Unternehmer?
300600	305200	Ökonomisch könnten wir argumentieren, dass Menschen Nutzenmaximierer sind.
305200	309440	Vereinfacht, sie wollen den Nutzen aus ihrem Konsum maximieren.
309440	314360	Jetzt könnte man fragen, was charakterisiert denn dann ein Unternehmer in diesem Sinne?
314360	318800	Unternehmerisches Handeln ist ja vereinfacht der Verzicht auf Konsum.
318800	321200	Und genau das macht ein Unternehmer aus.
321200	327720	Er verzichtet heute auf Konsum, um unter Unsicherheit in der Zukunft mehr konsumieren zu können.
327720	332320	Man könnte den Unternehmer vielleicht auch als Erwartungsnutzenmaximierer definieren.
332320	336840	Wobei das auch stimmen würde für reine Investoren, die wir vielleicht nicht als Unternehmer
336840	337840	definieren würden.
337840	342000	Basierend auf einige Denker der österreichischen Schule können wir auch einen Schritt weitergehen
342000	347040	und den Unternehmer definieren als sowas wie eine schöpferische Leistung, durch kreative
347040	351960	Kombinationen von Produktionsfaktoren unter Risiko seinen Erwartungsnutzen maximieren will.
351960	357160	Ludwig von Mises ging hier noch einen Schritt weiter und setzte sehr stark auf unternehmerisches
357160	359840	Handeln und unternehmerische Fähigkeit.
360240	366040	Für von Mises ist Unternehmertum nicht geprägt von einer mathematischen Verarbeitung von Risiken,
366040	372000	sondern basierend auf die Fähigkeit, die zukünftigen Bedürfnisse der Konsumenten vorauszusehen
372000	373480	und darauf zu handeln.
373480	379080	Man konnte kybernetisch argumentieren, dass Unternehmer im Grunde Signale aus dem Markt
379080	385080	verarbeiten, kreative Ideen kombinieren mit Produktionsmitteln, Signale in den Markt senden
385080	390320	und über die Rückkopplung iterativ ihr Produkt oder Service weiterentwickeln, um auf Dauer
390320	391320	erfolgreich zu sein.
391320	396200	Für von Mises ist aber diese unternehmische Fähigkeit nichts, was man akademisch erlernen
396200	397200	kann.
397200	399840	Manche Menschen haben diese Fähigkeit immanent oder nicht.
399840	404240	Mit Blick auf Josef Schumpeter kann man das ganze Ding noch in einen dynamischen Zyklus
404240	409960	bringen und sagen, dass Unternehmer erst durch kreative Schaffensprozesse Innovationen schaffen,
409960	414880	dann kommen andere, die am Markt sind und imitieren das innovative Produkt oder Service.
414880	420880	Durch die Innovation versucht aber der Unternehmer, die Wettbewerbe aus dem Markt zu halten, im
420880	424360	besten Falle mit einer Möglichkeit der Monopolisierung.
424360	429520	Diese Management-Sicht auf Produkte und Services wird in der modernen Management-Welt auch
429520	431920	als Innovations-Dilemma betitelt.
431920	438440	Also durch den Prozess, die Innovation zu schützen, wird weniger Geld in Innovation investiert
438440	443280	und damit die Flanke aufgemacht, dass andere Unternehmen mit einer neuen Innovation einen
443280	448880	aus dem Markt drängen, auch bekannt als der sogenannte Kodak-Moment oder in der Fachsprache
448880	449880	Disruption.
449880	454880	Dazu muss man sagen, dass in dieser Logik es für ein Unternehmen keinen Sinn macht,
454880	459820	ein Euro in neue Innovation zu investieren, denn jedes Investment im etablierten Produkt
459820	463760	hat deutlich mehr Return und Invest als andersherum.
463760	468640	Clayton Christensen, ein Harvard-Professor für Strategisches Management, nannte das,
469640	475240	Praktiken, die für Effizienz und Profitabilität sorgen, mittelfristig dazu führen, dass man
475240	476240	disrupted wird.
476240	482160	Naja, und auf der Asche der alten Unternehmen steigen dann neue auf und so weiter.
482160	486760	Aber das sind ökonomische Kategorien, wie man über Unternehmer nachdenken kann.
486760	489600	Aber nun wieder zurück zu Telen und der Mondlandung.
489600	493920	Nun ist natürlich das Ding, dass all die Logiken, die ich gerade beschrieben habe,
493920	498520	die NASA nicht wirklich gelten und trotzdem wurden relevante Innovationen erzeugt.
498520	499920	Was war jetzt anders?
499920	508480	Lustigerweise hat eine ökonomische Forscherin namens Mariana Mazzucato 2021 ein Buch veröffentlicht,
508480	514040	das sich mit der NASA und der Mondlandung und all dem Innovationen und dem daraus entstandenen
514040	515880	Silicon Valley auch beschäftigt.
515880	518760	Vielleicht hat sie sie auch ganz einfach bei Telen abgeschrieben.
518760	524520	Das Buch heißt Mission Economy, A Moonshot Guide to Changing Capitalism.
524520	530600	Im Kern baut sie auf die gleichen Prämissen wie Telen auf, aber ihre Ableitung ist eher,
530600	536040	dass der Staat doch als Investor und sogar Unternehmer auftreten kann.
536040	541520	Sie kritisiert, wie wir auf die Idee gekommen sind, dass der Staat am besten so wenig wie
541520	546760	möglich machen soll und wenn überhaupt, soll er ein wenig regulieren oder im besten
546760	548480	Falle noch umverteilen.
548480	551560	Aber der Staat kann auch selbst als aktiver Player auftreten.
551560	556760	Nun müsste er sich selbst rund um eine Mission organisieren, die wichtig ist für die Gesellschaft,
556760	558120	dass es gelöst wird.
558120	562240	Naja, man munkelt, es gibt heute einen Haufen solcher Missionsdinger.
562240	567720	Aber stattdessen wird der Staat wie so eine Art Unternehmen rund um Budgets organisiert,
567720	572040	anstatt um relevante Themen, die wir wirklich als Gesellschaft lösen müssen.
572040	574560	Und zwar zu jedem Preis.
574560	579280	Man sieht ja gut, was plötzlich alles möglich ist bezüglich Finanzierung, wenn der politische
579280	580280	Wille da ist.
580280	584440	Nur schade, dass es eher im Fall von Kriegen passiert als andere.
584440	589920	Aber wenn man sich anschaut, was die NASA alles lösen musste, um die Mondlandung zu
589920	595240	schaffen, verwundert das einen doch schon sehr, dass wir heute diese dringlichen Themen,
595240	597800	die unsere Existenz bedrohen, nicht hinbekommen.
597800	604240	Naja, und wie Telen auch deutlich gemacht hat, aus dem NASA Projekt gab es zahlreiche
604320	609040	Spillover-Effekte, die sich in unterschiedlichsten Bereichen weiterentwickelt haben.
609040	614000	Aber vielleicht sollten wir nicht so viel über Telen reden, denn er investiert lieber in Startups,
614000	615800	die mit 3D-Drucker Pizza herstellen.
615800	619880	Ich muss offen gestehen, Matsukato's Perspektive ist ziemlich spannend.
619880	625720	Auf der einen Seite könnte man denken, sie zelebriert den gleichen Business-Buzzword-Fest
625720	627560	wie alle anderen Innovation-Gurus.
627560	632080	Beispielsweise, wenn man sich ihre TED-Talks anschaut, kann man auch gleich Buzzword-Bingo
632080	633080	spielen.
633160	638120	Aber sie nutzt diese Sprache als eine Art subversive Waffe, denn die Ideen, die sie
638120	642360	hat und die Dekonstruktion, die sie vornimmt, sind schon ziemlich radikal.
642360	649160	In ihrem Erstlings-Populärbuch The Entrepreneurial State – Debunking Public vs. Private Sector
649160	654400	Myth aus dem Jahr 2011 räumt sie ziemlich mit dem Unternehmer-Mythos auf.
654400	660240	By the way, das Buch heißt im Deutschen Das Kapital des Staates – eine andere Geschichte
660240	662040	von Innovation und Wachstum.
662520	666960	Die Kernprämisse in dem Buch, bei all den notwendigen Innovationen, die heute für unsere
666960	671520	Existenz notwendig sind, sollte der Staat das nur dem privaten Unternehmen überlassen
671520	674200	oder selber als aktiver Akteur auftreten.
674200	678640	Denn auch hier, die großen Innovationen sind am Ende immer erst über den Staat finanziert
678640	682080	worden, beispielsweise der Suchalgorithmus von Google.
682080	686920	Sie zeigt ziemlich deutlich, dass sogar Venture Capital Investoren, also Risikokapitalgeber,
686920	692640	ziemlich ängstlich sind, bei grundlegenden und bahnbrechenden Vorhaben zu investieren
692640	697640	und erst einsteigen, wenn die Forschung deutlich fortgeschritten ist, nachdem der Staat schon
697640	700400	längst als Finanzierer aufgetreten ist.
700400	705520	Nur, dass diese ganzen VCs alle 10x haben wollen und der Staat sich freuen würde,
705520	707720	wenn die Unternehmen wenigstens Steuern zahlen würden.
707720	712800	Aber was sie auch deutlich macht, ist, dass der Staat bei diesem Themengebiet in der Vergangenheit
712800	715320	deutlich aktiver war, als er das heute ist.
715320	720880	Beispielsweise erklärt sie, dass früher große Unternehmen wie AT&T vom Staat verpflichtet
720880	725040	wurden, Teile ihres Gewinns in Grundlagenforschung zu investieren.
725040	730960	So ist beispielsweise bei AT&T das sogenannte Bell Labs entstanden, woraus eine Vielzahl
730960	735200	von Erfindungen entstanden sind, die beispielsweise das iPhone überhaupt erst ermöglicht haben.
735200	740720	Und nicht nur im Bell Labs, sondern zahlreiche Erfindungen, wie beispielsweise das Internet,
740720	744960	GPS und so weiter, waren Erfindungen von staatlichen Institutionen.
745200	750600	Also ohne die Investitionen vom Staat in technologische Forschungsarbeiten hätte Apple niemals diesen
750600	752120	Erfolg gehabt, den es heute hat.
752120	755040	Allerdings gibt Apple kaum was der Gesellschaft zurück.
