start	end	text
0	11880	Hey Humann, da hast du das Loch des Kaninchenbaus aber ganz schön weit aufgerissen. Ich versuche
11880	18800	mich da mal so ein bisschen ranzutasten und ein Stück weiter reinzukriechen, weil die
18800	28440	Thematik rund um das Thema Mehrarbeit, Gründertum, Extrameile, Wohlstand hat so umfassend viele
28440	35240	Aspekte, dass ich natürlich nicht wieder ein 10-Stunden-Skit machen kann, sondern wir sollten
35240	42400	das vielleicht im Ping-Pong-Spiel uns immer weiter in den Kaninchenbau hineinbohren. Ich möchte mich
42400	49280	aber jetzt in meinem Skit weniger auf das Thema Überstunden und Mehrarbeit fokussieren, sondern
49280	57040	auf die Verherrlichung von Unternehmertum und Gründertum und Gründergeist eingehen. Ich möchte
57040	64120	dahingehend mehr verstehen zur Ideengeschichte von Christian Lindner und warum er Gründen quasi als
64120	71360	eine Art Selbstzweck sieht. Und im Zuge meiner Recherchen bin ich dann auf ein interessantes
71360	78760	Muster gestoßen, was so ein bisschen erklären könnte, entweder wovon sich Christian Lindner
78760	86680	beeinflussen lässt, inspirieren lässt oder in welcher Peer-Group er sich sozusagen befindet,
86680	92920	die eben diese gleichen Werte miteinander teilen. Und da Christian Lindner ein Politiker ist,
92920	100160	ein Berufspolitiker, er gleichzeitig Vorsitzender einer politischen Partei ist, der FDP, lohnt es
100160	106640	sich natürlich zu gucken, wer sind eigentlich Förderer dieser Partei. Und da habe ich mal
106640	114400	einen Blick in die Spenderliste im Jahr 2021 geworfen, also kurz vor der Bundestagswahl. Da
114440	123440	wird die Wahlkampfkriegskasse nochmal ordentlich nach oben gepresst. Und dort sind mir minimum drei
123440	130160	Personen sofort ins Auge gestochen. Und die haben auch, ehrlich gesagt, gar kein Geheimnis daraus
130160	135120	gemacht, dass sie diese Partei unterstützen, sondern es gab jeweils zu diesen Personen auch
135120	142360	immer ein starkes öffentliches Statement, was eben auch im Mainstream entsprechend weiter
142360	149240	kolportiert wurde. Und diese drei Personen würde ich jetzt mal benennen in Reihenfolge der
149240	156360	Spendenhöhe. Und ihr könnt ja dann mal überlegen, was diese drei Personen gemeinsam haben. Und zwar
156360	165720	der erste Spender ist Georg Kofler, der 750.000 Euro gespendet hat an die FDP. Die zweite Person,
165720	174320	die allerdings gemeinsam mit weiteren Investoren eine Summe von 500.000 Euro aufgebracht hat,
174320	182000	ist der schon bereits bei uns besprochene Frank Thelen. Und der dritte im Bunde ist Carsten
182000	191040	Maschmeyer mit 200.000 Euro. Und was haben diese drei Personen eigentlich gemeinsam?
195720	214200	Anders formuliert könnte man auch sagen, dass allein Jurymitglieder der Höhle der Löwen insgesamt
214200	222680	1,45 Millionen Euro an die FDP und damit auch indirekt an den Parteivorsitzenden Christian
222680	228680	Lindner gespendet haben. Natürlich, das ist alles transparent. Das ist alles legal. Gar keine
228680	235880	Frage. Nichtsdestotrotz muss man natürlich bei Parteispenden usw. immer schauen, was ist denn
235880	243480	eigentlich die politische Agenda und was möchte ich damit eigentlich auch erreichen? Und auffällig
