start	end	text
0	4240	Hey Patrick, danke für deine interessante Nachricht und ich musste sehr viel darüber
4240	9000	nachdenken wie ich darauf antworte, denn dieses Thema Unternehmertum und so weiter, ja ich
9000	12000	habe da eine gewisse Vergangenheit mit, will ich mal so sagen.
12000	15680	Zum einen habe ich vor fünf Jahren ein eigenes Unternehmen gegründet und ich würde sagen,
15680	19280	diese Geschichte des Unternehmertums hat mich wirklich schon sehr lange begleitet, denn
19280	23400	dieses Thema ist so prägend für mich, dass ich irgendwie das Ding auf den Punkt bringen
23400	28240	will und ja, irgendwie prokrastiniere ich damit und schon sind wir im Kernproblem, denn
28240	32680	diese Logik, dass man prokrastiniert etwas, ist auch irgendwie Teil dieses ganzen Unternehmerdingen
32680	36960	im Sinne von persönliche Performance und so weiter und so weiter, aber langsam fangen
36960	39160	wir mal irgendwie in der Mitte an.
39160	43160	Also bevor ich vor fünf Jahren mein eigenes Unternehmen gegründet hatte, habe ich zuvor
43160	47880	für ein sehr großes Beratungsunternehmen gearbeitet und ein Projekt, was ich begleitet
47880	55720	habe, war in den USA in New York bei einem sogenannten Venture Capital Early Stage Pre-Seed
55720	57000	Startup Accelerator.
57000	62880	Ja, so komisch lange gekoppelte Begriffe, ja, das gibt es oft in dieser Welt, wo man
62880	64640	sich versucht, die ganze Zeit irgendwie abzugrenzen.
64640	71120	Das Projekt war so gestaltet, dass im Grunde zehn junge Unternehmen, alle so ein paar Leute,
71120	75880	so drei, vier, fünf Mitarbeitende, waren Teil von so einer Art Programm, wo sie etwas
75880	81080	Geld bekommen haben, von so einem Venture Capital Unternehmen und gleichzeitig für
81080	86880	einen Zeitraum von drei Monaten so eine Art Business Mentoring bekommen sollten, wie
86880	91600	sie ihr Geschäft aufbauen, was wichtig ist, worauf sie achten sollten und so weiter und
91600	92600	so weiter.
92600	96960	Ich wurde von meinem Unternehmen dahin geschickt, um innerhalb dieses Zeitraums mit den jungen
96960	100200	Unternehmen zusammenzusitzen, zu überlegen bzw.
100200	105720	nachzuvollziehen, was sie so machen, was deren Potenziale sind und so weiter und darüber
105720	113480	hinaus grundsätzlich abzuleiten, wie eine große Beratung in diesem, ich sag mal, Startup-Geschäft
113480	119160	mit sehr, sehr jungen Unternehmen überhaupt strategisch Innovationen und so weiter nutzen
119160	123000	kann, über das man Unternehmen berät, die eigentlich ja gar kein Geld haben, um diese
123000	124000	Beratung zu bezahlen.
124000	129240	Also saß ich drei Monate mit, wie gesagt, sehr jungen Unternehmen in den USA, in New
129240	135120	York und war im Grunde ziemlich tief drin in dieser Venture Capital Startup Tech-Szene
135200	136200	und so weiter.
136200	138800	Mein Aufenthalt vor Ort war ziemlich privilegiert.
139240	143880	Ich hatte eine ziemlich schöne Wohnung mitten in der Stadt, hatte eigentlich gar keine finanzielle
143880	146680	Herausforderung. Ich hatte ein relativ gutes Projektbudget und so weiter.
146960	150080	Aber die jungen Unternehmen, denen ging es nicht so toll.
150080	152920	Ich meine, klar, die haben ein bisschen Kohle bekommen, aber erst mal wurden sie gezwungen,
152920	156480	nach New York City für eine Weile zu kommen, denn die kamen aus mehr oder weniger relativ
