start	end	text
0	4940	hey rumann ich habe tatsächlich jetzt gar keinen neuen wirklichen inhaltlichen
4940	8460	skit ich bin immer noch ein bisschen platt von unserem fünfstündigen
8460	15180	livestream am samstagabend und bin noch ganz ausgepowert bin aber auch sehr sehr
15180	20020	stolz darauf dass wir da eine sehr gute premiere hinbekommen haben und auch
20020	26340	illustre gäste im chat begrüßen dürften nämlich tilo jung der uns
26340	32300	dabei zugeguckt habt wie wir gemeinsam quasi das interview mit franziska
32300	38020	brandmann von der fdp den jungen liberalen uns zur brust genommen haben
38020	41180	und das ein bisschen kritisch hinterfragt haben
41180	47220	stefan schulz war übrigens auch dabei so wie viele andere treue hörerinnen
47220	52540	hörer die wir ja auch schon länger auf twitter kennen vielen dank dass ihr
52540	56340	dabei wart war wirklich ein sehr sehr schöner abend und ich wollte dir
56340	62620	eigentlich nur sagen dass ab sofort zumindest die passage mit dem tilo
62620	66700	jung interview tatsächlich jetzt auch auf unserem youtube channel zu finden
66700	70820	ist zum nachgucken weil ich hatte tatsächlich ein paar probleme wir hatten
70820	78060	ja ganz am anfang den clip mit louisa neubauer bei marcus lands da habe ich
78060	84220	jetzt leider ein copyright strike bekommen vom zdf weil das zdf eben nicht
84220	89460	möchte dass ich urheber rechtlich geschütztes material journalistisch
89460	94420	einbette und dass wir das so besprechen ich habe aber schon bereits einen
94420	100180	einspruch eingelegt und ich hoffe mal der öffentlich rechtliche sender ist
100180	106740	gnädig und sieht unsere absichten auch gut eingebettet in ihren eigenen
106780	112220	bildungsauftrag denn eigentlich wollen wir auch nichts anderes tun als das also
112220	117580	das ist der hinweis an dich ab sofort gibt es das video die passage aus dem
117580	124300	livestream mit tilo jung und franziska brandmann auf unserem youtube channel
124300	130140	critical infinity podcast so heißt der channel auf youtube dort findet man
130140	136060	übrigens auch alle unsere skiz so weit ich weiß soweit denn der automatismus
136060	146020	funktioniert und ja wer die gesamten fünf stunden twitch livestream sich
146020	153180	angucken möchte im nachhinein kann das auf unserem twitch channel tun auch dort
153180	158860	findet ihr uns unter critical infinity und wir werden das ganz sicher öfters
158860	164820	machen denn es hat uns großes vergnügen bereitet in diesem sinne wünsche ich dir
164860	171180	jetzt erstmal einen schönen sonntag und ja ich weiß nicht ob ich jetzt den
171180	175220	nächsten themen aufschlag mache oder du das wird sich sicherlich ergeben es
175220	181140	sind ja noch genug fragen offen zum beispiel heute wurde ich wieder immens
181140	185940	getriggert von unserem gemeinsamen freund christian lindner der das neun
185940	192220	euro ticket deshalb nicht so gut findet weil er meint dass die menschen dadurch
192220	199380	nicht nützliche fahrten damit absolvieren ich glaube allein über das
199380	204860	thema öffentliche nahverkehr et cetera pp können wir uns auch nochmal austoben
204860	209140	aber ich denke wir haben auch das ganze thema überstunden gründer warn und so
209140	212820	weiter auch noch nicht wirklich durch also mal schauen wo uns die nächsten
212820	219700	skiz hinführen stoff des wahnsinns der ideologie gibt es ja wirklich im moment
220140	226580	mehr als genug in diesem sinne an alle anderen die uns zufällig hier zuhören
226580	231620	wir freuen uns natürlich über jedes lob jede weiterempfehlung jedes feedback
231620	239140	jeden like jede bewertung dieses format ist ein organisch wachsendes format und
239140	245620	es wächst im grunde genommen nur durch euch und nur indem ihr einfach davon
245620	253020	anderen erzählt es ganz präsent bei euch irgendwo weiter empfiehlt in den
253020	257540	sozialen netzwerken das ist das einzige grundprinzip und wenn es euch nicht
257540	262100	gefällt müsst ihr es ja nicht anhören angucken oder was auch immer in diesem
262100	267580	sinne lieben macht's gut bis zum nächsten skit
