start	end	text
0	6620	Hey Juman, dein letzter ausführlicher Skit hat mich wirklich sehr begeistert.
6620	11560	Herzlichen Dank für diese ganz hervorragende Arbeit und Einordnung und
11560	18540	wie du uns sozusagen auf der Formebene versucht hast, darzulegen, wie Diskurse
18540	23860	letztendlich in die eine oder andere Richtung gelenkt werden. Und hier würde
23860	28820	ich gerne anknüpfen. Du hast ja in deinem Skit sehr viel über den Begriff von
28820	36140	Wokeness von Vogue gesprochen und wie dieser Begriff Zug um Zug letztendlich
36140	42140	neu eingerahmt wird, neu gedeutet wird und vor allen Dingen auch zum Teil
42140	48580	diskreditiert wird. Ich würde gerne den Kern von Wokeness, den ursprünglichen
48580	55460	Kern noch mal heraus schälen, weil ich denke, dass dieser Kern gleichzeitig ein
55460	60420	wichtiges Grundelement in gesellschaftlichen Diskursen letztlich
60420	68340	darstellt. Es ist sozusagen eines der meist diskutierten Objekte in
68340	75060	Gesellschaften, so wie ich sagen, oder das meist diskutierte Spektrum. Denn der Kern
75060	81620	von Vogue und Wokeness, hast du ja schon sehr richtig erklärt, ist ja die
81620	89180	Achtsamkeit für Ungerechtigkeiten in Gesellschaften, das darauf achten, wo
89180	95140	Menschen ungleich behandelt werden. Man könnte natürlich auch sagen, dass
95140	101500	Wokeness eine durch und durch demokratische Eigenschaft ist, wenn es
101500	107780	darum geht, dass Demokratien ja vor allen Dingen auf ein Wertesystem basieren, die
107780	114260	von Gleichheit, Freiheit, Brüderlichkeit, Schrägstrich, Schwesterlichkeit ausgehen.
114260	119780	Der erste Artikel und Absatz unseres Grundgesetzes, also der Kern unserer
119780	127540	Nation lautet, die Würde des Menschen ist unantastbar, sie zu achten und zu
127540	134340	schützen ist Verpflichtung aller staatlichen Gewalt. Und dem möchte ich
134340	140460	jetzt natürlich noch anschließen, den Artikel 3, Absatz 1, 2 und 3, nämlich
140460	146660	alle Menschen sind vor dem Gesetz gleich, Männer und Frauen sind gleichberechtigt.
146660	152020	Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von
152020	157780	Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin.
157780	164100	Und nun der fast wichtigste Artikel, auf den sozusagen der gesamte Skit
164100	169300	dann im Anschluss beruht, niemand darf wegen seines Geschlechtes, seiner
169300	174060	Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines
174060	179220	Glaubens, seiner religiösen oder politischen Anschauung benachteiligt
179220	185020	oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.
185020	191620	Damit setze ich nun eine epistemische Grundlage, also ich setze ein Grundnarrativ,
191700	198500	auf das ich nun folgende Argumentation aufbauen möchte. Wir sind uns, glaube ich,
198500	203860	an der Stelle eben einig, dass das, was ich gerade vorgelesen habe, im Grunde genommen
203860	211500	den Kern unserer Demokratie darstellt. Das sind unsere gemeinsamen demokratischen Werte.
211500	219700	Und ich würde sagen, es ist in dem politischen Spektrum weitgehend, ich sage mal weitgehend,
219700	225340	Konsens links bis rechts. Und deswegen tue ich mich immer schwer mit den politischen
225340	230260	Kategorien von links bis rechts. Ich würde nämlich da gerne zwei sehr einfache
230260	236100	Bewertungskriterien einführen, die uns das wesentlich vereinfachen. Und das sind für
236100	243500	mich die beiden Begriffe demokratisch und antidemokratisch. Wenn wir zustimmen,
243500	249900	dass, was ich gerade vorgelesen habe, dass niemand aufgrund äußerer Merkmale, Geschlecht,
249900	257140	etc. pp. benachteiligt werden kann, dass es also im Grundsatz darum geht, eine Gleichheit
257140	263660	herzustellen, zumindest Chancengleichheit, Rechtegleichheit, etc. Wenn wir uns darauf
263660	271820	einigen können, dann können wir uns unter dem Begriff Demokraten, Demokratinnen vereinen.
271900	279700	Dann gehören wir dieser Begrifflichkeit zu. Wenn jemand allerdings der Ansicht ist, dass
279700	287980	beispielsweise Männer mehr wert sind als Frauen, dass Menschen mit anderer Hautfarbe weniger
287980	296580	wert sind als andere, dann muss man leider rigoros in Anwendung des Grundgesetzes attestieren,
296580	303420	dass hier wohl ein antidemokratisches Wertegerüst vorliegt. Dieser Absatz aus dem Text der
303420	310020	Landeszentrale für politische Bildung Baden-Württemberg mit der Frage, was ist die Grundlage demokratischer
310020	316620	Werte, bringt es eigentlich sehr gut auf den Punkt. Alle demokratischen Werte lassen sich
316620	323660	letztendlich auf die Achtung der Menschenrechte zurückführen, wie zum Beispiel Freiheit,
323660	331980	Gleichheit, Gerechtigkeit und Solidarität. Mit diesen beiden Bewertungskriterien, demokratisch
331980	339580	und nichtdemokratisch, blicken wir jetzt nochmal auf den Begriff der Vogue-ness. Vogue ist ja,
