start	end	text
0	7440	Hey Oman, wir haben ja mit den letzten beiden Skits eigentlich schon sehr, sehr viel wieder
7440	14680	produziert und gesagt und an der Stelle möchte ich in meiner Sprachnachricht andere Sprachnachrichten
14680	21800	integrieren. Wir haben nämlich von Hörern, leider noch nicht Hörerinnen, zwei Nachrichten
21800	29000	bekommen, die aber jeweils zu einem unterschiedlichen Thema sind und dieses Thema ist eigentlich
29000	34240	schon von uns sozusagen besprochen, aber wir werden natürlich immer wieder darauf zurückkommen.
34240	39080	Deswegen würde ich jetzt vorschlagen, dass wir immer mal wieder so Blöcke wie diesen machen,
39080	49120	wo wir eingegangene Sprachnachrichten unserer Hörerschaft einbinden und reinholen. Und die
49120	57720	erste Nachricht kommt von The Brave Drake und bezieht sich auf unsere damalige Ökonomie-Ideengeschichte
57720	65800	rund um die Skits Ökonomie, Hegemonie und Hühner, Ideengeschichte und Menschenbild und
65800	71520	spontane Ordnung und die erhabene Ideologie des Marktes. Also die könnt ihr euch vielleicht noch
71520	76880	mal anhören. Darauf bezieht sich jetzt die folgende Sprachnachricht und die ist eigentlich verbunden
76880	84200	mit einer Frage nach einer Figur aus der Ökonomie. Also bitte liebe Ökonominnen, Ökonomen, wenn ihr
84200	90920	hier zufällig zuhört und ihr könnt etwas über die Person sagen, die The Brave Drake jetzt in seiner
90920	97760	Sprachnachricht erwähnt. Bitte bei uns melden und gerne dazu etwas machen. Hier jetzt eben die erste
97760	104040	Sprachnachricht. Hallo Patrick, hallo Hohmann. Ja, ich merke, wie schwer es ist, so einen Skit
104040	110560	aufzunehmen. Ich glaube, das ist jetzt der 120. Anlauf, den ich unternehme. Ich wollte euch
110560	118560	gratulieren zu dem Twitch-Stream vom letzten Samstag mit fünf Stunden. Wahnsinnsleistung und
118560	126320	vor allem kurzweilig und anregend und unterhaltend. Also ich fand es ganz toll, ich konnte nicht die
126320	133600	ganze Zeit dabei sein, aber herzlichen Glückwunsch dazu. Das ist ein ganz prima Format gewesen. Worauf
133600	142520	ich nochmal kurz eingehen wollte, ist, ihr hattet ja gesagt, auf den Skit von Maurice habt ihr
142520	148000	verwiesen, dass es sich lohnt, den anzuhören. Ich habe mir den mit großer Begeisterung angehört.
148000	155320	Ich fand das wirklich sehr, sehr interessant, die Sichtweise, die Maurice da mit seiner MMT hat.
155320	163360	Und in dem Zusammenhang wollte ich auch tatsächlich nochmal auf den Karl Polany verweisen,
163360	171440	den ich auch in den Chat geschrieben hatte. Mein Eindruck ist, dass das vielleicht ganz gut auch
171440	180840	in die Ideen, die im MMT zugrunde liegen, dass sich das doch ganz gut zusammenfügt. Karl Polany ist
180840	186200	auch ein Wirtschaftswissenschaftler aus den 40er Jahren. Der stand nun ein bisschen im Schatten von
186200	195560	Keynes und den anderen aus der österreichischen Schule und er hat eine Theorie entwickelt,
195560	201320	die abweichend von der liberalen Wirtschaftstheorie ist. Er sieht zum Beispiel in der Gesellschaft
201320	209760	selbst einen ganz wesentlichen Faktor in der Ökonomie, wo er auch sagt, dass die sehr lange
209760	215680	auch ein sehr wichtiger Player war, der aber im Rahmen der liberalen Wirtschaftsvorstellung doch
215720	221920	an Bedeutung verloren hat. Und er bringt auch in seine Sicht auf die Ökonomiefaktoren rein,
221920	229840	wie Boden- und Umweltnutzung und wie das eingepreist ist. Und das sind ja heute auch wirklich nochmal
229840	237200	sehr aktuelle Themen. Und auch seine Sicht auf die Geldpolitik und wie der Staat die
237200	243760	Geldpolitik auch verwenden kann. Also ich habe den Eindruck, das sind sehr viele Gedanken,
