start	end	text
0	6400	Ja bitte geh nicht nochmal auf diesen Song ein, dieser Song hat keinerlei Aufmerksamkeit
6400	7400	mehr verdient.
7400	14640	Der hat jetzt genug, also profitiert haben davon die Rechten und ich geh Hüftgold.
14640	22880	Das war es auch schon, weil das war ja der Witz, das Ganze wurde ja wurde ja nur inszeniert,
22880	28880	weil man so getan hat, dass die linke Gesinnungspolizei sich aufregt, aber das war ja überhaupt gar
28880	29880	nicht der Fall.
29880	35760	Also selbst nachdem die Rechten so ein Wirbel gemacht haben, gab es ja jetzt auch keinerlei
35760	42080	Riesenaufmerksamkeit, das war alles nur künstlicher Popanz und deswegen ich bin mit dem Thema komplett
42080	43080	durch.
43080	45040	Ich widme dem keine Millisekunde mehr.
45040	49240	Hey Patrick, ich kann das vollkommen verstehen was du sagst, aber wir müssen da noch einmal
49240	50240	rein.
50240	53960	Ich weiß es ist ein sehr verrückter Diskurs und ich will keine Sekunde über das Lied an
53960	58840	sich reden, aber irgendwie ist da doch irgendwas faszinierendes dran und zwar wie es funktioniert.
58840	64000	Ich frage mich die ganze Zeit, wie konnte es dazu kommen, dass ein Lied das wie auch
64000	69760	immer ausgeartet ist und ich muss da ganz offen sein, mir ist der Inhalt ziemlich egal,
69760	77000	aber nichtsdestotrotz, wie kann es sein, dass dieser Track es schafft, dass der Bundesjustizminister
77000	82120	darüber twittert, obwohl und wie du es auch schon in deinem Skit erklärt hast, nichts
82120	83120	passiert ist.
83120	88480	Meine Stadt hat entschieden seine Playlist zu bearbeiten, denn die Tracks, die ich gut
88480	92880	finde, die würden in solchen Zelten nicht abgespielt werden und da würde auch niemand
92880	98200	über Cancel Culture und so weiter sprechen und das Problem ist die Struktur des Diskurses
98200	105560	ist leider ziemlich vereinnahmend und da ist es für mich interessant mal einmal nachzudenken,
105560	110260	warum passiert das und vielleicht bin ich da naiv oder vielleicht bin ich da unerfahren
110260	114380	und ganz viele Hörerinnen und Hörer haben das schon komplett durchgeschaut und ihnen
114380	118420	ist es komplett bewusst, aber ich würde da gerne ein wenig drüber nachdenken und wahrscheinlich
118420	121620	habe ich auch nicht die finale Antwort dazu, aber ich habe mir schon mal ein bisschen Hilfe
121620	128140	von Twitter geholt und habe dort ein Thread gelesen von Maurice Conrad, der Folgendes
128140	129700	auf Twitter schreibt.
129700	135100	Die Debatte um Leila ist ein Paradebeispiel für ein gefährliches Phänomen, die Umdeutung
135180	140100	von Grundrechts- und Freiheitsbegriffen zu vulgär Hyperbillen, die die eigentliche Bedeutung
140100	145300	entstellen und dabei Märtyrer im Kampf gegen eine unsichtbare Verbotskultur beschwören.
145300	150860	In dieser Logik wird jeder unveröffentlichte Artikel, jede laute Kritik oder jede Absage
150860	155340	eines Konzerts zu einem Verstoß gegen die Meinungsfreiheit und damit zum Politikum.
155340	160060	Meinungs- und Kunstfreiheit werden schließlich zu einem abstrakten Recht auf Deutungshoheit.
160060	164820	Die Stadt Würzburg sagte auf Nachfrage, wir sind der Veranstalter und wir möchten nicht,
164820	169300	dass auf unsere Veranstaltung sexistische oder rassistische Lieder gespielt werden.
169300	170300	Klingt legitim.
170300	173220	Nicht in einer Welt des Grundrechts vulgär Hyperbillen.
173220	178180	Im Gegenteil, es ist in dieser Umdeutung nur logisch, dass die Entscheidung eines Veranstalters,
178180	182380	ein Musikstück zu spielen, zu einem Verbot umpolitisiert wird.
182380	187060	Denn in dieser Welt gibt es keine komplexen Freiheitsbegriffe mehr, sondern nur noch vulgäre
187060	188060	Versionen davon.
188060	192900	Und weil die Grundrechtsbegriffe unseres Rechtsstaates zu komplex sind, werden sie massiv vereinfacht
192900	198740	und zu einer Vorlage umgebaut, in der jede Enttäuschung, jede Kritik und jede Zurückweisung
