start	end	text
0	6660	Hey Humann, auch wenn ich am liebsten eher über so Themen sprechen würde, wie Porsche
6660	11920	Gate oder ganz grundsätzlich die Haltung der FDP zu unserem Staat und welche Funktion
11920	16160	er eigentlich in der Gesellschaft hat und welche Rolle Politik in diesem Zusammenspiel
16160	18920	als gestaltende Kraft hier eigentlich spielt.
18920	23760	Denn ehrlich gesagt wurde mir ziemlich blümerant, als ich vor kurzem die Lage der Nation gehört
23760	28780	habe, mit einem Interview mit Marie-Agnes Strack Zimmermann von der FDP, die ja sonst
28780	32620	eher so in Sachen Verteidigungsfragen immer eine Expertise hat.
32620	36620	Aber auf die Frage hin, welche Rolle denn eigentlich der Staat auch im Zusammenhang
36620	43020	mit Klimawandel und so weiter einnehmen soll, kam dann so zusammengeschnitten das hier heraus.
43020	48860	Was ich nicht leiden kann, ist, wenn jeder im Warmen sitzt und sagt, Staat mach du mal.
48860	50620	Wir sind der Staat.
50620	56340	Und wenn Sie jetzt sagen, was konkret eine Bundesregierung machen kann, dann ist es eben
56340	61660	Regeln einzuführen, wo der Einzelne entscheiden kann, mache ich A oder B.
61660	63220	Das ist natürlich völlig richtig.
63220	67540	Allerdings schafft der Staat ja die ökonomischen Rahmenbedingungen für das Handeln der einzelnen
67540	68540	Menschen.
68540	72620	Wo denken Sie denn, muss der Staat die richtigen Anreize setzen, damit wir eben nicht mehr
72620	73780	über unsere Verhältnisse leben?
73780	76940	Aber das ist doch nicht nur eine staatliche Aufnahme.
76940	78500	Nein, da haben Sie ja völlig recht.
78500	80340	Wir fragen jetzt aber spezifisch danach.
80340	83100	Ja, aber ich finde das zu kurz gegriffen.
83100	86300	Sie sehen den Staat als Überbau, der alles regelt.
86300	87300	Nein, nicht alles regelt.
87300	89580	Aber er setzt Rahmenbedingungen für die Freiheit des Einzelnen.
89580	92260	Er setzt Rahmenbedingungen für die Freiheit des Einzelnen.
92260	96100	Wenn Ulf danach fragt, dann sagen Sie, die Individuen müssen das machen.
96100	97100	Das stimmt sicherlich.
97100	102740	Aber was uns interessiert ist, was aus der Perspektive der FDP soll der Staat tun, damit
102740	105060	zukünftige Generationen diese Freiheit auch noch genießen?
105060	106060	Das kann ich Ihnen sagen.
106060	110700	Der Staat hat Rahmenbedingungen zu setzen, wo am Ende der Einzelne entscheidet, gehe ich
110700	111700	den oder den?
111700	113540	Aber welche Rahmenbedingungen sind das konkret heute?
113540	117940	Sie haben ja gerade das mit dem Auto genannt.
117940	118940	Ja, Tempolimit.
118940	119940	Nein, nicht.
119940	122300	Also jetzt wirklich nicht.
122300	125700	Das ist wirklich zu trivial.
125700	126700	Dann sagen Sie das doch.
126700	130300	Weil man sollte auch diese Trivialität dazu, ist auch die Situation, in der wir leben,
130300	131300	zu ernst.
131300	132300	Dann sagen Sie, was der Staat machen soll.
132300	135860	Nein, er kann nur einen Rahmen setzen, in dem die Menschen eine Auswahl haben.
135860	137100	Aber was konkret ist das heute?
137100	139860	Was ich gerade gesagt habe.
139860	143020	Okay, dann kommen wir zum etwas anderen Thema.
143380	148540	Genau, dieses etwas andere Thema könnte zum Beispiel die neue Amazon-Serie von Adam McKay
148540	153020	sein, der Macher des Filmes Big Short oder zuletzt Don't Look Up.
153020	158940	Die Serie trägt den eingänglichen Titel The Giant Beast, That Is The Global Economy und
158940	164340	beschreibt in acht Folgen unterschiedliche Themen zur globalen Weltwirtschaft.
164340	167180	Die erste Folge hat mich schon ziemlich vom Hocker gehauen, muss ich sagen.
167180	174220	Und zwar ging es darum, wie ein gigantisches Netzwerk aus Ländern, Banken, Unternehmen,
174220	178820	Institutionen eine gigantische Geldwaschmaschine aufgebaut haben.
178820	186540	Man schätzt die Summen dieser Schattenökonomie auf mehrere Billionen Dollar und damit ist
186540	194180	das Ganze sogar größer als die gesamte globale Stahlindustrie oder sogar die globale Landwirtschaft.
194180	198100	Einige erinnern sich ja vielleicht noch an den Begriff der Panama Papers.
198100	205900	Das ist tatsächlich ein Teil dieses gigantischen Systems, wo eben durchaus auch Staatschefs,
205900	215020	Bankenchefs, Anwälte etc. in diesem ganzen Konstrukt drin verwickelt sind und dort natürlich
215020	222700	Milliarden an Geldern an demokratischen Gesellschaften vorbeigeschleust werden auf Kosten der Gesellschaft.
222780	226860	Und ich finde es ganz bemerkenswert, dass Christian Lindner zwar die ganze Zeit sagt, dass der
226860	231460	Staat kein Geld hätte einerseits und wir auf diese Schuldenbremse achten müssen und
231460	236900	deswegen können wir unsere marode Infrastruktur nicht erneuern, können anstehende Reformen
236900	243060	nicht vollziehen oder gar Menschen helfen, die zwar schuften, aber trotzdem nicht genug
243060	247740	Geld in den Taschen haben und vor Armut bedroht sind oder mitten in der Armut stecken und
247740	252900	sich einreihen in die kilometerlangen Schlangen an die Tafeln, dass Christian Lindner in diesem
252900	262060	Zusammenhang so 0,0 gar nichts über das Thema Steuerflucht oder das Thema Geldwäsche zu
262060	267460	sagen hat, weil das könnte ja tatsächlich eine mögliche Einnahmequelle sein, die für
267460	272060	ein bisschen mehr Gerechtigkeit in der Gesellschaft sorgt und ich meine mich daran zu erinnern,
272060	279300	dass gerade die Grünen und die grüne Partei eigentlich im Wahlkampf das Thema Geldwäsche
279300	284740	in Deutschland und so weiter massiv angehen wollte, aber auch von dieser Seite ist leider
284740	288580	nicht mehr viel zu hören, was natürlich sehr, sehr schade ist, weil wir einerseits dazu
288580	293020	aufgerufen werden, beim Duschen nicht so lange zu machen und die Heizung ein paar Grad runter
293020	297060	zu stellen und generell sollen wir uns schon mal warm anziehen für die nächsten Jahre,
297060	301740	dass wir auch ordentlich mehr buckelen und Stunden schrubben und Überstunden machen und
301740	309060	die Extra-Meide laufen und das letzte bisschen Zitronensaft rauspressen, wo es nur unten geht.
309060	315340	Aber dass man jetzt den großen kriminellen dicken Fischen, die ja gleichzeitig aus Oligarchen
315340	320460	bestehen bzw. es muss ja noch nicht mal super kriminell sein, es reicht doch schon zu sehen,
320460	325940	wer hat denn alles massiv von der Pandemie profitiert, wer profitiert denn massiv von
325940	331820	dem Kriegsgeschehen und macht übermäßige Gewinne und zwar wirklich auf Kosten der Umwelt und des
331820	338300	Klimas, das muss man eben auch noch an der Situation sehen. Was ist denn das Problem,
338300	345220	dass man diese Leute im Ausgleich nicht auch ein Stück weit was in die Gesellschaft zurückgeben
345220	350180	lässt? Dass man denen jetzt nicht an den Geldbeutel so schnell will, das ist mir unerklärlich. Also,
350180	355260	dass man das noch nichtmals mehr thematisiert, finde ich schon ganz schön frech in Anbetracht,
355260	363300	der gesamten Lage und dass wir eben wie immer und wie so oft bis ganz nach unten die Verantwortung
363300	371220	durchreichen und das Maximum herausquetschen bei denen, die sowieso nichts in den Taschen haben.
371220	377580	Weil leider haben die Akteure von Ich bin Armuts betroffen keine Standleitung zum
377580	384060	Bundesfinanzminister und hatten dementsprechend leider nicht so wirksame Einflussmöglichkeiten
384060	391380	auf die Koalitionsverhandlungen, wie so manche CEOs in Deutschland, die nun ebenfalls in die
391380	396420	Hände spucken und auch mal eben zwei Konzerne gleichzeitig leiten müssen. Apropos nichts in
396420	404020	den Taschen haben, wir werden ja am Donnerstag, den 28.07.22 dort machen wir wieder ein Livestream
404020	410780	und zwar ab 20 Uhr diesmal und ihr könnt das Ganze euch anschauen auf unseren Critical
410860	416060	Infinity Twitch-Kanal und den Critical Infinity YouTube-Kanal diesmal. Wir werden nämlich parallel
416060	422780	auf den beiden Plattformen streamen und euch mit einbinden in das Gespräch und unser Thema diesmal
422780	430700	wird sein Armut, Armut auf YouTube. Das heißt, wie wird das Thema Armut auf YouTube präsentiert,
