start	end	text
0	5680	Guten Tag, Patrick und auch guten Tag, Dave. Danke für eure beiden Nachrichten. Die waren
5680	10000	wirklich sehr spannend und ich habe wirklich viel gelernt. Das hat wirklich sehr viel Spaß gemacht,
10000	15360	mir anzuhören und auch insbesondere der Teil von dir, Dave, ich sag mal den Horror,
15360	19680	der dort passiert und welche verrückten Sachen da stattfinden und so weiter. Man hört ja immer
19680	24880	wieder davon, aber danke dir, dass du das nochmal für uns aufbereitet hast. Aber insbesondere zu
24880	29800	deinem Teil, Patrick. Ja, wie gesagt, ich fand es halt super spannend, allerdings habe ich eine
29800	35080	kleine Anmerkung. Und zwar hast du, glaube ich, irgendwo da gesagt, ja, hier der der gute Kai,
35080	39920	ich glaube er hieß Kai, der Kollege, der da diesen Tweet abgesetzt hatte mit dem, wenn Menschen doch
39920	43720	mal hier nicht Bürgergeld kriegen, sondern Jobs annehmen, die anscheinend gerade gesucht werden,
43720	49880	dass der sich doch mal die Skizze hier anhören sollte, damit er mal was lernt. Ja, dieser
49880	54800	Gedanke triggert direkt was bei mir. Und zwar, ich glaube, wenn der Kai sich diesen Kram anhören
54800	59120	würde, würde eigentlich Folgendes passieren. Er würde sagen, du bist wahnsinnig, wenn wir diese
59120	63240	Dinge tun, die du sagst, werden wir ins Verderben rennen. Denn was für mich super spannend zu
63240	68600	verstehen ist, ist nämlich Folgendes. Unter der Prämisse, dass Kai eigentlich denkt, er will das
68600	76240	Gute, er ist auf der moralisch richtigen Seite und Menschen wie du oder ich sind verblendete Ideologen,
76240	81720	denn wenn die auf uns hören würden, würden wir in den Wahnsinn rennen und das wäre halt unnatürlich
81720	89360	oder sozusagen nicht richtig. Unter dieser Prämisse, dass Kai denkt, dass er das Richtige oder das Gute
89360	95760	sagt, was muss denn seine epistemische Logik sein, woran muss man glauben, dass man am Ende zu einem
95760	101880	Satz kommt, wie in seinem Tweet, dass er denkt, das ist das Richtige. Klar, ich will kurz einschränken
101880	106760	sagen, es könnte sein, dass er so ein bisschen Machaveli Style sagt, mir ist eigentlich alles
106760	111360	egal, soll die Erde doch runtergehen, Hauptsache ich habe meine Karriere, aber packen wir mal diesen
111360	117440	Gedanken und fokussieren wir uns mal aus dem, was ich sagen würde, das ist der größere Horror. Was,
117440	125200	wenn Menschen wie Kai denken, sie tun und sagen das Richtige und wir auf der anderen Seite und ich
125200	130200	will damit nicht sagen, dass wir die richtigere Position haben, aber ich will damit eine Sache
130200	135800	ausarbeiten, dass es nicht immer nur was bringt, über den Inhalt zu diskutieren, sondern über die
135800	141640	Form und zwar nicht nur über die Form an sich, sondern über den versteckten Inhalt in der Form.
141640	147720	Also was muss die epistemische Vorbedingung sein, dass Kai einen Satz formuliert und diese
147720	153240	Vorbedingung kann auch unbewusst sein, man könnte es auch als eine Art unbewusstes Wissen definieren,
153240	159440	dass das, was er sagt, richtig ist oder moralisch ist und das, was wir sagen, verwerflich und
159440	165920	ideologisch verblendet ist. Ich will mal ein Beispiel ziehen, denn ich glaube Kai und ich
165920	170600	erlebe das immer und immer wieder, würde dir in ganz vielen Sachen, die du beschrieben hast,
170600	175240	in der Problembeschreibung vielleicht gar nicht widersprechen. Wenn du von den Schulproblemen
175240	179240	sprichst, deren anscheinend in Bayern gerade entsteht, würde er wahrscheinlich sagen, ja siehst du
179240	184000	Patrick, wir haben ein Schulproblem, da müssen wir doch was dran ändern. Deine Antwort würde
184000	187920	eher wahrscheinlich in die Richtung gehen, wie wir müssen dafür sorgen, dass mehr Menschen Lehrer
187920	192080	werden, dass sie gut bezahlt werden, dass die Arbeitsverhältnisse besser werden, dass der Staat
192080	196440	deutlich besser reguliert und die Leute nicht müde und kaputt gehen, dass das Schulsystem vielleicht
196440	200200	komplett neu gedacht werden muss, weil die Art und Weise, wie Schule funktioniert, nicht richtig
200200	205520	ist und das muss doch mal sozial verantwortlich gemacht werden. Und da könnte vielleicht Kai und
205520	210240	ich will es Kai jetzt nicht unterstellen, dass das Kai's epistemische Logik ist, aber Menschen,
210240	214400	die anders drauf schauen können, können sagen, aber warte, das macht doch gar keinen Sinn,
214640	218800	was du sagst. Denk doch mal nach, das Problem mit den Schulen, dass da so wenige Lehrer sind,
218800	222920	das ist ja wohl ein Allokations- und ein Planungsproblem. Da sehen wir doch, der Staat
222920	227760	versagt, der kann das gar nicht, der kann die Planung nicht hinkriegen, zentralistische Planung
227760	233280	führt zum Verderben. Der Markt würde das doch richtig regeln, der würde verstehen, dass dort
233280	238520	ein Bedarf ist, er würde dann aus diesem Bedarf das zusammenbringen, die Ressourcen so allokieren,
238520	243360	dass dort genug Lehrer sind. Das heißt, wenn wir doch einfach die Schulen eher privatisieren,
243360	249840	als sie mehr verstaatlichen, dann würden wir das doch schaffen, Ressourcen effizient Bildung zu
249840	254840	erzeugen. Und das ist jetzt nur mal so eine Art vereinfachtes, vielleicht auch vulgäres Beispiel,
254840	261360	wie epistemische Systeme auf das gleiche beschriebene Problem schauen können, aber unterschiedliche
261360	268000	Antworten sich daraus differenzieren. Und deswegen, so sehr ich eure Skiz, ich würde mal sagen,
268000	273440	genossen habe im Sinne von Erkenntniserweiterung, ist es ja auch irgendwie eine Affirmation von
273440	278480	meinem System. Ja, du sagst Sachen, die ich eh akzeptieren werde, weil meine Vorprägung,
278480	283360	meine Vorbedingung, worauf ich auf die Welt gucke, vielleicht hier bewusster als andere,
283360	287080	aber natürlich auch sehr viel unbewusstes Wissen bei mir mitschwingt, das im Grunde
287080	291200	affemieren. Aber damit wir doch die Welt verstehen können, reicht es nicht nur,
291200	295560	die Inhalte zu beschreiben, die wiederum aus bestimmten Positionen argumentiert werden,
295560	299960	sondern ist es auch wichtig zu verstehen, wie andere Menschen, vielleicht Menschen,
299960	304480	die wir kritisch sehen, wo wir eine Differenz aufgebaut haben in der Weltsicht oder was auch
304480	311560	immer, sie eine Logik haben, dass Sätze formulieren, die wir für komisch, falsch oder schlecht
311560	316800	bewerten. Denn wenn wir die epistemischen Systeme verstehen und woraus die Argumente kommen, und das
316800	320960	ist jetzt eine Behauptung von mir, dann können wir viel besser in den Diskurs einsteigen und
320960	325520	das meine ich über die relevanten Themen sprechen und nicht nur über diese inhaltlichen Themen,
325520	330080	denn was bringt es dann sozusagen dort auf so einer Inhaltsebene sich reiben zu lassen,
