start	end	text
0	5820	hallo patrick hallo hooman hallo critical community ich hoffe da ist niemand vor
5820	9720	mir drauf gekommen denn das ist natürlich eine ganz großartige alliteration und ihr
9720	13440	wisst da draußen alle alliterationen machen alles besser
13440	17880	ich möchte einmal auf patricks letzten skit eingehen wir nähern uns ja gerade
17880	20880	einfach mal der protestantischen arbeitsethik und ich möchte hier gar
20880	25840	nicht mal so sehr auf diese frage eingehen inwieweit der nationalsozialismus
25840	30280	das nochmal unsere moderne arbeitsethik ausgeprägt hat inwieweit die
30280	34800	protestantische arbeitsethik diesen wiederum geprägt hat das überlasse ich
34800	38860	wissenschaftler innen wie dem herrn lehlen der damit sicherheit viel mehr
38860	42080	ahnung hat als ich was ich mit diesem skit jetzt machen möchte ist einmal
42080	46160	dieses doch recht abstrakte konstrukt protestantische arbeitsethik mal ein
46160	49840	wenig zu veranschaulichen was heißt das eigentlich was ist das
49840	53280	eigentlich wie welche denkstruktur steht dahinter
53280	58440	ich bin mir sicher dass humann dazu noch weitere details ausgraben wird ich
58440	62680	bin mir sicher humann wird uns dann noch mal tief in die theorie führen aber ich
62680	66800	werde an dieser stelle jetzt erst einmal veranschaulichen arbeiten und dafür
66800	71560	nutze ich ein videospiel tatsächlich oder zitate aus einem videospiel nämlich
71560	78160	das spiel bioshock infinite in bioshock infinite bewegen wir uns in einer ja in
78160	83720	einer fliegenden stadt eine art ja gottesstaat wenn man so will nämlich
83720	88560	der stadt columbia die von sehr gläubigen amerikanischen protestanten
88560	92320	beherrscht wird dort gibt es zwei gruppen von menschen nämlich einmal die
92320	95520	hoch privilegierten weißen und die extrem unter privilegierten schwarzen
95520	101200	menschen die schwarzen menschen werden dort als arbeiter nahezu versklavt ich
101200	104680	sage nahezu versklavt in echte sklaverei ist das dort nicht in diese stadt
104680	110800	orientiert sich an den zuständen der industrialisierung und die schwarzen
110800	116200	haben im grunde dort keine andere wahl als zu arbeiten für ja furchtbare
116200	121240	unternehmer und da gibt es einen das ist der jeremiah fink und jeremiah fink hat
121240	125920	den ganzen lieben langen tag nichts anderes zu tun als von seiner fabrik oder
125920	130000	in seiner fabrik propaganda nachrichten über so lautsprecher systeme zu
130600	137640	um seine arbeiter bei laune zu halten ein spannender aspekt dabei ist hier die
137640	143520	symbolische gegenüberstellung von protestantismus und katholizismus dazu
143520	148000	müssen wir aber kurz einmal einen excurs zu max weber machen beziehungsweise zu
148000	151320	der generellen erforschung dieser protestantischen arbeitsethik dort
151320	156200	stellt man nämlich fest dass protestanten nach der reformation diese
156200	161560	arbeitsethik entwickelt haben die basiert auf fleiß pflichtbewusstsein
161560	167320	opferbereitschaft aber auch askese der beruf steht über allem und ist
167320	171560	sozusagen gott gegeben damit man gottgefällig lebt muss man diesen beruf
171560	177040	ausüben wenn man ihn wenn man das nicht tut dann lebt man nicht gottgefällig und
177040	182120	wird dafür bestraft man kann aber an seiner situation auch nichts ändern weil
182120	186520	wir hier von einem prox reden von schicksal einer schicksalshaften fügung
186520	190600	deine situation ist wie sie ist du kannst im grunde nur das beste aus ihr
190600	196400	machen und einfach fleißig und aufopferungsvoll und mit all deiner kraft
196400	201200	deine arbeit verrichten das ist so der kern der protestantischen arbeitsethik
201200	205600	ein weiterer spannender aspekt zu max webers theorie ist dass sie gerne als
205600	210720	gegenthese zu marx gesehen wird der die ursache für den wirtschaftlichen
210720	214920	erfolg vor allem in ökonomischer logik erkannt haben will ich würde aber
214920	217920	heutzutage tatsächlich sagen diese beiden thesen können nebeneinander
217920	221000	existieren und sie müssen sich nicht zwingend widersprechen
221000	225880	ich glaube tatsächlich dass dieser ideologische faktor dahinter durchaus
225880	229440	eine starke triebfeder ist vielleicht sogar die stärkste triebfeder was aber
229440	233040	nicht heißt dass die ökonomischen strukturen nichts damit zu tun haben
233040	239680	wir erinnern uns der beruf ist im protestantismus eine von gott gestellte
239680	244280	aufgabe diese musst du im ja im schweiße deines
244280	247920	angesichts erfüllen du musst fleißig sein du musst wirklich sein du musst
247920	252920	aufopferungsbereitschaft zeigen vor allem musst du dir deines platzes in der welt
252920	256440	und in der geschichte bewusst sein dir muss klar sein dass du nicht nach
256440	261000	höherem streben sollst auch nicht nach reichtum oder macht nein du musst an
261000	266280	dieser position verharren an der du bist und dort liebes schäfchen dort musst du
266280	272240	arbeiten und fleißig sein um gott gefällig zu sein oder um leuten wie
272240	278520	jeremia fink zu gefallen ein kleiner einschub ich hatte diese clips leider
278520	282360	nur auf englisch gefunden das tut mir sehr leid ich möchte natürlich nicht
282360	286000	hier geht kieb ich daherkommen ich gehe zwar davon aus dass die critical
286000	289960	community damit klarkommt ich werde trotzdem am ende jedes clips eine kurze
289960	293160	deutsche zusammenfassung machen
326280	330560	das hören wir hier schicksal oder bestimmung könnte man es übersetzen
330560	335760	es ist die bestimmung der arbeiter für fink zu arbeiten es ist generell ihre
335760	340120	bestimmung zu arbeiten es ist ihr platz im universum wenn man so will während
340120	345880	man das rhythmische klopfen der hämmer auf holz hört die arbeiter klopfen dort
345880	349880	in dieser szenerie zum rythmus einer musik was das ganze noch mal etwas
349880	354760	perverser macht erklärt fink dass auch die fahrer ohne nicht ohne leute wie sie
354760	358920	ausgekommen wären und dass die geschichte quasi auf dem rücken von
358920	364040	leuten wie ihnen geschrieben würde und das ist natürlich ein perfider trick von
364040	368640	fink ein überzeugungstrick möchte ihnen sagen sie sind genau richtig da wo sie
368640	372400	sind aber sie sollen eben auch nicht nach mehr streben denn nur wenn sie das
372400	378920	tun was sie tun nur dann wird die geschichte geschrieben nur dann wird die
378920	383680	menschheit quasi vorankommen wir erkennen hier natürlich diesen
383680	389680	protestantischen gedanken diese diesen gedanken der bestimmung die leute hängen
389680	393680	dort fest an ihrer position sie können daran nichts verändern aber das einzige
393680	397160	was sie tun können um gott gefällig zu sein oder hier mit diesem fall fink
397160	402320	gefällig zu sein ist fleißig zu arbeiten fink präsentiert sich übrigens
402320	407880	selbst oft was heißt oft eigentlich immer in goldenen großen überlebensgroßen
407880	411480	statuen man könnte sich also die frage stellen ob er sich womöglich selbst als
411480	416680	gott sieht durch diese hoch privilegierte position die hier einnimmt
416680	421920	eine der bekanntesten vielleicht sogar die bekannteste protestantische
421920	426440	arbeitsethik denkströmung nenne ich es mal ein langes wort ist der
426440	430640	kalvinismus der kalvinismus hat eben genau diese kernmerkmale die ich gerade
430640	435600	nannte du hast ein schicksal bekommen von gott und muss dieses erfüllen und du
435600	439480	kannst daran auch nichts verändern es gibt allerdings streit unter den
439480	444440	protestanten über die bedeutung der askese da gibt es die kalvinisten die
444440	449240	zum beispiel sagen askese das muss stattfinden du musst in bescheiden
449240	452520	lebensverhältnissen leben und in stiller kontemplation also du musst
452520	456280	zumindest ab und zu zeit haben dich sozusagen mit gott zu connecten und
456280	459560	dafür brauchst du kontemplation und dafür musst du eben eben dir auch die
459560	466520	arbeitspause gönnen da gibt es aber auch die anderen die britana und das sind
466520	473080	tatsächlich die denen ich fink hier zuschreibe die britana sagen askese
473080	479720	askese findet während der arbeit statt die arbeit selbst ist unsere askese jede
479720	485280	pause von der arbeit führt zu moralischer verdammung führt dazu dass
485280	490760	du verkommst moralisch hören wir dazu mal etwas
515280	544440	ich verstehe was ihr sagt ich höre euch ich bin ja nicht taub geboren
544440	548500	sie ihr fragt warum ihr 16 stunden am tag arbeiten ist warum ihr keine
548500	552280	freizeit genießen könnt warum ihr keinen urlaub bekommt und er sagt ich
552280	555960	würde euch das ja gerne geben aber es gibt etwas was mich daran hindert ich
555960	560520	kann euch diese dinge gar nicht gewähren es gibt einen handfesten grund dafür und
560520	565520	der heißt morality moral würde ich das machen würde die nur noch
