start	end	text
0	5240	Hey Patrick, hey Dave, vielen Dank für eure Skits und an alle HörerInnen, es tut mir sehr
5240	8560	leid, dass es jetzt so lange gedauert hat, dass meine Antwort darauf folgte, aber leider
8560	12680	habe ich mir so einen kleinen Virus eigengefangen und wie soll ich sagen, das hat mich ziemlich
12680	13680	K.O.
13680	16720	gehauen, aber jetzt bin ich ja wieder am Start und ich würde gerne direkt aufsetzen bei
16720	21360	dem, was Patrick und Dave mitgebracht hatten und zwar erstmal dort, wo Patrick gestanden
21360	23200	hat und zwar das Thema der Arbeit.
23200	27960	Ich glaube die Perspektive auf Arbeit ist sehr spannend, aber ich würde sagen, es gibt
27960	35280	ein Element, was aus meiner Sicht deutlich wirkmächtiger unsere Realität strukturiert
35280	41400	als Arbeit bzw. sie vermittelt Arbeit ziemlich stark und das ist das Thema Eigentum.
41400	47080	Ja, Eigentum ist ja irgendwie was komplett Normales, etwas, worüber wir schon gar nicht
47080	48080	mehr nachdenken.
48080	55520	Nicht nur Eigentum an sich, sondern insbesondere Konzepte wie Privateigentum oder sogar Privateigentum
55520	57160	an Produktionsmitteln.
57160	61840	Meine weiteren Ausführungen zum Thema Eigentum kommen von einem Buch, was ich sehr, sehr
61840	69320	empfehle und zwar Keine Enteignung ist auch keine Lösung von Sabine Nuss.
69320	74520	Wenn man über Eigentum redet, dann ist es oft eher so eine Art juristische Auseinandersetzung
74520	75520	mit etwas.
75520	80040	So steht im Artikel 14 des Grundgesetzes, dass wir im Grunde als Bürger ein Anrecht
80040	81480	auf Eigentum haben.
81480	86920	Die konkrete Ausgestaltung von Eigentum und seine Abgrenzung zu dem anderen Begriff
86920	92680	Besitz erklärt dann Sabine Nuss im weiteren, wie es im bürgerlichen Gesetzbuch definiert
92680	93680	ist.
93680	99720	Der Paragraph 903 des BGBs besagt, dass der Eigentümer einer Sache mit ihr nach beliebten
99720	104200	Verfahren und anderen von der Einwirkung ausschließen darf.
104200	107240	Er muss sie dazu nicht zwangsläufig im Besitz haben.
107240	114160	Der Besitz wiederum einer Sache bedeutet tatsächliche und konkrete Verführungsgewalt, nicht abstrakte.
114360	119120	Als Besitzer darf man zum Beispiel eine Wohnung mieten und sie nutzen, hat aber bezüglich
119120	121960	der Verführungsmacht nur eingeschränkte Rechte.
121960	126240	Eine Wand darf eine Mieterin nicht einfach einziehen oder rausreißen.
126240	132640	Der Eigentümer hat im Vergleich dazu die absolute Verführungsgewalt über die Wohnung.
132640	136160	Dazu muss er nicht mal da drin wohnen.
136160	141840	Dabei ist ja eigentlich klar, dass Eigentum und Besitz keine natürlichen oder gottgegebenen
141840	145400	Konzepte sind, sondern eine Konstruktion von uns als Menschen.
145400	150320	Sabine Nuss versucht in ihrem Buch dieses Thema analytisch aufzubauen und erklärt erst
150320	157880	mal, dass wir mit zwei sogenannten überhistorischen Konstanten uns an diesem Thema Eigentum abarbeiten
157880	158880	können.
158880	163440	Die erste überhistorische Konstante ist, dass ein Mensch ein soziales Wesen ist.
163440	166320	Ein isoliertes Individuum gibt es nicht.
166320	170280	Säuglinge können beispielsweise nicht alleine existieren, sondern brauchen andere Menschen
171240	179040	Und die zweite Konstante ist, Menschen müssen sich als Gemeinschaft reproduzieren.
179040	183560	Das heißt, sie müssen essen, sie müssen trinken, sie brauchen Sicherheit und so weiter.
183560	188480	Also im Grunde kann man sagen, Menschen in arbeitszahliger Zusammenarbeit müssen sich
188480	189480	reproduzieren.
189480	193640	Und da kommt auch schon der Begriff, den du vorher verwendet hast, Patrick, Arbeit.
193640	198960	Und Sabine Nuss definiert Arbeit als sich die Natur zu eigen machen.
199160	204880	Das bedeutet, nur über die Einwirkung des Menschen in die Natur, was als Arbeit definiert
204880	209880	wird, können wir uns die Natur zu eigen machen und damit uns reproduzieren.
209880	214260	Ja, und in dieser Analyse stellen wir erst mal fest, es gibt Menschen, Menschen brauchen
214260	219640	andere Menschen, sie brauchen Sachen, um sich zu reproduzieren und um das zu tun, brauchen
219640	220640	wir Arbeit.
220640	224520	Jetzt ist natürlich die große Frage, wo kommt jetzt das Eigentum her?
224560	230880	Denn die große Frage, die sich eigentlich stellt, ist ja, wie organisiert sich diese
230880	231880	Arbeit?
231880	233720	Das ist die relevante Frage.
233720	241880	Und Eigentum ist eine Art Ordnungsparadigma, ein Ordnungsinstrument, woraus sich eine Arbeitsteilung
241880	245560	ableitet und Arbeit dementsprechend organisiert.
245560	251760	Und daher kann man über Eigentum auch sprechen als die Verdinglichung von sozialen Beziehungen.
251760	256440	Servine Nuss erklärt in ihrem Buch, dass es ganz viele unterschiedliche Arten dieser
256440	259360	sozialen Beziehungen in der Vergangenheit gegeben hat.
259360	265280	Die Form des Privateigentums, wie wir es kennen, ist eher eine neue Entwicklung, die ungefähr
265280	269960	drei bis fünfhundert Jahre alt ist und mit dem Kapitalismus im Grunde aufgekommen ist.
269960	272480	Ja, und wie und warum ist es aufgekommen?
272480	275680	Dazu würde ich gerne eine längere Passage aus ihrem Buch zitieren.
275680	280320	Die kapitalistische Produktionsweise zeichnet sich dadurch aus, dass nicht nur Güter mit
280360	284480	Gewinnabsicht gekauft und verkauft werden, das war auch schon erheblich länger der Fall,
284480	286880	sondern auch Arbeitskraft und Boden.
286880	292000	Von Kapitalismus als ökonomischem System können wir nur dann sprechen, wenn nicht nur der
292000	296080	Handel gewinnorientiert ist, sondern auch der überwiegende Teil der Produktion.
296080	300440	Die Ausdehnung der Gewinnorientierung setzt sich ab dem ausgehenden 16.
300440	302800	Jahrhundert vor allem in England durch.
302800	304560	Warum gerade England?
304560	310240	Die vor wenigen Jahren verstorbene US-amerikanische Historikerin Ellen Mikesins Wood zufolge
310240	314520	war das gar nicht selbstverständlich, da England, verglichen mit zu jener Zeit reich
314520	316960	gewordenen Handelsstätten wie z.B.
316960	321160	Florenz, nicht unbedingt zu den ökonomischen fortgeschrittenen Ländern gehörte.
321160	327480	Zu verdanken war das einer historisch einzigartigen politischen Konstellation, die eine umfassende
327480	333720	Vertreibung der Landbevölkerung ermöglichte, bekannt geworden unter der Bezeichnung Enclosures,
333720	335240	zu Deutsch Einhegung.
335240	339680	Bauern wurden von ihren landwirtschaftlich genutzten Flächen vertrieben, indem diese
339680	344880	eingezäumt oder eingehegt wurden und den Bewohnern und Nutzern der Zugang zu ihnen
344880	345880	verwehrt wurde.
345880	351160	Jahrhundertalte Gewohnheits- und Nutzungsrechte an Grund und Boden, die ihre Landbewohnern
351160	354960	Nahrung und Rohstoffe zum Überleben gesichert hatten, wurden beseitigt.
354960	359800	Die Vertreibung erfolgte durch die feudalen Grundherren, motiviert vom Interesse, die
359800	361760	Ackerflächen profitabel zu nutzen.
361760	366760	Einhegungen blieben eine Hauptsache von Konflikten in frühzeitlichem England.
366760	371000	Sei es wegen der Schafzucht oder den zunehmenden profitablen Ackerbaus.
371000	375920	Aufstände wegen der Einhegung durchzogen das 16. und 17. Jahrhundert.
375920	381280	Marx hat sich ausführlich mit diesem historischen Prozess der Enteignung beschäftigt.
381280	386120	Er beschrieb, wie die so um ihre Lebensgrundlagen gebrachten Menschen schließlich gezwungen
386120	391520	waren, ihre Arbeitskraft zu verkaufen, weil ihnen das bis dahin für die meisten wichtigste
391520	393680	Produktionsmittel geraubt worden war.
393680	399360	So schuf der große feudal Herr ein ungleich grosseres Proletariat durch gewaltsame Verjagung
399360	404840	der Bauernschaft von dem Grund und Boden, worauf sie denselben feudalen Rechtstitel besaßen
404840	408640	wie er selbst und durch Usoportation ihres Gemeindelandes.
408640	414640	Im 18. Jahrhundert folgte schließlich durch die Parlamente legale Einhegung, inklusive
414640	420080	der Abschaffung störender Besitzrechte, die der Akkumulationsmacht irgendeines Grundherren
420080	421080	im Weg standen.
421080	425760	Marx nannte diesen Teil der Vorgeschichte des globalen Kapitalismus die sogenannte
425760	427760	ursprüngliche Akkumulation.
427760	433160	Als ursprüngliche Akkumulation bezeichnete er den Prozess, durch den sich zum einen Reichtümer
433160	438000	in wenigen Händen konzentrierten, die dann als Kapital für die weiteren Produktionen
438000	443520	vorgeschossen werden konnten, durch den die Menschen zum anderen von ihren Produktionsbedingungen
443520	448040	getrennt werden, sodass ihnen nichts anderes übrig blieb, als ihre Arbeitskraft an die
448120	453880	Besitzer des Reichtums zu verkaufen, um durch ihre Arbeit dieses Reichtum noch weiter zu
453880	454880	vermehren.
454880	460960	Das Wort sogenannte ist eine ironische Anspielung auf die Vertreter der liberalen Ökonomie zu
460960	461960	seiner Zeit.
461960	466880	Ihrer Ansicht nach war es in den Anfängen des Kapitalismus die Arbeit der Kaufleute
466880	469640	und Vordalherren, die den Reichtum schuf.
469640	475640	Die ursprüngliche Akkumulation war in ihren Augen auf den Fleiß, die Sparsamkeit und
475640	482600	die Intelligenz einer bestimmten Elite zurückzuführen, denen eine Masse faulender Lumpen gegenüber
482600	483600	standen.
483600	489280	In der wirklichen Geschichte jedoch, so Marx, spielen bekanntlich Eroberung unter Jochung,
489280	492000	Raubmord, kurz Gewalt die große Rolle.
492000	497680	Die qua Gewalt eingeeigneten Besitztümer wurden im Laufe der Jahrhunderte als privates
497680	499520	Eigentum legalisiert.
499520	504640	Die Vertreibung der Menschen aus ihren tradierten Produktionsverhältnissen war daher der Ursprung
504640	509560	des modernen Privateigentums und schuf die Voraussetzungen für die Entwicklung eines
509560	512600	kapitalistischen Marktes, wie wir ihn heute kennen.
512600	515920	Sie verwandelte Boden und Arbeit in eine Ware.
515920	521120	Das so entstandene, auf Gewalt und Vertreibung basierende Privateigentum bedurfte allerdings
521120	525960	einer Legitimation, denn ideengeschichtlich spielte noch bis in das 17.
