start	end	text
0	4800	Okay, ich werde hier mal den Modus ändern. Ich muss hier mal einen Schritt
4800	7840	zurücktreten, um noch mal deine Kernaussage nachzuvollziehen.
7840	13920	Ich habe folgende Kette verstanden. Menschen haben ein What's in it for me?
13920	20520	Im Grunde einen kleinen Mann oder Frau im Kopf, der die ganze Zeit fragt, was habe
20520	23760	ich davon? Dabei geht es im Kern um
23760	29360	exzentielle Bedürfnisse. Dazu würdest du aber auch beispielsweise den Erwerb
29360	35200	einer Luxusuhr als ein exzentielles Bedürfnis definieren. Denn der
35200	40960	Erwerb einer Luxusuhr ist der Versuch, eine Identität auszudrücken, um eine
40960	44120	Zugehörigkeit zu einer sozialen Gruppe sicherzustellen.
44120	50240	Das wollen wir, weil die soziale Gruppe uns ein Sicherheitsgefühl gibt im Sinne
50240	55520	von Wohlbefinden, das im Kern unser Überleben sicherstellen soll. Denn
55520	60160	Zugehörigkeit ist exzentiell notwendig. Daher verknüftest du den Erwerb einer
60160	64920	Luxusuhr im Sinne eines What's in it for me, dass ich diese Luxusuhr kaufe, zu
64920	71080	einem Überlebenswellen, der durch das soziale Milieu oder Klasse sichergestellt
71080	76160	werden soll. Dabei sagst du, dass das Spannungsverhältnis zwischen dem
76160	81080	Individuum und dem Kollektiv legt. Bevor ich dir erkläre, warum ich das anders
81080	86840	sehe, ist die Kette korrekt? Falls ja, hier mal ein kleiner Spoiler auf meine Antwort.
86840	91520	Denn ich glaube, das ist eine falsche Dichotomie Individuum und Kollektiv. Denn
91520	97120	das Individuum erschafft das Kollektiv. Er ist retroaktiv im Prozess seiner
97120	101960	Konstitution als Subjekt innerhalb der gesellschaftlichen Ordnung. Es gibt kein
101960	109480	a priori Kollektiv. Kollektiv gibt es nur, weil wir Individuen sein wollen.
