start	end	text
0	12260	Ich melde mich jetzt doch unerwartet aus dem Urlaub hier an der wunderbaren spanischen
12260	19740	Costa Brava und ich melde mich deshalb, weil dein letzter Skit dann doch sehr viel in
19740	26860	mir bewegt hat und gleichzeitig weitere Gedanken angeregt hat und es matcht eigentlich auch
26860	33020	sehr gut zu der Lektüre, die ich mir mitgenommen habe, nämlich Anfänge von David Graeber,
33020	38860	nämlich ziemlich zeitgleich, als ich deinen Skit gehört habe, ist mir eine Passage in
38860	46540	Graebers Buch aufgefallen und die hat zufälligerweise die gleiche Thematik gehabt,
46540	53140	die du auch thematisiert hast, nämlich die Frage, was ist eigentlich Arbeit und wie wurde Arbeit
53140	58780	verstanden oder wie hat sich die Ideologie der Arbeit letztendlich entwickelt und was hatte sie
58780	65580	für Auswirkungen. In dem gesamten Buch von Graeber und Wengrow geht es ja um die Frage,
65580	71260	wie die Geschichte der Menschheit eigentlich zu deuten ist aus anthropologischer Sicht,
71260	79380	aus archäologischer Sicht und dort gibt es ja ein gängiges hegemoniales Narrativ, was eben sagt,
79380	85660	es gibt eigentlich nur eine lineare Entwicklung, also von den Jägern und Sammlern bis hin zur
85660	91500	Sesshaftigkeit, Landwirtschaft bis hin zur Industrialisierung und das wäre sozusagen
91500	98620	eine logische Folgerung. Graeber und Wengrow machen in diesem sehr sehr umfangreichen Buch
98620	104980	eben sehr viele Punkte klar, dass das eben so nicht der Fall gewesen ist, sondern dass sich
104980	112020	Gesellschaften schon immer sehr viel diversifizierte ausgeprägt haben und dass es sowohl
112020	119020	landwirtschaftlich geprägte Gesellschaften gab, die eben anders gehaushaltet haben,
119020	124620	als wir heute eben entsprechend annehmen und umgekehrt. Darüber will ich aber jetzt gar nicht
124620	129580	sprechen, das vielleicht mal in einem späteren ausführlichen Skit, sondern mir ist eine Passage
129580	135580	begegnen in diesem Buch, die ich gerne eben passend zu deinem Skit nochmal vorlesen möchte.
135580	143020	Und zwar geht es da grundsätzlich die Annahme, dass eben indigene Völker so was sind wie die
143020	148340	edlen Wilden oder so was, mit dem eben Graeber auch entsprechend aufräumen möchte mit diesem
148340	156420	Klischee und es ging dabei darum, um die Kolonialisierungsaktivitäten der Europäer
156420	162980	damals in Lateinamerika überhaupt in Amerika. Da ging es nämlich dann um die Frage,
162980	172180	wem gehört eigentlich dieses Land, in dem diese indigenen Völker leben. Und ich zitiere mal folgende
172180	179940	Passage. Die koloniale Aneignung indigenen Landes begann oft mit der pauschalen Behauptung, Jäger
179940	185980	und Sammler lebten im Naturzustand und deshalb gehörten sie zum Land, hätten aber keinen juristischen
185980	191140	Anspruch auf dessen Besitz. Der tiefe Grund für die Enteignung wiederum war der Gedanke,
191140	197100	die Bewohner der fraglichen Gebiete arbeiten nicht wirklich. Das Argument geht auf John Locke's
197100	203860	zweite Abhandlung über die Regierung 1690 zurück, in der die Ansicht vertritt, das Eigentumsrecht sei
203860	210820	notwendig von der Arbeit abgeleitet. Indem man das Land bearbeitet, vermischt man seine Arbeit mit
210820	217500	ihm. Das hast du ja alles wunderbar erläutert, Human. Und dadurch erweitere sich der Bearbeitende
217500	224780	gewissermaßen selbst. Faule Eingeborene, also quasi die Negation zur arbeitenden Bevölkerung,
224780	232340	so Locke's Anhänger täten dies eben nicht. Sie seien keine, in Anführungszeichen, verbessernden
232340	239980	Landbesitzer, sondern nutzten lediglich das Land, um ihre Grundbedürfnisse mit minimaler Anstrengung
240140	245900	zu befriedigen. James Tully, ein heutiger Experte für die Rechte der Ureinwohner, verdeutlicht,
245900	252580	welche Folgen dies damals hatte. Land, das zum Jagen und Sammeln genutzt wird, gilt somit als
252580	259060	frei. Und wenn die Ureinwohner versuchen, die Europäer ihren eigenen Gesetzen und Gebräuchen
259060	265180	zu unterwerfen oder die Gebiete zu verteidigen, die sie seit Tausenden von Jahren irrtümlich für
265180	272620	Eigentum halten, dann sind sie es, die gegen das Naturrecht verstoßen und bestraft oder wie
272620	279620	wilde Tiere vernichtet werden können. Ähnlich diente das Stereotyp des sorglosen, faulen
279620	285220	Eingeborenen, der ohne materiellen Ehrgeiz durchs Leben spaziert, Tausenden von europäischen
285220	294340	Eroberen, Plantagenaufsehern und Kolonialbeamten in Asien, Afrika, Lateinamerika und Ozeanien als
294420	301620	Vorwand bürokratischen Terror einzusetzen, um die Lokalbevölkerung zur Arbeit zu zwingen,
301620	310340	mit allen Mitteln, von der offenen Versklavung über Strafsteuersysteme und Frohnarbeit bis zur
310340	316660	Schuldknechtschaft. Diese Passage hat mich weiterhin dazu angeregt, noch ein bisschen mehr
316660	324380	zu John Locke zu recherchieren. Und das, was ich herausgefunden habe, ist mal mindestens interessant,
324380	332620	um zu verstehen, wie vielleicht John Locke seine Schlussfolgerung zu dem Thema Eigentum, zum Thema
332620	341620	Arbeit und so weiter entwickelt hat. John Locke hat gelebt zwischen 1632 und 1704. Er war neben
341620	349660	der Philosophie auch Arzt und gilt bis heute als Vordenker der Aufklärung. Gleichzeitig,
349660	356860	und das ist auch nochmal wichtig für unsere Gegenwart, Locke gilt allgemein als der Urvater
356860	364340	des Liberalismus. Und er gilt als einer der bedeutenden Vertragstheoretiker. Seine Gedanken
364340	370100	sind unter anderem in die Unabhängigkeitserklärung der Vereinigten Staaten mit eingeflossen,
370100	379260	aber auch die Verfassung nach 1789, nach der französischen Revolution der Franzosen. Und
379260	386180	jetzt wird es nochmal spannend, nämlich der wirklich heikle Punkt oder der spannende Punkt
386180	394100	zum Thema Eigentum ist ja das postulierte Naturrecht von John Locke. In seinem Werk
394100	402580	Two Treatises of Governments argumentierte er, dass eine Regierung nur dann legitim ist,
402580	411500	wenn sie die Zustimmung der Regierten besitzt und die Naturrechte beschützt. Die Naturrechte
411500	420380	wiederum bei Locke bestanden aus Leben, Freiheit und Eigentum. Das heißt, John Locke hat Eigentum,
420380	429460	Privateigentum als ein Naturrecht verstanden und auch so postuliert. Woher kamen jetzt diese
429460	434580	Gedanken? Weil John Locke natürlich selber wiederum innerhalb einer eigenen Ideologie
434580	440700	sozialisiert wurde und sie auf Basis dessen natürlich diese Gedanken auch formuliert hat.
440700	450660	Er selbst stammte aus einer relativ wohlhabenden Familie. Sein Großvater war Tuchverleger. Er
450660	455820	hatte ein kleines Vermögen und Landbesitz angesammelt, von dem die Familie eben locker
455820	462820	damals leben konnte. Das ist also schon mal der eine Ausgangspunkt. Das heißt, Locke selbst
462820	469500	stammte eben aus einer Art, naja, man kann heute sagen Unternehmerfamilie mit entsprechend
469500	478540	vorhandenem und vererbten Vermögen. Interessant wird es jetzt aber wirklich, dass Locke eigentlich
478540	485180	in der wirklich strengen Tradition des Protestantismus oder auch des Calvinismus,
485180	491100	den du ja auch thematisiert hattest in deinem Skit, aufgewachsen ist. Das heißt, seine Eltern
491100	498940	waren nicht nur Protestanten oder Calvinisten, sie waren sogar, ich würde mal sagen, die Hardcore-Variante,
498940	508100	nämlich Puritana. Das heißt, diese protestantische Arbeitsethik war wahrscheinlich sehr tief in
508100	517980	Locke's Familie mit verankert. Die Familie galt als sehr frömmig und ihre Lebensführung richtete
517980	524460	sich auch entsprechend dem aus. Man geht davon aus und auch Historiker gehen davon aus, dass
524460	530580	alle seine Schriften, die sich mit den politischen, rechtlichen und gesellschaftlichen Fragen
530580	538620	beschäftigen, ständig Bezug nehmen, nicht nur auf das Alte und das Neue Testament, sondern eben auch
538620	546700	auf die kalvinistischen Schriften, die es rundherum damals eben schon gab. Jetzt kommt es nämlich an
546700	554660	dem Punkt zur Begrifflichkeit des Naturrechts. Also Locke argumentiert, dass Persönliches
554660	564500	Eigentum deshalb ein Naturrecht sei, weil es eben Gottes Wille ist. Er bezieht sich da eben aus der
564500	571540	Schöpfungsgeschichte, aus dem Neuen Testament und so weiter. Und er sagt, man kann gar nicht auf
