start	end	text
0	5440	Hallo Patrick, hallo Humann. Die Klimakatastrophe ist die größte Herausforderung unserer Generation.
5440	9920	Aber da wir geraten, häufig andere Themen aus dem Fokus, die auch zum Komplex Nachhaltigkeit
9920	13880	gehören und ebenfalls wichtig sind. Und ich möchte daher heute etwas über den Molloch
13880	18600	Plastik erzählen. Wenn wir etwas über Plastik lesen oder hören, kommen direkt Bilder in
18600	23120	den Kopf. Riesige Müllberge in Fischernetzen, Schildkröten, die von Plastikverpackungen
23120	29200	stranguliert werden, Papierstrohhalme, verbannte Plastiktüten oder die Gelbetonne. Und im Westen
29200	33560	denkt man dann, so what. Dass Plastik aus Erdöl hergestellt wird und damit Teil der
33560	38760	Fossilindustrie ist, ist an sich bereits problematisch. Was uns aber noch mehr Probleme machen wird,
38760	43280	was am Ende des Lebenszyklus mit Plastik passiert, also bei der Entsorgung. Und Entsorgung muss
43280	48440	man hier in Anführungszeichen setzen, denn diese entsorgt nicht, sondern besorgt viel
48440	52960	mehr. Ein paar Fakten zuerst. In den 50ern starteten die ersten Plastikprodukte auf dem
52960	57240	Markt und das Material boomte wie kaum ein anderes menschengemachtes Material. Seitdem
57240	61080	hat die Menschheit mehr als acht Milliarden Tonnen Plastik produziert. Doch was viele
61080	66800	nicht wissen, zwei Drittel allen jemals hergestellten Plastiks ist heute noch da. Ich finde es faszinierend,
66800	70880	dass es heute noch Plastik gibt, das älter ist als meine Eltern. Ehrlich gesagt auch
70880	75120	ein bisschen erschreckend. Etwas von dieser Plastikmenge ist noch immer in Gebrauch. Der
75120	80160	viel größere Teil wurde aber entsorgt und das meint, und das ist der zweite Skandal,
80160	88680	Davon wurden etwa 9% recycelt, 12% verbrannt, 50% deponiert und 29% in der Umwelt und das
88680	94920	heißt häufig das Meer, weggeworfen. Damit sei dies ein, Zitat, unkontrolliertes Experiment
94920	98960	globalen Maßstabs, waren die Wissenschaftler von der University of California in Santa
98960	103200	Barbara. Denn die Folgen sind groß, aber dazu komme ich gleich. Ach und wer glaubt, dass
103200	107720	es die letzten Jahrzehnte viel, viel besser geworden ist, der ehrt. Zwischen 2000 und
107720	113120	2019 hat sich die globale Plastikproduktion fast verdoppelt. Wir stellen also sehr viel und immer
113120	119080	mehr Plastik aus Erdöl her, recyceln knapp 10%, verheizen etwas davon, imitieren damit dann
119080	124240	wieder CO2, aber meistens werfen wir es achtlos in die Ökosysteme und dort bleibt es dann,
124240	130920	jahrzehntelang. Jede PET-Flasche beispielsweise braucht im Schnitt 450 Jahre, bis sie sich
130920	137120	zersetzt. Das ist echt viel Müll. Das Ökosystem mehr als Müllkippel ist hier ein interessantes
137120	142520	Beispiel, denn man sieht sehr, sehr gut die global vernetzten Auswirkungen. Jährlich erzeugen wir
142520	148280	300 Millionen Tonnen neues Plastik, die Hälfte als Wegwerfartikel und viel davon gelangt jährlich
148280	152960	direkt ins Meer. Und das findet sich mittlerweile auch in den entlegensten Bereichen der Meere
152960	157400	wieder. An fünf Stellen in den Meeren haben sich gewaltige Plastikstrudel angesammelt. Der
157400	163040	Größe davon ist viermal so groß wie Deutschland. Plastik braucht, bis es sich zersetzt. Es reibt
163040	168000	sich dann aneinander kleiner, bis es in Flocken- oder Mikroplastikform in dann auch Organismen
168000	173560	gelangt. Plastik kann dabei weiterhin chemisch stabile Eigenschaften haben, die hormoneinlich
173560	179040	oder gar giftig wirken. Und über Tiere und Wasser gelangt das Plastikgift wieder in Menschen. Pro Jahr
179040	184400	nimmt jeder Mensch das Gewicht einer Kreditkarte an Plastik auf, haben Wissenschaftler der University
184400	189360	of Newcastle in Australien belegt. Andere Messungen ergaben bereits höhere Werte. In einer Studie,
189440	195600	die 2021 veröffentlicht wurde, haben Forscher menschliche Plazenta untersucht. In 66 Prozent
195600	199840	der untersuchten Plazenten wurde bereits Mikroplastik nachgewiesen. Deutsche Krankenkassen
199840	204840	warnen davor, denn neben den hormonendlichen Wirkungen sehen einige Mediziner eine mögliche
204840	209040	Wirkung auf dem menschlichen Organismus, wie es auch Ruß oder Asbest hat. Deren Schädlichkeit
209040	214120	kennen wir und sprechen daher auch von der Plastikzeitbombe. Und natürlich gibt es auch
214120	218720	einige Wissenschaftler, die in der Anreicherung von Plastikorganismus keine Gefahr erkennen.
219200	224440	Langzeitforschung gibt es hier noch nicht, aber Tierversuche verweisen auf nichts Gutes. Es gibt
224440	229360	also absolut keinen Grund zur Entwarnung. Ich könnte noch erzählen, dass wir 16 Milliarden
229360	235200	Café to go Becher im Jahr weltweit produzieren und verbrauchen und dabei Deutschland drei Milliarden
235200	239360	Becher davon verbraucht oder dass es unterschiedliche Performances gibt, je nachdem welches Land man
239360	243240	betrachtet. Recyclingquote in Deutschland beispielsweise höher als der globale Schnitt
243240	249160	oder dass der Plastikverpackungsabfall von Einwohnern in Irland 64 Kilogramm beträgt,
249160	254280	der in Schweden aber weniger als 24 Kilogramm. Es kann also sehr unterschiedliche Ergebnisse
254280	258240	haben, je nachdem wie man organisiert ist, aber das sind Zahlenspielerei, die hier gerade nicht
258240	263960	helfen. Denn statt Fingerpointing brauchen wir die globale Perspektive und eine globale Lösung,
263960	270360	die früher oder später, besser früher, einen Gleichlauf erreicht. Stellen wir uns das doch mal
270360	275800	vor, wir produzieren Dinge, die gern mal 500 Jahre halten, aber benutzen die teilweise für weniger
275800	281640	als 30 Minuten und dafür verbrauchen wir dann mehr als 10 Prozent der fossilen Ressourcen
281640	288240	weltweit. Es ist in mehrfacher Hinsicht totaler Wahnsinn. Jetzt könnte man direkt an ein Verbot
288240	293240	denken. Wir haben ja bei FCKW vor einigen Jahrzehnten gesehen, dass es geht. Man hat
293240	298400	erkannt, dass die Ozonschicht für unser Überleben wichtig ist, FCKW die Ozonschicht zerstört und
298400	304400	ist deswegen in den meisten Bereichen komplett verbannt, weltweit. Oder Asbest. Asbest erzeugt
304400	308160	schwere Gesundheitsschäden, also hat man zähneknischen Vorgaben gemacht, Gebäude
308160	313360	saniert und so weiter. Es geht also, wenn man will. Und jetzt werden Marktradikale und vulgäre
313360	317560	Ökonomen aus dem reinen Ideologie-Reflex heraus wahrscheinlich aufschreien und sagen, der Markt
317560	322320	soll das regeln. Aber genau der hat uns ja hier reingebracht, denn der Markt sieht hier vor
322320	326320	einigen einen günstigen Rohstoff und wird immer so weitermachen, bis man ihm neue Rahmenbedingungen
326560	331600	setzt. Wie könnten diese Rahmenbedingungen aussehen? Gibt sicherlich einige Möglichkeiten. Was ich
331600	336080	häufiger mal gesehen und gelesen habe und was ich eigentlich auch irgendwie ganz interessant finde,
336080	341320	ist zum Beispiel, Plastik neu zu betrachten und Plastik als Rohstoff zu begreifen. Denn wir haben
341320	346400	ja noch ein paar Millionen Tonnen, wie wir gelernt haben. Also könnte man ja sagen, wir müssen erst
346400	352400	diese alten Ressourcen wiederverwenden oder nochmal durch einen chemischen Prozess wieder neue Formen
352400	357080	geben und so weiter. Also zum Beispiel ein echtes Upcycling. Das könnte man ja machen. Also bevor man
357080	362920	neuen Plastik erzeugt, erst den alten wieder in den Kreislauf bringen. Das würde wahrscheinlich
362920	366480	die Kosten steigen lassen, aber damit auch neue Chancen für andere Verpackungsformen und
366480	370800	Materialien geben. Ich glaube, es gibt ja unterschiedliche Möglichkeiten, aber das Problem
370800	373680	zu ignorieren wird uns nicht helfen. Wie ist denn eure Meinung dazu?
