start	end	text
0	5800	Vielen Dank, Jens, für deine Ausführungen rund um die planetarischen Grenzen.
5800	12000	Noch haben wir ein paar übrig, die wir noch überschreiten können.
12000	20000	Ich hoffe nicht, weil alles in allem sind die Dinge, die du da ausgeführt hast, natürlich
20000	26600	umso überwältigender angesichts der Tatsache, dass wir beim Thema Nachhaltigkeit ja im breiten Diskurs
26600	33600	immer nur von Dekarbonisierung sprechen, wenn überhaupt wir noch davon sprechen.
33600	35600	Weil jetzt sind ja andere Themen auf dem Tisch.
35600	42600	Jetzt müssen wir ja unsere fossile Energieversorgung um jeden Preis aufrechterhalten, scheint mir.
42600	48600	Und ja, so ein bisschen hat mich das an dieses hier erinnert.
48600	52600	Ihr seid im eigentlichen Sinne keine richtigen Säugetiere.
53600	62600	Jedwede Art von Säuger auf diesem Planeten entwickelt instinktiv ein natürliches Gleichgewicht mit ihrer Umgebung.
62600	64600	Ihr Menschen aber tut dies nicht.
64600	72600	Ihr zieht in ein bestimmtes Gebiet und vermehrt euch und vermehrt euch bis alle natürlichen Ressourcen erschöpft sind.
72600	78600	Und der einzige Weg zu überleben ist die Ausbreitung auf ein anderes Gebiet.
78600	84600	Es gibt noch einen Organismus auf diesem Planeten, der genauso verfährt.
84600	86600	Wissen Sie welcher?
86600	88600	Das Virus.
88600	94600	Um jetzt sämtliche Missverständnisse aus dieser popkulturellen Referenz von vornherein so ein bisschen rauszunehmen,
94600	100600	sei natürlich erwähnt, dass der Mensch sich jetzt nicht so extrem verhält, dass er sich vermehrt.
100600	103600	Und das ist gar nicht so das Hauptproblem im Moment.
103600	109600	Wir konnten ja auch unter anderem bei Stefan Schulz in seinem neuen Buch Die Alten Republik nachlesen,
109600	118600	dass das globale Bevölkerungswachstum sich offenbar so ein bisschen auf einem Niveau hält und eher stagniert
118600	126600	und vielleicht sogar leicht zurückgeht, als dass wir jetzt exponentiell als Menschen sozusagen uns weiter vermehren.
126600	128600	Sondern es ist eigentlich viel, viel schlimmer.
128600	130600	Es ist eigentlich viel, viel dümmer.
131600	143600	Wir produzieren einen so eklatanten Überfluss auf der einen Seite, dass wir A. immer noch nicht in der Lage sind,
143600	153600	alle Menschen, also unsere Spezies, mit ausreichend Nahrung, Wasser etc. zu versorgen.
153600	159600	Also wir haben ein echtes Verteilungsproblem von Nahrung und grundsätzlich von Ressourcen.
159600	169600	Und B. produzieren wir gleichzeitig aber auch so viel im Überfluss, dass wir den allermeisten Kram dann auch wiederum einfach wegschmeißen.
169600	174600	Und wegschmeißen bedeutet, wir haben einen doppelten Energieaufwand.
174600	183600	Wir haben den Energieaufwand beim Produzieren und wir haben den Energieaufwand beim Vernichten der Produktion.
183600	196600	Und statt dass wir die Dinge dann eben suffizient gestalten, also sprich, dass die Bedürfnisse weitgehend erstmal gedeckelt sind
196600	203600	und dass wir eben die Überschüsse entweder verteilen oder gar nicht erst in die Bredouille kommen,
203600	209600	zu viel Überschuss in vielerlei Hinsicht zu produzieren, dass wir so viel wegschmeißen müssen,
209600	220600	dann hätten wir eben vielleicht auch all diese Plastikstrudel und Inseln und Müllberge und Energieproblematiken nicht, wie wir sie heute haben.
220600	226600	Gestern ist ein sehr wichtiges Buch erschienen.
226600	236600	Und das passt eigentlich sehr gut zu Jens seinen Ausführungen zu den fünf planetarischen Grenzen, denn es gibt ein neues Buch vom Club of Rome.
236600	244600	Gestern erschien. Ich habe es mir mal runtergeladen. Ich bin noch nicht dazu gekommen, es vollständig zu lesen.
244600	251600	Ich habe aber das erste Kapitel mir angeschaut und ich fand, da ist eine sehr gute Übersicht,
251600	261600	nämlich der Dinge, die wir jetzt tun könnten und müssten, um diesen Wahnsinn ein Ende zu setzen
261600	271600	oder anders formuliert, um aus diesem Irrsinn noch zivilisatorisch einigermaßen irgendwas auf die Kette zu bekommen.
271600	276600	Und ich würde sehr gerne jetzt mal eine längere Passage aus dem Buch vorlesen.
276600	280600	Und ich schlage auch vor, dass wir vielleicht in Zukunft mal ein Livestream machen.
280600	288600	Also ich habe da so eine Formatidee, wo ich auch gerade mit Jens, der auch den nächsten Beitrag liefern wird zum Thema Nachhaltigkeit,
288600	295600	ob wir nicht ein eigenes Critical Sustainability Format, ich weiß gar nicht, warum wir da so gerne auf Englisch abfahren,
295600	303600	aber dass wir in unserem Critical Universum vielleicht ein eigenes Format für die Themen rund um Nachhaltigkeit schaffen.
303600	311600	Und ich würde sehr gerne das Buch vom Club of Rome ein bisschen intensiver besprechen, vor allen Dingen die einzelnen Punkte,
311600	316600	die da aufgeführt sind, intensiver diskutieren, auch mit euch in der Community und so weiter.
317600	327600	Und falls jemand das hört, der irgendwie mit dem Club of Rome verbunden ist oder jemanden kennt oder sogar mit Autorinnen kennt von diesem Buch,
327600	338600	sagt uns gerne Bescheid. Vielleicht schaffen wir es, die Autoren und Autorinnen zu gewinnen für einen gemeinsamen Livestream.
338600	344600	Ich würde jetzt also mal eine Passage vorlesen und damit entlasse ich euch auch aus dieser Sprachnachricht.
344600	350600	Vielleicht mit ein bisschen Hoffnung, vielleicht aber auch mit ein bisschen mehr Fatalismus. I don't know.
350600	356600	Weil das Ding ist ja, es ist alles da. Es ist alles da. Man muss es nur tun.
356600	363600	Und man muss, glaube ich, wenn ich so an den klassischen Change-Management-Prozess denke,
363600	368600	gibt es ja einen Schritt neben den ganzen anderen Schritten, dass man sich bewusst sein muss,
368600	375600	dass sozusagen der Status Quo mehr Angst macht als das Unbekannte in der Zukunft,
375600	380600	dass man ein positives Bild, eine Vision entwickeln muss, wo es hingehen kann.
380600	385600	Gibt es aber noch einen wichtigen Punkt im Change-Management und das ist es tatsächlich,
385600	392600	Blockaden des Wandels zu lösen, sie zu beseitigen.
393600	399600	Und das soll natürlich jetzt nicht irgendwie ein Aufruf zur Gewalt oder sonst irgendwas sein,
399600	406600	sondern man muss sich vielleicht mal klar machen und überlegen, ob es wirklich sinnhaft ist,
406600	414600	jede skeptischen und klimaskeptischen Stimme gleich viel Gewicht zu schenken
414600	422600	oder ob wir angesichts der eklatanten Probleme nicht auch mal sagen müssen, ist gut jetzt, Junge.
