start	end	text
0	11000	Hi Leute, wir haben ja nun gesehen, dass die Klimakatastrophe und das gesamte Thema Nachhaltigkeit am Beispiel des Überschreitens der planetaren Grenzen uns vor nie dagewesene globale Herausforderungen stellen wird.
11000	17000	Oder besser ausgedrückt, es wird Verwerfungen geben, die unser Leben massiv verändern werden, ob wir wollen oder nicht.
17000	25000	Und wer glaubt, das betrifft ihn nicht, weil sicherer Erdteil oder versichert oder reich oder es ist erst in 50 Jahren soweit der Erd.
25000	29000	Der Wandel wird kommen. Die Frage ist, by design or by disaster?
29000	36000	Dies zu entscheiden, ist die Aufgabe unserer Generation, in Verantwortung für unser weiteres Leben und kommende Generationen.
36000	46000	Zukunftsforscher sehen in dem jetzigen Zeitpunkt eine sogenannte Befokation, also eine qualitative Zustandsänderung in nicht-linearen Systemen. Der Zeitpunkt ist heute.
46000	52000	Gegenwärtig tun wir viel, viel zu wenig, um den Prozess umzulenken, aufzuhalten oder abzumildern.
52000	62000	Daher möchte ich mal den Versuch aufmachen, aufzuzeigen, was passieren könnte, wenn wir dieses Bauszenario, also business as usual, weiter laufen lassen und weiterhin wenig oder erst sehr spät etwas unternehmen.
62000	70000	Das hat noch keinen Anspruch auf Vollständigkeit und ich werde das bei Zeiten noch stärker schärfen und aktualisieren, aber vielleicht ist das erste Vision spannend oder auch gruselig.
70000	81000	Auch gehe ich hier erneut mehr auf konkrete Lebensbedingungen ein und weniger auf ideelle Punkte, weil ich die Erfahrung gemacht habe, dass das in Nutzen- und Betroffenheitskalkülen einfach mehr Menschen kümmert.
81000	87000	Was werden also ein paar Phänomene sein, die wir in den kommenden 10 bis 30 Jahren begegnen werden?
87000	91000	Biodiversität und Klimawandel schlagen noch stärker auf Ernteerträge durch.
91000	95000	Wir sind jetzt bereits in einem Prozess, der shifting seasons genannt wird.
95000	100000	Das heißt, Winter wird weniger und Sommer länger, was Wachstumsperioden negativ verändert.
100000	104000	Auch wird die Qualität des Bodens durch Umweltbelastung und Klimakrise weiter fallen.
104000	112000	Starkwetterereignisse, Dürre und Süßwassermangel, heute bereits ein Problem, werden hier und weltweit in 10 Jahren bereits ihr übliches tun.
112000	119000	Das wird Grundnahrungsmittel für Tierfutter und für pflanzliche Ernährung stark in einigen Sektoren möglicherweise um ein Vielfaches verteuern.
119000	124000	Wer bei UNEP und im Weltagrarbericht reinschaut, dürfte schon sehen, worum es geht.
124000	131000	Die Böden heute, die noch stabil sind, findet man fast nur noch im Teilen Vorderasiens, in Osteuropa, Russland und Kanada.
131000	139000	Damit dürften einige ärmere Länder vor Hungerkatastrophen stehen und sich auch in Europa Menschen fragen müssen, ob sie lieber heizen, wohnen oder essen wollen.
139000	147000	Alle großen Konflikte haben Narrative, aber schaut mal in die tatsächlichen Kriegsgründe, waren häufig Verteilungsfragen der Auslöser.
147000	156000	Wenn Nationen sich absehbar nicht mehr selbst oder durch Importe tragbar günstig ernähren können, kommt es zu Hardpower, also bewaffneten oder Softpower-Konflikten.
156000	164000	Und in den Klimakriegen der Zukunft wird es nicht um Öl gehen, sondern Boden, Süßwasser vorkommen, Lebensraum mit gemäßigem Klima und Ressourcen.
164000	170000	Also primär ums nackte Überleben. Erneuerbare Energien sind Friedensenergien? Hell yeah!
170000	175000	Und hier eine Randnotiz. Die Ukraine hat einige der fruchtbarsten Böden der Welt.
175000	183000	2014 wurde vor Sicherheitsexperten das auch als ein langfristiges Nebenziel eines denkbaren Krieges von Russland ausgehend gesehen.
183000	187000	Oder es lohnt auch mal beim Planungsamt der Bundeswehr vorbei zu schauen.
187000	196000	Das hat in der Schriftenreihe Streitkräfte, Fähigkeiten und Technologien im 21. Jahrhundert, Umweltdimensionen von Sicherheit, die Studien-Serie Klimafolgen im Kontext herausgebracht.
196000	206000	Klar ist, wenn wir die Klima- und Nachhaltigkeitsfrage nicht bald auf einen globalen Lösungspfad bringen, sind derlei Auseinandersetzungen beinahe unvermeidlich.
206000	213000	Und es würde mich nicht wundern, wenn wir in den nächsten 15, 20 Jahren nennenswert groß und anhaltend laut knallen.
213000	224000	Verteuerung von Vorprodukten und Lebensmitteln, Konflikte, Knappheit von kritischen Ressourcen, Ausfall von Lieferländern etc. dürfen Lieferketten und Globalisierung ins Wanken bringen.
224000	236000	Wir sind weltweit derart integriert, dass bereits kleinere Störungen, wie beispielsweise das Container-Chef Ever Given 2021 oder die Taiwan-Spannung oder der Ukraine-Krieg, große und weitreichende Folgen haben.
236000	242000	Das wird eher zunehmen und Sand ins Getriebe der Weltwirtschaft bringen, mit allem, was da dranhängt.
242000	246000	Man kann die Industrien, die man aus Rendite-Erwägung nach Ostasien geschafft hat, nicht über Nacht wieder aufbauen.
246000	249000	Das heißt, wir werden hier viele Störungen sehen.
250000	254000	All die gerade eben genannten Ereignisse werden Preise treiben, teilweise zum Explodieren bringen.
254000	267000	Denkbar wäre auch, dass dann bestimmte Industriezweige und Märkte erkalten oder ganz zum Erliegen kommen und fraglich ist, ob es in dem System, in dem wir leben, es unter sonst gleichen Bedingungen wieder zu einer echten, breiten Entspannungsphase kommen kann.
269000	274000	Seit 30 Jahren sehen wir zu, wie die wenigen mehr und die vielen viel, viel weniger haben.
274000	276000	Diese Entwicklung wird sich drastisch verschärfen.
276000	289000	Zum einen, weil die Ehrelehre des neoliberalen Projekts einen Fair Share der Vielbesitzenden und Solidarität ablehnt und weil der Raubbau der Grundlagen und die vielen vorgenannten Punkte das Leben noch weiter unter Druck bringen werden.
289000	298000	Wenn hier nicht ein kompletter Kurswechsel vollzogen wird, kann man sich das Leben in Deutschland in 20 bis 30 Jahren wie eine Mischung aus USA Rust Belt und Favela vorstellen.
298000	301000	Armut und Altersarmut werden eher die Regel werden.
301000	307000	Drei Generationen haben gut gelebt, die nächsten werden es dafür sehr schwer haben, die werden zumindest teilweise wieder frieren und hungern.
307000	316000	Jeder weiß, dass der Generationsvertrag de facto einseitig aufgekündigt wurde und die kommenden Generationen werden sicherlich ein sehr gemischtes Bild der Boomer-Generationen haben.
316000	322000	Welche Erwartungen haben die Boomer, die sich heute bresig der notwendigen Veränderung mit aller Macht entgegenwerfen denn an ihren Lebensabend?
322000	326000	Wer wird sie denn pflegen, besuchen oder ihr Lebenswerk bewundern?
326000	330000	Dieser Generationen-Konflikt würde maßlos traurig werden.
330000	334000	Migration. Heute bereits ein Thema und wird noch massiv ansteigen.
334000	340000	Zur Erinnerung, extreme Hitze führt heute bereits zum zeitweisen Zusammenbruch der Lebensmittelversorgung in einigen Regionen der Erde.
340000	342000	Und das wird sich ausweiten.
342000	348000	Rund um den Äquator leben viele Menschen und das Leben oder besser Überleben wird dort von Jahr zu Jahr schwieriger werden.
348000	351000	Diese Menschen werden fliehen und viele davon nach Europa.
352000	360000	Der UNHCR hat festgestellt, dass bereits 23,7 Millionen Menschen ihre Heimat aufgrund von Klimareignissen wie Dauerregen,
360000	365000	anhaltenden Dürren, Hitzewellen und Stürmen sowohl kurz und auch immer häufiger langfristig verlassen.
365000	368000	Und das nur in 2021.
368000	370000	Also zu Beginn der Klimakrise.
370000	378000	Einige Studien gehen davon aus, dass wir in 25 bis 30 Jahren mehrere 100 Millionen Klimaflüchtlinge sehen werden.
378000	381000	Viele davon werden dann hierher kommen.
381000	384000	Das wird uns vor wesentliche zivilisatorische Fragen stellen.
384000	392000	Öffentliche und individuelle Gesundheit wird durch Klimakrise und die Folgen der Nachhaltigkeitsfrage zusätzlich belastet werden.
392000	394000	Denn die Hitze führt zu Todesfällen.
394000	400000	In Deutschland waren es 2019 fast 7000 und damit mehr als doppelt so viel wie Tote im Verkehr.
400000	406000	Infektionsverläufe können sich verändern und auch neue Krankheiten werden auftreten, die hier nicht endemisch sind.
406000	412000	Indirekte gesundheitliche Auswirkungen und Risiken treten durch nachteilig veränderte Umweltbedingungen als Folge der Klimaänderung auch auf.
412000	417000	Hierzu gehören beispielsweise die Beeinträchtigungen der Qualität und Quantität von Trinkwasser und Lebensmitteln,
417000	422000	das veränderte bzw. verlängerte Auftreten biologischer Allergene, beispielsweise Pollen,
422000	425000	sowie von tierischen Krankheitsüberträgern wie Zecken und Stechmücken.
425000	429000	Mit im Gepäck haben die dann Zika, Dengue, das Westnilvirus oder Malaria.
429000	434000	Davor warnt das RKI bereits heute im Jahr 2022.
435000	440000	Ach ja, und um es noch schlimmer zu machen, auch psychische Überlastungen wie Stress, Angstzustände und Depressionen werden zunehmen.
440000	444000	Wie viel Hoffnung wird denn noch da sein in einer Klimakrisenwelt?
445000	447000	Ja, das war auch schon mein kleines Portemonnaie.
447000	454000	Wer glaubt, es geht nur um Polkappen oder dass man auch in 20 Jahren mal was machen kann, fällt auf seine eigenen Lebenslügen hinein.
454000	458000	NASA-Climate-Scientist Peter Kalmus bringt es auf den Punkt.
458000	463000	We have been trying to warn you for so many decades, we will lose everything.
463000	466000	Und was man tun könnte, kommt dann in einem nächsten Skit.
