start	end	text
0	8000	Hi Leute, heute möchte ich ein paar Gründe und Mechanismen aufzählen, warum sich in Sachen Klimakrise und Nachhaltigkeit so wenig tut und was Wege sein könnten daraus zu kommen.
8000	17000	Fangen wir mal auf der Ebene der Individuen an. Im Austausch mit ein paar Freunden von Scientists for Future und Psychologists for Future wurde ich auf Robert Gifford aufmerksam gemacht.
17000	23000	Robert Gifford ist Professor für Psychology und Environmental Studies an der University of Victoria.
24000	34000	Von dem lohnt sich sehr viel zu lesen, aber eingehen möchte ich heute auf seinen Beitrag The Dragons of Inaction Psychological Barriers that Limit Climate Change Mitigation and Adaption aus dem Jahr 2011.
34000	41000	Dort fasst er zusammen, warum es gar nicht unnatürlich ist, dass Menschen sich wie Klimaleugner verhalten. Als Gründe nennt er die folgenden Phänomenbereiche.
44000	47000	Menschen sind auch weniger rational als zu erwarten.
47000	54000	Menschen sind zum Beispiel davon überzeugt, dass sich der Klimawandel im eigenen Umfeld nicht so schlimm auswirken werde und Handlungen dafür überflüssig seien.
54000	62000	Unwissenheit ist ein weiteres Problem. Sie erschwert situationsgerechtes Handeln. Das eigene Handeln wird als irrelevant eingestuft und als Tropfen auf den heißen Stein empfunden.
62000	65000	Es ist auch eine Reaktion auf einen gefühlten Kontrollverlust.
68000	74000	Persönliche Ideologien und Weltanschauungen bilden Überzeugungen, die mit dem klimaschutz- und umweltfreundlichen Handeln nicht vereinbar sind.
74000	87000	Sie hindern einen daran, sein Verhalten zu ändern. Solche Überzeugungen sind zum Beispiel, der Kapitalismus ist das beste System aller Zeiten, Technologien allein kann der Klimawandel aufhalten, der menschliche Einfluss ist begrenzt oder die Natur wird es schon richten.
91000	96000	Soziale Vergleiche und das Gefühl von Ungerechtigkeit sind im menschlichen Wesen stark verankert.
96000	100000	Das führt dazu, dass die Meinung anderer Einfluss auf das eigene Handeln haben.
100000	105000	Wenn sich im eigenen sozialen Umfeld niemand klimafreundlich verhält, woher soll dann der Impuls kommen?
105000	111000	Man stellt sich unterbewusst die Frage, wenn meine Nachbarn sich nicht klimafreundlich verhalten, warum sollte ich es tun?
113000	120000	Unter versunkenen Kosten versteht man bereits getätigte Investitionen, welche weitere klimafreundliche Entscheidungen einschränken.
120000	126000	Wenn man sich also etwas geleistet oder sich an Bequemlichkeiten gewöhnt hat, ist es schwierig, in Zukunft wieder darauf zu verzichten.
128000	136000	Die sind Menschen, die den Klimawandel verleugnen und wissenschaftliche Beweise abwerten. Häufig hängt dies mit einem generellen niedrigen Maß an Vertrauen zusammen.
136000	143000	Wenn kein Vertrauen vorhanden ist, will man Vorschläge nicht folgen und sich schlimmstenfalls sogar gegen diese Vorschläge Empfehlungen zur Wehr setzen.
143000	145000	Kennen wir ja auch ein bisschen von Corona.
146000	155000	Perceived Risk. Veränderungen werden generell als Unsicherheit erlebt und negativ empfunden und dann mit Risiken in Verbindung gebracht, welche einen daran hindern, sein Handeln anzupassen.
155000	157000	Wer verändert sich schon gern?
157000	166000	Es gibt aber auch soziale Risiken, wie die Angst, aus einer sozialen Gruppe ausgeschlossen zu werden oder die Befürchtung, für das neue umweltfreundliche Verhalten verspottet zu werden.
167000	169000	Und zuletzt Limited Behavior.
170000	177000	Tokenism als Unterpunkt beschreibt das minimalste klimafreundliche Verhalten von Menschen, wie zum Beispiel der Kauf von Bio-Lebensmitteln.
177000	181000	Dies wird bereits als ausreichend befunden und häufig moralisch aufgeladen.
181000	189000	Echte und wirksame Veränderungen, wie der Verzicht auf Flugreisen oder das Aktivwerden in einer Klimagerechtigkeitsbewegung, werden dafür dann nicht umgesetzt.
189000	192000	Dazu paart sich nicht selten der Rebound-Effekt.
193000	197000	Das heißt, es wird klimafreundliches Verhalten mit etwas nicht klimafreundlich belohnt.
197000	203000	Die Gewinne aus dem klimafreundlichen Handeln werden dadurch geschmälert oder sogar ganz zunichte gemacht.
204000	211000	Wahrscheinlich sind die meisten von uns jeder dieser Spielarten bereits begegnet oder haben selbst Anteile davon an sich selbst entdeckt.
211000	215000	Was sagt uns das jetzt? Sind Menschen hardwired for destruction? Nein.
215000	217000	Natürlich kann man sein Verhalten verändern.
217000	224000	Diese strukturierte Aufzählung hilft aber dabei, die Lebenslügen des Alltags aufzudecken und sich und andere kritisch zu hinterfragen.
226000	230000	Mit dem vorgenannten im Hinterkopf schauen wir mal auf Gruppen und insbesondere Erzählungen und Lebenslügen.
230000	240000	Je nach Milieu hat man sich da nämlich verschiedene Narrative und diskursive Heuristiken gebaut, die Verantwortung für Schieben und Veränderungen verlangsam oder teilweise für unmöglichen sollen.
240000	248000	Das ist nicht vollständig, aber diese Klimaverharmlosung, die aus meiner Sicht ebenso gefährlich und ächtungswürdig sind wie Klimaleugner, begegne ich recht häufig.
249000	259000	Jeder Beitrag zählt. Das ist manchmal sogar gut gemeint, aber häufig entschuldigt man damit nur, dass man eben nicht das tut, was man tun sollte, sondern eben nur das, was man gerade möchte.
259000	265000	Auch wird damit gern die Vogelstrauß-Taktik angewandt und die strukturelle Ebene leichtfertig ausgeblendet.
266000	279000	Wer beispielsweise als Person des öffentlichen Lebens sich dafür feiern lässt, einen wiederverwendbaren Becher verwendet zu haben und meint, sie können nicht mehr tun, übersieht, dass es sehr helfen würde, sich öffentlich für Kreislaufwirtschaft einzusetzen oder Plastikpolluter öffentlich zu machen.
280000	290000	Eine Spielart ist hier auch Waterpotism. Wir machen doch schon den Wedgie Day und haben ein Insektenhotel. Was sollen wir denn noch machen? Strom aus erneuerbaren Energien oder das Geschäftsmodell verändern?
290000	297000	Wir können ja nicht wieder in Höhlen leben. Gibt es auch in der Geschmacksrichtung, wieder auf Bäumen leben.
297000	306000	Diese Aussage kommt immer, wenn man von der normativen Ebene auf die Konkrete kommt. Denn wenn es ums Eingemachte geht, dann wird immer sofort der Zusammenbruch des Abendlandes beschworen.
306000	313000	Wenn wir keine Inlandsflüge haben, leben wir wieder in Höhlen. Wenn wir in Städten von Individualverkehr auf ÖPNV umstellen, leben wir wieder in Höhlen.
313000	320000	Wenn man auf Kreislaufwirtschaft umstellt, lebt man wieder in Höhlen. Die Wohlstandsverwahrlosung ist hier nur ein Phänomen.
320000	325000	Es ist auch ein erkennbares Strohmann-Argument, dem man immer wieder entgegentreten sollte.
326000	336000	Wir können die Welt nicht allein retten. Stimmt, sagt ja auch keiner. Dahinter steht ein St. Florian. Erstmal die anderen, dann wir. Häufig mit dem versteckten Wunsch, hoffentlich nie.
336000	345000	Aber erst mal, alle Länder müssen auf null bzw. richtiger auf negative Emissionen kommen und in Deutschland in weniger als 20 Jahren.
345000	350000	Und zweitens hat es einen großen Abstrahleffekt, wenn eine der größten Industrienationen klimaneutral wird.
350000	360000	Von den sicherheitspolitischen und wirtschaftlichen Implikationen mal ganz abgesehen, alle Länder werden klimaneutrale Technik kaufen wollen, gut mal einen Trend nicht zweimal zu verschlafen.
360000	362000	Die Technik ist reif, da und bezahlbar.
