start	end	text
0	5180	Hey Jens, hey Patrick, das waren sehr spannende Skits in Richtung Umwelt und dem ganzen Wahnsinn
5180	6180	dahinter.
6180	11480	Ich bin auch schon mega gespannt auf euren regelmäßigen Twitch Stream 2045 bei Design
11480	17320	or bei Disaster, die alle zwei Wochen am Montag um 20.45 Uhr hier auf den Critical Infinity
17320	18840	Twitch Kanal stattfinden werden.
18840	22400	Aber ich möchte heute eine neue Richtung einschlagen und möchte gleichzeitig meine
22400	26560	Pointe, also die Conclusio dieses Skits schon zu Beginn verraten.
26560	32400	Und vorab, es ist erstmal nur eine These, vielleicht etwas provokativ, aber ich will
32400	34000	mal schauen, wohin es uns bringt.
34000	39960	Ich behaupte nämlich, dass die derzeitige FDP von den regierenden Parteien diejenige
39960	43400	ist, die die ideologischste Position von allen vertritt.
43400	48080	Das mag vielleicht für die einen oder andere etwas komisch klingen oder auch nicht, denn
48080	53400	neben der FDP haben wir ja sowas wie CDU, CSU, die verweisen ja explizit auf irgendwas
53480	59560	Christliches, dann sowas wie die SPD, die ja irgendwie mit Arbeiter fokussiert und Arbeiter
59560	62280	fokussierte Werte und so weiter dabei sind.
62280	65080	Und Linke und Grüne haben ja ihre Agenda explizit im Namen.
65080	69120	Aber lass mal schauen, ob ich die Argumentation für diese Behauptung hinbekomme.
69120	75560	Dieser explizite Gedankengang hat seinen Start bei der Rede von Florian Tonka, ich hoffe,
75560	80120	ich spreche seinen Namen richtig aus, parlamentarischer Staatssekretär für Finanzen und natürlich
80120	82560	FDPler seinen Anfang gefunden.
82760	85160	Dort sagte er nämlich Folgendes.
85160	88840	Die Schuldenbremse ist nicht irgendetwas.
88840	95840	Sie ist auch nicht, wie ich in Zeitungen manchmal lesen darf, ein Fetisch oder irgendetwas Ähnliches,
95840	100720	sondern sie ist im Kern eine Regel, die mit zwei Drittelmehrheit im Bundestag und zwei
100720	105240	Drittelmehrheit im Bundesrat in unser Grundgesetz geschrieben ist und dementsprechend auch den
105240	108160	Respekt verdient, den eine Regel im Grundgesetz verdient.
108160	116040	Sie ist einzuhalten, man kann politisch dafür argumentieren, sie auch wieder zu ändern,
