start	end	text
0	7540	hey umann danke für deinen fetisch skit rund um die fdp oder sollte ich viel
7540	12780	mehr sagen und um die lindner fdp zumal und das ist ja hoch interessant weil
12780	17860	du hast ja den fetisch der schuldenbremse angeführt ist es ja so dass
17860	24540	laut einer infratest die mal um frage im august rausgekommen ist dass eigentlich
24540	31100	58 prozent der fdp anhänger eigentlich neue schulden befürworten also neue
31100	34980	schulden nicht aus selbstzweck wie es christian lindner ja immer wieder gerne
34980	41220	behauptet sondern aufgrund der aktuellen sachlage und situation dass es eben
41220	47660	notwendig ist loszulassen von der sogenannten schuldenbremse also das heißt
47660	53580	selbst die eigenen parteianhänger sehen das anders als es christian lindner tut
53580	60780	umso interessanter ist ja eigentlich dieser fetisch der ja offenbar nicht
60780	68580	homogen so in der fdp geteilt wird aber das nur als nebenbemerkung in diesem
68580	72500	skit möchte ich mich tatsächlich fokussieren auf den begriff des
72500	77700	populismus den du ja hier auch ins spiel gebracht hast in diesem zusammenhang
77700	82900	also du hast gesagt dass die fdp oder das was christian lindner tut und sagt
82900	92100	populistisch sei und da hat sich erst mal so bei mir die frage stellt stimmt
92100	97500	das ist es richtig und wie kann ich das überprüfen also muss ich doch als erstes
97500	101300	erstmal schauen was ist denn eigentlich populismus was wird unter populismus
101300	105060	eigentlich wirklich verstanden und vor allen dingen auch in der politik
105060	110700	wissenschaft wie wird das dort verstanden und interpretiert und dazu
110700	117260	habe ich zwei politologen zur rate gezogen das ist einerseits tim spiel von
117260	122060	ihm habe ich einen kurzen aufsatz gefunden unter dem titel was versteht
122060	126860	man unter populismus findet ihr bei der bundeszentrale für politische bildung
126860	134220	tim spiel leider schon viel zu früh verstorben war politikwissenschaftler an
134220	141780	der uni siegen dieser artikel entstand 2014 und ich habe den politologen jan
141780	147420	werner müller gefunden einerseits mit aufsetzen in den blättern für
147420	152420	internationale politik dort findet man wenn man das glück hat wie ich auf das
152420	157540	gesamte archiv der blätter zurückzugreifen findet man den ein oder
157540	164180	anderen essay zum thema populismus und ich habe ihn gesehen und gehört bei
164180	170260	sternstunde philosophie wo er eben über populismus und identität gesprochen
170260	175780	hat weil diese themen hängen auch unmittelbar zusammen und diese beiden
175780	180580	habe ich mir eben in meiner recherche mal vorgenommen um jetzt mal in diesem
180580	186180	skit erstmal grundsätzlich die frage zu stellen was ist eigentlich populismus
186180	189980	und was ist populistisch das heißt ihr könnt jetzt selber mal mitdenken und
189980	195660	überlegen stimmt das was humann sagt dass das eine populistische position ist
195660	199740	oder stimmt es nicht oder haben wir es vielleicht sogar mit einem ganz neuen
199740	205620	phänomen zu tun also das heißt jetzt erstmal so ein bisschen grundsätzliche
205620	212660	fakten einordnung zum thema populismus aus sicht der politikwissenschaft und da
212660	219220	nehme ich eben wie gesagt den artikel von tim spiel und spiel schreibt hier dass
219260	227140	dieser begriff zwar sehr häufig benutzt wird und auch häufig eher rhetorisch
227140	232820	taktisch benutzt wird in den politischen auseinandersetzungen in debatten taucht
232820	238260	er oft als stigmatisierender begriff auf um sozusagen den politischen gegner an
238260	242020	der stelle auch in die schranken zu weisen ihn auch ein stück weit zu
242020	246620	diskreditieren weil der populismus begriff in unserer gesellschaft auch
246620	252980	als etwas sehr negatives konnotiertes also ereignet sich auch dazu andere zu
252980	259060	stigmatisieren also populisten lassen sich nicht gerne als populisten
259060	264060	bezeichnen und deswegen ist es eben auch noch mal wichtig zu unterscheiden zwischen
264060	268900	dieser taktischen verwendung des begriffes in der rhetoriken und der
268900	276340	sozusagen wirklichen definition von wie ist die form des populismus weil die
276340	282060	politischen inhalte die politische ausrichtung erst mal keine rolle spielen
282060	288540	also es ist egal ob ich linke politik rechte politik progressive politik
288540	295620	neoliberale politik you name it betreibe ich kann das populistisch tun und ich
295620	300620	kann das nicht populistisch tun das heißt populismus ist noch mal eine
