start	end	text
0	4880	Hey Patrick, danke für deine Antwort. Sie war sehr gehaltreich und natürlich kann ich nicht
4880	8600	auf alles eingehen und du hast es mir schon ein bisschen einfacher gemacht und ich kann eigentlich
8600	13680	auf die konkrete Frage angehen, ob der Fall der Schuldenbremse ein symbolischer Tod für Lindner
13680	18000	wäre. Vorab, was war noch mal der symbolische Tod? Zizek baut auf ein Konzept von Lacan auf.
18000	24160	Lacan hat argumentiert, dass jeder Mensch zweimal stirbt. Einmal einen materiellen Tod und
24160	28440	danach einen symbolischen Tod der Person, wenn sich keiner mehr an dieser Person erinnert.
28440	33280	Zizek nimmt diese Idee und argumentiert, dass der symbolische Tod kommt, während wir noch am
33280	39120	Leben sind und der physische Tod eine Formalisierung dieses Todes ist. Wobei für Zizek der symbolische
39120	45680	Tod unbestimmt ist. Das heißt, er kann sowohl Quell von Emanzipation als auch eine Art unheimliches
45680	50200	Untod sein. Wir könnten argumentieren, dass im Kapitalismus beispielsweise diese Art vom
50200	54720	symbolischen Tod eintritt, wenn uns die grundlegenden formalen Voraussetzungen für den
54720	59440	Wettbewerb verweigert werden. Er kann aber auch entstehen, wenn wir erkennen, dass beispielsweise
59440	65880	die Idee eines freien Marktes und einem Wettbewerbes darin ein falscher Universalismus ist und wir uns
65880	70240	weigern, miteinander zu konkurrieren. Also was würde für Lindner heißen, wenn jetzt die
70240	75800	Schuldenbremse fällt? Ich würde sagen gar nichts. Warum? Ich hatte ja im letzten Skit über die
75800	80720	sogenannte fetischistische Unterdrückung gesprochen. Also wenn wir versuchen, einen Mangel über ein
80720	85200	fetisch Objekt zu schließen, aber das Symptom hochkommt, dass es ja sozusagen das Ding gar
85200	90040	nicht verschlossen ist, bis zu dem Punkt, an dem man sich dem Deadlock stellen muss oder es
90040	94640	unterdrücken. Das Problem ist ja, mit dem Unterdrücken ist ja nicht das Problem gelöst
94640	100040	oder so. Zizek hat dazu ein Beispiel zu der sogenannten Rückkehr der Unterdrückung. Ein
100040	105280	Mann hat vor kurzem seine Frau verloren. Anstatt dass er um sie trauert, hat er sich ein Hamster
105280	110720	als Haustier zugelegt und kümmert, wie besessen sich um diesen Hamster. Als der Hamster plötzlich
110720	116480	stirbt, bricht der Mann in einem krassen Trauerfall aus. Seine Bindung zu dem Hamster war übertrieben,
116480	121920	eine fetischistische Unterdrückung, um diese ursprünglichen Quellen der Trauer zu unterdrücken.
121920	126760	Der Zusammenbruch stellt die symptomatische Befreiung von diesem Schmerz dar. Allerdings
126760	130960	war die fetischistische Unterdrückung, die die Form der Bindung an den Hamster annimmt,
130960	136280	selbst schon symptomatisch. Der Zusammenbruch ist lediglich die Enthüllung des unterdrückten
136280	140440	Inhalts aufgrund der inneren Grenzen der Verdrängung, die natürlich darin bestand,
140440	145080	dass der Hamster auch einfach schlicht irgendwann sterben würde. Das Symptom ist das, was zum
145080	149880	Vorschein kommt, wenn wir ihre fetischistische Bindung unterdrücken. Wichtig ist aber, dass
149880	155360	die fetischistische Bindung selbst schon eine Form der Verleugnung ist. Das bedeutet, dass es
155360	161400	nicht ausreicht zu erkennen, dass der Fetisch in gewissem Sinne nicht real ist. Denn fetisch zu
