start	end	text
0	5760	Hey Oman, danke für deinen Skit und das Gleichnis mit dem Hamster.
5760	10960	Ich muss an der Stelle aber ehrlicherweise gestehen, dass ich die Worte gehört habe,
10960	13240	sie mich aber nicht erreicht haben.
13240	19720	Das liegt vielleicht daran, dass ich noch nicht so ganz dahinter gestiegen bin,
19720	25320	was du mir eigentlich damit vermitteln möchtest, also worauf du hinaus willst.
25320	29120	Deswegen bleibe ich jetzt im ersten Schritt erst mal bei mir.
29120	37320	Und der Frage, inwieweit sozusagen meine Lernerfahrung, die ich ja geteilt habe zum Thema Populismus,
37320	41080	sich deckt oder widerspricht mit deinen Aussagen.
41080	46800	Es war ja gar nicht die Absicht mit diesem Populismus-Skit,
46800	51200	deine Fetisch-Aussage usw. in Frage zu stellen.
51200	54080	Das war vielleicht mal so der Anlass, weil ich mir überlegt habe,
54080	60880	ist die FDP jetzt wirklich die populistische aller populistischen Parteien?
60880	65000	Deswegen bin ich sozusagen dieser Frage nachgegangen, was ist eigentlich Populismus?
65000	67080	Wie wird Populismus definiert?
67080	71600	Weil, und da sind wir natürlich an dem entscheidenden Punkt, den du ja auch aufgebracht hast,
71600	75720	nach der Frage nach echter Realität und Wahrheit.
75720	79560	Ich kann natürlich nicht sagen, was Populismus ist,
79560	82880	genauso wenig wie du sagen kannst, was Fetisch ist.
82880	87240	Weil du A, uns ja schon zwei verschiedene Fetisch-Definitionen,
87240	90400	mindestens drei verschiedene Fetisch-Versionen,
90400	93760	ich könnte noch eine vierte und fünfte hinzufügen.
93760	97000	Das heißt, du sagst ja nicht, was ein Fetisch ist,
97000	103920	sondern wie du den Fetisch unterschiedlich deutest oder andere Menschen ihn gedeutet haben.
103920	107400	Und so geht es natürlich auch bei dem Thema Populismus.
107400	114640	Das heißt, ich habe ja nicht meine ureigenen Ansichten zum Besten gegeben und gesagt,
114640	121280	das ist Populismus, sondern wie zwei Politikwissenschaftler in Deutschland
121280	127680	Populismus sozusagen definieren, einordnen und zum Besten geben.
127680	130080	Was mir jetzt nochmal wichtig ist, weil du sagst,
130080	133720	Pluralismus sei nicht die Lösung für das Problem.
133720	137240	Da muss ich erst mal fragen, was ist denn das Problem?
137360	141040	Wozu suchen wir eigentlich die Lösung?
141040	145640	Denn mein Skiz sollte ja eher dahingehend zu sagen,
145640	150960	wir schaffen ein Bewusstsein dafür im politischen Diskurs,
150960	158160	was populistische Ansichten sind, abseits von diesem reintaktisch Diskreditierenden.
158160	164520	Also jeder sagt ja mal schnell, das ist Populismus, derjenige ist populistisch und so weiter.
164520	170920	Und vielleicht auch dann, wenn keines der postulierten Kategorien hier zutrifft,
170920	174480	sondern einfach nur als Stigmata-Wort.
174480	179080	Deswegen war mir nochmal wichtig, aus Sicht der Wissenschaft und der aktuellen Erkenntnisse,
179080	186760	sozusagen die gängigen Populismus-Theorien und Hypothesen darzustellen.
186760	192200	Wenn du also davon sprichst, ob denn der Pluralismus wirklich die Lösung ist,
192200	196600	muss ich wie gesagt fragen, die Lösung auf welches Problem?
196600	202760	Daher möchte ich nochmal erklären, warum ich so an diese Sache rangegangen bin.
202760	207520	Es war fairerweise nicht eine direkte Replik, sondern wie gesagt,
207520	215640	mich hat interessiert diese populistische Narrative auch angesichts der aktuellen Ereignisse in Italien,
215640	219000	wo ja nicht nur eine rechtspopulistische,
219000	227160	sondern eigentlich schon eine faschistische Partei, eine neo-faschistische Partei nun in die Regierung kommt,
227160	232240	die ja genau die gleichen Kategorien erfüllt und auch damit agitiert,
232240	237240	so wie die Politikwissenschaft eben das beschrieben hat.
237240	245360	Und all das war vielleicht auch dahingehend so ein bisschen angetriggert von unserem Livestream
245360	249080	zum Thema Ideologie der Arbeit mit Nicolas Lelle,
249080	259240	wo wir auch sehr viel über den Nationalsozialismus gesprochen haben als absolute Ultraradikalisierung
259240	267440	und als völligen zerstörerischen Fuhrrohr, was Antipluralismus und so weiter angeht.
267440	274320	Das heißt, ich würde deiner Hypothese, ob wir nicht längst in einer pluralistischen Gesellschaft leben,
274320	276920	würde ich dir völlig recht geben.
276920	284280	Und ich würde auch dahingehend so weit gehen, dass die Gesellschaft schon immer irgendwie pluralistisch war.
284280	290840	Vielleicht ist sie noch stärker ausdifferenziert, vielleicht gibt es noch mehr verschiedene Gruppen.
290840	298680	Und was aber wirklich der Fall ist, ist, glaube ich, dass durch moderne Kommunikationstechnologie, Medien und so weiter
298680	304120	diese verschiedenen Gruppen und Lebensweisen erst wirklich sichtbar werden.
304120	313000	So würde ich ja behaupten, dass es schon immer eine LGBTQ-plus-Community letztendlich in der Gesellschaft war,
313000	321640	in den vielen Jahrhunderten und Jahrtausenden, nur wurde sie eben unterschiedlich ausgelebt oder unterschiedlich unterdrückt.
321640	329880	Das heißt, Pluralismus ist sozusagen ein Bestandteil des menschlichen Daseins.
329880	337400	Und für mich ist ja jetzt nun die interessante Frage, wie organisiert sich dieser Pluralismus?
337400	350280	Und auf der anderen Seite, was passiert, wenn wir antipluralistische Herrschaftsansprüche von verschiedenen Gruppen letztlich haben?
350280	357440	Ich gebe dir im Kern, im Grunde genommen theoretisch, recht, dass mit jeder Form der Gesellschaft,
358440	364240	dass mit jeder formulierten Gruppe ich gewisse Negationen ausführe.
364240	375120	Ich würde aber nie so weit gehen, zu sagen, wenn ich eine Gruppe bilde, wie zum Beispiel ein ganz banal, ein Schützenverein,
375120	384800	dass dieser Schützenverein sich so positioniert und aufstellt, dass alle, die nicht in diesem Schützenverein gehören, Feinde darstellen.
384800	392240	Also ich sehe schon durchaus eine Koexistenz von verschiedenen Gruppen.
392240	397080	Das führt mich wiederum zu dem nächsten problematischen Begriff, den du ins Spiel gebracht hast,
397080	404040	wobei du ihn ja nicht so verwendet hast, dass er problematisch ist, sondern hast diesen Begriff ja nur aufgebracht.
404040	414400	Das ist Ethnopluralismus, was ja übrigens ein Begriff aus dem sehr rechten Rand ist letztendlich.
414400	423800	Ein Begriff, der besagt, dass doch jede Kultur und jede Gruppe mal besser unter sich bleibt und streng separiert ist.
423800	428400	Das hat aber wiederum mit dem eigentlichen Pluralismus nichts zu tun,
428400	434480	denn dieser ist in einer, sage ich mal, pluralistischen Gesellschaft ja sehr fluide.
