start	end	text
0	6420	Hey Patrick, ich würde mal jetzt unseren Diskurs zu FDP, Fetisch, Populismus und so
6420	10620	weiter einfach mal stehen lassen, denn ich glaube, wir argumentieren aus unterschiedlichen
10620	13540	Positionen heraus, reden vielleicht hier und da ein bisschen aneinander vorbei und
13540	19060	wir haben das ja im Wesentlichen im letzten Critical Infinity Livestream auf Twitch geklärt,
19060	23220	also mehr oder weniger und für die Zuhörerinnen und Zuhörer, die das nochmal nachhören
23220	28020	möchten oder nachschauen möchten, auf YouTube gibt es das ganze Ding nochmal als Video.
28020	33380	Nicht erschrecken, es geht über vier Stunden lang, aber die ersten X Minuten, da reden
33380	35060	wir nochmal ein bisschen über dieses Thema.
35060	37740	Aber ich will ein neues Thema jetzt aufbringen.
37740	41340	Das Thema lässt sich am besten erklären, vielleicht mit einer ganz kleinen Geschichte
41340	45620	und zwar habe ich mir ja eigentlich vorgenommen, gar nicht mehr aktiv zu sein auf Twitter,
45620	49460	also zumindest nicht aktiv mitzuschreiben und so weiter oder regelmäßig da reinzuschauen.
49460	55220	Aber irgendwie bin ich letztens doch da reingerutscht und habe gesehen, ein Begriff trendet aktuell
55220	62300	und zwar war das Precht mit Verweis auf Richard David Precht, Autor, Publizist, selbstbekennender
62300	67460	Philosoph oder nicht, hat gemeinsam mit Harald Wälzer ein Buch veröffentlicht namens Die
67460	68660	vierte Gewalt.
68660	75140	Auf Twitter trendete Precht aber im Kontext eines Landsbesuches, wo er wohl mit Harald
75140	78060	Wälzer gemeinsam ihr Buch vorgestellt haben.
78060	83580	Naja, um genau zu sein trendete er so eine Art Meme von ihm, so ein kurzes Video, wo
83700	89180	in einer, naja, so wird es zumindest sehr arroganten Art und Weise einer Journalistin
89180	93220	irgendwas erklärt, offen gesagt, ich habe mir das Ding gar nicht angeguckt, aber dann
93220	98140	habe ich gesehen, dass sehr viel über ihn geschrieben wird und ich dachte mir, hm, warum
98140	100900	wird aktuell so über Precht gesprochen?
100900	105260	Und ursprünglich war es mein Plan Folgendes zu tun.
105260	108780	Ich habe gemerkt, die Leute reden sehr viel über die Person.
108780	114180	Also es gibt so eine Art Metadiskurs um Personen und zwar von, ich würde sagen, von einer
114180	119500	sehr progressiven Ecke heraus, die das sehr stark kritisiert haben und ich dachte mir,
119500	125020	bevor ich anfange, mir die Sendung bei Lanz anzuschauen, lese ich mir das Buch durch.
125020	130100	Denn mein Ziel war es, ich lese das Buch, dann schaue ich mir die Sendung an und würde
130100	136700	in diesem Skiz eine Art Metakritik machen über den Diskurs um die Person, wo es nicht
136700	138260	um die Inhalte geht.
138260	143100	Also habe ich mir das Buch durchgelesen und ich muss sagen, das Buch war jetzt gar nicht
143100	144100	so schlecht.
144100	150620	Also es war ein gutes Buch, ich würde sagen, keine radikal neuen Erkenntnisse, vieles davon
150620	157060	kennt man, wenn man zum Beispiel den Aufwachen-Podcast hört, die 29er und der Fernsehpodcast mit
157060	161860	Stefan Schulz oder sogar das Buch von Stefan Schulz, Redaktionsschluss gelesen hat oder
161860	166980	Luhmann die Realität der Massenmedien gelesen hat, also im Grunde relativ viel oder viele
167140	172740	haben auch geschrieben, Noam Chomsky Buch, Manufactured Consent und so weiter, also die
172740	177300	vierte Gewalt der Medien und welche Wirkung sie haben auf Politik und am Ende auch auf
177300	178980	unsere Realität.
178980	183420	Aber wie gesagt, das Buch beinhaltete ganz viele dieser Ideen und hat sie aus meiner
183420	188740	Sicht auch eigentlich ganz gut und sehr fokussiert argumentiert, war daher umso motivierter,
188740	193220	diesen Skiz zu machen, weil ich mir dachte, ah, guck mal, diese ganzen Leute haben sich
193220	198580	diese Talkshow angeguckt und wollen jetzt einfach irgendwie gegen Precht und Welt zerschießen.
198580	204220	Warum? Das wäre ja dann sozusagen Teil meines Skiz gewesen und sind im Grunde auf Twitter
204220	209900	oder anderen sozialen Medien unterwegs und kritisieren, ohne wirklich Substanz zu haben.
209900	215460	Dann aber habe ich mir die Sendung angeschaut und ja, was soll ich sagen, diese Sendung
215460	221700	war ja eine Totalkatastrophe, also eine Massenkarambolage, also ein Totalschaden.
221700	224260	Man fragt sich, was ist dort passiert?
224260	229420	Da saßen diese beiden Autoren, eine Journalistin und ein Journalist, die beide jeweils auch
229420	234060	im Buch zitiert wurden, ja, der Herr Lanz, der auch mehr oder weniger in dem Buch vorkam
234060	239340	und ja, es wurde nicht über das Buch gesprochen, also die Argumente des Buches wurden nicht
239340	244300	vorgetragen, nein, ganz anders, die beiden Autoren saßen da und ja, irgendwie, irgendwie,
244300	247380	ja, keine Ahnung, irgendwie waren sie nicht wirklich da, egal.
247540	251740	Die Idee, die ich hatte mit meinem Skit, dass ich im Grunde sage, naja, mein Argument,
251740	256380	dass sozusagen in den sozialen Medien die Argumente von Wälzer und Precht nicht richtig
256380	260900	verarbeitet wurden und so weiter und so weiter, konnte nicht wirklich stattfinden, denn die
260900	263340	beiden haben ihre Argumente ja gar nicht vorgebracht.
263340	267420	So, da stand ich nun da mit meiner Recherche und so weiter und so weiter und dachte mir
267420	269980	so, ja, worüber rede ich denn jetzt?
269980	274340	Ich will jetzt hier keinen Skit machen über eine Buchkritik, denn wie gesagt, das Buch
274380	277660	ist in Ordnung, aber ich bin jetzt kein Buchkritiker.
277660	282780	Aber dann ist mir eine andere Sache aufgefallen, eine andere Metakritik, die wir uns vielleicht
282780	287020	anschauen könnten und wo du vielleicht da ein bisschen mehr Insights geben kannst,
287020	291780	weil du ja selber eine Weile in diesem System der Medien verortet warst.
291780	296780	Und zwar ist mir in dieser ganzen Social Media Diskussion, aber auch in den Medien selbst,
296780	302940	also Berichterstattung, so was wie Onlinebeiträge oder andere Podcasts zu Harald Wälzer und
302980	308820	Richard-David-Precht-Buch aufgefallen, dass die Medien so tun, als wäre alles in Ordnung.
308820	310620	Offen gesagt habe ich mich kurz gewundert.
310620	315540	Ich dachte, dass die Medien heutzutage relativ kritisch sind in ihrer Struktur, in ihrer
315540	320420	Selbstwahrnehmung, in ihrem Selbstbild, in ihrer Vernetzung mit einem Politiksystem und
320420	321420	so weiter.
321420	324900	Sei klar, ich meine, darüber hätte ja Niklas Luhmann schon geschrieben, das ist jetzt keine
324900	325900	News.
325900	331660	Aber in welche Art und Weise sich Journalistinnen und Journalisten teilweise darstellen, insbesondere
331660	337380	die Chefredakteure, also die Vorgesetzten dieser Systeme, insbesondere die beiden, die
337380	338780	auch bei Land zu Gast waren.
338780	342340	Sie so tun, als wäre das Mediensystem absolut fein.
342340	346740	Ja, es gibt vielleicht so eine blöde Bildzeitung, aber das ist halt ein Boulevardblatt.
346740	352620	Und die Ironie ist ja, genau darum ging es ja in dem Buch von Wälzer und Precht.
352620	357460	Dass genau dieses System selbst kritisiert werden soll, klar scheint es im System, dass
357460	362780	alles toll ist, aber das System selbst ist ja problematisch und mit seinen Strukturen
362780	363780	und so weiter.
363780	370020	Also ich will heute mal mit einer Frage starten und zwar, wie du das wahrnimmst.
370020	371020	Was ist denn deine Sicht?
371020	373380	Du warst ja selbst in dem Mediensystem drin.
373380	378100	Ist in dem Mediensystem alles in Ordnung, also aus einer strukturellen Perspektive, nicht
378100	383020	jetzt auf Einzelbeispiele, da gab es mal einen Journalisten, der war voll toll oder einer,
383020	384020	der war voll doof.
384020	385020	Nee, darum geht es mir ja nicht.
385020	390260	Es geht mir darum, ist die grundsätzliche Kritik nicht nur von Precht und Wälzer,
390260	393700	sondern wie gesagt, was ich ja schon sehr lange höre, aber naja, das, was ich jetzt
393700	399740	die letzten Tage beobachtet habe, ist, da steht jetzt eine sehr selbstgerechte Medienlandschaft,
399740	401540	die so tut, dass alles in Ordnung ist.
401540	406620	Da sind zwei doofe, alte, weiße Männer, die Oberlehrerhaft jetzt irgendwas zu den Leuten
406620	410700	erklären wollen, die aber ohne Substanz da irgendeinen Wisch hingeschmissen hatten,
410700	414260	dass jeder Achtklässler ja sehen kann, dass das Unfug ist.
414340	415620	Also wie siehst du das?
415620	421340	Ist die Kritik berechtigt oder geht es in der Medienlandschaft nur um marginale Verbesserung?
