start	end	text
0	8940	Herr Jumann, danke für deinen neuen Aufschlag und ja, dieses Thema hat uns beide ja die
8940	15980	letzten zwei Tage so ein bisschen beschäftigt. Bei mir war es genau umgekehrt und es ist
15980	25260	interessant, dass du ja gesagt hast, es begann bei diesem kurzen Ausschnitt aus dieser Landstalkshow,
25260	33820	wo man eben Richard David Precht sieht, wie er auf Frau Amann letztendlich einredet.
33820	41860	Dieser Ausschnitt ist entsprechend kursiert und tatsächlich bin ich auch selber höchstpersönlich,
41860	47740	ich will nicht sagen reingefallen, aber manche könnten das auch als reingefallen bezeichnen.
48140	56140	Ich habe sozusagen diesen Ausschnitt ebenfalls genommen und mit den Worten garniert, die sehr
56140	62300	polemisch und sarkastisch waren. Und zwar habe ich mich bezogen auf die Wirkung, die
62300	67380	es auf mich hatte, die auch bei vielen anderen ja so interpretiert wurde, nämlich eines
67380	78540	autoritären Duktus, wo ein Mann einer Frau sozusagen vehement ins Wort redet und ihr
78540	89980	vorwirft, dass sie dann offenbar nicht verstanden hätte, was er eigentlich meint. Und da sind wir
89980	97140	schon dann mitten im Thema von Wirkungsweise von Informationen in gewissen Kontexten oder
97140	106500	von fehlenden Kontexten. Ich habe das sozusagen rausgehauen aus dem Affekt, weil das sozusagen
106500	113740	ja so ein bisschen immer auch etwas in mir auslöst, nämlich wenn jemand so einen autoritären
113740	119180	Duktus hat. Ich weiß, dass du das ein bisschen anders bewertet hast, was sozusagen den
119260	126220	Autoritätsradar angeht. Und ich habe daraufhin gesagt, ok, dabei kann es ja nicht bleiben. Wie
126220	132780	ist eigentlich der Gesamtkontext? Also habe ich mir, so wie du als erstes, aber die Talkshow
132780	139580	angeschaut und habe sozusagen den Kontext und die Gesamtentwicklung, die dann auch zu diesem
139580	146100	Ausschnitt letztendlich geführt hat. Daraus ergab sich ein anderes Bild, ein etwas anderes Bild.
146100	155140	Und da gebe ich dir auch völlig recht hinsichtlich deiner Einschätzung, diese gesamte Sendung sollte
155140	165180	dringend in jede Weiterbildung und Bildungsmaßnahme von Journalistinnen und Journalisten, von
165180	175700	MedienmacherInnen einfließen, als ein Beispiel dafür, wie man keine Talkshow macht. Weil dort
175700	183780	sehr viele handwerklich eklatante Fehler aufgetreten sind. Die Sendung ist aus meiner Sicht
183780	191020	handwerklich komplett aus dem Ruder gelaufen. Ich würde aber nichtsdestotrotz sowieso behaupten,
191020	199380	dass diese Art von Talkshow schon vom Konzept her so ihre Probleme mitbringt. Gar nicht zu
199380	208700	sprechen von der sowieso aus meiner Sicht meistens bis immer abwesenden Moderation. Denn Markus Lanz,
208700	219340	so eloquent er auch sein mag und sicherlich ein sehr intelligenter, smarter Typ ist, er ist aus
219340	227100	meiner Sicht in dieser Show, die natürlich seine Show ist, verwischen quasi bestimmte Rollen,
227100	234820	nämlich die der Moderation und die des Diskutanten. Und das führt dann, wenn man interessiert ist,
234820	242900	an ernsthaften, gut moderierten Auseinandersetzungen natürlich zwangsläufig immer wieder zu Problemen.
242900	248660	Aber ich will jetzt gar nicht weiter über die Talkshow und so weiter sprechen. Mir ging es ja
248660	257260	letztendlich darum zu verstehen, a, warum ich so einen Affekt letztendlich ebenfalls tätige und b,
257260	264860	warum so viele Menschen, die ich eigentlich auch als sehr vernünftig einschätze und als sehr
264860	273460	debattenfähig, sich aber ebenfalls auf Twitter hinreißen lassen auf diese persönliche
273460	280660	Diffamierungsschiene. Also man kann das ja noch weiter treiben, indem man dann eben diffamierende
280660	287300	Memes erstellt und verteilt, indem man sozusagen die Personen, die in dieser Diskussion eine gewisse
287300	292780	Meinung vertreten haben oder einen gewissen Standpunkt, diese sogar bis hin zu einer
292780	300220	Entmenschlichung zu bezeichnen als Affen, als Egomanen, als Clowns. Also da geht es dann nur
300220	307900	noch darum, die sendenden Personen zu diskreditieren, sodass man aber über ihre Aussagen gar nicht
307900	313300	mehr weiter nachdenken muss, beziehungsweise das alles geschah ja aufgrund von Aussagen,
313300	319700	die sie in der Vergangenheit getroffen haben, die so derartig als ablehnenswert betrachtet wurden,
319700	328300	dass nun sämtliche Folgeaussagen auch entsprechend gar nicht mehr akzeptiert werden. Du hast mich
328300	334980	aber was ganz anderes gefragt am Ende deines Skits, nämlich wie ich sozusagen aus meiner
334980	342540	Erfahrung heraus in den Jahren, wo ich in dem Kontext gearbeitet habe. Dazu muss ich sagen,
342540	352100	das allein befähigt mich natürlich jetzt nicht, ein entsprechendes valides Bild abzugeben. Hinzu
352100	359860	kommt, ich habe sozusagen in einer Produktionsfirma langjährig gearbeitet, hauptsächlich für den
359860	370980	öffentlich-rechtlichen Sender und dadurch bedingt alleine habe ich natürlich sehr viel Kontakt zu
370980	379340	Journalistinnen und Journalisten gehabt, also sowohl im eigenen Haus, wie auch bei den Sendern,
379740	385700	wie aber auch in anderen Verlagen und so weiter und so fort. Und bis heute habe ich natürlich auch
385700	392540	einen entsprechenden Austausch dazu. Und apropos Austausch, ich war vor kurzem zu Gast in einem
392540	400620	journalistischen Podcast mit Namen Druckausgleich. Dieser Podcast wird produziert von einer
400620	407660	Journalistin und einem Journalisten, die auch noch sehr jung sind, würde ich jetzt mal sagen,
407660	414580	also eigentlich so Berufsanfänger und die hatten mich eingeladen, um mal über das Thema New Work
414580	428180	zu sprechen. Und New Work ist ja bei mir so ein halbes Reizwort und halbes Faszinosum, weil Reizwort
428180	435940	deshalb, weil New Work heute als etwas verwendet wird, sehr oft, welches dem Ursprung nicht gerecht
436020	440940	wird. Faszinierend bin ich vom Ursprung von New Work, nämlich von dem Sozialphilosophen
440940	448380	Friedhof Bergmann, den wir ja auch schon in vergangenen Sprachnachrichten thematisiert haben
448380	455100	und auch seine Grundthesen thematisiert haben. Und dazu wurde ich eben zu diesem Podcast Druckausgleich
455100	462700	eingeladen, um darüber so ein bisschen was zu erzählen. Und dieser Podcast Druckausgleich
462700	469940	wiederum thematisiert die wahrgenommenen Arbeitsbedingungen von Journalistinnen und
469940	477740	Journalisten. Es beginnt eigentlich damit, dass sie aus der Warte vom Nachwuchs eigentlich über
477740	484060	ihre Branche, über ihre Zunft sprechen, führte dann aber auch sehr schnell dazu, dass ältere
484060	490380	Kolleginnen und Kollegen diesen Podcast wahrgenommen haben und auch entsprechend dazu wiederum Feedback
490380	496500	gegeben haben und ihm gesagt haben, ja, genau, ihr sprecht Dinge an, die nicht nur den Nachwuchs
496500	503260	betreffen, sondern auch uns ältere Leute in diesem Betrieb. Wir sind aber meistens diejenigen,
503260	509500	die das gar nicht mehr thematisieren wollen, sondern einfach da so stillschweigend durchlaufen.
509500	519420	Und bevor ich jetzt sozusagen mit dir anfange, das System oder die Systeme und Strukturen zu
519460	525420	hinterfragen und auf die Frage zu antworten, müssen wir strukturell was verändern oder marginal,
525420	535180	sollten wir uns vielleicht noch mal vor Augen führen, was denn mögliche Arbeitsfelder sind,
535180	540780	um überhaupt über diese Frage nachzudenken. Und ich glaube, da ist es hilfreich, dass ich
540780	547700	das nicht tue, sondern dass diejenigen, die selber tagtäglich in diesem Betrieb sind,
547980	555500	vielfältig etwas dazu sagen. Und wie es der Zufall so will, hat die aktuelle Episode vom
555500	562260	Druckausgleich, hat am Ende Stimmen zu Wort kommen lassen, also Stimmen eingesammelt,
562260	569380	wie so Sprachnachrichten, im Grunde genommen wie bei uns, die mal geschildert haben, was sie denn
569380	576820	aktuell im Medienbetrieb stört, was sie sich wünschen würden, welche Probleme sie sehen. Und
576820	581260	ich würde dir dann sozusagen so ein bisschen den Ball wieder zurückspielen, dass du vielleicht
581260	587140	versuchst, auch noch mal nachzudenken und zu überlegen, okay, was heißt denn das jetzt am
587140	592500	Ende, wie können wir das sozusagen noch mal verdichtet zusammenfassen, was hat das vielleicht
592500	599580	auch ein Stück weit zu tun mit den Thesen von Precht und Welser im Buch, die aber, wie du schon
599580	606940	richtig erwähnt hast, seit vielen, vielen Jahren durch viele Akteure, wie beispielsweise Thilo Jung,
606940	616260	Stefan Schulz im Aufwachen-Podcast und das ganze Team darum herum, dass viele Jahre aktiv und
616260	621340	regelmäßig betrieben haben, wo sogar Medienvertreterinnen und Vertreter bei
621340	627180	ihnen zu Gast waren, um über diese Dinge zu sprechen. Also das bedeutet, ich gebe dir auch
627260	632780	dahinsichtlich vollkommen recht, was die Bewertung des Buches von Precht und Welser angeht, nämlich
632780	642100	das Buch ist okay. Es bringt nichts, was ich nicht schon irgendwo gehört, gesehen oder gelesen habe.
642100	649260	Es versucht sozusagen noch mal aus ihrer Perspektive heraus die Dinge in einen Zusammenhang zu sehen.
649260	655660	Es hat eine sehr starke sozialpsychologische, systemisch strukturelle Komponente, was ein
655660	661580	bisschen schade ist. Und das ist ja auch der Grund, warum es so kontrovers und zum Teil
661580	667020	verrissen wird, bevor es überhaupt gelesen wird, ist natürlich, dass auch dieses Buch aus meiner
667020	672900	Beobachtung heraus so ein bisschen aus dem Anlass einer persönlichen Kränkung geschrieben wurde,
672900	683060	die die beiden erfahren haben. Das ist aber etwas, was sozusagen die Thesen des Buches jetzt nicht
683060	687580	berührt, sondern da kann man sagen, okay, ich kann mich über die Einleitung aufregen,
687580	692060	weil dann wieder und so weiter und so fort. Aber der Kern des Buches stellt Dinge dar,
692060	698460	die allen längst bekannt sind, die in der Wissenschaft seit Jahren bekannt sind,
698460	705380	zu denen es auch immer wieder einzelne Diskussionen, Schlagzeilen und so weiter gab. Und wie gesagt,
705380	711420	die Stefan Schulz in seinem Buch Redaktionsschluss ausgiebig schon beschrieben hat, die Niklas
711500	718220	Luhmann beschrieben hat, die der Aufwachen-Podcast mit Tilo Jung und Stefan Schulz und Hans und wer
718220	726140	noch alles damals zu Gast war, immer wieder vorgetragen und thematisiert haben. Und man
726140	732780	muss ja sagen, der Aufwachen-Podcast war ja jetzt keine kleine, nicht wahrzunehmende Instanz,
732780	737900	also zumindest nicht im Journalismus und im Medienbetrieb. Das war eine ähnliche
737980	741980	medienkritische Instanz, würde ich mal behaupten, wie über Medien und so weiter. Also die
741980	746820	Medienschaffenden haben das sehr wohl wahrgenommen. Also als Beispiel kann man ja auch sagen,
746820	752420	Klaus Kleber war bei denen zu Gast. Das heißt, ich setze voraus auch Klaus Kleber und seine
752420	760660	Redaktion und so weiter, kennen und kannten das Format. Aber nun zurück zu den Stimmen und ich
760660	767620	finde das eben sehr, sehr wichtig, dass die zu Wort kommen, damit wir mal die Symptome zu
767660	774700	erst mal erkennen, die aus einer Perspektive formuliert wird, die tatsächlich in dieser
774700	782100	Diskussion bisher bei Lanz, Precht und wie sie alle heißen nicht vorkommen, weil sie eben nicht an
782100	788140	der Spitze stattfinden. Weil man muss natürlich auch attestieren, dass die gesamte Talkrunde bei
788140	795280	Markus Lanz bestand aus den Spitzen des Betriebes, also sowohl den Spitzen der
795320	803360	Populärwissenschaft oder der Wissenschaft, der Autorenschaft, den Spitzen des Politikjournalismus,
803360	810880	also diejenigen, die ganz nach oben vom System letztendlich nach oben gekommen sind aus
810880	818080	vielfältigen Gründen, aber meistens eben auch aus Glück. Das heißt, das könnte natürlich auch
818080	823560	dazu führen, dass über die Dinge, die sozusagen noch mal unter der Oberfläche noch mal ganz anders
823560	828160	stattfinden, dass die gar nicht mehr gesehen werden oder thematisiert werden. Und deswegen ist
828160	833400	es mir halt doppelt wichtig, diese Stimmen jetzt noch mal selbst zu Wort kommen zu lassen. Und ich
833400	840960	würde sagen, im Anschluss gebe ich direkt an dich, Human, weiter, wie das Ganze so auf dich wirkt und
840960	847800	was du dazu denkst. Hier also die Stimmen. Hört euch gerne den gesamten Podcast-Druckausgleich an.
847800	858920	Ich liebe den Journalismus und Journalisten zu sein, das ist mein Traum und Traumberuf. Aber es
858920	863800	muss sich grundlegend was in dieser Branche ändern, weil sonst rennen dem Journalismus die
863800	870040	guten und jungen Leute weg. Ich würde mir wünschen, dass journalistische Arbeitsumfelder
870040	876040	sich ein bisschen locker machen würden und auch mal Veränderungen erlauben, vor allem Ideen
876040	881120	annehmen von jungen Leuten, die frischen Wind reinbringen wollen, die Innovation reinbringen
881120	888000	wollen. Egal, ob du Praktikantin bist oder ob du Ressortleiterin bist. Wir hören deine Ideen,
888000	891240	wir nehmen die ernst und wir setzen die gegebenenfalls auch um oder probieren
891240	896960	uns einfach mal aus, weil ich denke, da sind viele Redaktionen noch sehr festgefahren und
896960	900760	haben so eine, das haben wir schon immer so gemacht, Mentalität. Und wenn ich dann bei
900760	907560	KollegInnen sehe, wie viele Überstunden die machen und wie viele freie Tage da angesammelt
907560	911880	werden, die man irgendwie auch nicht richtig abbauen kann, weil die Zeit einfach nicht da ist,
911880	918240	finde ich das schon bedenklich und auch überhaupt nicht erstrebenswert, in so eine Situation zu
918240	923720	kommen. Und man merkt eben, dass einige wenige da was voranbringen wollen und verändern wollen.
923720	928920	Allerdings habe ich oft das Gefühl, dass es dann an der Umsetzung scheitert, weil manche an diesen
928920	933880	alten Strukturen und an diesen, das haben wir aber schon immer so gemacht, so starr festhalten.
933880	940600	Also ohne jetzt einen konkreten Namen zu nennen, ich habe ein Praktikum bei einem sehr großen
940600	947400	Sender gemacht und wurde an meinem ersten Praktikumstag erstmal so begrüßt, ah, ich
947400	953800	habe vergessen, dass du kommst. Und dann wurde erstmal ewig lang nach einem Arbeitsplatz gesucht
953800	961040	und dann sollte ich mich einloggen. Ich hatte dann auch meinen eigenen Arbeitslaptop, das war super
961040	965880	cool. Also auch die Möglichkeit, Homeoffice zu machen, das ist mir persönlich auch super wichtig.
965880	975600	Ja, aber dann funktionierten die Zugangsdaten nicht. Und dann hieß es, ja, die Vorpraktikantin,
975600	981320	die hätte sich auch mit ihrem privaten Teams-Account angemeldet. Meine große Angst ist halt auch
981320	986640	irgendwie, dass wir vielleicht irgendwann in so amerikanische Verhältnisse abdriften,
