start	end	text
0	4980	Hey Patrick, hey Dave. Vielen Dank für eure Beiträge. Und ja, mein Antwort hat jetzt ein
4980	8740	bisschen wieder etwas gedauert, aber nun bin ich aus dem Urlaub zurück und ja, wir können
8740	12500	wieder voll kritisch einsteigen. Ich habe auch schon eine Menge Bücher jetzt mir besorgt
12500	16020	bzw. auch schon einiges gelesen und mein Gehirn hat sich in den letzten Wochen irgendwie
16020	20940	dreimal neu geknickt und neu gefaltet. Aber egal, dazu in den nächsten Skiz mehr, denn
20940	25100	ich habe hier und da Patrick auch ein, zwei Nudges gegeben, ein, zwei Bücher mitzulesen.
25100	29140	Direkt mal hier den einen loszuwerden, der mich gerade aktuell sehr begeistert. Das ist
29140	34500	der radikale Universalismus von Umbri Boehm. Aber um das Buch geht es ja noch gar nicht,
34500	38900	denn wir sind ja noch bei einem anderen Buch und zwar das Buch von Precht und Wälzer,
38900	43900	die vierte Gewalt. Nun habe ich überlegt, was kann ich denn überhaupt noch adden? Denn
43900	49540	insbesondere morgen, also der 13. Oktober, den Donnerstag, da haben wir einen Livestream,
49540	54580	wo wir den Auftritt von Harald Wälzer und Richard-David Precht bei Lanz anschauen,
54580	59300	der ich sag mal so ein bisschen in die Hose gegangen ist und wollen ihn ein wenig analysieren,
59300	64220	warum konnte es so krass scheitern? Wir werden uns noch ein Video von Jung und Naiv angucken,
64220	68900	da gab es auch noch mal ein sehr spannendes Interview mit einem sehr jungen CDU-Politiker
68900	73260	aus Hamburg, dessen Name, was soll ich sagen, CDU-Menschen Namen fallen immer weg und so,
73260	77140	aber egal. Aber zurück zum Buch und worauf ich eigentlich noch mal eingehen wollte,
77140	82500	denn Patrick, insbesondere dein Beitrag, also das Ende deines letzten Beitrags,
82500	87380	wo diese ganzen Sprachnachrichten von den Journalistinnen und so weiter gekommen ist,
87380	93220	das ist mir ziemlich im Kopf hängen geblieben. Und spiegelt man diese ganzen Sprachnachrichten
93220	99020	und was man so hört, wie Journalistinnen und so weiter ihre Arbeit einschätzen, dann ist es doch
99020	105740	sehr verwunderlich, wie wenig diese Kritik stattfindet. Also aktuell, und das ist jetzt wieder
105740	109900	jetzt irgendwie ein oder zwei Wochen, ich glaube zwei Wochen her, seitdem Wälzer und Precht bei
109940	115860	Landswahn, aber die Resonanz zu diesem Buch ist immer noch das Gleiche. Es wird irgendwelche
115860	121380	Ästhetik kritisiert, aber die Inhalte im Buch, die relevant sind, darüber wurde noch gar nicht
121380	126100	gesprochen. Und ich muss sagen, das ist verwunderlich, denn wenn ich mir deine Sprachnachricht anhöre,
126100	130940	wo man ja schon Kritik hört, dass bestimmte Bedingungen der Arbeit im Journalistengeschäft
130940	135500	nicht so gut laufen, dann ist es doch verwunderlich, wie wenig Kritik stattfindet. Denn man könnte ja
135500	141020	sagen, dass Teile dieser Kritik, die Precht und Wälzer in ihrem Buch vorgetragen haben,
141020	144780	zurückgeführt werden können auf die Arbeitsbedingungen, wie die Journalistinnen
144780	149900	arbeiten. Nun hatte ich überlegt, wie ich die Ausgangsprämisse dieses Skits setze. Und auf
149900	154500	wem referenzieren, auf den wir hier immer wieder referenzieren? Und zwar hat Luhmann in seinem
154500	160820	Buch Die Realität der Massenmedien in dem ersten Absatz Folgendes geschrieben. Was wir über unsere
160820	166860	Gesellschaft, ja über die Welt, in der wir leben, wissen, wissen wir durch die Massenmedien. Das
166860	171500	gilt nicht nur für unsere Kenntnis der Gesellschaft und der Geschichte, sondern auch für unsere
171500	177580	Kenntnis der Natur, was wir über die Stratosphäre wissen, gleich dem, was Platon über Atlantis weiß.
177580	183340	Man hat davon gehört. Wir können prinzipiell sagen, dass die Massenmedien ziemlich relevant
183340	188180	sind, wie sich unsere Realitätskonstruktion vermittelt. Kopplung mit einem politischen
188180	193420	oder einem wirtschaftlichen System kann natürlich dazu führen, dass ein System sich auf besondere
193420	197900	Arten und Weisen ausdifferenziert. Nun muss ich noch sagen, dass diese Sprachnachrichten,
197900	201980	die du in deinem Skit mit verbaut hattest, Patrick, von den Journalistinnen, die über
201980	206700	die Bedingungen ihrer Arbeit gesprochen haben, mich ziemlich irritiert hatten. Naja, irgendwie
206700	210740	denkt man sich das schon, aber es explizit zu hören, ist nochmal eine eigene Qualität.
210740	216540	Und nachdem ich meinen Skit veröffentlicht hatte, haben wir darauf eine Sprachnachricht
216540	220980	bekommen von einer nicht mehr aktiven freien Journalistin, die uns ein wenig berichtet,
220980	226060	wieso die Arbeitsverhältnisse und Bedingungen im Mediensystem ausgestaltet sind.
226060	232980	Ja, also ich glaube, dass das Hauptproblem darin liegt, dass eine Twitterisierung der
232980	240260	Berichterstattung stattfindet. Viele meiner Kolleginnen und Kollegen beobachten mit Sorge
240260	247220	diese Entwicklung und es ist ihnen sehr wohl bewusst und sie stehen wahnsinnig unter Druck,
247220	253300	schnell zu reagieren und vor allen Dingen schnell auch Aufmerksamkeit zu generieren.
253300	259380	Und das ist eben halt die große Falle. Wir haben im Journalistinnenbund letztes Jahr
259380	266140	eine Tagung zu dem Thema gemacht mit dem Titel Aufklären statt Anheizen. Zum Thema auch
266140	271540	Konflikt-sensitiv berichten. Es ist ein Thema, was nicht ganz so im Bewusstsein ist,
271540	281580	wenngleich glaube ich, dass sich viele bemühen, ausgewogen und reflektiert zu berichten. Aber
281580	287220	ich glaube, der Alltag holt die meisten doch ein. Ja, ich sehe das durchaus als große,
