start	end	text
0	26160	Anastasia, I believe, was taunting you on Twitter or something over the hard question
26160	27160	of consciousness.
27240	31440	I think I was mostly taunting all of Twitter because something that I've really struggled
31440	36640	with is that I haven't been able to find someone who can satisfactorily explain the
36640	39120	hard problem of consciousness to me.
39120	43200	And every time somebody explains it, I'm like, that doesn't seem like a problem.
43200	44200	Yes.
44200	48440	So the unusual way in which you're looking at it is not so much that you have difficulty
48440	52520	understanding the hard problem, but you have difficulty to understand by others think the
52520	53520	problem is hard.
53520	54520	Yeah, exactly.
54520	55520	Right?
55520	56520	I think I might help with that.
57000	58000	That's what I was hoping for.
58000	60800	Despite that being the unusual perspective.
60800	63400	And so it's funny because that's what I said on Twitter.
63400	66360	I'm like, can somebody please explain to me why this problem is hard?
66360	69080	And somebody was like, you need to talk to Josje.
69080	73960	And I was like, I emailed Josje a while ago, but we were, we started the show as puppets.
73960	75600	I don't know.
75600	81840	So we were, we built these giant aliens and we would puppet the interviews because we
81840	89640	wanted, we decided that the ideas that we wanted to explore scientifically were so far
89640	94920	out because the goal of the show is to explore the theories that will overturn current paradigms
94920	98520	in geology, cosmology, biology, physics, whatever.
98520	102600	And so we always find people that have these kind of weird ideas and we were like, okay,
102600	108780	this will be more acceptable if it's not humans doing the conversation, but it's aliens.
108780	111380	Because then there's this fictional frame that people can be comfortable in.
111380	112380	And after-
112380	115460	I think we were, to be honest, I think we were a little scared of putting ourselves,
115460	117780	our faces and just being people on the internet.
117780	122100	We really wanted, we were scared of that initially, but we got over it.
122100	126260	One of our mentors was like, you have to stop this.
126260	130940	He actually came on the show and he talked to the puppets for like three hours, no longer.
130940	132640	We recorded a bunch of episodes with him.
132640	135880	And then at the end he was like, what you're doing is great.
135880	137700	You can't keep doing it this way.
137700	140300	And then after that we got rid of the puppets, they're in a box in a closet.
140300	145020	And so here we are.
145020	148640	And so I think I emailed you when we were still the alien puppets, and that's a really
148640	152620	hard sell for people because you have to be like, hey, would you come on the show and
152620	156220	be interviewed by aliens that are puppets?
156220	159940	And everyone was like, no.
159940	164100	Well, I think we are anthropomorphizing people too much.
164100	168780	So principle open to trying different presentations.
168780	172700	Sometimes the puppet is limited because you can express less.
172700	176700	I think the idea of making something that is not human, but more expressive than a human
176700	180580	being, that would be potentially quite interesting as an experiment.
180580	185660	I think that's what really killed it is we couldn't make eye contact and we couldn't
185660	188780	having a conversation is so much more than the words that are happening, right?
188780	193880	That's why it's often difficult to talk to people on the telephone about very serious
193880	199280	or important matters because you can't see them and gauge their reaction.
199280	203200	Of course you could puppetify the interview after the fact.
203200	204200	That's true.
204200	206200	That'd be a lot of work though.
206200	208520	So we try to put out two of these a week.
208520	212480	You'll probably notice us, by the way, we do like camera changes during the show.
212480	214560	So don't be alarmed.
214560	215640	We don't want to edit later.
215640	218740	So we try to get it all while we're recording.
218740	223100	One thing that might be good is if I can do a very, very brief phone call at 11.30.
223100	226740	And then we have time probably way into the afternoon.
226740	227740	Okay.
227740	228740	Fantastic.
228740	229740	So basically we have open-ended.
229740	230740	That's incredible.
230740	232220	If we do this two or three hours, that's fine.
232220	234260	Do you want to just start after the phone call?
234260	235780	Yeah, let's do that.
235780	241820	We can spend the next 10 minutes just chatting about...
241820	246420	It seemed to me that you have career questions that you are pondering.
246420	247420	Is this correct?
248420	255180	I'm interested in the way that people shape their lives when they have more freedom than
255180	258700	the average person.
258700	263740	Because I think that most people show up and they work at a place and they stay there and
263740	269660	they advance on the basis of necessity and availability.
269660	274480	And then there's other people who stop and they look around and they really plan what
274480	275900	it is that they want.
275900	276900	Yes.
277380	283420	So the question is mostly how to get rid of your fear and that seems to be the hard thing.
283420	289620	I recently watched a presentation by Sam Altman where he told the story that he often watches
289620	294740	people who decide to start a company first so they become free and then can do the thing
294740	296060	that they want.
296060	299060	And his perspective that never works.
299060	303580	Basically people always get stuck doing their company and not achieving the thing that they
303580	306100	actually wanted to do.
307020	309780	So to him that's not a very good strategy.
309780	314300	Then again I think that his perspective is also a little bit unfair because not starting
314300	318100	a company and just doing the thing that you want also doesn't work.
318100	320100	So it's tricky.
320100	321100	It's an alignment issue.
321100	322100	Yeah.
322100	327100	But I find when I want to talk to my former self and mostly want to tell my former self
327100	332180	that I shouldn't worry so much like you'll never be rich but there will always be enough
332380	336900	money to keep you and your family afloat.
336900	341060	Just do the thing that you want to do and do it well because if the thing that you want
341060	347100	to do is sufficiently important and there are too few people doing it you will be able
347100	349220	to do it.
349220	355060	And so besides that I would say I should be a lot more calmer because despite my tastes
355060	360740	being very rare they have a reason for the things that I'm doing and for the stuff that
360740	366380	I'm interested in and institutions have reasons for not finding this and there's actual reasons
366380	370460	but not good reasons.
370460	376500	That's a huge part of what we processed before starting this project where it was possible
376500	381420	to continue down the line and to stay in the academic world but it was always going to
381420	385080	be tangential to the things that we wanted.
385080	390340	And it's hard in the density of media that there is in the world right now to start a
390380	397580	project like this because there's 30 million podcasts.
397580	405580	And so most of them have two or three episodes but still that's a reflection of just how
405580	411100	saturated the space is and it took us not that long to figure out that we were putting
411100	415180	something into the world that people really wanted and so it's allowed us to continue
415180	418300	but it's also...
418300	424540	Well one thing that's been really shocking to me is that you don't need a huge audience
424540	429740	but you do need an audience that's really good and really supportive and really really
429740	432640	interested in what you're doing.
432640	437340	Because we've been able to basically support ourselves with a pretty modest audience at
437340	444540	this point because our proportion of patrons to audience is kind of unheard of.
444540	448100	The people who listen to our show really care about these topics a lot.
448100	450700	But there's just not that many people that we've found so far.
450700	454060	I mean we've only been doing this for a year and a half.
454060	458380	There's just a small audience for these niche ideas it seems like too.
458380	459860	So that was kind of shocking to me.
459860	460860	That's not quite true.
460860	466660	I found that the Lex Friedman podcasts in some sense are serving a similar audience
466660	469580	and Lex arguably is not even that good.
469580	474860	He prepares himself well and so on and he tries to be serious about what he does and
474940	478420	he treats the people that he gets on the show very well.
478420	484340	But I think his main appeal is the speakers that he gets on the show.
484340	486020	He's really well connected right?
486020	491620	He's buddies with Joe Rogan and he had an enormous platform right out of the gate.
491620	497820	Yeah I mean he I think started out just playing his MIT card relatively well and then turning
497820	501700	this into a brand that he carefully curated.
501740	508540	And he gets millions of views for single shows which for a science tech podcast is really
508540	509540	a lot.
509540	511800	Yeah it's incredible.
511800	515500	And if you see the things that really fly you notice that of course if you want to do
