start	end	text
0	9680	So, this is a big one.
9680	15160	We got to speak with Benjamin Bratton last December, right before the New Year, and honestly,
15160	19000	we can't stop thinking about this conversation.
19000	22600	Bratton is Professor of Philosophy of Technology and Speculative Design at the University of
22600	23960	California, San Diego.
23960	28120	He's Director of Antikythera, a think tank on the speculative philosophy of computation
28240	32200	at the Berggruen Institute, and he's also Professor of Digital Design at the European
32200	37360	Graduate School and Visiting Professor at NYU Shanghai.
37360	42760	In 2016, Bratton publishes The Stack, a book where he outlines a new geopolitical theory
42760	46400	for the age of global computation and algorithmic governance.
46400	52040	He proposes that different genres of planetary-scale computation can be seen as forming a coherent
52520	59080	an accidental megastructure that has become a new governing architecture.
59080	63960	We view Bratton's multilayered research as an attempt to address complex planetary challenges,
63960	68840	emphasizing the need to integrate technology into the fabric of society and governance.
68840	73960	As an example, in The Terraforming, published in 2019, Bratton suggests a shift away from
73960	78800	anthropocentric views, taking artificiality, astronomy, and automation as foundations for
78800	81120	a new form of planetarity.
81200	84840	Two years later, in The Revenge of the Real, Bratton explores the failure of political
84840	89920	imagination in the Western response to the COVID-19 pandemic, advocating a form of positive
89920	92480	biopolitics.
92480	97240	It follows that critiques of Bratton's work tend to focus on the diminishing role of the
97240	104120	individual, this tiny moat before an enormous morass of geotechnical and geopolitical complexity.
104120	107720	And we address this head on at the end of the conversation, which both Roberto and I
107720	112440	find to be an extraordinarily compelling message that underscores the immensity of
112440	118280	tasks that lie ahead without resorting to a kind of doomer skepticism.
118280	123120	While the beginning of our conversation focuses on more specific territory, doing some trend
123120	128440	analysis in present-day incongruities and AI and computation, generally speaking, it
128440	134880	quickly picks up pace into a pretty dramatic critique of essentially every dominant paradigm
135320	142160	in AI and tech as they intersect with the human scale, from privacy to bias to alignment
142160	149360	to ownership, Anglo-centrism to the general problem of social determinism, broadly speaking,
149360	153760	and really ultimately to the function of the subject, experience, agency, and the human
153760	157360	in all of this.
157360	161840	So this is a long one, so take a walk with this episode and maybe send it to someone
161840	167080	who you know who, you know, maybe a friendly academic somewhere, someone who tends to overindex
167080	170480	on the power wielded by the social onto computation.
170480	179400	I suppose my interest in AI began a really long time ago when I was an undergraduate
179400	187880	and I took a class in the psychology department on what was then quite new theories of connectionism
187880	190080	as it was called back then.
190080	196320	One of the books that we read was called Neurophilosophy by the Churchlands, who are here at UC San
196320	200760	Diego, as it turns out, and there was an interesting thing that was happening at that time.
200760	205120	This was way back in the before times when the world was in black and white.
205120	210360	That is, there was a correspondence between what was then called cognitive science and
210360	213080	the emerging fields of artificial intelligence.
213080	216680	In many ways, these two areas of how it is that we understand how the brain works and
216680	222080	how it is that we understand how machine intelligence works not only converge paradigmatically,
222080	225840	but I think more importantly, the reason that they did over a period of time was that things
225840	232320	that were learned in one area were applicable to another in ways that were both expected
232320	234160	and unexpected.
234160	239440	So for me, I think to a certain extent, the question of AI has always been one that's
239440	244860	foundational to how I work and think as a theorist and philosopher, that AI is not just
245100	249180	something to which philosophy might be applied, something that philosophy might interpret,
249180	255380	but something that is more foundational to how we think about thinking and how we understand
255380	260100	what cognition, sentience, sapience, and all those kinds of things might be through the
260100	264780	process of their artificialization, that through the process of the artificialization of these
264780	270900	natural processes, that there's something that becomes more analytically legible about
270900	271900	them.
271980	277300	Obviously, this is not unique to me in any sense at all, but the entire history of AI,
277300	282260	and perhaps to some degree, it's unique in this regard among foundational technologies,
282260	287340	that is that the evolution of AI has evolved in very sort of close coupling, let's say,
287340	293740	in a kind of double helix with the philosophy of AI, that AI emerges as a kind of NASA-centered
293740	301140	technology, or maybe we develop thought experiments and conjectures made about what machine intelligence
301180	307260	may be in an empirical sense or in a more speculative sense, from Plato's Republic through
307260	312020	to Descartes to Leibniz, and obviously to Turing in his own little works of speculative
312020	318980	design about universal computers and party game, playing AIs, trying to pass as different
318980	323180	genders, Searle's weird Chinese room, and on and on and on and on and on.
323180	327580	The technology is driven by the speculation about the state of the technology, and the
327620	332140	technology then drives and informs different thought experiments about that.
332660	337460	So this is a little bit of context where I sort of see myself fitting into a much larger
337460	342980	stream. More specifically, a lot of my work around what I call planetary computation or
342980	349500	planetary scale computation, it looks at computation not just as mathematics or algorithms
349500	356740	or as a kind of procedural logic or a kind of appliance or as a kind of human social
356740	362820	medium, but rather as infrastructure and how it is that computation became the basis
362820	368260	of planetary infrastructures, which can be seen sort of from both directions, how computation
368260	372060	scaled to come to constitute a global scale infrastructure.
372060	377100	And then from the other side, how it is that infrastructural systems came to both evolve
377100	381460	and to be artificialized in the direction towards these infrastructures having greater
381460	386620	capacities for cognition, infrastructures that were primarily, let's say, thermodynamic,
386700	391820	their transformation to ones that were more informatic and semiotic and calculative is
391820	394420	another way of also understanding the history of infrastructures.
394500	400100	So long story short, I think where some of this stands right now is that we could look back
400100	406220	at the first 50 years of planetary computation, you know, rough napkin sketch sort of
406380	413300	schematic from roughly 1970 to 2020, where you're beginning to have real planetary
413300	418700	computational networks to more recently as a particular phase in that dynamic, one that I
418700	424180	attempted to give some shape to with a book called The Stack on Software and Sovereignty that
424180	429020	came out, was written about 10 years ago and came out very end of 2015, early 2016.
429020	433580	And that described an architecture of planetary computation that was based on a particular kind
433580	438780	of modular stack system that had particular kind of architecture based on particular kind of
438780	443340	anointment architectures, the computational machine, procedural programming paradigms for
443340	447540	software development. And, you know, perhaps more importantly, it was based on a paradigm that
447540	456180	information was light and inexpensive and highly mobile and hardware was expensive and heavy and
456260	461460	immobile and that you primarily want to move the information to the hardware because that's your
461580	463140	most efficient way of doing it.
463380	466300	In any event, I think quite clearly we're entering a different phase.
466540	470620	There's another 50 year cycle, or maybe it's only five, who knows how fast these things go.
470620	475460	But there's another, let's say, 50 year cycle coming where that architecture of planetary
475460	482180	computation itself is being transformed in relationship to the structural and indeed
482180	489180	anatomical requirements of AI, which involves training foundational models at a very large
489180	495100	scale, hosting them at a large scale, serving them and applications built upon them at a large
495100	501420	scale, a different kind of programming logic from procedural programming to to different kinds of
501420	506100	prompt design, fine tuning, different ways of engaging that in a certain sense collapses the
506100	511940	distinction between using the AI and fine tuning the AI, I think quite clearly over the next few
511940	516340	years that that space is going to collapse perhaps a little bit like the space between user and
516340	522500	designer in video games. And so that may it'll produce different monopolies, it'll destroy other
522500	528020	monopolies. And I think also the sort of the flip in that paradigm between now, I mean, this would
528020	535340	involve one in which information itself is understood as big, heavy, expensive and immobile
535380	541100	foundational models being essentially almost geologic or at least geographic in the kind of scale,
541340	547460	and pushing this to lots of different kinds of inexpensive mobile hardware. And so I think, I
547460	551860	mean, that's also maybe one of the ways in which we can understand this flip is that there's a kind
551980	558340	of swapping places between the relative economies of hardware software in that dynamic. This is one
558340	563620	of the things that a lot of my research is exploring now looking at issues of human AI interaction
563620	569420	design, newer emerging forms of philosophy around AI, and ways in which let's say design and
569420	576460	specular design in a rather peculiar idiosyncratic kind of genre that we've developed allows us to
576460	582060	explore some of these spaces with with more curiosity with an idea that the exploration of
582060	587900	the space of stochastic possibility around this is a way of understanding what's going on and
587900	592260	maybe indeed sort of catching up with the present to analyze this as opposed to some other kinds of
592260	596260	approaches. So in any event, that's a little bit of where the work stands and a little bit of
596260	597420	background and where it came from.
598540	603820	So when you speak about this moment in hardware, at least in terms of like some kind of rebalancing
603820	611020	or some kind of paradigmatic change from these immobile, fixed, expensive data centers to some
611020	616340	cheaper, more fluid, more mobile technologies, are you referring to things like edge ML and
