start	end	text
0	8800	Ich würde sagen, die Linke würde sich versuchen so zu positionieren, dass sie sagt, also es gibt
8800	13440	irgendwie eine Verbindung zwischen diesem eher apologetischen, einer liberalen oder einer
13440	17440	bürgerlichen Presse, die viel den Kapitalismus unerwähnt lässt, auf der einen Seite und auf
17440	21720	der anderen Seite dieser Paranoia, dieser Verschwörungsmythologie, die von der anderen
21720	25640	Seite kommt und beide erwähnen eigentlich so ein bisschen die eigentlichen Probleme nicht so
25640	30560	richtig. Und ich glaube, als Linke ist es wichtig, dass wir anfangen wirklich zu sagen, wir vertreten
30560	35600	die 99 Prozent und wir wollen einen gemeinsamen Kampf führen und nicht gegeneinander kämpfen.
35600	41520	Ich glaube, da müsste eine Linke reinkommen und sagen, wir müssen Zusammenhänge strukturanalytisch
41520	46880	darstellen und uns dadurch solidarisieren miteinander und somit eine dritte Option,
46880	51760	also neben auf der einen Seite bürgerlicher Presse und andererseits diesen sich als ganz
51760	55320	antibürgerlich generierenden Verschwörungsmythologischen Aufbau.
55320	59680	Ja Leute, ich freue mich, dass ihr am Start seid bei eurem Dissens-Podcast.
59680	63280	Diese Woche habe ich den Soziologen Lukas Meißner zu Gast in der Show.
63280	68920	In seinem Buch Medienkritik ist links, plädiert er dafür, die Kritik an den Mainstream-Medien
68920	73920	nicht den Rechten zu überlassen. Eine medienkritische Linke muss demnach Alternativen
73920	79240	aufzeigen, sowohl zur antidemokratischen Hetze gegen die vermeintliche Systempresse als auch
79240	82600	zur de facto neoliberalen Hegemonie in der Medienlandschaft.
82600	87240	Hier im Podcast sprechen wir darüber, wie wir linke Perspektiven in der Debatte stärken
87240	90760	können und was das mit einer Erneuerung linker Politik zu tun hat.
90760	94720	Ich bin euer Host, Lukas und Reka, und ich wünsche euch viel Spaß mit Dissens.
94720	110520	Lukas, schön, dass du beim Dissens-Podcast dabei bist. Hallo.
110520	111680	Ich freue mich da zu sein.
111680	116600	Ja, wir sind zusammengekommen, um über die bundesdeutsche Medienlandschaft,
116600	121240	linke Medienkritik und auch die Krise der Linken zu sprechen. All das nimmst du dir in
121280	126600	deinem Buch vor, Lukas. Kritik an den Mächtigen und auch Medienkritik, das war ja auch immer
126600	131400	eine urlinke Kernkompetenz, könnte man sagen. Aber seit einigen Jahren erleben wir,
131400	137200	wie Systemkritik im Allgemeinen, aber vor allem auch Medienkritik von den Rechtsradikalen besetzt
137200	142160	wird, so als Kampfprojekt gegen die Demokratie, dann verbunden mit Verschwörungsmythen über
142160	148000	eine regierungstreue Lügenpresse. Vielleicht für den Einstieg mal, Lukas, wie sieht die
148000	153200	Mediendebatte aus deiner Sicht aus? Und wo ist da eigentlich die gesellschaftspolitische Linke?
153200	154560	Die ist so seltsam abwesend.
154560	160440	Ja, exakt. Ich meine, das ist ein faszinierendes Phänomen, dass wir in der Krise der Linken uns
160440	164120	ja befinden, sowohl parteienpolitisch wie auch anderweitig. Und das ist aber gleichzeitig
164120	170960	irgendwie im Feld dessen, der Bewusstsein so nicht so richtig die Frage sich eigentlich gestellt wird,
170960	174400	wo dies herkommt. Und da wäre Medienkritik ja was relativ Wichtiges. Das hat zumindest
174640	179960	Medienkritik immer mit gemacht oder versucht. Und das scheint etwas zu sein, was heute nicht so viel
179960	184640	gepraktiziert wird. Ich würde sagen, genau aus dem Grund, den du nennst, also dass Medienkritik
184640	190040	ganz leicht mit Verschwörungsmythologien identifiziert wird, mit autoritärem Charakter,
190040	196480	mit so einem sozusagen Narrativ. Es gibt nicht wirklich Demokratie, es gibt hier nicht wirklich
196480	202080	Mitbestimmung. Und das ist, glaube ich, so ein bisschen der Versuch, deswegen von Seiten der
202080	207960	Linken, sich da mehr ans liberale Lager anzunähern und zu sagen, na, so eine Kritik ist problematisch.
207960	212920	Die zweifelt oft an Demokratie und Ähnlichem und deswegen wollen wir die nicht länger beackern.
212920	218720	Das finde ich allerdings sehr problematisch. Also wir haben im Grunde zwei Lager heutzutage
218720	224160	innerhalb der Medien-Debatte. Auf der einen Seite hat man eine relativ klassisch bürgerliche Presse,
224160	228160	auf der anderen Seite hat man eine sehr stark antibürgerliche,
228160	236480	verschwörungsmythologische Gegenreaktion. Also die einen, die mehr ein relativ apologetisches
236480	241920	Vorgehen haben gegenüber der Gesamtheit des Kapitalismus und die anderen, die einen sehr
241920	249960	paranoiden Blick haben auf die ihre Gegenseite, auf das vermeintlich was dann Lüge oder so etwas.
249960	254680	Ja und diese beiden Lager, die sind relativ manichäisch, die sind relativ schwarz und weiß
254680	260200	gegeneinander abgecancelt und das ist irgendwie nichts, was uns wirklich hilft. Also ich würde
260200	264560	sagen, eine Linke würde sagen oder würde sich versuchen, so zu positionieren, dass sie sagt,
264560	270520	terzium datur, ein drittes ist gegeben. Also es gibt irgendwie eine Verbindung zwischen diesem
270520	274800	eher apologetischen, einer liberalen oder einer bürgerlichen Presse, die viel den Kapitalismus
274800	278960	unerwähnt lässt. Auf der einen Seite und auf der anderen Seite dieser Paranoia, dieser
278960	283600	Verschwörungsmythologie, die von der anderen Seite kommt und beide erwähnen eigentlich so ein bisschen
283600	288560	die eigentlichen Probleme nicht so richtig. Und ich glaube, da müsste eine Linke reinkommen und sagen,
288560	295280	wir müssen Zusammenhänge strukturanalytisch darstellen und uns dadurch solidarisieren
295280	300360	miteinander und somit eine dritte Option, also neben auf der einen Seite bürgerlicher Presse und
300360	307000	andererseits diesen sich als ganz antibürgerlich generierenden Verschwörungsmythologischen aufbauen.
307000	312040	Ja das Ganze hat natürlich auch eine politische Dimension, dass die Linke, das sieht man ja zum
312080	316120	Beispiel in einer Linkspartei, gerade nicht in der Lage ist, eine solche Alternative zu
316120	321720	Rechtspopulismus und Liberalismus zu organisieren. Da wollen wir später auch noch drüber sprechen,
321720	325800	woran das liegt und wie wir da vielleicht auch wieder in die Offensive kommen. Aber lass uns
325800	330400	zunächst mal noch mal explizit auf das Thema Mediendebatte und Medienkritik eingehen, denn
330400	335640	in deinem Buch Medienkritik ist links, wünschst du dir, dass wir wieder eine medienkritische Linke
335640	340440	haben, die die bürgerlichen Leitmedien für ihre blinden Flecken kritisiert, aber anders als die
340440	345840	Rechtsextremisten, nämlich im Sinne der Demokratie und nicht antidemokratisch. Vermisst du diese
345840	351920	linke Medienkritik und wenn ja, wieso führt sie so in Schattendasein? Ja also ich vermisse sie
351920	358680	durchaus und zwar glaube ich eben genau aus dem Grund, weil schnell Medienkritik eben in ein
358680	363520	verschwörungsmythologisches Lager gerechnet wird und dass man dadurch eine gewisse Angst hat,
363520	369560	eine gewisse Furcht hat, im Grunde ins falsche Lager gerechnet zu werden. Und das ist glaube ich,
369560	375840	was viele Leute davon abschreckt. Nicht zuletzt, weil auch die Vorstellung weit verbreitet ist,
375840	381040	dass man es mit den Medien, den Medien, was ja ohnehin ein interessanter Singular ist,
381040	389080	mit, was eben in Plural ist, mit linken Medien vermeintlich zu tun hätte. Und das ist glaube
389080	395240	ich ein ganz entscheidender Aspekt, wenn man davon ausgeht, dass die Medien bereits links sein und
395240	399400	es gibt dann Medienkritik, dann müsse die ja von rechts kommen, ist so ein bisschen die Vorstellung
399400	404560	scheinbar. Und da muss man sich gegen dieses von rechts kommende der Kritik abgrenzen. Und ich
404560	409160	würde eben behaupten, die Medien, die wir haben, natürlich gibt es Ausnahmen, natürlich gibt es
409160	416000	Medien weit im linken Spektrum auch, aber so die Leitmedien sind sehr stark eben auf einem
416000	421440	Spektrum zwischen konservativ und liberal. Und sozusagen das linkeste Spektrum innerhalb dessen
421440	426120	ist dann linksliberal. Das ist aber für mich eben noch nicht links. Darauf kommen wir vielleicht
426120	430760	noch ein bisschen zurück, wie man die Sachen versuchen kann zu definieren, sich denen zu nähern.
430760	436760	Aber das ist glaube ich ein entscheidender Reflex, wenn man davon ausgeht, Medien sein bereits links,
436760	442200	dann muss die Kritik an ihnen ja von rechts kommen. Und ich würde behaupten, das ist schon relativ
442200	449760	lange klar, dass die mediale Berichterstattung natürlich sich verändert im Laufe der Jahrzehnte,
449760	455360	aber dass innerhalb eines kapitalistischen Systems da selten jetzt die ganz, ich sage mal,
455360	459760	großen marxistischen kommunistischen Theorien geschwungen werden. Und das war irgendwie klar,
459760	465880	in der Weimarer Republik hat die linke Medienkritik zum Beispiel Tucholsky oder Kestner oder Bertolt
465880	470920	Brecht oder solche Leute haben das vertreten im Nachkriegsdeutschland zum Beispiel Adorno oder
470920	478280	auch Rudi Dutschke oder Böll oder solche Kandidaten. Also ich spreche jetzt nur von der BRD. Und das
478320	482200	war irgendwie relativ klar, dass man das betreiben muss und dass es wichtig ist, gerade für die Linke
482200	487560	das zu betreiben. Und das scheint sich aber so die vergangenen Jahre verändert zu haben. Also da
487560	494840	scheint es eine Verschiebung gegeben zu haben. Und ich würde eben sagen, dieses Einordnen ins liberale
494840	501120	Lager aus dem Glauben heraus, dass Medien bereits links sein, ist eine eher kontraproduktive Strategie
501120	506240	für die Linke. Da würde ich gerne jetzt noch mal mit dir drüber sprechen, weil das ist ja
506320	512560	wirklich was, was wir ja so als Raunen von den Rechten und Rechtspopulisten erleben,
